link,Player_id,Name,nationality,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,average_shot_distance,xg_net,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocked_shots,blocked_passes,interceptions,clearances,errors,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus_wowy,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,gk_goals_against,gk_shots_on_target_against,gk_saves,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,value_millions
https://fbref.com/en/players/21a66f6a/Harry-Kane,120180239,Harry Kane,ENG,FW,Tottenham,24,37,35,3076,34.2,30,2,2,3,5,0,24.8,22.4,2.7,58,94,261,181,72,16.9,5.2,125,71,1,22,21,9,1,14,9,0,4,1,0,0,477,696,8715,2185,231,301,153,216,71,109,2.4,32,53,24,2,658,28,4,13,26,20,9,1,0,0,0,477,10,30,24,37,406,677,214,1105,96,47,48,725,4128,1401,30,26,64,60,894,17,12,2,8,7,4,15,11,4,11,5,19,0,26,2,0,2.08,65,34,-0.92,57.6,29.8,0,34,40,42,1,0,0,72,58,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,120180118,Kevin De Bruyne,BEL,MF,Manchester City,26,37,36,3073,34.1,8,16,0,0,2,0,5.1,5.1,11.1,183,388,259,93,39,24.3,2.9,215,152,43,8,6,5,1,34,30,2,1,1,0,0,2351,3008,39772,11181,1154,1322,885,1090,221,376,11.7,105,258,119,11,2707,279,68,41,44,248,45,151,12,71,2,2351,22,67,20,246,1565,1582,83,3348,87,63,23,2150,12041,7119,174,30,64,60,2615,62,43,23,25,14,23,80,57,2,43,25,14,2,22,1,1,2.62,93,22,0,69.8,19.2,0,30,33,2,1,0,0,207,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
https://fbref.com/en/players/e342ad68/Mohamed-Salah,120180424,Mohamed Salah,EGY,FW,Liverpool,25,36,34,2907,32.3,32,10,1,2,1,0,24.1,22.6,7.5,95,97,393,142,64,15.3,7.9,161,103,12,27,9,9,1,33,16,1,14,1,1,0,772,1055,11021,3263,441,541,234,313,44,90,6.1,62,42,43,3,955,96,12,8,4,86,19,62,43,9,0,772,4,32,3,70,418,970,243,1436,126,79,46,944,6003,2729,52,55,105,95,1116,12,6,2,5,5,3,23,20,0,10,5,5,0,17,2,0,1.97,77,30,1.63,64.3,27,0,16,29,17,1,0,0,122,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
https://fbref.com/en/players/a39bb753/Eden-Hazard,120180193,Eden Hazard,BEL,FW,Chelsea,26,34,28,2422,26.9,12,4,2,2,2,0,7.7,6.2,6.4,201,218,302,69,34,17.4,4.3,205,143,8,31,6,17,0,19,11,0,5,1,2,0,1168,1440,18699,5183,631,748,312,371,148,171,7.4,83,122,79,4,1348,83,36,4,30,51,11,25,7,3,1,1168,9,32,1,76,631,1042,162,1700,200,165,35,1300,10444,5375,121,70,65,77,1471,6,3,2,3,1,3,21,18,0,11,3,0,0,11,6,1,1.79,43,27,-0.13,40.8,23.8,0,13,82,16,1,0,0,102,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
https://fbref.com/en/players/cea4ee8f/Dele-Alli,120180014,Dele Alli,ENG,MF,Tottenham,21,36,34,2958,32.9,9,10,0,0,7,0,9.1,9.1,8.2,100,181,359,69,17,15.9,-0.1,133,104,1,5,6,14,3,19,14,0,0,3,2,0,985,1295,15174,4014,541,647,342,414,63,109,5.2,63,104,55,1,1249,37,12,15,8,18,17,4,0,0,0,985,9,39,33,179,702,874,147,1726,105,44,61,1097,6773,2868,78,28,98,89,1334,46,30,15,21,10,8,34,26,7,26,19,22,1,18,2,0,2.03,63,28,0.48,54.1,25.7,0,43,84,5,1,0,0,181,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,120180104,Philippe Coutinho,BRA,MF,Liverpool,25,14,13,1109,12.3,7,6,0,0,0,0,3.5,3.5,4.7,69,145,94,54,17,24,3.5,92,57,13,11,6,4,1,16,8,2,4,0,2,0,566,758,10208,3685,246,287,231,288,73,134,4.7,40,99,44,7,674,76,19,17,5,58,2,53,21,22,0,566,8,18,3,49,428,436,34,902,60,39,21,629,4482,2464,55,16,19,26,708,17,14,4,10,3,3,21,18,0,10,10,5,1,5,1,1,1.79,29,14,0.01,23.2,11.5,0,5,21,4,0,0,0,60,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
https://fbref.com/en/players/2b114be3/Leroy-Sane,120180429,Leroy San?,GER,FW,Manchester City,21,32,27,2419,26.9,10,15,0,0,4,0,5.8,5.8,6.8,102,68,416,57,19,17,4.2,124,87,8,18,4,6,1,28,18,3,6,1,0,0,957,1208,12637,2561,588,681,256,317,36,79,7.2,57,27,41,6,1125,80,4,2,2,93,21,55,2,39,0,957,3,30,15,104,424,1002,177,1504,132,85,47,1036,6623,3086,48,64,81,64,1205,27,21,14,7,6,8,22,14,1,21,13,6,0,18,5,2,2.63,72,22,-0.75,53.2,17.5,0,24,27,7,0,0,0,122,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
https://fbref.com/en/players/867239d3/Paul-Pogba,120180387,Paul Pogba,FRA,MF,Manchester Utd,24,27,25,2148,23.9,6,10,0,0,5,1,7.7,7.7,4.5,95,250,92,76,18,22.2,-1.7,103,81,1,9,6,4,2,20,12,0,3,4,1,0,1476,1763,23981,7902,722,788,475,561,166,246,4.6,39,181,49,3,1727,27,22,15,43,28,5,0,0,0,0,1476,9,19,35,253,1186,641,71,2053,101,75,26,1340,7852,4491,77,13,56,40,1674,33,23,13,15,5,5,33,28,0,16,21,26,0,19,2,0,2.19,48,20,0.32,39.1,25.8,0,44,51,3,0,0,0,161,49,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
https://fbref.com/en/players/b400bde0/Raheem-Sterling,120180462,Raheem Sterling,ENG,FW,Manchester City,22,33,29,2587,28.7,18,11,1,1,4,2,16.2,15.3,7.3,116,94,410,86,33,14.9,1.8,142,95,1,21,9,16,0,27,19,0,2,0,6,0,998,1221,11836,2411,644,716,243,303,17,34,5.8,55,34,49,3,1199,19,1,9,4,39,9,6,2,1,0,998,3,49,13,76,507,978,230,1539,119,64,55,1089,6306,3319,70,76,65,59,1319,19,14,7,7,5,3,32,29,0,24,9,9,0,19,4,1,2.58,82,23,-0.11,63.1,17.1,1,39,58,19,6,1,0,109,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
https://fbref.com/en/players/5eae500a/Romelu-Lukaku,120180289,Romelu Lukaku,BEL,FW,Manchester Utd,24,34,33,2867,31.9,16,7,0,1,4,0,13.2,12.4,4.7,57,63,216,85,41,13.1,2.8,80,61,0,4,14,1,0,18,13,0,2,3,0,0,502,763,6310,1511,282,377,118,207,27,44,3.8,33,33,33,5,732,26,0,11,6,36,1,0,0,0,0,502,5,26,26,45,424,571,151,1031,57,35,22,532,2998,1225,32,35,76,48,865,7,4,1,3,3,0,13,13,2,7,3,22,2,30,1,0,2.18,63,26,0.67,49.6,35.6,0,31,16,18,0,0,0,55,108,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
