Patrick van Aanholt,884,1176,14197,6422,479,532,311,431,74,152,1.8,18,63,28,6
Rolando Aarons,29,44,376,77,24,30,2,5,2,3,0,0,2,1,1
Tammy Abraham,206,314,2754,557,123,173,56,89,10,22,0.8,12,16,6,2
Charlie Adam,168,285,3889,1505,51,66,72,96,45,107,1.4,6,28,7,4
Adri?n,266,571,11798,10438,12,12,51,52,203,503,0.1,0,13,1,0
Ibrahim Afellay,72,82,1326,256,29,32,35,39,6,8,0,0,6,0,0
Benik Afobe,113,154,1370,152,77,102,27,38,0,1,0.1,2,8,2,0
Sergio Ag?ero,529,650,6018,1087,360,405,107,140,11,13,3.8,40,25,24,0
Nathan Ak?,1344,1609,26293,11309,437,510,737,833,159,240,1.7,9,89,3,0
Marc Albrighton,771,1298,14418,5905,365,436,259,408,122,337,4.7,46,98,36,19
Toby Alderweireld,793,931,18331,6712,176,188,459,496,153,236,0.4,3,102,7,1
Trent Alexander-Arnold,963,1309,17689,5965,408,458,418,546,117,243,1.7,25,76,25,6
Joe Allen,1114,1403,17666,5350,547,620,437,531,75,128,2.6,31,116,26,4
Dele Alli,985,1295,15174,4014,541,647,342,414,63,109,5.2,63,104,55,1
Marcos Alonso,1333,1721,21762,6115,656,751,555,665,86,176,2.2,34,55,26,11
Daniel Amartey,239,310,3859,1555,129,142,83,109,20,45,0.1,0,14,0,0
Ethan Ampadu,19,19,391,149,5,5,13,13,1,1,0,0,1,0,0
Nordin Amrabat,44,78,585,190,29,36,9,21,4,9,0.2,3,4,3,2
Michail Antonio,296,494,5256,1567,151,210,90,147,42,91,0.9,14,20,15,11
Scott Arfield,247,367,3441,942,150,198,75,103,9,25,0.4,7,25,6,1
Marko Arnautovi?,505,757,6653,1499,312,399,138,220,18,58,4.2,35,26,17,4
Harry Arter,513,592,9905,2945,175,194,275,300,58,88,0.4,3,69,6,0
Christian Atsu,359,513,4775,1436,220,256,95,148,14,38,2,25,21,16,3
Pierre-Emerick Aubameyang,225,337,2707,423,157,192,47,82,5,20,1.3,13,10,5,2
Serge Aurier,779,1035,12584,4253,398,474,322,419,49,98,1.3,14,37,25,6
Charlie Austin,168,250,2313,403,98,126,48,67,10,21,0.7,4,20,0,0
Andr? Ayew,216,291,2721,532,142,160,57,77,5,15,0.3,4,17,5,1
Andr? Ayew1,247,314,3303,538,151,174,71,88,9,19,0.8,12,12,7,0
Jordan Ayew,700,887,9413,1239,420,486,201,256,30,58,1.6,16,33,21,2
C?sar Azpilicueta,2469,2924,42480,14966,1110,1198,1120,1277,187,340,5.1,31,215,38,14
Eric Bailly,368,428,6857,2226,126,139,197,211,35,57,0.2,2,15,2,0
Leighton Baines,774,1009,12799,5667,397,438,298,369,61,140,2.3,24,71,21,9
Tiemou? Bakayoko,957,1116,14377,3737,511,571,326,377,58,76,0.9,16,88,9,1
Sam Baldock,4,7,41,7,3,5,1,2,0,0,0,0,0,0,0
Beni Baningime,67,82,1088,304,28,34,30,35,3,5,0,0,6,1,0
Phil Bardsley,394,587,6906,3437,190,214,163,245,37,103,0.7,5,55,13,7
Ross Barkley,39,53,560,96,23,28,9,13,3,6,0,2,0,2,1
Ashley Barnes,316,531,4207,996,193,282,101,161,6,33,1.8,17,22,11,4
Harvey Barnes,6,7,84,16,4,4,2,3,0,0,0,0,0,0,0
Gareth Barry,721,963,13209,4410,323,374,282,357,100,193,1.3,17,113,15,3
Kyle Bartley,93,115,1796,686,32,37,51,57,9,18,0.2,2,8,0,0
Michy Batshuayi,67,97,767,100,41,50,12,21,3,5,0.1,1,2,1,0
Moritz Bauer,293,465,5276,2454,136,168,100,158,47,107,1.1,13,18,10,8
Jan Bednarek,139,193,2611,1037,51,53,72,95,16,42,0,0,11,0,0
Asmir Begovi?,693,1162,23636,18869,55,55,300,304,337,798,0,1,7,0,0
H?ctor Beller?n,1833,2193,27194,7214,1018,1118,705,814,61,116,5.1,32,82,53,10
Yohan Benalouane,24,38,478,89,7,10,12,16,5,10,0,0,0,0,0
Christian Benteke,379,675,4993,1074,243,394,96,195,18,32,1.7,28,35,12,0
Saido Berahino,75,99,1078,138,42,52,27,34,3,5,0.3,3,3,3,1
J?hann Berg Gu?mundsson,660,1027,11965,4451,308,382,214,313,107,259,5.1,67,40,30,16
Ryan Bertrand,1476,1954,21055,8752,911,1022,444,594,71,195,3.3,36,130,42,11
Muhamed Be?i?,27,28,526,84,12,12,10,10,5,6,0,1,1,1,0
Philip Billing,285,394,4747,1279,142,168,107,140,25,62,0.4,2,22,4,2
Mame Biram Diouf,347,630,4835,1503,213,320,108,201,10,38,0.9,20,26,7,2
Daley Blind,220,274,3520,1332,120,132,74,92,22,43,0.6,4,18,7,3
Jeremie Boga,4,4,33,7,1,1,1,1,0,0,0,0,0,0,0
Yannick Bolasie,143,269,2088,555,84,119,42,85,9,34,0.4,4,8,8,5
Ga?tan Bong,728,1091,11534,5807,364,438,291,423,43,147,0.5,9,69,7,5
Wilfried Bony,131,209,1637,308,92,124,31,53,3,4,0.2,4,13,2,0
Sofiane Boufal,431,580,6295,1617,250,302,123,164,32,60,1.8,21,37,24,3
Robbie Brady,354,593,6916,2653,166,206,109,179,72,168,2.6,26,39,18,6
Claudio Bravo,64,71,1601,1126,4,4,43,44,17,23,0,0,0,0,0
Miguel Britos,318,401,6586,2637,96,110,172,195,49,84,0.7,3,32,4,1
Leon Britton,127,138,2255,403,49,53,70,74,7,8,0,0,6,0,0
Izzy Brown,93,139,1306,279,53,65,30,45,5,9,0.5,6,8,4,2
Bruno,949,1220,16949,6723,446,492,371,460,116,215,1,10,54,12,6
Chris Brunt,733,1082,15546,6796,284,328,274,370,160,339,4.5,37,98,24,10
Oliver Burke,114,151,1509,284,76,91,28,39,5,9,0.4,4,4,3,2
Jack Butland,643,1283,28682,25851,35,36,163,173,444,1062,0.1,1,54,0,0
Sam Byram,73,123,1293,676,29,40,37,53,6,25,0.4,2,12,5,3
Willy Caballero,73,100,1939,1484,17,18,32,33,23,46,0,0,0,0,0
Yohan Cabaye,1118,1438,18909,7090,539,603,416,493,117,266,3.8,42,124,18,0
Gary Cahill,1194,1347,21241,8087,458,492,615,673,91,133,0.2,3,71,1,0
Dominic Calvert-Lewin,311,519,3729,901,198,302,63,112,11,24,1.3,20,13,12,6
Geoff Cameron,404,581,7362,3256,166,191,187,244,44,120,0.3,6,39,3,0
Tyrese Campbell,10,20,129,47,6,12,4,6,0,0,0,0,1,3,0
Emre Can,1338,1571,23098,5472,600,662,591,668,117,179,2.4,25,136,23,2
