Patrick van Aanholt,21,3,8,1.21,31,38,-0.07,32.2,34.7
Rolando Aarons,0,3,7,0.25,1,2,-0.46,0.4,2.9
Tammy Abraham,9,16,2,0.81,15,31,-0.2,16.9,31.8
Charlie Adam,1,6,21,0.91,2,7,-0.26,5.4,8
Adri?n,19,0,19,1.42,30,29,1.16,19.2,28.4
Ibrahim Afellay,0,5,10,1,2,9,-3.08,0.9,5.4
Benik Afobe,1,12,4,1.06,5,12,-0.74,6.5,12.7
Sergio Ag?ero,13,3,4,2.52,63,12,0.61,45.8,13.1
Nathan Ak?,36,1,0,1.16,44,59,0.94,37.9,56.9
Marc Albrighton,19,4,1,1.29,35,39,-0.14,35.6,34.9
Toby Alderweireld,13,1,1,1.93,25,13,-0.13,20.7,10.1
Trent Alexander-Arnold,14,1,16,1.89,39,17,0.09,33.8,15.7
Joe Allen,33,0,1,0.92,30,55,1.85,33.6,52.2
Dele Alli,18,2,0,2.03,63,28,0.48,54.1,25.7
Marcos Alonso,28,0,1,1.85,48,30,-0.39,44,26.7
Daniel Amartey,4,2,11,1.13,7,7,0.12,6.8,6.9
Ethan Ampadu,0,1,11,3,0,1,-8.84,0,0.2
Nordin Amrabat,1,0,0,1.67,4,3,1.04,4.4,3.8
Michail Antonio,8,5,0,1.05,13,23,-0.23,13.1,20.3
Scott Arfield,9,3,8,1.11,7,15,-0.76,8.6,23.7
Marko Arnautovi?,14,3,1,1.06,34,48,-0.06,25.4,36.5
Harry Arter,7,2,11,1.31,10,13,0.19,8.7,15.2
Christian Atsu,12,9,0,1.32,17,22,-0.09,20.6,24.4
Pierre-Emerick Aubameyang,10,1,0,1.62,26,15,0.48,19.5,15.6
Serge Aurier,14,1,13,2.18,35,12,0.77,30.5,9.7
Charlie Austin,3,14,1,0.92,14,15,0.59,15.3,10.5
Andr? Ayew,4,9,4,0.94,11,24,-1.06,10.2,16.5
Andr? Ayew1,7,2,0,0.75,9,17,-0.03,10.7,17.9
Jordan Ayew,22,3,0,0.89,26,49,0.07,27.9,48.3
C?sar Azpilicueta,37,0,1,1.81,61,38,-0.38,52.9,33.8
Eric Bailly,11,2,5,2.46,24,6,0.8,17.9,11.9
Leighton Baines,20,0,1,1.23,22,34,-0.45,23,26.5
Tiemou? Bakayoko,20,5,5,2.03,37,20,0.23,31.4,21.5
Sam Baldock,0,2,10,0,0,1,-2.31,0.3,1.1
Beni Baningime,0,7,6,1.25,0,2,-0.57,2.6,1.9
Phil Bardsley,12,0,20,1.08,8,13,-0.48,10.2,18.3
Ross Barkley,0,0,6,0,0,4,-3.56,1.4,2.8
Ashley Barnes,14,15,1,1.42,26,23,0.55,23,32.6
Harvey Barnes,0,3,3,1.33,1,0,9.13,0.6,0
Gareth Barry,16,3,0,0.64,20,35,-0.1,21.9,26.4
Kyle Bartley,1,3,10,0.6,2,4,-0.03,2.3,5.6
Michy Batshuayi,1,9,9,2.08,11,7,0.41,4.8,3.6
Moritz Bauer,12,0,1,0.87,10,18,0.51,11.9,21.8
Jan Bednarek,3,0,9,1.6,5,5,0.57,4.4,2.8
Asmir Begovi?,38,0,0,1.16,45,61,0,38.8,59.2
H?ctor Beller?n,33,1,0,1.71,67,44,0.68,61.4,41.9
Yohan Benalouane,1,0,8,0,0,2,-1.95,0.5,1.6
Christian Benteke,21,7,0,1.23,27,36,-0.29,36.3,33.1
Saido Berahino,1,12,11,0.87,4,13,-0.9,6.9,12.5
J?hann Berg Gu?mundsson,23,3,1,1.29,29,33,-0.28,26.8,41.9
Ryan Bertrand,32,0,0,0.97,34,49,0.83,37,39.1
Muhamed Be?i?,0,2,4,0.5,0,0,0.37,0.4,0.4
Philip Billing,4,8,4,1,7,11,0.41,7.2,11.3
Mame Biram Diouf,19,5,0,0.91,29,49,0.73,26.9,43.6
Daley Blind,3,3,11,3,11,0,1.88,8.3,2.5
Jeremie Boga,0,0,0,0,0,0,-0.63,0,0
Yannick Bolasie,2,5,4,0.88,9,14,-0.21,10.1,12.4
Ga?tan Bong,23,0,2,1.08,25,36,0.24,26.4,31.3
Wilfried Bony,4,7,0,0.87,3,8,0.13,5.5,9.7
Sofiane Boufal,3,15,6,0.81,18,24,0.09,14.8,17.4
Robbie Brady,13,0,0,1.67,14,12,0.35,9.6,19.8
Claudio Bravo,2,1,35,3,8,1,0.76,3.9,1.7
Miguel Britos,7,2,7,1.42,15,16,0.54,13.8,13.5
Leon Britton,0,1,2,0.8,2,1,1.14,4.1,3.1
Izzy Brown,0,9,2,0.92,1,8,-1.65,2.6,7.7
Bruno,19,2,10,1.24,16,23,0.52,18.6,28.6
Chris Brunt,15,4,9,1.04,22,23,1.39,23.1,25.1
Oliver Burke,0,13,10,0.2,6,12,-0.91,4.8,5.6
Jack Butland,35,0,0,0.91,32,61,0.5,33.8,57.7
Sam Byram,1,3,7,1,4,7,-0.61,2.4,4.1
Willy Caballero,3,0,35,1.33,6,4,0.04,4.2,2.9
Yohan Cabaye,13,3,2,1.29,32,36,0.37,39.2,30.3
Gary Cahill,22,3,7,1.85,35,24,-0.4,33.5,22.5
Dominic Calvert-Lewin,13,14,1,1.25,26,29,0.5,23.9,29
Geoff Cameron,14,3,8,0.9,15,31,-0.14,16.9,28.2
Tyrese Campbell,0,4,4,0.5,0,2,-1.44,0.9,2.2
Emre Can,19,2,3,2.08,56,29,-0.12,46.5,23.7
?tienne Capoue,13,5,13,1.13,15,29,-0.53,18.5,23.3
Michael Carrick,0,1,7,1.5,1,0,-0.23,1.3,0.7
Andr? Carrillo,8,12,3,1.14,20,31,-0.21,20.8,26.4
Guido Carrillo,2,2,1,0.86,5,8,-0.12,4.5,6
Andy Carroll,3,9,5,1.19,14,12,0.98,11.2,9.9
Tom Carroll,20,9,1,0.89,18,39,0.01,24.4,44.3
Craig Cathcart,5,2,2,0.86,2,6,-0.19,5.3,4.3
Petr ?ech,33,0,1,1.59,64,48,-1.18,60.3,43.1
Nacer Chadli,0,3,6,0.8,3,3,0.71,2.4,4.9
Nathaniel Chalobah,3,1,0,1.33,7,7,0.61,6,7.2
Calum Chambers,5,2,7,1.67,22,14,0.3,15.3,12.5
Ben Chilwell,16,4,8,1.33,32,30,0.44,29.2,24.8
Hamza Choudhury,2,4,0,0.88,6,9,-0.68,6.8,5.8
Andreas Christensen,18,4,9,1.67,37,23,-0.07,34.3,19.3
