s,s,valu_millions
Aaron Cresswell,12000000,12
Aaron Mooy,10000000,10
Aaron Ramsey,45000000,45
Aaron Wan-Bissaka,1000000,1
Abdelhamid Sabiri,1000000,1
Achraf Lazaar,1000000,1
Adam Lallana,25000000,25
Adam Smith,5000000,5
Adama Diakhaby,5000000,5
Ademola Lookman,12000000,12
Adri?n,5000000,5
Ainsley Maitland-Niles,7000000,7
Alberto Moreno,10000000,10
Alex Iwobi,15000000,15
Alex McCarthy,2500000,2.5
Alex Oxlade-Chamberlain,40000000,40
Alex Pritchard,10000000,10
Alexander S?rloth,7000000,7
Alexandre Lacazette,60000000,60
Alexis Mac Allister,4000000,4
Alexis S?nchez,70000000,70
Alireza Jahanbakhsh,12000000,12
Alisson,60000000,60
Ander Herrera,30000000,30
Andr? Gomes,15000000,15
Andreas Christensen,40000000,40
Andreas Pereira,6000000,6
Andrew Robertson,25000000,25
Andrew Surman,2500000,2.5
Andriy Yarmolenko,23000000,23
Andros Townsend,15000000,15
Andy Carroll,10000000,10
Andy King,3000000,3
Angelo Ogbonna,9000000,9
Angus Gunn,10000000,10
Anthony C?ceres,500000,0.5
Anthony Knockaert,8000000,8
Anthony Martial,65000000,65
Antonio R?diger,40000000,40
Antonio Valencia,8000000,8
Arthur Masuaku,7000000,7
Artur Boruc,1000000,1
Ashley Williams,5000000,5
Ashley Young,7000000,7
Asmir Begovic,8000000,8
Aymeric Laporte,50000000,50
Ayoze P?rez,10000000,10
Bakary Sako,5000000,5
Bartosz Kapustka,3000000,3
Ben Chilwell,8000000,8
Ben Davies,25000000,25
Ben Hamer,500000,0.5
Ben Woodburn,5000000,5
Beni Baningime,3000000,3
Benjamin Mendy,40000000,40
Beram Kayal,1500000,1.5
Bernardo,6000000,6
Bernardo Silva,50000000,50
Bernd Leno,20000000,20
Brad Smith,1500000,1.5
Bruno Saltor,750000,0.75
C?sar Azpilicueta,40000000,40
Caglar S?y?nc?,18000000,18
Callum Wilson,10000000,10
Calum Chambers,14000000,14
Cameron Borthwick-Jackson,3000000,3
Carlos S?nchez,2000000,2
Cenk Tosun,23000000,23
Charlie Austin,10000000,10
Charlie Daniels,3500000,3.5
Cheikhou Kouyat?,12000000,12
Chicharito,15000000,15
Chris L?we,1500000,1.5
Chris Smalling,18000000,18
Christian Atsu,6000000,6
Christian Benteke,22000000,22
Christian Eriksen,80000000,80
Christian Fuchs,5000000,5
Christian Pulisic,45000000,45
Christopher Schindler,6000000,6
Ciaran Clark,6000000,6
Claudio Bravo,3500000,3.5
Collin Quaner,1500000,1.5
Connor Wickham,5000000,5
Dale Stephens,6000000,6
Dan Gosling,3500000,3.5
Daniel Amartey,5000000,5
Daniel Sturridge,15000000,15
Danilo,20000000,20
Danilo Pantic,2000000,2
Danny Drinkwater,20000000,20
Danny Ings,8000000,8
Danny Rose,30000000,30
Danny Simpson,5000000,5
Danny Ward,2500000,2.5
Danny Welbeck,15000000,15
Danny Williams,2000000,2
David Brooks,9000000,9
David de Gea,70000000,70
David Luiz,25000000,25
David Silva,30000000,30
Davide Zappacosta,20000000,20
Davinson S?nchez,40000000,40
Davy Pr?pper,15000000,15
DeAndre Yedlin,8000000,8
Declan Rice,10000000,10
Dejan Lovren,20000000,20
Dele Alli,100000000,100
Demarai Gray,20000000,20
Diego Rico,2500000,2.5
Diogo Dalot,15000000,15
Divock Origi,10000000,10
Dominic Calvert-Lewin,15000000,15
