Patrick van Aanholt,1603,364,46,5,7,42,316,2,0,1,1,1564,4,33
Sergio Ag?ero,740,52,1,6,1,13,8,1,0,0,0,661,4,27
Nathan Ak?,1646,85,56,1,6,6,29,0,0,0,0,1491,2,14
Marc Albrighton,732,33,5,9,9,125,19,8,3,3,1,448,11,54
Toby Alderweireld,2289,83,75,6,32,6,8,0,0,0,0,2097,10,10
Trent Alexander-Arnold,1774,449,51,3,40,201,324,74,28,31,3,1644,13,51
Alisson,984,304,88,0,3,0,0,0,0,0,0,1075,2,2
Dele Alli,1005,43,13,18,4,10,10,3,0,0,0,836,8,33
Miguel Almir?n,261,2,0,1,2,21,1,1,0,1,0,188,0,12
Marcos Alonso,1950,302,30,2,17,98,272,0,0,0,0,1862,3,52
Daniel Amartey,370,64,4,0,2,3,60,0,0,0,0,357,1,6
Luke Amos,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Felipe Anderson,1681,133,57,22,32,122,26,49,17,25,0,1325,10,72
Florin Andone,164,6,0,0,0,5,0,0,0,0,0,113,0,8
Michail Antonio,713,58,2,5,7,50,53,0,0,0,0,496,2,37
Stuart Armstrong,607,37,4,0,6,25,6,13,4,3,4,492,4,29
Marko Arnautovi?,617,48,1,6,1,18,7,0,0,0,0,490,2,21
Kepa Arrizabalaga,863,296,40,0,2,0,0,0,0,0,0,1011,2,1
Harry Arter,612,65,11,3,7,17,2,0,0,0,0,539,3,12
Christian Atsu,423,8,0,3,1,42,5,3,1,1,0,328,4,17
Pierre-Emerick Aubameyang,701,37,0,3,1,43,3,0,0,0,0,524,6,28
Serge Aurier,289,59,4,0,1,24,55,0,0,0,0,253,0,13
Charlie Austin,191,7,1,0,0,0,0,0,0,0,0,116,2,5
Jordan Ayew,263,18,0,2,1,15,1,0,0,0,0,207,2,13
Floyd Ayit?,195,5,1,0,1,6,2,2,1,1,0,156,0,7
C?sar Azpilicueta,2563,381,38,2,4,118,343,0,0,0,0,2494,6,74
Ryan Babel,483,28,5,3,1,38,4,15,7,4,0,403,2,17
Juninho Bacuna,699,69,28,6,13,34,19,16,8,6,1,565,2,19
Leandro Bacuna,145,16,6,1,3,7,9,1,0,1,0,105,2,4
Eric Bailly,295,9,7,0,3,0,2,0,0,0,0,264,1,1
Leighton Baines,188,74,13,0,2,18,53,8,4,3,0,208,0,6
Fabi?n Balbuena,806,28,27,1,5,1,1,0,0,0,0,662,2,8
Leon Balogun,212,8,4,0,0,0,4,0,0,0,0,168,2,4
Sol Bamba,541,15,10,1,1,1,5,0,0,0,0,385,3,10
Phil Bardsley,583,195,9,0,3,37,186,0,0,0,0,526,5,19
Ross Barkley,941,27,4,4,7,7,7,0,0,0,0,877,3,14
Ashley Barnes,513,12,1,5,1,6,1,1,1,0,0,308,9,18
Harvey Barnes,334,1,0,2,0,23,1,0,0,0,0,244,1,15
Antonio Barreca,3,0,0,0,0,1,0,0,0,0,0,1,0,1
Michy Batshuayi,156,8,0,1,2,1,0,0,0,0,0,106,1,9
Jan Bednarek,801,84,21,3,5,1,63,0,0,0,0,607,3,6
Asmir Begovi?,396,262,70,0,0,0,0,0,0,0,0,450,1,0
H?ctor Beller?n,815,141,9,6,0,39,132,0,0,0,0,794,2,26
Joe Bennett,699,229,37,2,5,43,191,1,1,0,0,639,3,31
Ryan Bennett,1330,69,17,1,19,1,52,0,0,0,0,1090,6,8
Christian Benteke,226,14,1,0,4,1,0,0,0,0,0,136,1,4
J?hann Berg Gu?mundsson,534,81,30,1,7,119,5,46,32,9,1,397,5,21
Bernard,851,10,2,7,3,51,4,4,1,2,0,625,3,24
Bernardo,803,223,13,0,2,31,210,0,0,0,0,729,3,33
Ryan Bertrand,814,267,23,2,4,93,214,30,13,16,1,786,6,36
Marcus Bettinelli,158,85,18,0,1,0,0,0,0,0,0,160,3,0
Philip Billing,1111,148,17,0,28,56,129,2,1,0,0,909,2,23
Yves Bissouma,694,30,2,3,5,8,1,3,0,3,0,588,6,12
Willy Boly,1686,32,29,2,12,0,3,0,0,0,0,1392,7,23
L?o Bonatini,60,1,0,0,1,4,0,0,0,0,0,45,0,5
Ga?tan Bong,646,240,13,0,2,57,227,0,0,0,0,603,2,26
Artur Boruc,190,158,46,0,0,0,0,0,0,0,0,225,2,0
Robbie Brady,240,43,16,1,3,53,7,20,4,12,3,157,5,7
Miguel Britos,59,1,1,0,1,1,0,0,0,0,0,47,0,0
David Brooks,833,62,13,16,3,33,7,19,13,0,0,640,4,42
Bruno,520,124,6,0,1,17,117,1,0,0,0,507,1,7
Joe Bryan,1024,264,27,1,3,115,222,15,5,8,1,915,5,35
David Button,63,45,11,0,0,0,0,0,0,0,0,46,0,0
Willy Caballero,41,22,6,0,0,0,0,0,0,0,0,51,0,0
Gary Cahill,18,0,0,0,0,0,0,0,0,0,0,16,0,0
Tom Cairney,1371,29,16,7,11,27,0,5,4,1,0,1244,8,9
Dominic Calvert-Lewin,431,6,0,3,0,8,1,0,0,0,0,266,2,14
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0
