FName,LName,TMID
George,Hirst,420808
Folarin,Balogun,503770
Tyreece,John-Jules,503768
Austin,Samuels,392762
D'Mani,Mellor,531678
Troy,Parrott,552655
Harry,Kane,132098
Erik,Lamela,111630
,Lucas Moura,77100
Steven,Bergwijn,284165
Heung-min,Son,91845
Ryan,Sessegnon,392775
Giovani,Lo Celso,348795
Tanguy,Ndomb?l?,450936
Harvey,White,581598
Victor,Wanyama,77760
Harry,Winks,249126
John-Kymani,Gordon,659331
Juan,Foyth,480763
Gedson,Fernandes,337800
Dele,Alli,207929
Serge,Aurier,127032
Dominic,Solanke,258889
Joshua,King,91059
Moussa,Sissoko,46001
Jordon,Ibe,195652
Harry,Wilson,279455
Callum,Wilson,123682
Sam,Surridge,398402
Ellis,Simms,511550
Oliver,Skipp,406638
Dominic,Calvert-Lewin,306024
David,Brooks,277033
Alexandru,Dobre,365770
Theo,Walcott,33713
Anthony,Gordon,503733
Yannick,Bolasie,75471
,Bernard,175169
Oumar,Niasse,209781
Alex,Iwobi,242631
Dennis,Adeniran,353147
Beni,Baningime,399369
Andr?,Gomes,221025
Kyle,Walker-Peters,341051
Gylfi,Sigurdsson,90466
Morgan,Schneiderlin,56818
Seamus,Coleman,68390
Djibril,Sidib?,161869
Luke,Garbutt,110860
Leighton,Baines,13507
Lucas,Digne,126664
Tom,Davies,314210
Jarrad,Branthwaite,661053
Sergio,Ag?ero,26399
Ian,Poveda,392763
Riyad,Mahrez,171424
Leroy,San?,192565
Phil,Foden,406635
Raheem,Sterling,134425
Cole,Palmer,568177
David,Silva,35518
Bernardo,Silva,241641
Tommy,Doyle,433183
Adri?n,Bernab?,466802
Jean-Philippe,Gbamin,182894
Ilkay,G?ndogan,53622
,Gabriel Jesus,363205
Jo?o,Cancelo,182712
,Fernandinho,26267
Kyle,Walker,95424
,Angeli?o,277179
Benjamin,Mendy,157495
Fabian,Delph,50362
Oleksandr,Zinchenko,203853
Taylor,Harwood-Bellis,503977
Alpha,Diounkou,554175
Nicol?s,Otamendi,54781
John,Stones,186590
Aymeric,Laporte,176553
Scott,Carson,14555
Christian,Saydee,655835
Claudio,Bravo,40423
Kevin,De Bruyne,88755
,Ederson,238223
Arijanet,Muric,371021
,Richarlison,378710
Mason,Holgate,348623
Cuco,Martina,91251
Michael,Keane,118534
Jo?o,Virg?nia,329813
Maarten,Stekelenburg,4311
Jonas,L?ssl,48870
Junior,Stanislas,87672
Arnaut,Danjuma,355861
Ryan,Fraser,146795
Kyle,Taylor,562254
Gavin,Kilkenny,469064
Tosin,Adarabioyo,258878
Nnamdi,Ofoborh,611906
Andrew,Surman,29975
Philip,Billing,320411
Lewis,Cook,249089
,Rodri,357565
Jefferson,Lerma,262980
Brooklyn,Genesini,655173
Yerry,Mina,289446
Brennan,Camp,648699
Jack,Stacey,249356
Adam,Smith,61841
Charlie,Daniels,61819
Jordan,Pickford,130164
Corey,Jordan,435765
Jack,Simpson,419930
Lloyd,Kelly,480116
Diego,Rico,249513
Steve,Cook,90836
Nathan,Ak?,177476
Lewis,Gibson,419325
Mark,Travers,357658
Artur,Boruc,15220
Aaron,Ramsdale,427568
Chris,Mepham,480987
Danny,Rose,50174
Dennis,Cirkin,568006
Moise,Kean,364135
Cameron,Carter-Vickers,341049
Will,Dennis,582078
Jan,Vertonghen,43250
Eric,Dier,175722
Toby,Alderweireld,42710
Davinson,S?nchez,341429
Alfie,Whiteman,282823
Brandon,Austin,428016
Michel,Vorm,26276
Paulo,Gazzaniga,195488
Hugo,Lloris,17965
Odion,Ighalo,62121
Anthony,Martial,182877
Tahith,Chong,344830
Eric,Garc?a,466794
Largie,Ramazani,518644
Simon,Francis,13573
Marcus,Rashford,258923
Malachi,Fagan-Walcott,554173
Juan,Mata,44068
Mason,Greenwood,532826
Jesse,Lingard,141660
Bruno,Fernandes,240306
Dylan,Levitt,496652
Arnau,Puigmal,536030
Andreas,Pereira,203394
,Fred,191614
Paul,Pogba,122153
Angel,Gomes,392770
Nemanja,Matic,74683
Scott,McTominay,315969
Ethan,Laird,531679
James,Garner,505219
Daniel,James,319301
Ben,Davies,192765
Japhet,Tanganga,346478
Brandon,Williams,507700
Luke,Shaw,183288
Aaron,Wan-Bissaka,477758
Teden,Mengi,548470
Dan,Gosling,44983
Phil,Jones,117996
Marcos,Rojo,93176
Axel,Tuanzebe,342046
Eric,Bailly,286384
Timothy,Fosu-Mensah,315131
Harry,Maguire,177907
Matej,Kovar,550829
Di'Shon,Bernard,531677
Cameron,Borthwick-Jackson,258879
David,de Gea,59377
Benny,Ashley-Seal,322089
Diogo,Dalot,357147
Leonardo,Campana,606872
Jordan,Graham,183283
Ra?l,Jim?nez,206040
Victor,Lindel?f,184573
Pedro,Neto,487465
Chem,Campbell,614603
Meritan,Shabani,379980
Max,Taylor,460683
Luke,Cundle,532541
Taylor,Perry,502073
Connor,Ronan,337787
Lee,Grant,13460
Adama,Traor?,204103
Ethan,Galbraith,433991
Jo?o,Moutinho,29364
Terry,Taylor,463758
Ming-Yang,Yang,184382
Leander,Dendoncker,168157
R?ben,Neves,225161
Oskar,Buur,293283
Fl?vio,Crist?v?o,544789
Matt,Doherty,171679
Ryan,Giles,504581
R?ben,Vinagre,357158
Jonny,Otto,175446
Christian,Marques,539807
,Diogo Jota,340950
Bruno,Jord?o,415646
Dion,Sanderson,495993
Max,Kilman,525247
Romain,Sa?ss,204198
Jes?s,Vallejo,251896
Conor,Coady,128901
Willy,Boly,142310
Will,Norris,285033
John,Ruddy,29712
Rui,Patr?cio,45026
Eddie,Nketiah,340324
Alexandre,Lacazette,93720
Pierre-Emerick,Aubameyang,58864
Reiss,Nelson,340325
Morgan,Gibbs-White,429014
Luke,Matheson,614084
Owen,Otasowie,511815
Emile,Smith Rowe,392765
Gabriel,Martinelli,655488
Andreas,S?ndergaard,462820
Matt,Smith,528894
James,Olayinka,506965
Robbie,Burton,404386
Nicolas,P?p?,343052
Granit,Xhaka,111455
Dani,Ceballos,319745
Matt?o,Guendouzi,465830
Lucas,Torreira,318077
C?dric,Soares,112988
H?ctor,Beller?n,191217
Tolaji,Bola,340307
Nacho,Monreal,43003
Sead,Kolasinac,94005
Kieran,Tierney,300716
Zechariah,Medley,392761
Bukayo,Saka,433177
Konstantinos,Mavropanos,415912
Pablo,Mar?,210178
Rob,Holding,253341
,David Luiz,46741
Phil,Ofosu-Ayeh,133858
Shkodran,Mustafi,88590
Ainsley,Maitland-Niles,285845
Matt,Macey,220491
Sergio,Romero,30690
Kelechi,Iheanacho,295330
Jamie,Vardy,197838
Emiliano,Mart?nez,111873
Ayoze,P?rez,246968
Demarai,Gray,292417
Harvey,Barnes,398065
George,Thomas,298240
James,Maddison,294057
Kiernan,Dewsbury-Hall,475188
Matty,James,73522
Dennis,Praet,129588
Marc,Albrighton,61560
Bernd,Leno,72476
Bartosz,Kapustka,246579
Nampalys,Mendy,111051
Lewis,Richards,571827
Wilfred,Ndidi,274839
James,Justin,413220
Ricardo,Pereira,215876
Joe,Willock,340329
Hamza,Choudhury,341501
Darnell,Johnson,314372
Wes,Morgan,10003
Ryan,Bennett,67252
Daniel,Amartey,214056
Youri,Tielemans,249565
Luke,Thomas,505194
Jonny,Evans,42412
Caglar,S?y?nc?,320141
Ben,Chilwell,316125
Danny,Ward,203026
Christian,Fuchs,6636
Eldin,Jakupovic,2857
Kasper,Schmeichel,16911
Calum,Chambers,215118
Sokratis,Papastathopoulos,34322
Filip,Benkovic,293168
Mesut,?zil,35664
Connor,Wickham,95435
Christian,Benteke,50201
Cenk,Tosun,45671
Andros,Townsend,61842
Wilfried,Zaha,145988
James,Daly,577779
Max,Meyer,146164
Jeffrey,Schlupp,157506
Giovanni,McGregor,611651
James,McCarthy,45333
V?ctor,Camarasa,263856
James,McArthur,41416
Jairo,Riedewald,241481
Jordan,Ayew,108354
Luka,Milivojevic,74300
Martin,Kelly,78959
Joel,Ward,92572
Tyrick,Mitchell,730893
Patrick,van Aanholt,52119
Nikola,Tavares,487428
Ryan,Inniss,183284
Scott,Dann,62688
James,Tomkins,61592
Mamadou,Sakho,47713
Wayne,Hennessey,45494
Vicente,Guaita,64399
Cheikhou,Kouyat?,66934
Nya,Kirby,406633
Bojan,Radulovic,516407
Elias,S?rensen,422930
Gary,Cahill,27511
,Chicharito,50935
Layton,Stewart,580801
Joe,Hardy,382555
Divock,Origi,148368
Rhian,Brewster,406560
,Roberto Firmino,131789
Jack,Bearne,565419
Stephen,Henderson,52191
Dan,Nlundulu,346482
Shane,Long,37304
Michael,Obafemi,444208
Danny,Ings,134294
Nathan,Tella,340322
Nathan,Redmond,129078
Sofiane,Boufal,232271
Moussa,Djenepo,485424
Will,Smallbone,444211
Callum,Slattery,332342
Stuart,Armstrong,130765
Pierre-Emile,H?jbjerg,167799
James,Ward-Prowse,181579
Jacob,Maddox,314268
Oriol,Romeu,66100
Jake,Vokins,421424
Will,Ferry,504856
Ch?,Adams,346779
Brandon,Pierrick,703470
Yan,Valery,406008
Alexandre,Jankewitz,507472
Sam,McQueen,226968
Jack,Stephens,163744
Kevin,Danso,263236
Jan,Bednarek,243028
Jannik,Vestergaard,99331
Harry,Lewis,341043
Alex,McCarthy,95976
Angus,Gunn,201574
Jack,Rose,186923
Jake,Hesketh,315185
Luis,Longstaff,433182
Ryan,Bertrand,40611
Takumi,Minamino,165793
Sadio,Man?,200512
Isaac,Christie-Davies,264660
Harvey,Elliott,565822
Ben,Woodburn,344015
Adam,Lallana,43530
Xherdan,Shaqiri,86792
,Mohamed Salah,148455
Herbie,Kane,314253
Curtis,Jones,433188
Alex,Oxlade-Chamberlain,143424
Jordan,Henderson,61651
Naby,Ke?ta,302215
Leighton,Clarkson,470606
Pedro,Chirivella,242273
,Fabinho,225693
Ki-Jana,Hoever,485583
Nathaniel,Clyne,85177
Trent,Alexander-Arnold,314353
James,Norris,618495
Georginio,Wijnaldum,49499
James,Milner,3333
Yasser,Larouci,554251
Andrew,Robertson,234803
Billy,Koumetio,696324
Tom,Hill,655990
Tom,Clayton,546194
Nathaniel,Phillips,371814
Sepp,van den Berg,541231
Morgan,Boyes,554250
Joe,Gomez,256178
Virgil,van Dijk,139208
Adam,Lewis,347481
Ben,Winterbottom,505046
Vitezslav,Jaros,486604
Dejan,Lovren,37838
Caoimh?n,Kelleher,340918
Jake,Cain,565420
Simon,Mignolet,50219
,Adri?n,71271
,Alisson,105470
Elijah,Dixon-Bonner,433180
Andy,Lonergan,14044
Neco,Williams,503680
Dan,Kemp,396857
Xande,Silva,258011
Robert,Snodgrass,22614
Andriy,Yarmolenko,69015
Jarrod,Bowen,314875
Tony,Gallacher,344579
Nathan,Holland,337321
,Felipe Anderson,159372
Pablo,Fornals,357885
Manuel,Lanzini,135853
Alfie,Lewis,423571
Bernardo,Rosa,476367
Jack,Wilshere,74223
Mark,Noble,31835
Conor,Coventry,419025
Carlos,S?nchez,51226
Tomas,Soucek,283628
Declan,Rice,357662
Ben,Johnson,468002
Joel,Matip,82105
Pablo,Zabaleta,20007
Ryan,Fredericks,140191
Michail,Antonio,104124
S?bastien,Haller,181375
Winston,Reid,37526
Angelo,Ogbonna,48002
Fabi?n,Balbuena,285548
Jeremy,Ngakia,503795
Grady,Diangana,342048
Joseph,Anang,576099
Darren,Randolph,51321
Lukasz,Fabianski,29692
Gon?alo,Cardoso,587106
Issa,Diop,272622
Arthur,Masuaku,181380
Aaron,Cresswell,92571
,Roberto,37403
David,Martin,15930
Andy,Carroll,48066
Yoshinori,Muto,230541
Dwight,Gayle,196522
Tom,Allan,484390
Jacob,Murphy,199527
Christian,Atsu,186997
Allan,Saint-Maximin,272642
Henri,Saivet,51540
,Joelinton,333241
Matt,Ritchie,92469
Dan,Barlaser,256773
Matty,Longstaff,484387
Nabil,Bentaleb,245537
Jonjo,Shelvey,71292
Sean,Longstaff,346707
Jack,Colback,61644
Sung-yueng,Ki,81796
Jamie,Sterry,250431
Javier,Manquillo,162029
Emil,Krafth,184528
Isaac,Hayden,206225
Liam,Gibson,312553
DeAndre,Yedlin,255916
Paul,Dummett,170321
Lewis,Cass,474382
Florian,Lejeune,127108
Jetro,Willems,146258
Ciaran,Clark,98240
Fabian,Sch?r,135343
Jack,Young,507235
Jamaal,Lascelles,183318
Rob,Elliot,39037
Karl,Darlow,99397
Glenn,Murray,45693
Aaron,Connolly,434207
J?rgen,Locadia,166240
Ryan,Longman,512175
Solly,March,209212
Alireza,Jahanbakhsh,213268
Peter,Gwargis,430824
Jos?,Izquierdo,147094
Leandro,Trossard,144028
Neal,Maupay,217115
Jack,Spong,530916
Jordan,Davies,427927
Taylor,Richards,484551
Max,Sanders,411495
Beram,Kayal,44741
Steven,Alzate,476237
Dale,Stephens,49755
Aaron,Mooy,123951
Kell,Watts,484389
Yves,Bissouma,410425
Alexis,Mac Allister,534033
Davy,Pr?pper,79027
Tudor,Baluta,433976
Federico,Fern?ndez,85475
Martin,D?bravka,74960
Romaric,Yapi,536521
Ezequiel,Schelotto,119164
Mart?n,Montoya,68645
Alex,Cochrane,392773
Ga?tan,Bong,36291
Warren,O'Hora,449020
Archie,Davies,386201
Haydon,Roberts,533523
Dan,Burn,134270
,Bernardo,364258
Adam,Webster,212847
Leon,Balogun,56100
Jason,Steele,73564
David,Button,61814
Pascal,Gro?,82873
Tariq,Lamptey,504148
Soufyan,Ahannach,262895
Lewis,Dunk,148153
Mathew,Ryan,128969
Teddy,Jenks,530915
Armando,Broja,571743
Miguel,Almir?n,272999
Michy,Batshuayi,179184
Tammy,Abraham,331726
,Pedro,65278
Christian,Pulisic,315779
,Kenedy,281404
Olivier,Giroud,82442
Callum,Hudson-Odoi,392768
Lewis,Bate,587003
Marco,van Ginkel,147034
Mason,Mount,346483
,Willian,52769
Ruben,Loftus-Cheek,202886
Tino,Anjorin,433181
Mateo,Kovacic,51471
,Jorginho,102017
Henry,Lawrence,580765
Reece,James,472423
Ross,Barkley,131978
Ian,Maatsen,485585
Marcos,Alonso,112515
Dynel,Simeu,503976
C?sar,Azpilicueta,57500
Fikayo,Tomori,303254
Marc,Gu?hi,392757
Andreas,Christensen,196948
Kurt,Zouma,157509
Antonio,R?diger,86202
Billy,Gilmour,423744
Kepa,Arrizabalaga,192279
N'Golo,Kant?,225083
Jamie,Cumming,396859
Willy,Caballero,19948
,Emerson,181778
