link,Player_id,Name,nationality,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,average_shot_distance,xg_net,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocked_shots,blocked_passes,interceptions,clearances,errors,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus_wowy,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,gk_goals_against,gk_shots_on_target_against,gk_saves,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_passes_completed_launched,gk_passes_launched,gk_passes,gk_passes_throws,gk_passes_length_avg,gk_goal_kicks,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,120200001,Patrick van Aanholt,NED,DF,Crystal Palace,28,29,29,2507,27.9,3,2,1,1,0,0,2.1,1.3,3.7,60,143,89,26,5,21.7,0.9,64,34,23,4,2,1,0,5,3,1,1,0,0,0,1241,1595,19052,8208,668,758,470,590,73,163,3.2,32,89,23,3,1202,386,61,2,4,92,280,45,30,7,4,1241,7,20,89,529,848,515,41,1869,38,16,22,830,4462,2433,41,10,31,15,994,43,23,31,10,2,23,50,27,9,22,45,52,1,25,0,0,1.24,21,38,-0.41,28.3,42.3,0,9,8,2,0,0,1,176,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/774cf58b/Max-Aarons,120200002,Max Aarons,ENG,DF,Norwich City,19,36,36,3240,36.0,0,1,0,0,7,0,0.6,0.6,3.9,92,78,151,14,4,17.2,-0.6,64,47,2,6,3,4,2,3,2,0,0,0,1,0,1332,1711,17879,5691,880,982,351,469,49,121,2.8,23,55,28,12,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65,159,763,868,536,43,2144,99,48,51,1259,7858,4066,61,21,54,31,1253,48,30,33,9,6,18,36,18,29,17,37,97,1,36,0,0,0.5,23,71,-0.83,34.6,62.1,0,29,49,3,1,0,0,178,22,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/f586779e/Tammy-Abraham,120200003,Tammy Abraham,ENG,FW,Chelsea,21,34,25,2215,24.6,15,3,0,0,2,0,16.4,16.4,2.7,31,34,134,88,35,11.6,-1.4,57,37,0,5,10,2,3,9,4,0,2,2,1,0,275,418,3513,697,161,221,63,86,13,21,1.9,21,17,7,1,367,51,0,2,1,11,0,0,0,0,0,275,0,24,30,60,337,334,146,722,35,16,19,333,1698,749,17,10,74,42,479,8,4,2,5,1,3,14,11,2,18,6,27,0,9,9,0,1.82,45,34,0.15,46.3,27.5,0,17,24,23,1,0,1,49,89,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/f2bf1b0f/Che-Adams,120200004,Che Adams,SCO,FW,Southampton,23,30,12,1111,12.3,4,2,0,0,0,0,5.3,5.3,1.7,20,16,87,36,9,15.2,-1.3,29,18,0,4,3,3,1,6,3,0,1,0,2,0,162,263,2292,522,97,124,44,73,9,19,0.6,13,9,3,0,261,0,0,4,4,13,0,0,0,0,0,162,2,10,11,29,181,214,60,418,25,18,7,232,1282,464,16,10,40,21,298,6,4,1,5,0,1,4,3,1,8,2,10,0,0,18,6,1.47,17,17,0.35,20.0,17.7,0,17,16,10,1,0,0,51,41,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/f76e6b4e/Adrian,120200005,Adri?n,ESP,GK,Liverpool,32,11,9,875,9.7,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,238,311,6251,4149,48,48,112,113,78,148,0.0,0,3,0,0,217,94,24,0,1,0,0,0,0,0,0,238,0,1,298,331,0,0,0,331,0,0,0,193,925,528,1,1,0,0,152,1,1,1,0,0,1,1,0,0,0,0,8,3,9,2,27,3.0,24,10,0.1,18.9,10.5,0,0,1,0,0,0,0,5,4,0,10.0,27.0,17.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5,0.28,-2.5,36.0,99.0,241.0,51.0,33.0,70.0,29.2,127.0,7.0,14.0,15.3
https://fbref.com/en/players/4d034881/Sergio-Aguero,120200006,Sergio Ag?ero,ARG,FW,Manchester City,31,24,18,1452,16.1,16,3,2,3,1,0,14.5,12.1,2.3,35,34,105,73,24,13.7,1.5,57,31,0,9,12,5,0,7,3,0,1,2,1,0,286,365,3050,674,186,218,60,76,2,5,2.5,18,15,19,0,347,17,1,1,0,9,1,0,0,0,0,286,1,7,4,17,178,356,131,541,40,24,16,405,2057,816,26,23,34,30,436,7,4,0,4,3,1,8,7,1,8,3,2,0,8,6,2,2.08,44,18,-0.26,39.5,16.2,0,9,9,6,2,0,0,37,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/2b1c4abd/Albian-Ajeti,120200007,Albian Ajeti,SUI,FW,West Ham,22,9,0,139,1.5,0,0,0,0,0,0,0.2,0.2,0.1,0,0,10,3,0,15.7,-0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,15,117,6,9,12,1,1,0,0,0.0,2,1,0,0,13,2,0,0,0,0,0,0,0,0,0,12,0,0,0,1,8,19,7,28,2,0,2,17,61,8,0,1,4,2,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,19,0.22,2,3,-0.32,2.7,1.4,0,6,0,2,0,0,0,2,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/eaeca114/Nathan-Ake,120200008,Nathan Ak?,NED,DF,Bournemouth,24,29,29,2503,27.8,2,2,0,0,2,0,3.0,3.0,2.2,12,81,7,25,7,10.3,-1.0,14,8,0,1,4,1,0,1,0,0,0,1,0,0,1079,1238,19315,6988,435,472,554,608,82,132,0.3,7,58,7,0,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8,238,888,604,77,36,1557,3,3,0,958,4935,3112,5,0,9,5,922,31,21,23,8,0,14,23,9,29,11,36,152,0,27,0,1,0.93,30,46,0.31,32.7,44.9,0,9,13,3,0,0,0,140,60,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/b827d5b3/Marc-Albrighton,120200009,Marc Albrighton,ENG,MF,Leicester City,29,20,9,867,9.6,0,3,0,0,2,0,0.4,0.4,2.2,20,45,94,10,2,20.7,-0.4,27,23,2,1,1,0,0,5,5,0,0,0,0,0,339,499,5532,2035,179,216,110,145,36,97,1.6,19,39,21,8,464,35,2,3,5,69,23,10,1,6,1,339,0,14,12,102,245,284,20,618,33,14,19,393,1968,822,19,4,12,9,423,24,17,10,13,1,9,30,21,2,17,10,8,0,2,11,16,1.45,16,11,-0.22,15.3,12.0,0,7,11,1,0,1,0,67,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/f7d50789/Toby-Alderweireld,120200010,Toby Alderweireld,BEL,DF,Tottenham,30,33,33,2957,32.9,2,2,0,0,7,0,0.7,0.7,1.3,11,96,10,16,4,12.6,1.3,27,25,0,0,1,0,1,4,4,0,0,0,0,0,1630,2009,33738,10390,480,531,924,1021,216,414,1.4,11,110,13,2,1915,82,72,12,20,9,10,0,0,0,0,1630,12,10,344,1183,1068,101,22,2349,1,0,1,1460,5973,2949,18,1,9,5,1566,40,29,24,13,3,11,24,13,32,16,31,172,2,32,0,5,1.64,53,39,0.43,40.7,45.3,0,18,4,1,0,0,1,154,73,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
