Adri?n,1,1,7.5,0.28,-2.5,36,99,241,51,33.0,70,29.2,127,7,14,15.3
Alisson,0,1,19.7,0.24,-2.3,85,189,778,140,27.4,167,30.9,299,10,63,19.2
Kepa Arrizabalaga,2,7,33.7,0.32,-11.3,83,250,892,151,28.3,198,32.7,343,20,35,16.0
Claudio Bravo,0,0,4.5,0.30,-2.5,18,44,108,17,28.0,28,39.7,63,1,1,11.0
Willy Caballero,0,2,3.8,0.23,-2.2,19,52,136,17,31.4,28,32.9,46,1,3,16.0
Martin D?bravka,3,8,63.0,0.32,+7.0,288,750,749,119,42.0,340,58.3,686,21,26,11.6
Ederson,1,4,29.6,0.29,+2.6,74,183,939,178,26.0,139,30.0,260,14,63,19.3
?ukasz Fabia?ski,1,2,32.1,0.27,+0.1,189,455,480,100,43.5,192,58.6,382,11,8,10.3
Ralf F?hrmann,0,0,1.2,0.08,0,0,2,7,2,22.7,3,15.7,5,1,0,11.3
Ben Foster,3,7,62.6,0.31,+1.6,302,923,912,118,46.9,295,62.2,581,30,55,15.9
Paulo Gazzaniga,1,2,22.6,0.23,-2.4,62,232,377,63,33.3,142,48.5,262,7,16,17.6
David de Gea,1,8,34.7,0.25,-0.3,83,262,672,153,30.6,268,29.0,489,10,22,15.0
Vicente Guaita,0,3,47.4,0.33,+7.4,202,625,783,173,38.8,274,56.8,591,23,24,12.3
Angus Gunn,1,1,17.5,0.28,-7.5,38,178,181,27,42.3,77,55.5,139,4,12,17.0
Tom Heaton,1,7,28.4,0.26,-5.6,112,358,431,99,39.5,195,50.5,379,11,13,12.1
Dean Henderson,0,2,39.2,0.31,+6.2,260,833,779,106,51.9,261,69.1,552,20,23,12.5
Wayne Hennessey,1,2,8.3,0.36,+0.3,35,85,65,7,48.9,39,61.3,60,0,3,13.2
Tim Krul,1,11,60.5,0.29,-4.5,169,598,1248,198,34.6,332,39.0,653,29,23,12.7
Bernd Leno,0,6,40.0,0.22,+1.0,64,266,732,185,27.9,253,34.4,468,17,38,15.6
Hugo Lloris,0,2,30.4,0.28,+10.4,105,252,421,97,35.3,150,35.2,312,16,8,10.2
David Martin,0,1,6.0,0.31,0.0,39,101,79,12,46.9,44,60.8,83,1,1,12.4
Emiliano Mart?nez,0,3,11.8,0.26,+2.8,28,98,232,48,31.4,61,40.2,138,8,4,13.2
Alex McCarthy,0,4,37.2,0.32,+3.2,191,528,643,76,41.6,178,56.6,439,25,27,12.8
Michael McGovern,0,0,4.8,0.30,-1.2,4,22,37,11,34.4,14,33.2,24,0,3,14.5
Simon Moore,0,0,4.5,0.41,-1.5,10,39,37,4,51.2,11,69.5,20,0,0,7.0
?rjan Nyland,0,0,8.5,0.31,-3.5,33,104,128,29,40.0,53,57.1,80,4,1,9.9
Rui Patr?cio,1,6,35.5,0.26,-3.5,250,528,578,127,39.0,283,48.7,530,20,11,11.7
Jordan Pickford,3,5,50.2,0.32,-2.8,270,730,1115,195,40.1,264,48.5,510,24,25,13.4
Nick Pope,0,7,45.7,0.25,-3.3,263,870,883,180,47.1,304,63.7,623,52,48,14.9
Aaron Ramsdale,4,4,60.7,0.30,-1.3,183,607,843,185,39.2,288,53.5,591,20,25,11.6
Darren Randolph,0,1,4.5,0.32,-0.5,14,29,26,4,43.1,14,57.3,34,0,3,16.8
Pepe Reina,0,2,14.7,0.22,-5.3,95,202,302,51,37.2,94,42.6,168,8,14,16.1
Roberto,1,2,17.9,0.34,+1.9,46,158,188,26,44.6,41,58.8,101,0,10,15.0
Mathew Ryan,0,7,50.2,0.29,-1.8,207,412,1201,255,29.0,274,33.4,526,20,26,13.7
Kasper Schmeichel,0,5,44.3,0.26,+5.3,180,398,951,159,33.0,241,36.1,507,14,34,17.2
Jed Steer,0,0,0.0,0,0,0,1,1,0,26.0,1,65.0,1,0,0,0
Mark Travers,0,0,1.9,0.39,-1.1,2,9,23,5,29.2,7,43.4,12,0,1,13.3
