Ozan Kabak,29000000,,,
Jack Wilshere,4800000,,,
Winston Reid,2000000,,,
Cengiz ?nder,23000000,,,
Timothy Castagne,18000000,,,
Allan,28000000,,,
Jakub Moder,3000000,,,
Michal Karbownik,6000000,,,
R?ben Dias,35000000,,,
Alex Telles,40000000,,,
Yannick Bolasie,4000000,,,
F?bio Silva,12000000,,,
Vitinha,5000000,,,
Carlos Vin?cius,20000000,,,
Mario Lemina,10000000,,,
Florin Andone,2800000,,,
Konstantinos Tsimikas,9000000,,,
Mohamed Elneny,5000000,,,
Ibrahima Diallo,15000000,,,
Wesley Fofana,10000000,,,
Gabriel Magalh?es,20000000,,,
Rayan A?t-Nouri,20000000,,,
Andi Zeqiri,1500000,,,
Danny Ings,20000000,,,
Nathan Redmond,18000000,,,
James Ward-Prowse,18000000,,,
Jan Bednarek,15000000,,,
Angus Gunn,5000000,,,
Alex McCarthy,6500000,,,
Kelechi Iheanacho,15000000,,,
Callum Wilson,20000000,,,
Harvey Barnes,22000000,,,
James Maddison,55000000,,,
James Justin,6000000,,,
Daniel Amartey,3500000,,,
Caglar S?y?nc?,40000000,,,
Wilfred Ndidi,45000000,,,
Michy Batshuayi,14000000,,,
Andros Townsend,9500000,,,
James McCarthy,4000000,,,
Jordan Ayew,10000000,,,
Naby Ke?ta,40000000,,,
Curtis Jones,5000000,,,
Trent Alexander-Arnold,110000000,,,
Phil Foden,40000000,,,
Eric Garc?a,16000000,,,
John Stones,30000000,,,
Anthony Martial,58000000,,,
Mason Greenwood,45000000,,,
Marcus Rashford,80000000,,,
Bruno Fernandes,70000000,,,
Joe Gomez,40000000,,,
Daniel James,19000000,,,
Aaron Wan-Bissaka,40000000,,,
Luke Shaw,22000000,,,
Dean Henderson,20000000,,,
Eddie Nketiah,15000000,,,
Bukayo Saka,35000000,,,
Nicolas P?p?,45000000,,,
David Luiz,8000000,,,
Shkodran Mustafi,15000000,,,
Kieran Tierney,28000000,,,
Bernd Leno,32000000,,,
Anthony Gordon,5000000,,,
Emiliano Mart?nez,8000000,,,
Fabian Delph,10000000,,,
Gylfi Sigurdsson,18000000,,,
Mason Holgate,18000000,,,
Ben Godfrey,16000000,,,
David McGoldrick,2000000,,,
Oliver McBurnie,12000000,,,
George Baldock,6500000,,,
John Egan,13000000,,,
Tariq Lamptey,8000000,,,
Neal Maupay,20000000,,,
Lewis Dunk,20000000,,,
Allan Saint-Maximin,28000000,,,
Matty Longstaff,5000000,,,
Martin D?bravka,7500000,,,
Chris Basham,3000000,,,
Oliver Norwood,9000000,,,
John Fleck,8000000,,,
Lys Mousset,14000000,,,
Felipe Anderson,25000000,,,
Jarrod Bowen,25000000,,,
Tomas Soucek,18000000,,,
Christian Pulisic,60000000,,,
Marcos Alonso,18000000,,,
Mateo Kovacic,40000000,,,
Kepa Arrizabalaga,28000000,,,
Daniel Podence,17000000,,,
Adama Traor?,35000000,,,
R?ben Neves,50000000,,,
Romain Sa?ss,8000000,,,
Pedro Neto,15000000,,,
Conor Coady,18000000,,,
Leander Dendoncker,28000000,,,
Tanguy Ndomb?l?,45000000,,,
Pierre-Emile H?jbjerg,20000000,,,
Ryan Sessegnon,25000000,,,
Harry Winks,28000000,,,
Jack Grealish,40000000,,,
Douglas Luiz,22000000,,,
Ezri Konsa,9000000,,,
Mohammed Salisu,12000000,,,
N?lson Semedo,40000000,,,
Gareth Bale,28000000,,,
Sergio Reguil?n,25000000,,,
Vladimir Coufal,2000000,,,
Claudio Gomes,450000,,,
Viktor Gy?keres,1000000,,,
Nathaniel Phillips,800000,,,
Leo ?stigard,2500000,,,
Michael Obafemi,4500000,,,
Josh Sims,1600000,,,
Shane Long,2800000,,,
Theo Walcott,12000000,,,
Moussa Djenepo,11000000,,,
Oriol Romeu,8000000,,,
Sam McQueen,800000,,,
Yan Valery,6300000,,,
Kyle Walker-Peters,8000000,,,
Stuart Armstrong,6500000,,,
Ryan Bertrand,10500000,,,
Takumi Minamino,10000000,,,
Jack Stephens,5500000,,,
Jannik Vestergaard,12000000,,,
Fraser Forster,6500000,,,
Odion Ighalo,5200000,,,
Gabriel Jesus,56000000,,,
Dwight Gayle,9500000,,,
Islam Slimani,6500000,,,
Jamie Vardy,16000000,,,
Andy Carroll,3200000,,,
Demarai Gray,14500000,,,
Ayoze P?rez,24000000,,,
Connor Wickham,1200000,,,
Sergio Ag?ero,52000000,,,
Marc Albrighton,8000000,,,
Matty James,1200000,,,
Dennis Praet,19000000,,,
Youri Tielemans,44000000,,,
Nampalys Mendy,5500000,,,
Ricardo Pereira,32000000,,,
Christian Fuchs,1600000,,,
Hamza Choudhury,8000000,,,
Wes Morgan,1200000,,,
Eldin Jakupovic,600000,,,
Danny Ward,6500000,,,
Jonny Evans,12000000,,,
Christian Benteke,10500000,,,
Jean-Philippe Mateta,17500000,,,
Wilfried Zaha,44000000,,,
Max Meyer,8000000,,,
Kasper Schmeichel,9500000,,,
Eberechi Eze,9000000,,,
Jairo Riedewald,3200000,,,
Luka Milivojevic,20000000,,,
Martin Kelly,2800000,,,
Joel Ward,3200000,,,
Nathaniel Clyne,8000000,,,
James McArthur,4800000,,,
Gary Cahill,4000000,,,
Scott Dann,2800000,,,
Jaroslaw Jach,525000,,,
James Tomkins,4000000,,,
Patrick van Aanholt,9500000,,,
Jeffrey Schlupp,9500000,,,
Jack Butland,6500000,,,
Nathan Ferguson,4000000,,,
Roberto Firmino,72000000,,,
Harry Wilson,17500000,,,
Cheikhou Kouyat?,8000000,,,
Mohamed Salah,120000000,,,
Sadio Man?,120000000,,,
Ben Woodburn,4500000,,,
Mamadou Sakho,9500000,,,
Xherdan Shaqiri,16000000,,,
Harvey Elliott,3600000,,,
James Milner,6500000,,,
Alex Oxlade-Chamberlain,28000000,,,
Jordan Henderson,28000000,,,
Sheyi Ojo,1600000,,,
Thiago,48000000,,,
Georginio Wijnaldum,40000000,,,
Marko Gruji?,14500000,,,
Fabinho,56000000,,,
Diogo Jota,28000000,,,
Wayne Hennessey,2400000,,,
Sepp van den Berg,1800000,,,
Ben Davies,2400000,,,
Joel Matip,32000000,,,
Andrew Robertson,64000000,,,
Divock Origi,16000000,,,
Virgil van Dijk,80000000,,,
Adri?n,4000000,,,
Caoimh?n Kelleher,900000,,,
Alisson,72000000,,,
Patrick Roberts,2800000,,,
Ferran Torres,45000000,,,
Stephen Henderson,400000,,,
Riyad Mahrez,48000000,,,
Raheem Sterling,128000000,,,
Felix Nmecha,450000,,,
Bernardo Silva,80000000,,,
Kevin De Bruyne,120000000,,,
Adri?n Bernab?,2300000,,,
Ilkay G?ndogan,40000000,,,
Vicente Guaita,4000000,,,
Kyle Walker,40000000,,,
Rodri,64000000,,,
Benjamin Mendy,28000000,,,
Jo?o Cancelo,36000000,,,
Philippe Sandler,3500000,,,
Nicol?s Otamendi,14500000,,,
Taylor Harwood-Bellis,2300000,,,
Nathan Ak?,28000000,,,
Aymeric Laporte,60000000,,,
Oleksandr Zinchenko,24000000,,,
Ederson,56000000,,,
Edinson Cavani,20000000,,,
Zack Steffen,6000000,,,
Juan Mata,9500000,,,
Jesse Lingard,17500000,,,
Ethan Galbraith,900000,,,
Fred,17500000,,,
Scott Carson,800000,,,
Scott McTominay,22500000,,,
Timothy Fosu-Mensah,6300000,,,
Brandon Williams,11000000,,,
Nemanja Mati?,16000000,,,
Eric Bailly,17500000,,,
Victor Lindel?f,28000000,,,
Harry Maguire,56000000,,,
Lee Grant,600000,,,
Phil Jones,7000000,,,
Joel Pereira,475000,,,
Axel Tuanzebe,8000000,,,
David de Gea,40000000,,,
Pierre-Emerick Aubameyang,56000000,,,
Fernandinho,8000000,,,
Reiss Nelson,12500000,,,
Sergio Romero,2800000,,,
Donny van de Beek,44000000,,,
Willian,22500000,,,
Gabriel Martinelli,25000000,,,
Emile Smith Rowe,2700000,,,
Granit Xhaka,24000000,,,
Paul Pogba,80000000,,,
Dani Ceballos,32000000,,,
H?ctor Beller?n,32000000,,,
Sead Kolasinac,16000000,,,
Pablo Mar?,4800000,,,
Rob Holding,9500000,,,
William Saliba,22500000,,,
Karl Hein,450000,,,
R?nar Alex R?narsson,1200000,,,
Joshua King,16000000,,,
C?dric Soares,8000000,,,
Moise Kean,25000000,,,
Richarlison,52000000,,,
Alexandre Lacazette,48000000,,,
Alex Iwobi,25500000,,,
Calum Chambers,14500000,,,
Beni Baningime,1300000,,,
Abdoulaye Doucour?,20000000,,,
Tom Davies,16000000,,,
Jean-Philippe Gbamin,22500000,,,
Seamus Coleman,9500000,,,
Lucas Digne,28000000,,,
Muhamed Besic,2400000,,,
James Rodr?guez,32000000,,,
Yerry Mina,20000000,,,
Andr? Gomes,22500000,,,
Bernard,16000000,,,
Jordan Pickford,28000000,,,
Matthew Pennington,800000,,,
Oliver Burke,4800000,,,
Michael Keane,20000000,,,
Ben Osborn,2000000,,,
Sander Berge,20000000,,,
Jack Rodwell,1200000,,,
Jayden Bogle,6300000,,,
Jack Robinson,2000000,,,
Max Lowe,1600000,,,
Enda Stevens,5500000,,,
Phil Jagielka,800000,,,
Jack O'Connell,9500000,,,
Ethan Ampadu,9000000,,,
Simon Moore,400000,,,
Aaron Ramsdale,12500000,,,
Solly March,6500000,,,
Aaron Connolly,4000000,,,
Leandro Trossard,13000000,,,
Jos? Izquierdo,6500000,,,
Adam Lallana,9500000,,,
Alireza Jahanbakhsh,6500000,,,
Jayson Molumby,900000,,,
Steven Alzate,2300000,,,
Pascal Gro?,9500000,,,
Alexis Mac Allister,11000000,,,
Yves Bissouma,9500000,,,
Jo?l Veltman,8000000,,,
Davy Pr?pper,13500000,,,
Matt Clarke,2000000,,,
Adam Webster,12000000,,,
Danny Welbeck,5500000,,,
Jason Steele,600000,,,
Jacob Murphy,3500000,,,
Christian Walton,800000,,,
Miguel Almir?n,16000000,,,
Christian Atsu,4800000,,,
Henri Saivet,800000,,,
Ryan Fraser,17500000,,,
Matt Ritchie,9500000,,,
Jeff Hendrick,9000000,,,
Sean Longstaff,17500000,,,
Joe Willock,16000000,,,
Joelinton,20000000,,,
Javier Manquillo,4000000,,,
Paul Dummett,5500000,,,
Mathew Ryan,8000000,,,
