Jo?o Gomes,10000000
Jhon Dur?n,2000000
Gabriel Slonina,7500000
Ellis Simms,600000
Viljami Sinisalo,200000
Auston Trusty,1800000
Lucas Bergstr?m,250000
Tayo Adaramola,400000
Joseph Anang,100000
Alejandro Garnacho,2000000
?lvaro Fernandez,2000000
David Datro Fofana,700000
Connor Ronan,750000
Calvin Ramsay,5000000
Joe Aribo,10000000
Cameron Peupion,125000
Yasin Ayari,500000
Alfie Whiteman,600000
Kofi Balmer,150000
Victor Kristiansen,4000000
Ki-Jana Hoever,6000000
Callum Hudson-Odoi,25000000
Federico Fern?ndez,1500000
Oriol Romeu,5000000
Steven Alzate,5000000
Salom?n Rond?n,2500000
Dominic Calvert-Lewin,40000000
Neal Maupay,18000000
Andros Townsend,5000000
Demarai Gray,22000000
Dwight McNeil,18000000
Anthony Gordon,20000000
Alex Iwobi,18000000
Tom Davies,18000000
Abdoulaye Doucour?,22000000
Seamus Coleman,3000000
Nathan Patterson,8000000
Vitaliy Mykolenko,18000000
Yerry Mina,20000000
Michael Keane,20000000
Mason Holgate,18000000
Ben Godfrey,20000000
James Tarkowski,22000000
Andy Lonergan,250000
Eldin Jakupovic,250000
Asmir Begovic,1000000
Jordan Pickford,20000000
Conor Coady,25000000
Ivan Toney,35000000
Sergi Can?s,14000000
Bryan Mbeumo,22000000
Yoane Wissa,12000000
Saman Ghoddos,2500000
Shandon Baptiste,3000000
Frank Onyeka,9000000
Mathias Jensen,10000000
Josh Dasilva,10000000
Christian N?rgaard,14000000
Vitaly Janelt,14000000
Mads Roerslev,2500000
Rico Henry,20000000
Ben Mee,2500000
Zanka,1200000
Pontus Jansson,7000000
Ethan Pinnock,12000000
Kristoffer Ajer,18000000
David Raya,22000000
Rodrigo,12000000
Joe Gelhardt,6000000
Patrick Bamford,16000000
Daniel James,18000000
Crysencio Summerville,2000000
Jack Harrison,18000000
Sam Greenwood,2500000
Adam Forshaw,2000000
Mateusz Klich,3000000
Luke Ayling,4000000
Junior Firpo,12000000
Pascal Struijk,15000000
Leo Fuhr Hjelde,800000
Liam Cooper,7000000
Robin Koch,16000000
Kristoffer Klaesson,2000000
Illan Meslier,20000000
Stuart Dallas,4000000
Callum Wilson,18000000
Cristiano Ronaldo,30000000
Anthony Elanga,20000000
Jadon Sancho,75000000
Bruno Fernandes,85000000
Fred,20000000
Marcus Rashford,60000000
Scott McTominay,32000000
Aaron Wan-Bissaka,25000000
Diogo Dalot,20000000
Brandon Williams,12000000
Luke Shaw,38000000
Phil Jones,3000000
Victor Lindel?f,22000000
Rapha?l Varane,48000000
Harry Maguire,38000000
Christian Eriksen,20000000
Nathan Bishop,300000
Jack Butland,1800000
Jamie Vardy,5000000
David de Gea,15000000
Kelechi Iheanacho,20000000
Ayoze P?rez,10000000
Tom Heaton,800000
