Brenden Aaronson,45,18,16,22,7,15,46,31,3,40,5,6,1
George Abbott,0,0,0,0,0,0,0,0,0,0,1,0,0
Che Adams,17,13,7,8,2,7,12,5,4,9,4,22,0
Tyler Adams,89,46,44,35,10,50,77,27,8,40,35,29,0
Tosin Adarabioyo,30,13,22,6,2,16,23,7,15,5,26,140,1
Nayef Aguerd,27,18,18,8,1,13,20,7,24,2,18,79,2
Naouirou Ahamada,3,2,3,0,0,1,3,2,0,2,0,0,0
Rayan A?t-Nouri,33,20,25,7,1,9,16,7,0,3,9,28,0
Kristoffer Ajer,11,8,5,4,2,9,16,7,5,1,7,22,0
Manuel Akanji,36,25,15,18,3,23,36,13,9,18,16,33,1
Nathan Ak?,26,12,15,9,2,11,15,4,10,10,20,48,0
Marc Albrighton,4,1,0,2,2,1,8,7,2,4,1,5,0
Thiago Alc?ntara,43,24,20,21,2,14,23,9,3,12,21,13,2
Carlos Alcaraz,10,5,2,7,1,6,22,16,5,9,1,11,0
Trent Alexander-Arnold,57,40,32,16,9,42,80,38,7,18,43,41,2
Alisson,0,0,0,0,0,0,3,3,0,3,0,20,0
Dele Alli,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Almir?n,46,30,16,19,11,18,42,24,2,23,10,17,0
Juli?n ?lvarez,26,16,3,13,10,9,30,21,0,13,2,6,0
Daniel Amartey,19,8,13,5,1,12,14,2,17,7,8,71,0
Samuel Amo-Ameyaw,0,0,0,0,0,0,1,1,0,0,0,0,0
Joachim Andersen,42,22,30,12,0,16,32,16,13,15,24,188,1
Elliot Anderson,11,5,5,3,3,6,12,6,2,9,6,2,0
Jaidon Anthony,30,17,15,9,6,8,24,16,3,27,10,19,0
Michail Antonio,14,7,1,8,5,3,12,9,5,8,5,9,0
Antony,22,9,9,9,4,8,28,20,0,18,11,6,0
Cameron Archer,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Aribo,31,20,15,12,4,11,20,9,1,13,10,11,0
Adam Armstrong,14,9,6,5,3,3,10,7,3,12,5,6,0
Stuart Armstrong,32,21,15,13,4,14,39,25,0,18,10,9,2
Kepa Arrizabalaga,2,2,2,0,0,2,3,1,0,0,1,16,2
Pierre-Emerick Aubameyang,1,0,1,0,0,0,1,1,0,2,2,4,2
Ludwig Augustinsson,1,1,1,0,0,0,0,0,0,0,0,1,0
Serge Aurier,64,41,41,18,5,23,33,10,11,23,29,75,0
Taiwo Awoniyi,17,10,2,10,5,6,12,6,4,14,4,20,0
Yasin Ayari,2,2,1,1,0,0,4,4,0,1,0,0,0
Andr? Ayew,5,3,0,4,1,2,4,2,1,5,0,7,0
Jordan Ayew,66,41,23,20,23,21,53,32,4,31,15,31,0
Luke Ayling,66,37,42,15,9,42,85,43,11,23,26,52,2
C?sar Azpilicueta,43,25,23,15,5,22,37,15,5,21,19,54,1
Beno?t Badiashile,14,8,10,4,0,9,14,5,2,3,16,34,1
Leon Bailey,14,6,6,7,1,5,20,15,0,13,6,12,0
Stefan Bajcetic,9,6,5,3,1,8,27,19,0,7,9,4,0
Dominic Ballard,0,0,0,0,0,0,0,0,0,0,1,0,0
Patrick Bamford,9,6,0,6,3,4,20,16,5,7,5,13,0
Shandon Baptiste,15,9,6,6,3,7,17,10,2,8,7,10,0
Harvey Barnes,26,14,8,14,4,14,42,28,1,31,8,12,0
Gavin Bazunu,1,0,1,0,0,1,1,0,0,0,1,24,2
Mads Bech S?rensen,0,0,0,0,0,0,0,0,0,0,1,1,0
Jan Bednarek,27,21,20,7,0,12,16,4,27,11,49,87,0
Jan Bednarek1,3,3,0,3,0,1,1,0,1,2,2,5,0
Donny van de Beek,0,0,0,0,0,0,1,1,1,1,1,1,0
Asmir Begovi?,0,0,0,0,0,0,0,0,0,0,0,1,0
Armel Bella Kotchap,37,17,28,9,0,15,20,5,12,17,44,110,0
Sa?d Benrahma,25,15,11,7,7,11,27,16,1,22,9,13,0
Rodrigo Bentancur,45,28,15,21,9,16,28,12,15,13,20,22,0
Daniel Bentley,1,1,1,0,0,1,1,0,0,0,0,0,1
Victor Bernth Kristiansen,38,23,18,16,4,22,30,8,4,12,3,26,1
Owen Bevan,0,0,0,0,0,0,0,0,0,0,0,0,0
Giulian Biancone,2,1,2,0,0,1,1,0,0,0,1,0,0
Philip Billing,63,36,21,33,9,11,42,31,8,40,31,58,1
Yves Bissouma,16,13,6,6,4,2,7,5,6,9,12,10,0
Willy Boly,13,6,8,3,2,8,13,5,4,9,12,45,0
Sven Botman,38,24,31,7,0,22,28,6,24,20,34,126,2
Jarrod Bowen,39,16,14,11,14,16,58,42,9,38,36,25,0
James Bree,5,3,4,1,0,3,4,1,1,2,6,11,0
Armando Broja,4,1,0,3,1,1,1,0,1,9,1,1,0
David Brooks,1,0,1,0,0,0,1,1,0,2,2,5,0
Lewis Brunt,0,0,0,0,0,0,0,0,0,0,0,2,0
Emi Buend?a,52,23,20,20,12,21,74,53,2,18,20,17,0
Hugo Bueno,33,16,23,6,4,17,33,16,1,13,10,36,0
Facundo Buonanotte,2,1,1,1,0,1,22,21,2,3,4,3,0
Dan Burn,60,38,29,23,8,34,67,33,16,26,32,120,2
Caf?,0,0,0,0,0,0,0,0,0,0,0,1,0
