Alisson,43,147,105,19,9,9,14,4,2,1,1
Alphonse Areola,7,16,9,0,1,1,1,2,2,0,0
Kepa Arrizabalaga,33,120,90,8,9,12,9,1,1,0,0
Gavin Bazunu,56,120,67,6,6,20,4,2,1,1,0
Asmir Begovi?,0,4,4,1,0,0,1,0,0,0,0
Daniel Bentley,3,13,10,0,1,1,0,0,0,0,0
Martin D?bravka,1,9,9,0,1,0,0,0,0,0,0
Ederson,32,77,46,26,4,5,11,3,3,0,0
?ukasz Fabia?ski,48,154,106,11,6,19,8,4,2,1,1
Fraser Forster,24,55,30,5,3,5,3,3,2,1,0
David de Gea,43,142,99,23,6,9,17,3,2,1,0
Vicente Guaita,34,116,84,7,9,11,6,2,2,0,0
Dean Henderson,31,85,52,5,5,8,6,5,2,2,1
Wayne Hennessey,5,14,9,0,2,1,1,0,0,0,0
Daniel Iversen,22,59,38,2,4,6,1,2,2,0,0
Sam Johnstone,10,34,25,4,3,2,3,2,2,0,0
Caoimh?n Kelleher,4,10,6,0,1,0,0,0,0,0,0
Bernd Leno,51,192,142,15,5,16,8,8,7,1,0
Hugo Lloris,39,117,79,13,3,9,7,1,1,0,0
Emiliano Mart?nez,38,132,97,17,7,12,11,5,4,1,0
Alex McCarthy,17,30,14,0,1,5,0,1,1,0,0
Edouard Mendy,14,39,25,3,2,4,1,0,0,0,0
Illan Meslier,67,158,92,7,9,18,5,3,3,0,0
Keylor Navas,32,83,51,4,4,9,1,4,4,0,0
Neto,39,138,100,9,6,12,6,5,4,0,1
Robin Olsen,8,19,11,1,0,1,1,1,1,0,0
Stefan Ortega,1,15,14,2,1,0,2,0,0,0,0
Jordan Pickford,57,181,123,7,12,18,8,6,5,1,0
Nick Pope,32,118,85,19,13,5,14,5,2,2,1
Aaron Ramsdale,43,136,94,26,6,6,14,5,3,0,2
David Raya,46,197,154,15,14,9,12,2,2,0,0
Joel Robles,11,27,16,0,1,3,0,3,2,0,1
Marek Rod?k,2,4,2,0,2,0,1,0,0,0,0
Jos? S?,55,161,105,11,7,18,11,4,2,2,0
Robert S?nchez,30,74,46,11,5,7,6,6,5,1,0
Jason Steele,23,57,36,7,3,5,6,2,1,1,0
Mark Travers,32,66,36,2,0,9,2,2,2,0,0
Danny Ward,46,119,75,7,3,16,6,3,2,1,0
Joseph Whitworth,5,10,5,0,0,2,0,0,0,0,0
