Brenden Aaronson,41,9,18.4,-2.9
George Abbott,0,0,0,0.0
Che Adams,47,14,13.8,-1.7
Tyler Adams,4,0,27.5,-0.1
Tosin Adarabioyo,16,4,21.2,+0.3
Nayef Aguerd,12,2,9.9,-0.2
Naouirou Ahamada,3,0,15.9,-0.2
Rayan A?t-Nouri,10,5,14.1,+0.3
Kristoffer Ajer,1,0,6.0,0.0
Manuel Akanji,15,2,15.9,-1.3
Nathan Ak?,9,2,10.5,-0.6
Marc Albrighton,2,1,8.0,+0.7
Thiago Alc?ntara,10,1,24.1,-0.4
Carlos Alcaraz,24,10,20.0,+2.1
Trent Alexander-Arnold,40,8,23.8,-0.4
Alisson,0,0,0,0.0
Dele Alli,0,0,0,0.0
Miguel Almir?n,69,20,16.4,+3.0
Juli?n ?lvarez,46,20,16.0,+2.0
Daniel Amartey,6,2,17.4,-1.1
Samuel Amo-Ameyaw,0,0,0,0.0
Joachim Andersen,22,9,13.9,-0.8
Elliot Anderson,11,4,16.0,-1.0
Jaidon Anthony,22,13,19.3,+0.8
Michail Antonio,39,13,11.6,-1.6
Antony,72,24,19.6,-2.6
Cameron Archer,0,0,0,0.0
Alphonse Areola,0,0,0,0.0
Joe Aribo,14,8,10.9,+0.5
Adam Armstrong,25,12,15.9,-0.1
Stuart Armstrong,23,6,17.9,-0.4
Kepa Arrizabalaga,0,0,0,0.0
Pierre-Emerick Aubameyang,16,7,13.7,-0.5
Ludwig Augustinsson,2,1,12.7,-0.1
Serge Aurier,9,3,16.2,+0.2
Taiwo Awoniyi,35,15,11.8,+3.4
Yasin Ayari,1,0,29.7,0.0
Andr? Ayew,3,1,19.3,-1.0
Jordan Ayew,32,10,16.1,+0.8
Luke Ayling,24,5,15.1,-1.2
C?sar Azpilicueta,9,1,18.2,-0.4
Beno?t Badiashile,6,2,7.2,-0.2
Leon Bailey,51,14,18.1,-1.3
Stefan Bajcetic,6,3,24.5,+0.2
Dominic Ballard,0,0,0,0.0
Patrick Bamford,48,16,14.7,-4.5
Shandon Baptiste,4,1,15.9,-0.4
Harvey Barnes,72,34,15.9,+4.1
Gavin Bazunu,0,0,0,0.0
Mads Bech S?rensen,0,0,0,0.0
Jan Bednarek,8,0,14.2,-0.4
Jan Bednarek1,0,0,0,0.0
Donny van de Beek,2,0,10.1,-0.1
Asmir Begovi?,0,0,0,0.0
Armel Bella Kotchap,14,2,16.1,-1.0
Sa?d Benrahma,69,23,21.9,-1.0
Rodrigo Bentancur,15,9,15.8,+2.8
Daniel Bentley,0,0,0,0.0
Victor Bernth Kristiansen,3,0,18.9,-0.1
Owen Bevan,0,0,0,0.0
Giulian Biancone,0,0,0,0.0
Philip Billing,38,18,18.3,+2.1
Yves Bissouma,6,0,26.7,-0.2
Willy Boly,2,1,16.7,0.0
Sven Botman,22,7,10.2,-2.5
Jarrod Bowen,73,21,16.2,-2.9
James Bree,1,1,25.3,0.0
Armando Broja,6,5,11.0,+0.2
David Brooks,5,1,20.6,-0.3
Lewis Brunt,0,0,0,0.0
Emi Buend?a,49,11,15.9,-1.3
Hugo Bueno,4,1,18.5,-0.2
Facundo Buonanotte,11,3,16.9,-0.4
Dan Burn,21,4,12.2,-1.1
Caf?,0,0,0,0.0
Mois?s Caicedo,28,8,23.9,-0.7
Tom Cairney,21,2,18.6,+0.5
Duje ?aleta-Car,5,2,12.3,+0.2
Dominic Calvert-Lewin,30,9,11.8,-3.8
Chem Campbell,2,0,11.3,-0.1
Jo?o Cancelo,17,3,22.7,+1.2
Thomas Cannon,1,1,10.8,-0.1
Sergi Can?s,1,0,16.1,-0.1
Diego Carlos,4,0,15.7,-0.4
Fabio Carvalho,11,4,11.5,+0.9
Casemiro,34,11,21.6,+0.6
Matty Cash,7,1,26.9,-0.2
Timothy Castagne,19,5,11.0,-0.2
Jonny Castro,9,2,24.1,+0.7
Nathaniel Chalobah,1,1,10.1,-0.1
Trevoh Chalobah,9,2,9.6,-0.9
Calum Chambers,2,0,21.6,-0.1
Shea Charles,0,0,0,0.0
Ben Chilwell,16,4,16.1,+0.6
Ryan Christie,33,9,14.0,-1.7
Carney Chukwuemeka,5,1,17.2,-0.4
Bobby Clark,0,0,0,0.0
Nathaniel Clyne,0,0,0,0.0
Conor Coady,4,2,8.5,+0.2
Jack Colback,0,0,0,0.0
S?amus Coleman,7,2,21.9,+0.6
Nathan Collins,3,0,9.0,-0.2
Levi Colwill,8,0,7.0,-1.4
Lewis Cook,6,0,28.7,-0.2
Steve Cook,3,0,14.2,-0.1
Liam Cooper,10,2,9.5,0.0
Maxwel Cornet,9,2,12.5,-1.3
Diego Costa,28,14,12.0,-2.2
