Djordje Petrovic,6000000,
Yerson Mosquera,3000000,
Ben Doak,3000000,
Matheus Fran?a,9000000,
Andrey Santos,15000000,
Murillo,3500000,
Deivid Washington,4000000,
Alejo Veliz,7000000,
Valent?n Barco,3500000,
Enso Gonz?lez,1900000,
Diego Moreira,2000000,
Bashir Humphreys,3000000,
Joe Rodon,7000000,
Lesley Ugochukwu,9000000,
Malo Gusto,25000000,
Malang Sarr,6000000,
Axel Disasi,30000000,
Andr? Gomes,16000000,
H?kon Rafn Valdimarsson,900000,
Abdallah Sima,6000000,
Carlos Baleba,5000000,
Nuno Tavares,18000000,
Matz Sels,7000000,
Romain Faivre,10000000,
Andrei Radu,3500000,
Jean-Ricner Bellegarde,10000000,
J?r?my Doku,28000000,
Emiliano Marcondes,1500000,
James Hill,1000000,
Luke Chambers,300000,
Ethan Brierley,150000,
Tom King,175000,
Calvin Bassey,15000000,
Edson ?lvarez,35000000,
Mohammed Kudus,40000000,
Jarrad Branthwaite,10000000,
Jo?o Virg?nia,600000,
Ji-soo Kim,500000,
Ibrahim Sangar?,35000000,
Milos Kerkez,15000000,
F?bio Silva,13000000,
Jurrien Timber,42000000,
Konstantinos Mavropanos,15000000,
Timo Werner,25000000,
Micky van de Ven,30000000,
Moussa Diaby,50000000,
Christopher Nkunku,80000000,
Mark Flekken,10000000,
Mahmoud Dahoud,12000000,
Giovanni Reyna,25000000,
Callum Hudson-Odoi,15000000,
Ryan Gravenberch,30000000,
Dominik Szoboszlai,50000000,
Wataru Endo,6500000,
Josko Gvardiol,75000000,
Philippe Coutinho,10000000,
Anthony Gordon,35000000,
Cole Palmer,15000000,
Levi Colwill,30000000,
James Garner,14000000,
Curtis Jones,22000000,
Luke Plange,1000000,
Shola Shoretire,4000000,
Kell Watts,300000,
Ellery Balcombe,300000,
Gavin Kilkenny,400000,
Joel Ward,1200000,
Carlos Vin?cius,6000000,
Jordan Ayew,5000000,
Odsonne Edouard,15000000,
Jean-Philippe Mateta,7000000,
Michael Olise,38000000,
Jeffrey Schlupp,7000000,
Eberechi Eze,40000000,
Will Hughes,5000000,
Jefferson Lerma,20000000,
Jairo Riedewald,3000000,
Naouirou Ahamada,10000000,
Cheick Doucour?,35000000,
Nathaniel Clyne,2000000,
Tyrick Mitchell,22000000,
Rob Holding,8000000,
Chris Richards,10000000,
Nathan Ferguson,1200000,
Joachim Andersen,30000000,
Sam Johnstone,6000000,
Marc Gu?hi,35000000,
Dean Henderson,18000000,
Remi Matthews,350000,
Ra?l Jim?nez,6000000,
Harry Wilson,16000000,
James Tomkins,800000,
Aleksandar Mitrovi?,28000000,
Joe Whitworth,900000,
Bobby De Cordova-Reid,7000000,
Adama Traor?,10000000,
Willian,3000000,
Armando Broja,28000000,
Alex Iwobi,28000000,
Andreas Pereira,18000000,
Harrison Reed,18000000,
