Max Aarons,43,252,303,165,11,711,34,14,12,364,2174,1121,12,7,13,8,371
Joshua Acheampong,5,5,0,1,0,6,0,0,0,1,18,12,0,0,0,0,0
Tyler Adams,3,23,54,14,4,91,3,2,0,44,193,116,1,2,3,0,52
Tosin Adarabioyo,181,713,631,48,29,1390,3,1,0,817,4560,2661,12,1,4,4,1009
Elijah Adebayo,27,52,172,243,82,462,67,18,46,265,1516,425,15,13,62,34,337
Simon Adingra,36,187,364,627,153,1159,123,50,64,773,5063,2996,48,63,48,28,795
Nayef Aguerd,187,709,618,50,21,1373,5,3,2,861,4211,2388,8,0,10,2,912
Brandon Aguilera,1,3,4,4,0,11,0,0,0,4,16,12,1,0,0,0,6
Naouirou Ahamada,6,46,123,75,8,240,13,7,5,150,1018,486,8,4,8,11,169
Anel Ahmedhod?i?,228,730,508,104,33,1331,21,11,9,603,3497,1946,15,3,14,11,693
Ola Aina,62,340,462,228,13,1019,45,27,14,494,3139,1830,29,11,24,10,539
Rayan A?t-Nouri,56,406,698,446,49,1522,115,62,39,868,4904,2435,48,8,51,56,1007
Kristoffer Ajer,112,430,457,158,58,1042,12,10,2,464,2367,1435,11,5,16,6,563
Manuel Akanji,163,779,1385,392,27,2544,4,2,2,1639,8282,4923,51,3,14,9,1983
Nathan Ak?,105,634,1116,281,38,2026,10,5,3,1280,6039,3501,43,1,8,2,1507
Thiago Alc?ntara,0,4,5,1,0,10,0,0,0,9,33,15,0,0,0,0,9
Trent Alexander-Arnold,75,523,1217,582,34,2296,52,28,21,1250,5701,2724,48,7,27,6,1492
Alisson,754,1145,52,0,0,1196,0,0,0,850,3713,2361,0,0,4,0,764
Miguel Almir?n,25,137,430,475,86,1029,52,23,22,652,4488,2276,43,22,30,27,741
Edson ?lvarez,150,565,854,201,16,1599,42,27,14,890,5147,2227,27,1,38,30,948
Juli?n ?lvarez,20,107,473,988,149,1552,42,20,22,914,4459,2092,59,28,56,36,1103
Zeki Amdouni,24,94,379,337,68,788,88,29,47,468,3229,1654,30,20,67,32,513
Sofyan Amrabat,48,218,439,120,1,770,10,6,2,489,2362,947,8,0,9,11,545
Joachim Andersen,337,1320,1160,140,44,2609,23,14,6,1367,7243,4207,11,0,11,6,1604
Elliot Anderson,23,109,278,267,46,640,43,21,18,364,2272,1213,23,4,28,22,416
Jaidon Anthony,2,15,27,27,4,69,6,2,3,36,160,77,2,0,5,2,40
Michail Antonio,7,49,226,259,59,527,62,29,26,345,2320,1084,17,19,69,39,398
Antony,17,106,304,428,58,815,71,26,33,549,3723,1953,37,23,26,19,571
Oliver Arblaster,31,135,331,93,4,551,25,17,6,277,1489,634,12,3,13,8,313
Cameron Archer,13,63,205,307,69,563,61,30,29,345,2186,984,29,22,61,45,386
Cameron Archer1,0,1,4,2,0,7,0,0,0,5,39,28,1,0,1,0,7
Alphonse Areola,835,969,7,0,0,976,1,1,0,498,3168,1945,1,0,0,0,345
Lorenz Assignon,46,210,270,207,30,670,32,13,17,283,1862,1063,16,12,27,13,303
Serge Aurier,39,165,280,127,13,568,14,3,11,249,1039,532,15,1,9,8,347
Taiwo Awoniyi,14,30,153,118,43,294,16,8,7,168,748,320,6,6,38,11,209
Jordan Ayew,24,182,592,598,95,1349,130,52,57,836,5509,2119,55,20,85,80,967
Beno?t Badiashile,178,662,612,52,11,1321,1,0,0,765,3225,1734,5,1,6,4,976
Leon Bailey,19,151,318,589,129,1040,119,57,50,717,5148,2495,47,41,51,41,764
Stefan Bajcetic,0,4,8,0,0,12,0,0,0,9,46,24,0,0,0,0,9
George Baldock,66,200,192,116,9,505,11,6,4,238,988,463,3,4,9,9,258
Carlos Baleba,65,255,580,139,5,965,22,11,6,571,2903,1423,19,1,16,16,664
Fod? Ballo-Tour?,4,35,39,18,1,91,6,3,2,48,300,163,2,1,0,0,50
Shandon Baptiste,7,41,57,34,6,130,11,6,5,64,322,170,1,0,8,0,69
Valent?n Barco,7,73,102,100,5,274,11,5,4,181,697,367,4,0,5,4,188
Ross Barkley,73,374,1012,430,39,1778,104,66,34,1006,6416,2807,49,4,27,56,1115
Harvey Barnes,5,48,117,200,60,360,25,7,14,266,1782,1093,21,23,12,16,285
Chris Basham,26,84,69,32,5,185,4,3,1,72,320,163,4,0,2,2,89
Calvin Bassey,305,1054,830,37,9,1901,14,11,2,1179,6037,3035,11,2,12,8,1291
Owen Beck,0,3,4,2,0,8,1,0,1,4,43,1,0,0,1,0,4
Donny van de Beek,0,0,2,2,2,4,0,0,0,1,1,0,0,0,1,0,1
Amari'i Bell,101,480,486,117,5,1070,27,10,15,584,3640,2020,25,1,18,5,607
Jean-Ricner Bellegarde,25,86,201,199,30,478,39,17,17,268,1850,880,28,5,25,19,302
Anis Ben Slimane,15,46,108,65,12,216,17,2,13,109,452,168,8,3,8,12,120
Sa?d Benrahma,11,65,128,168,35,354,38,14,21,238,1687,790,17,15,14,8,245
Rodrigo Bentancur,36,174,512,250,29,931,21,11,8,573,2769,1148,22,2,16,19,730
Daniel Bentley,120,149,2,0,0,151,0,0,0,66,318,181,0,0,0,0,76
J?hann Berg Gu?mundsson,25,108,284,268,26,656,16,5,7,371,1836,605,13,2,20,15,420
Sander Berge,133,494,997,414,41,1887,41,20,16,1076,6419,3091,57,9,23,23,1233
Luke Berry,5,28,70,46,13,143,3,2,0,56,141,30,2,0,5,4,70
Beto,16,30,141,206,64,372,35,15,17,183,1021,384,9,13,47,22,250
Jordan Beyer,159,570,429,26,8,1022,7,4,2,624,3314,2089,11,0,5,1,678
Philip Billing,43,139,337,286,60,755,33,12,18,366,1772,798,23,6,27,17,438
Yves Bissouma,97,469,1226,443,19,2119,47,27,12,1367,7132,3006,42,7,33,30,1641
Benicio Boaitey,1,6,6,19,1,30,1,1,0,19,105,40,2,1,2,1,23
Oscar Bobb,4,13,36,173,27,219,18,11,6,139,671,395,5,5,6,6,159
Jayden Bogle,145,531,536,329,55,1374,59,25,26,590,3511,1443,32,11,51,28,676
Willy Boly,148,502,334,61,34,895,7,3,2,379,1712,864,2,1,4,3,446
Sven Botman,186,676,450,29,20,1154,2,0,2,672,2866,1403,4,0,5,2,822
Jarrod Bowen,20,135,410,571,174,1094,97,34,55,666,4859,2141,40,49,79,58,745
Conor Bradley,14,140,289,243,38,661,30,13,14,373,2144,1085,29,12,17,10,388
Jarrad Branthwaite,307,961,777,61,39,1791,8,5,2,759,3161,1557,5,1,20,2,903
Ben Brereton,14,44,167,185,51,386,28,10,17,232,1441,662,15,19,23,16,281
Rhian Brewster,2,9,47,57,16,113,5,0,4,62,201,75,4,3,8,8,81
Armando Broja,3,9,56,106,35,167,31,13,16,117,695,286,4,8,17,14,131
Armando Broja1,0,5,15,23,4,43,6,2,4,23,162,62,2,0,3,4,37
Andre Brooks,16,75,209,118,16,395,24,12,11,207,1259,501,15,1,22,19,218
David Brooks,2,25,72,83,11,177,10,4,6,102,680,279,9,1,7,1,113
Jacob Brown,30,103,152,181,50,427,25,6,16,200,1112,504,14,9,24,25,237
Josh Brownhill,71,326,627,410,42,1351,13,7,6,551,2278,1018,14,3,17,14,702
Jacob Bruun Larsen,20,97,229,401,89,719,55,20,31,398,2539,1351,20,33,28,10,449
Hugo Bueno,33,180,208,130,9,517,23,8,11,266,1575,785,9,2,7,14,306
Santiago Bueno,77,301,250,18,1,566,1,1,0,330,1726,988,5,0,1,2,400
Facundo Buonanotte,21,91,316,277,35,673,52,18,28,421,2342,898,25,8,42,33,480
Reece Burke,98,378,440,117,20,929,8,4,2,455,2080,1210,8,0,18,5,508
Dan Burn,204,948,851,212,46,2007,6,4,2,924,3930,1664,7,3,15,10,1150
Mason Burstow,0,0,1,5,1,6,0,0,0,2,1,0,0,0,1,0,3
Mois?s Caicedo,122,687,1405,382,9,2452,56,26,24,1378,5497,2466,31,1,36,24,1828
Tom Cairney,27,243,761,422,31,1398,33,26,5,931,4502,2261,42,6,29,24,1128
Dominic Calvert-Lewin,50,79,263,399,124,736,43,14,26,357,2068,794,21,22,65,25,565
Thomas Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,244,867,610,43,23,1517,4,2,2,1013,4786,2606,2,1,8,4,1118
Cesare Casadei,6,17,49,15,1,81,2,2,0,36,234,59,0,0,3,0,62
Casemiro,169,646,884,245,45,1762,18,9,8,984,3576,1729,22,1,15,17,1163
Kaelan Casey,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,89,490,657,364,54,1496,41,12,20,860,4871,2233,41,18,21,15,895
Timothy Castagne,116,697,831,418,58,1937,30,17,10,879,3780,1855,25,6,25,10,1121
Jonny Castro,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,122,454,372,63,4,886,2,1,1,475,1552,709,5,2,10,3,633
Calum Chambers,9,68,49,12,0,129,1,1,0,78,349,158,0,0,0,1,99
Youssef Chermiti,3,11,37,59,19,106,11,3,7,55,320,105,1,3,14,6,76
Ben Chilwell,21,129,258,221,28,605,19,7,8,333,1713,844,14,5,21,5,394
Tawanda Chirewa,2,17,44,26,5,86,3,1,2,49,189,55,2,1,7,3,62
Leon Chiwome,3,5,25,10,4,39,0,0,0,16,86,50,0,1,3,2,18
Tahith Chong,30,160,351,324,52,819,72,25,32,520,3559,1880,47,9,59,40,560
