Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Pierre-Emerick Aubameyang,FW,30.00,34.80,912.00,881.00,28.00,0.00,7.00,1.00,89.00,3.00,1.00,0.00,0.00,0.00,614.00,3.00,32.00,36.00,3136.00,35.00,31.00,1.00,0.00,1.50,51.00,44.00,-0.12,43.40,49.90,22.00,3.00,25.00,20.00,2.00,2.00,3.00,1.00,14.70,13.20,3.30,98.00,81.00,288.00,91.00,40.00,15.50,2.00,7.30,26.00,143.00,436.00,667.00,150.00,1231.00,38.00,17.00,21.00,727.00,4964.00,2702.00,47.00,38.00,58.00,31.00,928.00,614.00,912.00,8262.00,2061.00,373.00,461.00,169.00,277.00,25.00,54.00,4.10,26.00,25.00,47.00,16.00,0.00,14.00,20.00,20.00,14.00,19.00,0.00,0.00,0.00,92.00,33.00,58.00,69.00,48.00,0.00,6.00,7.00,6.00,2.00,12.00,8.00,0.00,0.00,2.00,1.00,1.00,10.00,12.00,9.00,12.00,51.00,39.00,39.00,1.00,38.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
David Luiz,DF,32.00,31.20,1816.00,1697.00,110.00,107.00,12.00,23.00,5.00,3.00,0.00,0.00,0.00,0.00,1537.00,9.00,7.00,33.00,2809.00,32.00,30.00,1.00,3.00,1.42,47.00,38.00,0.44,40.50,46.60,2.00,1.00,3.00,2.00,0.00,0.00,5.00,2.00,1.60,1.60,0.90,21.00,106.00,4.00,23.00,8.00,20.40,7.00,0.40,331.00,1124.00,933.00,58.00,16.00,2106.00,8.00,5.00,3.00,1370.00,9179.00,5310.00,13.00,1.00,16.00,5.00,1451.00,1537.00,1816.00,33337.00,11723.00,379.00,421.00,889.00,938.00,254.00,413.00,1.20,4.00,100.00,9.00,2.00,0.00,30.00,14.00,1.00,32.00,16.00,0.00,5.00,0.00,128.00,51.00,41.00,12.00,8.00,0.00,1.00,1.00,0.00,2.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,14.00,14.00,0.00,13.00,24.00,11.00,42.00,37.00,5.00,133.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
Bernd Leno,GK,27.00,29.40,990.00,682.00,303.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,762.00,5.00,1.00,30.00,2649.00,30.00,29.00,0.00,0.00,1.33,40.00,39.00,-0.78,36.50,42.70,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,950.00,1055.00,6.00,0.00,0.00,1061.00,1.00,1.00,0.00,543.00,3095.00,2134.00,0.00,0.00,1.00,0.00,437.00,762.00,990.00,16550.00,10417.00,214.00,215.00,429.00,432.00,112.00,330.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,9.00,2.00,39.00,151.00,111.00,9.00,13.00,8.00,7.00,7.00,6.00,1.00,0.00,0.00,6.00,40.00,0.22,1.00,64.00,266.00,732.00,185.00,27.90,253.00,34.40,468.00,17.00,38.00,15.60,28.00
Granit Xhaka,MF,26.00,28.70,1944.00,1867.00,69.00,51.00,4.00,25.00,16.00,17.00,1.00,1.00,0.00,0.00,1695.00,8.00,19.00,31.00,2586.00,30.00,25.00,1.00,0.00,1.65,47.00,31.00,1.42,38.90,41.70,1.00,2.00,3.00,1.00,0.00,0.00,10.00,0.00,0.50,0.50,1.00,38.00,237.00,33.00,11.00,3.00,23.00,0.00,0.50,125.00,610.00,1292.00,305.00,19.00,2193.00,32.00,25.00,7.00,1285.00,6390.00,3316.00,28.00,2.00,28.00,12.00,1591.00,1695.00,1944.00,31542.00,8782.00,676.00,740.00,781.00,863.00,198.00,263.00,1.30,16.00,197.00,22.00,3.00,0.00,56.00,32.00,0.00,21.00,25.00,0.00,1.00,0.00,195.00,45.00,54.00,44.00,38.00,2.00,1.00,1.00,2.00,0.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,20.00,19.00,6.00,25.00,55.00,30.00,32.00,16.00,16.00,59.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00
Nicolas P??p??,FW,24.00,22.30,824.00,737.00,85.00,9.00,10.00,6.00,109.00,7.00,66.00,31.00,22.00,0.00,610.00,2.00,23.00,31.00,2010.00,22.00,11.00,9.00,6.00,1.55,38.00,30.00,0.36,29.80,34.60,5.00,6.00,11.00,4.00,1.00,1.00,4.00,0.00,4.90,4.10,4.80,98.00,67.00,191.00,49.00,17.00,20.00,7.00,0.10,10.00,135.00,394.00,620.00,86.00,1116.00,133.00,72.00,61.00,745.00,5947.00,3041.00,64.00,39.00,61.00,53.00,826.00,610.00,824.00,8817.00,2028.00,364.00,415.00,171.00,222.00,45.00,101.00,4.00,39.00,28.00,30.00,6.00,0.00,14.00,37.00,4.00,8.00,17.00,0.00,0.00,0.00,104.00,21.00,41.00,72.00,39.00,16.00,10.00,4.00,3.00,0.00,9.00,7.00,2.00,0.00,0.00,0.00,0.00,15.00,13.00,4.00,8.00,16.00,8.00,15.00,2.00,13.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00
Alexandre Lacazette,FW,28.00,20.80,521.00,475.00,45.00,0.00,3.00,6.00,15.00,0.00,0.00,0.00,0.00,0.00,391.00,1.00,15.00,30.00,1874.00,22.00,9.00,8.00,4.00,1.30,36.00,25.00,0.70,27.40,29.60,10.00,4.00,14.00,10.00,0.00,0.00,8.00,0.00,8.10,8.10,2.90,21.00,49.00,137.00,52.00,26.00,12.60,3.00,1.90,21.00,91.00,332.00,347.00,101.00,761.00,47.00,24.00,23.00,433.00,2029.00,826.00,9.00,5.00,54.00,37.00,545.00,391.00,521.00,5362.00,1084.00,225.00,262.00,105.00,140.00,22.00,41.00,1.60,24.00,25.00,23.00,4.00,0.00,44.00,45.00,13.00,7.00,16.00,1.00,0.00,0.00,76.00,26.00,57.00,68.00,43.00,0.00,7.00,11.00,6.00,1.00,12.00,4.00,0.00,3.00,4.00,1.00,0.00,8.00,21.00,2.00,9.00,24.00,15.00,14.00,0.00,14.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00
Bukayo Saka,FW,17.00,19.50,845.00,723.00,117.00,10.00,5.00,2.00,67.00,98.00,9.00,4.00,5.00,0.00,646.00,5.00,25.00,26.00,1753.00,19.00,10.00,7.00,6.00,1.42,22.00,18.00,-0.01,20.60,26.50,1.00,5.00,6.00,1.00,0.00,0.00,6.00,0.00,1.00,1.00,3.30,67.00,67.00,143.00,13.00,4.00,17.90,0.00,0.00,35.00,250.00,409.00,395.00,59.00,1048.00,55.00,32.00,23.00,602.00,3892.00,2172.00,41.00,24.00,42.00,22.00,692.00,646.00,845.00,9418.00,2699.00,375.00,425.00,227.00,293.00,22.00,52.00,2.00,21.00,37.00,19.00,5.00,0.00,22.00,28.00,10.00,12.00,21.00,0.00,0.00,0.00,87.00,7.00,41.00,48.00,34.00,1.00,8.00,2.00,2.00,1.00,7.00,6.00,0.00,1.00,0.00,0.00,0.00,21.00,8.00,7.00,19.00,37.00,18.00,12.00,3.00,9.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00
Matt??o Guendouzi,MF,20.00,19.40,1170.00,1133.00,33.00,23.00,7.00,8.00,6.00,8.00,1.00,0.00,0.00,0.00,1027.00,4.00,20.00,24.00,1748.00,19.00,15.00,5.00,5.00,1.29,24.00,31.00,-1.17,23.90,28.70,0.00,1.00,1.00,0.00,0.00,0.00,6.00,0.00,0.80,0.80,1.10,50.00,160.00,27.00,11.00,5.00,22.20,0.00,-0.80,70.00,351.00,785.00,270.00,18.00,1385.00,43.00,24.00,19.00,864.00,5825.00,3157.00,38.00,10.00,20.00,21.00,1013.00,1027.00,1170.00,18529.00,5467.00,430.00,467.00,448.00,483.00,120.00,144.00,1.60,12.00,141.00,20.00,1.00,0.00,17.00,49.00,0.00,29.00,16.00,1.00,0.00,0.00,117.00,12.00,16.00,40.00,31.00,0.00,1.00,3.00,4.00,1.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,14.00,13.00,4.00,14.00,43.00,29.00,21.00,7.00,14.00,38.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00
Sead Kola��inac,DF,26.00,18.90,1041.00,925.00,113.00,4.00,0.00,1.00,29.00,109.00,0.00,0.00,0.00,0.00,877.00,3.00,15.00,26.00,1701.00,19.00,14.00,7.00,3.00,1.58,28.00,26.00,-0.21,25.50,23.10,0.00,2.00,2.00,0.00,0.00,0.00,4.00,0.00,0.40,0.40,1.30,36.00,74.00,88.00,4.00,0.00,12.20,0.00,-0.40,61.00,361.00,570.00,281.00,29.00,1202.00,21.00,16.00,5.00,631.00,3253.00,2016.00,33.00,11.00,21.00,11.00,755.00,877.00,1041.00,12502.00,3694.00,516.00,565.00,301.00,367.00,30.00,52.00,1.20,10.00,46.00,13.00,4.00,0.00,20.00,16.00,5.00,25.00,16.00,0.00,0.00,0.00,103.00,27.00,19.00,28.00,28.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,18.00,6.00,5.00,12.00,23.00,11.00,14.00,4.00,10.00,34.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00
Sokratis Papastathopoulos,DF,31.00,18.80,1043.00,996.00,44.00,34.00,1.00,14.00,1.00,10.00,0.00,0.00,0.00,0.00,914.00,3.00,5.00,19.00,1696.00,19.00,18.00,0.00,13.00,1.53,27.00,25.00,-0.21,24.80,26.70,2.00,0.00,2.00,2.00,0.00,0.00,6.00,0.00,1.10,1.10,0.30,5.00,27.00,5.00,7.00,2.00,9.90,0.00,0.90,185.00,715.00,462.00,41.00,13.00,1215.00,5.00,5.00,0.00,739.00,3500.00,1966.00,3.00,0.00,4.00,5.00,859.00,914.00,1043.00,18075.00,6123.00,315.00,333.00,470.00,511.00,117.00,173.00,0.20,2.00,35.00,1.00,0.00,0.00,19.00,12.00,1.00,17.00,16.00,0.00,0.00,0.00,71.00,58.00,27.00,6.00,4.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,7.00,1.00,10.00,21.00,11.00,30.00,24.00,6.00,68.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
