Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotCmp%,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,ShrCmp%,MedCmp,MedAtt,CmpMed%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,SCA,SCA90,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,Tkl,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,Tkl%,ChalLost,Blocks,BlSh,Pass,Tkl+Int,Clr,Err,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKattA,PKA,PKsv,PKm,PKSave%,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,xg/90,LPCmp,LPAtt,GKLCmp%,GKPAtt,Thr,Launch%,PAvgLen,GKAtt,PLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Value
Bernd Leno,GK,26,31.5,1105,773,330,103,0,4,0,0,0,0,0,0,817,2,2,32,"2,836",31,31,1,6,1.81,61,42,19,0.14,51.6,46.6,5.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1035,1181,7,0,0,1188,0,0,0,0,0,605,3693,2501,0,0,0,1,514,817,1105,73.9,21776,14746,149,150,99.3,437,440,99.3,226,505,44.8,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,59,7,1,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,16,6,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0,1,3,44.3,0.27,3.3,0.1,127,385,33,876,181,29.3,31.5,227,56.4,45.3,385,10,2.6,40,1.27,15.3,30
Shkodran Mustafi,DF,26,29,1810,1724,81,52,4,12,11,29,0,0,0,0,1465,5,16,31,"2,611",31,25,0,4,1.84,51,40,11,-0.84,45.7,43.1,2.6,2,0,2,2,0,0,9,0,1.5,1.5,0.6,26,118,12,18,8,10.3,0,0.5,221,1036,1034,108,39,2167,13,8,61.5,5,38.5,1165,6428,3860,22,3,13,6,1379,1465,1810,80.9,28736,9830,498,563,88.5,773,891,86.8,176,302,58.3,0.6,-0.6,6,113,9,1,0,42,8,4,58,45,0,2,0,116,122,59,67.4,12,0.41,10,0,0,2,0,0,1,0.03,1,0,0,0,0,0,62,42,17,3,31,40,77.5,9,34,17,17,120,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Pierre-Emerick Aubameyang,FW,29,30.3,744,701,37,0,3,1,43,3,0,0,0,0,524,6,28,36,"2,726",30,19,6,0,1.86,58,42,16,-0.25,50.4,44.3,6.1,22,5,27,18,4,5,0,0,22.6,18.5,4.2,82,70,228,89,34,14.2,0,-0.6,17,83,417,560,142,1043,55,29,52.7,26,47.3,609,3920,2078,45,30,61,33,816,524,744,70.4,5972,1550,353,430,82.1,94,153,61.4,13,27,48.1,3.5,0.8,33,30,33,4,0,13,23,23,8,17,1,0,0,66,32,83,27.8,60,1.98,42,0,7,5,5,1,11,0.36,6,0,1,2,2,0,21,6,9,6,8,28,28.6,20,26,0,26,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Granit Xhaka,MF,25,27.8,2425,2184,228,95,5,30,129,38,95,38,39,0,1981,13,32,29,"2,498",29,25,0,2,1.86,54,37,17,0.12,45.9,39.5,6.3,4,2,6,4,0,0,10,0,2,2,3.4,37,258,34,29,11,26.5,7,2,99,588,1627,488,9,2691,14,7,50,7,50,1421,6427,3288,28,2,17,17,1858,1981,2425,81.7,35961,10942,869,959,90.6,809,929,87.1,245,416,58.9,3.5,-1.4,40,225,37,9,0,45,52,1,36,29,0,2,0,207,50,41,54.9,80,2.88,60,20,0,0,0,0,5,0.18,1,4,0,0,0,0,52,29,20,3,24,59,40.7,35,35,9,26,88,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Alexandre Lacazette,FW,27,27.8,807,753,52,0,10,4,29,5,0,0,0,0,581,2,39,35,"2,502",27,18,8,2,1.74,51,31,20,0.52,40.1,38.3,1.9,13,8,21,13,0,0,2,0,11.7,11.7,3.7,45,92,265,81,28,14.4,1,1.3,32,92,433,639,178,1149,69,46,66.7,23,33.3,649,3180,1197,30,22,69,61,886,581,807,72,6935,1895,351,442,79.4,117,166,70.5,24,43,55.8,3.4,4.3,31,36,39,3,0,51,54,24,15,16,1,0,0,73,46,93,33.1,84,3.02,55,0,16,6,5,2,15,0.54,10,0,3,1,1,0,35,6,19,10,5,28,17.9,23,27,1,26,50,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Sokratis Papastathopoulos,DF,30,24.4,1395,1343,48,44,1,13,0,4,0,0,0,0,1244,4,4,25,"2,198",25,24,0,3,1.84,44,33,11,-0.36,38.3,33.1,5.2,1,2,3,1,0,0,12,0,0.8,0.8,0.7,14,43,3,11,1,11,0,0.2,170,897,729,34,14,1649,6,6,100,0,0,893,4488,2428,8,2,8,5,1152,1244,1395,89.2,24420,8125,444,467,95.1,615,666,92.3,170,234,72.6,0.6,1.3,5,32,3,0,0,37,25,0,26,25,0,1,0,102,54,44,55.1,13,0.53,11,0,1,0,1,0,2,0.08,2,0,0,0,0,0,42,30,11,1,15,28,53.6,13,34,17,17,68,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Lucas Torreira,MF,22,26.5,1632,1557,68,38,2,10,28,7,23,5,6,1,1405,7,24,34,"2,382",24,20,10,0,1.79,55,38,17,0.21,41,38,3,2,2,4,2,0,0,7,1,1.5,1.5,1.2,28,140,35,25,6,23.1,2,0.5,76,389,1206,340,23,1914,21,13,61.9,8,38.1,1089,5115,2387,25,5,32,28,1276,1405,1632,86.1,23340,6020,632,705,89.6,610,664,91.9,101,153,66,1.6,0.8,16,93,17,1,0,38,77,0,41,39,0,0,0,220,20,26,43.5,49,1.85,31,7,2,1,7,1,9,0.34,5,2,0,0,2,0,65,24,32,9,25,57,43.9,32,34,7,27,106,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Mattéo Guendouzi,MF,19,23.9,1625,1578,41,33,9,12,15,6,2,0,0,0,1409,6,33,33,"2,149",23,19,10,4,1.73,47,32,15,0.13,38.1,32.9,5.2,0,0,0,0,0,0,9,0,0.6,0.6,1.8,71,200,50,16,4,24.4,0,-0.6,42,337,1152,362,14,1836,32,23,71.9,9,28.1,1223,8161,4177,49,5,30,31,1389,1409,1625,86.7,24166,6699,647,707,91.5,590,648,91,129,170,75.9,2.4,-1.8,17,142,23,1,0,24,62,0,30,26,0,0,0,167,18,24,42.9,60,2.51,52,0,5,1,0,2,1,0.04,1,0,0,0,0,0,44,18,23,3,17,47,36.2,30,28,5,23,74,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Alex Iwobi,FW,22,21.9,1028,1006,17,1,3,10,57,15,1,0,0,0,767,5,34,35,"1,970",22,7,13,1,1.83,42,32,10,-0.29,37.8,30.9,6.9,3,6,9,3,0,0,0,0,3.5,3.5,7,132,141,234,35,14,15.8,0,-0.5,16,136,523,651,111,1297,85,46,54.1,39,45.9,895,6277,3756,82,52,69,56,1065,767,1028,74.6,11207,3123,442,515,85.8,259,332,78,37,81,45.7,5.6,-1,40,53,65,8,0,8,13,2,12,14,0,0,0,90,4,21,16,84,3.84,77,1,3,3,0,0,11,0.5,11,0,0,0,0,0,28,10,16,2,6,25,24,19,21,1,20,40,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Sead Kolašinac,DF,25,21,1229,1008,216,11,3,4,51,202,3,1,1,0,951,5,49,24,"1,887",22,16,2,5,1.71,37,29,8,-0.44,32.3,29.2,3.2,0,5,5,0,0,0,5,0,0.4,0.4,6,74,76,179,9,2,17.5,0,-0.4,40,330,602,492,79,1416,24,13,54.2,11,45.8,658,3388,2102,38,24,31,17,862,951,1229,77.4,13166,4258,568,649,87.5,290,371,78.2,40,77,51.9,4.7,-1,31,44,25,9,0,21,10,10,20,21,1,1,0,126,19,28,40.4,49,2.34,42,1,4,0,1,1,10,0.48,9,0,0,0,1,0,34,21,7,6,20,34,58.8,14,12,3,9,54,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Nacho Monreal,DF,32,20.7,1337,1175,162,21,0,3,28,141,0,0,0,0,1146,0,30,22,"1,861",21,20,1,4,2.14,44,24,20,0.85,34.3,29.2,5.1,1,3,4,1,0,0,5,0,1.3,1.3,1.7,32,87,95,7,4,15.2,0,-0.3,76,497,723,319,36,1530,13,7,53.8,6,46.2,743,3253,1768,25,2,10,3,996,1146,1337,85.7,16557,5605,646,694,93.1,386,452,85.4,53,92,57.6,1.3,1.3,11,50,15,3,0,17,21,1,31,17,1,0,0,101,36,38,48.6,36,1.74,29,3,0,1,2,1,8,0.39,6,0,0,0,1,1,35,21,9,5,15,25,60,10,28,10,18,66,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mesut Özil,MF,29,19.3,1177,1092,75,28,7,2,42,7,38,8,9,1,1016,10,14,24,"1,735",20,10,4,3,1.75,35,24,11,-0.02,29.6,26.2,3.4,5,2,7,5,0,0,2,0,1.7,1.7,4.1,75,146,174,11,6,13.7,0,3.3,7,91,609,616,60,1306,33,21,63.6,12,36.4,920,5516,2653,63,13,49,34,1093,1016,1177,86.3,14421,3797,593,656,90.4,293,328,89.3,60,87,69,5,-2.1,45,104,47,8,0,10,22,10,4,5,0,0,0,82,5,12,29.4,84,4.36,68,13,2,1,0,0,9,0.47,8,0,0,1,0,0,12,6,3,3,3,21,14.3,18,10,2,8,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Henrikh Mkhitaryan,FW,29,18.2,876,802,68,11,5,1,63,11,46,7,10,0,655,6,32,25,"1,641",19,11,6,3,1.88,33,26,7,-0.37,32.3,24.6,7.7,6,4,10,6,0,0,1,0,5,5,6.2,68,107,144,49,14,19.1,1,1,23,142,497,513,77,1128,52,20,38.5,32,61.5,579,3791,2033,40,13,50,25,782,655,876,74.8,9240,2668,396,471,84.1,187,239,78.2,32,70,45.7,4.3,-2.2,29,68,30,3,0,27,10,3,16,22,0,0,0,124,21,25,45.7,73,4,56,10,1,4,0,2,11,0.6,10,0,0,1,0,0,28,8,17,3,6,22,27.3,16,34,2,32,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Héctor Bellerín,DF,23,17,958,815,141,9,6,0,39,132,0,0,0,0,794,2,26,19,"1,533",18,15,1,0,1.95,36,21,15,0.55,24.7,20.4,4.3,0,5,5,0,0,0,3,0,0.9,0.9,2.2,48,88,121,18,4,18.5,0,-0.9,48,300,459,364,52,1117,23,15,65.2,8,34.8,577,3433,1794,28,9,20,15,702,794,958,82.9,11966,3670,425,474,89.7,299,357,83.8,43,62,69.4,2.5,2.8,8,38,25,7,0,16,6,1,20,12,0,0,1,79,21,24,46.7,37,2.17,32,0,2,3,0,0,9,0.53,8,0,0,1,0,0,15,8,4,3,6,13,46.2,7,17,5,12,35,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
