Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,A-xAG,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Values
Aaron Ramsdale,GK,24,38,1111,872,237,83,0,6,0,1,0,0,0,0,761,2,3,38,"3,420",38,38,0,0,2.21,88,43,45,0,71.9,42,29.9,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,872,1170,28,0,0,1196,1,1,0,722,3934,2459,1,0,0,0,629,761,1111,18974,13109,190,196,383,390,186,519,0,0,0,30,2,0,0,0,4,0,0,1,0,0,0,33,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20,6,43,136,94,26,6,6,14,5,3,0,2,0,6,40,0.28,-2,109,429,956,174,33.3,153,49.2,381,22,43,16.1,40
Bukayo Saka,FW,20,35.3,1430,1297,131,11,2,3,172,21,99,76,0,2,1054,2,62,38,"3,181",37,23,1,0,2.21,79,42,37,-1.97,64.4,39.4,25,14,11,25,12,2,3,6,0,11.2,9.1,8.5,179,109,520,86,29,16.3,1,2.8,21,160,474,1270,237,1879,161,61,69,1191,8403,4557,92,84,78,59,1361,1054,1430,15405,3694,653,753,292,378,70,164,5.8,2.5,75,50,66,12,0,43,65,9,14,34,0,0,0,127,16,38,161,106,27,8,11,7,2,28,20,4,2,1,0,1,22,15,26,20,44,24,38,0,38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Martin Ødegaard,MF,23,34.7,1804,1683,110,79,23,9,91,13,18,9,6,1,1449,11,45,37,"3,127",37,14,0,0,2.19,82,38,44,0.96,67.1,37.5,29.6,15,7,22,15,0,0,4,0,10,10,8.1,83,266,193,93,31,19.2,9,5,27,199,864,1060,122,2100,83,48,29,1284,6930,3022,60,26,42,45,1550,1449,1804,22540,6014,759,873,518,617,110,175,7.9,-1.1,76,135,91,4,0,30,26,1,6,23,0,0,0,178,13,20,163,123,15,4,12,6,3,17,15,0,0,2,0,0,12,14,10,14,47,33,20,5,15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Ben White,DF,24,33.9,2242,1951,285,57,6,13,57,228,0,0,0,0,1888,6,27,38,"3,055",36,21,2,0,2.21,80,35,45,1.33,63.3,36.7,26.7,2,5,7,2,0,0,5,0,1.3,1.3,3.2,64,249,124,10,2,16.7,0,0.7,103,554,1305,685,48,2532,29,8,15,1448,6506,3565,46,3,27,7,1698,1888,2242,31271,10700,893,974,851,972,107,205,3.7,1.8,26,226,42,12,0,28,30,1,22,31,0,0,0,155,33,41,64,56,7,0,0,1,0,13,12,1,0,0,0,0,23,30,7,42,70,28,47,11,36,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Granit Xhaka,MF,29,33.3,1632,1574,55,34,6,6,39,19,1,0,0,0,1382,3,27,37,"2,993",36,24,1,0,2.24,75,35,40,0.15,60.7,36.5,24.3,7,7,14,7,0,0,4,0,4.7,4.7,5.2,42,196,175,40,14,16.6,3,2.3,84,341,900,658,106,1891,28,15,10,1113,4243,2162,38,9,35,25,1397,1382,1632,22642,5919,675,762,552,635,113,139,4,1.8,47,148,40,4,0,26,39,5,15,27,0,0,0,152,37,30,110,94,3,5,4,3,1,17,16,0,0,1,0,0,11,18,5,16,41,25,28,10,18,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Gabriel Martinelli,FW,21,31,1107,1013,88,12,8,2,113,11,63,40,0,0,833,6,44,36,"2,789",34,16,2,0,2.25,72,33,39,0.4,59.9,35.7,24.3,15,5,20,15,0,0,3,0,9.3,9.3,9.1,124,94,350,79,30,15.4,2,5.7,19,129,419,965,223,1490,132,59,55,1019,7180,3297,65,70,83,56,1115,833,1107,12960,2610,447,527,295,356,61,123,7,-4.1,59,33,43,10,0,39,37,8,9,18,0,0,0,103,14,63,127,89,8,12,12,4,2,17,10,0,2,5,0,0,13,12,6,9,22,13,24,1,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Thomas Partey,MF,29,27.6,1985,1923,59,32,11,12,9,27,0,0,0,0,1731,3,20,33,"2,483",28,21,5,0,2.27,69,28,41,1.1,54.7,31.9,22.8,3,0,3,3,0,0,5,0,2.2,2.2,1.5,34,231,35,28,4,20.4,0,0.8,78,418,1406,466,29,2267,45,35,8,1398,6866,3847,38,3,33,19,1654,1731,1985,30132,9207,804,876,712,801,178,240,2.4,-1.5,26,231,24,2,0,37,23,0,28,40,0,0,0,225,37,25,71,62,2,1,2,1,3,6,6,0,0,0,0,0,20,35,15,25,52,27,26,5,21,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
William Saliba,DF,21,26.8,1865,1822,43,34,0,2,1,0,0,0,0,0,1698,0,8,27,"2,415",27,26,0,0,2.44,61,25,36,0.54,51.9,26.2,25.7,2,1,3,2,0,0,4,0,0.9,0.9,1.2,13,99,2,6,3,13.8,0,1.1,174,905,1094,64,15,2056,11,8,1,1323,6658,3908,14,1,15,6,1423,1698,1865,29692,11617,715,767,844,905,108,144,0.3,-0.2,6,111,3,0,0,19,13,0,19,20,0,2,1,206,53,43,14,11,2,1,0,0,0,2,2,0,0,0,0,0,23,9,2,15,18,3,13,10,3,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Oleksandr Zinchenko,DF,25,23.5,1911,1703,203,49,6,12,37,153,1,0,0,0,1652,5,29,27,"2,118",26,8,1,0,2.26,54,28,26,-0.21,45.5,26.5,19,1,2,3,1,0,0,3,0,1.4,1.4,1.4,67,227,68,28,7,22.7,0,-0.4,77,463,1058,610,33,2112,25,15,9,1263,6899,3787,66,8,16,15,1398,1652,1911,27023,7899,808,876,696,798,105,148,2.4,0.6,19,201,41,4,0,6,11,1,22,18,0,0,0,163,51,20,56,49,1,0,4,1,1,4,3,0,0,1,0,0,14,17,9,21,40,19,20,2,18,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Gabriel Jesus,FW,25,22.9,699,635,62,4,4,5,11,12,0,0,0,0,561,2,19,26,"2,064",24,11,2,0,2.23,53,23,30,0.31,43.2,23.2,20,11,6,17,10,1,1,6,0,14,13.2,3.9,44,64,194,76,31,10.6,0,-3,26,110,406,573,191,1079,111,44,49,642,3467,1517,31,28,88,65,799,561,699,8525,1644,297,349,206,234,28,45,2.9,2.1,31,31,22,2,0,43,56,16,11,25,2,0,0,79,44,78,83,43,1,12,11,13,3,12,8,0,1,1,2,0,16,8,9,15,31,16,27,3,24,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
