Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,A-xAG,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Values
Jack Grealish,FW,23,35.9,1546,1329,212,80,2,17,141,29,77,51,5,5,1219,5,43,36,"3,233",36,35,0,0,0.97,39,63,-24,0.29,42.6,62.7,-20.1,8,6,14,8,0,1,8,0,6.8,6,7.4,212,197,209,72,23,18.5,1,1.2,43,285,753,939,130,1932,117,73,44,1381,11836,6064,127,72,71,59,1438,1219,1546,20682,5789,589,662,449,530,134,229,6.5,-1.4,91,102,68,7,0,34,167,4,22,19,0,0,0,188,20,26,198,136,20,14,2,25,1,18,12,1,2,0,3,0,12,12,5,13,34,21,33,12,21,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Tyrone Mings,DF,26,32.2,1400,1342,55,50,0,20,7,5,0,0,0,0,1085,3,13,33,"2,902",33,32,0,0,0.97,36,53,-17,1.04,38.3,53.2,-14.9,2,2,4,2,0,0,7,0,0.8,0.8,0.7,12,60,11,8,3,9.9,0,1.2,357,1094,627,55,23,1754,12,12,0,987,5906,2717,6,0,10,5,1007,1085,1400,23447,8852,290,329,624,680,158,355,0.4,1.3,7,57,4,1,0,20,11,2,30,11,0,1,0,201,67,44,17,16,1,0,0,0,0,1,1,0,0,0,0,0,11,3,1,10,13,3,56,48,8,190,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5
Douglas Luiz,MF,21,29,1243,1173,66,40,4,20,24,7,3,0,1,0,1010,4,11,36,"2,612",28,24,8,1,0.94,29,51,-22,-0.31,32,52.8,-20.8,3,2,5,3,0,0,8,0,2.6,2.6,1.7,35,143,46,38,12,24,3,0.4,104,405,882,287,29,1551,45,35,10,821,4977,2605,23,2,38,22,922,1010,1243,19047,5278,400,460,454,536,131,191,1.6,0.3,17,106,17,5,0,51,36,0,36,24,0,1,0,205,30,35,54,44,1,3,2,3,1,3,3,0,0,0,0,0,25,17,4,19,65,46,42,15,27,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
John McGinn,MF,24,25.7,794,701,84,28,3,26,66,4,24,20,0,0,600,9,22,28,"2,312",27,21,1,0,0.89,29,41,-12,0.67,32.3,41.6,-9.3,3,3,6,3,0,0,3,0,3.9,3.9,2.5,38,113,84,55,20,21.3,1,-0.9,40,194,507,424,62,1099,72,53,19,637,3834,1749,28,9,41,49,676,600,794,12378,3698,219,258,252,305,112,172,2.4,0.5,37,80,31,7,0,37,66,0,25,35,0,0,0,151,19,30,92,68,9,8,2,3,2,9,6,2,0,0,1,0,19,23,11,18,62,44,25,1,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Matt Targett,DF,23,25.5,1229,988,236,30,3,12,81,196,10,9,0,0,883,5,25,28,"2,291",27,22,1,2,1,30,40,-10,0.88,31.7,45.3,-13.6,1,2,3,1,0,0,4,0,0.4,0.4,2.6,22,115,81,7,4,16.5,1,0.6,117,497,635,392,26,1508,21,8,13,641,2549,1376,29,5,16,14,770,883,1229,14497,6305,485,543,305,421,75,193,2.8,-0.6,26,76,27,11,0,27,17,0,56,29,0,0,0,122,36,37,60,48,8,0,1,1,2,5,4,0,0,1,0,0,37,11,4,22,53,31,28,8,20,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5
Ezri Konsa,DF,21,22.7,877,769,107,17,0,3,13,90,0,0,0,0,677,1,8,25,"2,039",24,19,1,13,1.08,23,39,-16,-0.05,24.1,39.6,-15.5,1,2,3,1,0,0,3,0,1.5,1.5,1,8,53,13,11,4,13,0,-0.5,116,489,517,100,21,1094,10,7,3,523,2275,1240,9,0,8,5,585,677,877,12291,4688,280,320,331,400,58,129,0.3,1,11,42,5,5,0,17,32,1,25,9,0,1,0,100,47,45,15,9,1,1,2,2,0,1,0,0,0,1,0,0,12,6,0,7,16,9,34,24,10,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Frederic Guilbert,DF,24,22.7,1046,824,216,15,0,8,91,200,1,0,0,0,679,6,35,25,"2,041",22,19,3,6,1.04,29,36,-7,0.93,27.8,43.3,-15.4,0,2,2,0,0,0,7,0,0.3,0.3,1.5,56,81,96,8,3,21.8,0,-0.3,105,443,593,361,10,1385,48,23,25,518,3068,1762,42,1,30,14,636,679,1046,11643,4660,355,445,242,365,68,169,0.9,0.5,13,66,21,14,0,36,21,2,49,43,0,0,0,104,46,68,39,33,5,0,1,0,0,5,4,1,0,0,0,0,48,20,6,36,67,31,33,10,23,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Wesley Moraes,FW,22,19.8,379,373,4,0,0,5,7,3,0,0,0,0,265,2,11,21,"1,782",21,13,0,0,1,26,31,-5,0.9,23.9,38.4,-14.5,5,1,6,5,0,1,3,0,6.4,5.5,1,13,21,89,34,17,12.6,0,-1.4,29,46,264,270,79,576,24,12,12,303,1385,341,10,6,58,18,441,265,379,3721,584,164,217,66,89,18,26,0.7,0,11,17,1,0,0,43,14,14,4,8,0,0,0,26,69,88,32,25,0,2,4,1,0,3,3,0,0,0,0,0,3,8,4,0,5,5,10,2,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Trézéguet,FW,24,21.7,441,416,23,3,0,1,67,8,11,4,4,0,291,2,17,34,"1,950",20,5,14,3,0.91,22,28,-6,0.95,20.6,37.7,-17.1,6,1,7,6,0,0,4,1,4.7,4.7,1,59,37,170,50,17,17.4,4,1.3,21,128,267,384,74,762,64,30,34,477,3260,1733,46,18,71,20,495,291,441,4192,1096,174,210,80,137,21,46,1.2,0,21,19,13,7,1,35,32,6,25,16,1,0,0,79,28,44,55,32,4,7,7,5,0,4,1,0,1,0,2,0,18,15,5,9,44,35,23,2,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Tom Heaton,GK,33,19.9,628,350,276,81,0,0,0,0,0,0,0,0,371,2,0,20,"1,794",20,19,0,0,1.05,26,35,-9,0.49,25.4,39.8,-14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,668,12,1,0,681,0,0,0,259,1861,1376,0,0,2,0,203,371,628,11773,9472,61,61,176,180,133,383,0,0,0,7,0,0,0,1,2,0,0,2,0,1,1,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,1,0,0,0,6,0,35,102,68,6,3,11,4,3,3,0,0,1,7,28.4,0.26,-5.6,112,358,431,99,39.5,195,50.5,379,11,13,12.1,4.8
