Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Ezri Konsa,DF,24,36.9,1898,1806,88,60,1,6,4,18,0,0,0,0,1681,4,14,38,"3,322",37,36,1,0,1.61,49,45,-0.81,47.7,51.1,0,0,0,0,0,0,6,0,1.1,1.1,1.3,7,56,11,8,0,8,0,-1.1,349,1280,850,70,22,2192,15,5,3,1375,6226,3596,9,0,15,5,1533,1681,1898,30731,10578,608,663,938,997,120,202,0.7,8,70,4,2,0,12,64,0,26,20,0,0,0,164,55,37,15,13,0,0,1,1,0,2,2,0,0,0,0,0,25,15,2,18,26,8,41,23,18,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Emiliano Martínez,GK,29,34.9,1388,1043,340,128,1,5,0,0,0,0,0,0,1026,5,1,36,"3,139",36,34,0,1,1.61,47,38,1.54,46.5,43.9,0,0,0,0,0,0,7,0,0,0,0.3,0,0,0,0,0,0,0,0,1218,1463,17,0,0,1479,0,0,0,851,4474,2627,0,0,2,0,707,1026,1388,27095,17857,218,219,520,527,286,633,0.3,2,21,0,0,0,1,6,0,1,0,0,1,1,41,13,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,23,1,38,132,97,17,7,12,11,5,4,1,0,1,6,36.6,0.24,2.6,199,523,1171,135,33,212,40.7,483,60,73,16.6,28
Ollie Watkins,FW,26,34.7,566,554,9,0,0,2,9,3,0,0,0,0,391,3,13,37,"3,127",36,26,1,0,1.57,47,40,0.82,44.8,47.1,15,6,21,14,1,2,4,0,16.5,14.9,3.8,50,39,196,84,45,12.6,0,-1.5,47,86,365,488,164,925,65,18,36,475,2519,1164,24,32,82,39,684,391,566,4682,840,261,344,84,122,12,15,2.7,31,23,16,2,0,26,39,18,10,13,1,0,0,59,70,100,79,51,0,6,11,11,0,14,6,0,2,5,1,0,3,13,3,10,27,17,21,4,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Tyrone Mings,DF,29,35,1899,1811,85,64,1,15,3,6,0,0,0,0,1617,3,10,35,"3,150",35,35,0,1,1.74,50,40,1.95,48.8,48,1,2,3,1,0,0,7,0,1.2,1.2,1.4,20,111,7,7,2,12.1,0,-0.2,384,1276,877,81,21,2228,12,6,3,1379,7995,4556,21,3,8,7,1486,1617,1899,30932,11677,532,586,913,984,153,286,0.9,5,106,6,0,0,18,22,3,54,7,1,0,1,174,61,24,23,17,0,0,2,4,0,4,2,0,0,1,1,0,10,5,0,9,20,11,40,21,19,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Douglas Luiz,MF,24,32.5,1812,1593,216,120,6,10,106,6,89,53,13,1,1494,3,16,37,"2,927",33,23,4,1,1.57,46,33,1.86,43.3,41.5,6,6,12,6,0,0,6,1,2.8,2.8,4.4,48,148,35,34,12,25,7,3.2,75,534,1161,443,19,2117,44,24,14,1142,6297,2922,39,4,36,33,1326,1494,1812,26492,6527,613,680,665,768,158,277,2.9,45,123,19,4,0,48,42,2,40,42,0,0,0,197,25,22,96,61,26,4,1,1,3,12,9,1,0,0,0,2,31,32,10,30,63,33,36,7,29,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Jacob Ramsey,MF,21,29.3,889,880,3,2,3,3,18,1,0,0,0,0,728,6,26,35,"2,636",31,16,4,0,1.63,40,33,0.47,38.9,40.7,6,7,13,6,0,0,5,0,5,5,5.1,94,98,119,33,13,15.9,0,1,57,238,609,422,85,1245,77,31,31,752,5322,2656,62,21,62,37,819,728,889,10240,2665,444,500,217,266,34,46,2.9,42,67,28,4,0,35,45,2,23,39,0,1,1,141,16,33,81,69,0,4,2,5,1,11,8,0,1,1,1,0,23,35,11,32,69,37,48,8,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
John McGinn,MF,27,29.9,1028,965,56,25,11,10,50,1,25,18,0,0,805,7,20,34,"2,693",30,22,4,1,1.59,36,31,0.17,39.4,38,1,3,4,1,0,0,7,0,2.4,2.4,2.6,34,140,66,42,11,23.6,0,-1.4,37,218,756,388,45,1348,70,45,14,804,4072,1799,35,8,58,35,888,805,1028,14385,4830,374,430,309,373,101,165,3.3,18,114,20,5,0,41,66,0,24,36,2,0,0,176,22,21,80,56,10,5,3,5,1,10,7,1,0,0,2,0,27,29,10,34,71,37,43,4,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Emi Buendía,MF,25,26.8,1020,954,63,7,11,7,18,7,5,2,0,1,787,3,38,38,"2,412",27,8,11,0,1.61,40,34,0.31,36.9,37.2,5,2,7,5,0,0,0,0,6.3,6.3,5.7,60,138,137,49,11,15.9,2,-1.3,38,202,634,516,93,1336,59,27,26,829,3957,1970,46,19,63,58,955,787,1020,12082,3091,434,513,255,323,63,90,4.2,41,84,41,0,0,43,44,1,20,23,0,0,0,138,23,54,90,72,2,8,3,4,1,10,7,0,1,2,0,0,20,20,12,21,74,53,20,2,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Leon Bailey,FW,24,21.9,547,507,40,4,4,5,96,10,18,13,0,0,337,0,31,33,"1,967",26,4,7,0,1.61,27,32,-0.85,30.7,35.5,4,4,8,4,0,0,4,0,5.3,5.3,4.8,85,28,182,51,14,18.1,3,-1.3,16,91,283,456,89,813,111,40,55,520,4022,1703,33,38,48,53,561,337,547,5379,1285,190,248,97,154,35,75,4.8,30,19,21,15,0,29,22,9,6,6,0,1,0,72,24,46,62,40,2,10,7,3,0,8,5,0,0,3,0,0,6,7,1,5,20,15,13,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Ashley Young,DF,37,22.6,1188,945,235,57,2,12,42,172,6,2,1,2,897,8,28,29,"2,036",23,15,6,9,1.69,27,28,-0.43,25.9,32,1,0,1,1,0,0,7,0,0.5,0.5,1,29,107,33,15,3,25.1,0,0.5,86,502,675,252,10,1411,22,8,10,701,3235,1554,20,4,18,5,767,897,1188,16006,6166,415,468,396,490,77,177,0.8,14,82,18,5,0,24,28,1,21,27,0,1,0,131,13,11,40,34,3,2,1,0,0,2,2,0,0,0,0,0,34,15,1,37,49,12,25,11,14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
Boubacar Kamara,MF,22,19.7,941,907,34,32,2,10,1,0,0,0,0,0,798,0,20,24,"1,777",21,14,3,0,1.63,28,30,-0.48,24.2,33.1,0,1,1,0,0,0,4,0,0.2,0.2,0.8,16,84,8,4,1,29.7,0,-0.2,65,362,662,132,10,1145,35,16,12,622,2571,1173,11,1,20,14,713,798,941,13161,3895,395,441,303,334,67,95,0.7,7,61,6,0,0,34,31,0,19,25,0,0,0,126,22,17,23,19,0,1,0,3,0,4,2,0,1,0,1,0,25,23,10,27,56,29,38,12,26,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Matty Cash,DF,24,20.2,1006,809,194,18,2,6,46,176,0,0,0,0,777,3,24,26,"1,820",20,15,6,1,1.46,28,29,-0.39,28.7,27.4,0,1,1,0,0,0,4,0,0.2,0.2,0.7,42,75,57,7,1,26.9,0,-0.2,76,423,545,258,11,1215,33,16,9,610,3143,1677,33,4,24,7,652,777,1006,13672,4595,345,384,361,441,61,139,0.9,8,57,15,9,0,21,15,2,26,32,0,1,0,108,12,13,28,25,0,1,0,1,1,3,2,0,0,0,0,1,36,15,4,26,37,11,20,5,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Lucas Digne,DF,29,16.7,927,749,177,23,0,4,77,142,12,5,4,0,696,1,23,28,"1,502",18,10,10,4,1.46,22,25,-0.56,19.9,25.7,1,0,1,1,0,0,5,0,0.4,0.4,1.9,29,57,89,8,3,20.5,4,0.6,64,365,396,342,24,1096,18,3,11,552,2363,1262,14,2,16,12,625,696,927,11016,4245,387,432,247,337,49,105,1.9,18,40,23,14,0,19,23,2,18,12,0,1,1,86,26,17,29,24,4,0,0,1,0,0,0,0,0,0,0,0,20,9,1,20,33,13,18,5,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Álex Moreno,DF,29,14.8,745,609,134,18,1,0,48,116,0,0,0,0,581,2,32,19,"1,329",14,5,5,0,1.89,23,10,1.22,19.7,18.6,0,3,3,0,0,0,3,0,0.6,0.6,3,65,37,122,13,3,18.4,0,-0.6,60,327,337,293,43,949,57,23,27,510,3260,1642,29,16,38,15,570,581,745,8535,2588,319,373,217,267,24,42,2.6,22,15,30,14,0,17,11,0,7,14,0,0,0,69,9,12,34,31,0,2,1,0,0,3,3,0,0,0,0,0,15,5,3,13,36,23,18,3,15,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Danny Ings,FW,30,9.2,162,152,10,0,4,0,4,0,0,0,0,0,114,0,6,18,824,8,3,10,1,1.33,9,13,-0.75,13.6,12.6,6,0,6,4,2,2,3,0,5.3,3.8,1.2,15,12,46,25,12,15.5,0,0.7,12,26,106,139,49,265,16,10,6,163,718,260,6,9,20,17,186,114,162,1371,289,76,97,27,34,3,12,0.6,9,7,4,0,0,8,5,9,1,5,0,0,0,19,16,12,16,12,0,2,2,0,0,1,0,0,1,0,0,0,1,6,3,1,6,5,12,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
