Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Jefferson Lerma,MF,27,36.1,1611,1551,59,46,7,7,11,11,0,0,0,0,1317,1,24,37,"3,252",37,33,0,0,1.05,34,67,-0.38,35.7,60.5,5,0,5,5,0,0,7,0,2.6,2.6,2.3,22,142,30,35,10,17.6,0,2.4,165,587,1030,338,44,1934,23,13,9,946,3761,1861,32,1,24,17,1162,1317,1611,20458,7229,695,793,502,581,77,146,3.1,18,126,23,2,0,37,33,2,47,30,0,2,1,260,62,40,47,42,2,0,2,1,0,1,1,0,0,0,0,0,23,23,4,20,45,25,32,15,17,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Adam Smith,DF,31,32.7,1264,987,276,22,0,2,48,254,0,0,0,0,953,1,29,37,"2,943",34,25,3,0,1.05,34,58,1.15,33.5,53.2,0,1,1,0,0,0,11,0,0.5,0.5,1.3,28,83,54,5,1,16.2,0,-0.5,112,602,650,296,17,1527,30,6,17,647,2762,1368,21,3,21,4,771,953,1264,16233,6898,450,513,398,501,88,194,1.5,16,70,28,19,0,29,27,0,25,29,0,1,0,128,29,38,29,25,1,0,2,0,1,2,2,0,0,0,0,0,27,19,3,29,60,31,30,13,17,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
Philip Billing,MF,26,30.7,1055,1009,43,20,5,10,38,6,10,5,1,0,813,3,32,36,"2,764",34,11,2,0,1.06,32,54,0.93,31.5,48.9,7,1,8,7,0,0,5,0,4.9,4.9,3.2,37,80,101,38,18,18.3,5,2.1,76,334,666,428,71,1410,47,26,15,727,3695,1690,31,6,42,35,900,813,1055,11823,3165,460,542,257,317,45,94,2.6,26,49,9,3,0,30,35,3,31,36,0,0,0,146,52,35,54,41,2,5,5,1,0,6,4,0,0,2,0,0,21,33,9,11,40,29,48,8,40,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Dominic Solanke,FW,24,31.8,533,479,52,0,3,1,13,4,0,0,0,0,363,2,34,33,"2,860",32,19,1,0,1.15,35,52,2.2,34.5,51.4,6,7,13,6,0,0,2,0,9.1,9.1,3.9,70,47,167,76,28,12.8,0,-3.1,54,157,423,454,159,1012,110,45,54,637,4479,1723,40,36,134,74,730,363,533,4673,1106,225,294,101,135,14,24,2.4,21,22,17,1,0,40,53,11,6,9,0,0,0,87,52,98,61,36,1,11,10,2,1,13,10,1,0,2,0,0,8,3,4,5,22,17,26,7,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Neto,GK,33,26.5,833,513,319,88,0,1,0,0,0,0,0,0,521,1,0,27,"2,385",27,26,0,3,1.22,27,39,1.46,30.7,44,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,768,890,6,0,0,895,1,1,0,446,2814,2029,0,0,1,0,271,521,833,15893,12592,109,111,194,201,211,513,0,0,14,2,0,0,0,4,0,0,1,0,0,0,21,4,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,3,3,0,0,0,0,10,3,39,138,100,9,6,12,6,5,4,0,1,0,8,39.7,0.26,1.7,160,437,601,136,37.8,231,44.6,510,35,25,12.1,2.5
Chris Mepham,DF,24,24.4,1041,1001,37,21,0,4,0,16,0,0,0,0,870,3,7,26,"2,199",24,23,2,7,1,23,52,-0.82,20.5,41.5,0,0,0,0,0,0,7,0,0.7,0.7,0.2,2,42,1,8,4,9.8,0,-0.7,285,852,455,36,14,1336,7,3,3,650,3099,1628,6,2,4,3,788,870,1041,16273,5694,309,346,478,525,75,142,0.6,4,42,2,0,0,16,7,0,30,22,0,0,2,85,53,31,8,6,0,0,2,0,0,0,0,0,0,0,0,0,37,8,0,19,30,11,40,27,13,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Lloyd Kelly,DF,23,22.7,1164,1020,140,29,2,11,14,109,0,0,0,0,934,4,12,23,"2,040",23,22,0,0,1.13,19,38,0.14,22.2,36.2,0,2,2,0,0,0,3,0,0.2,0.2,0.5,14,47,10,3,0,8.9,0,-0.2,185,752,526,124,9,1394,7,1,5,705,3316,1879,4,0,16,4,806,934,1164,17585,7174,352,387,461,510,104,227,0.8,7,73,9,3,0,17,5,0,26,18,0,1,0,131,36,20,16,13,1,0,1,1,0,2,2,0,0,0,0,0,23,9,1,13,19,6,26,15,11,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Ryan Christie,MF,27,20.4,651,621,28,3,6,7,32,4,20,11,5,0,521,2,16,32,"1,834",22,5,10,6,1.09,19,35,0.24,21.2,30.8,1,1,2,1,0,0,2,0,2.8,2.8,2.4,39,71,71,33,9,14,0,-1.8,39,187,421,350,61,940,86,37,42,559,3396,1462,34,13,49,33,592,521,651,8356,2028,279,327,175,196,47,81,2,30,43,19,2,0,36,45,1,26,22,0,0,0,132,16,23,66,48,5,5,5,3,0,4,3,0,0,1,0,0,10,23,1,14,49,35,16,4,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Lewis Cook,MF,25,19.1,751,692,56,32,1,3,45,0,15,15,0,0,593,3,20,28,"1,720",18,14,10,5,0.89,18,39,-0.41,15.8,31.7,0,2,2,0,0,0,4,0,0.2,0.2,2.5,9,63,10,6,0,28.7,2,-0.2,67,290,472,184,9,935,19,7,10,426,2198,819,18,1,15,16,517,593,751,9922,3136,291,330,238,274,48,93,2.3,24,55,14,9,0,15,10,0,23,22,0,0,0,129,7,10,39,27,8,0,0,1,3,4,2,1,0,0,0,1,10,22,5,18,42,24,29,10,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Jack Stephens,DF,28,13,543,538,5,4,2,2,2,1,0,0,0,0,446,0,6,15,"1,173",13,13,2,15,1.4,16,22,0.66,20.1,24.1,0,0,0,0,0,0,3,0,0.4,0.4,0.2,7,34,3,2,1,5.2,0,-0.4,125,364,275,28,7,665,3,3,0,368,1674,863,3,0,5,1,398,446,543,8713,3133,156,173,233,263,53,94,0.2,3,37,3,2,0,8,2,0,16,11,0,0,0,66,16,19,10,9,0,0,1,0,0,1,1,0,0,0,0,0,10,4,1,6,10,4,23,16,7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Mark Travers,GK,23,11.5,368,214,154,35,0,0,0,1,0,0,0,0,281,0,0,12,"1,035",11,11,1,26,0.5,10,32,-1.46,7.9,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,401,1,0,0,402,0,0,0,182,884,457,0,0,0,0,145,281,368,7963,5655,97,97,101,102,82,168,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,32,66,36,2,0,9,2,2,2,0,0,0,8,24,0.34,-6,71,154,250,54,31.9,118,43.8,229,5,5,10.5,2
Ryan Fredericks,DF,29,5.9,220,177,43,1,0,0,15,42,0,0,0,0,149,0,11,12,533,5,1,7,2,1,11,11,1.06,6.7,10,0,0,0,0,0,0,1,0,0,0,0.1,13,15,28,0,0,0,0,0,33,88,109,84,7,279,10,3,5,120,725,395,9,2,4,3,152,149,220,2139,735,85,96,55,88,4,15,0.3,1,5,6,1,0,3,1,0,1,2,0,0,0,13,5,10,5,4,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,1,4,3,7,2,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
