Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Pontus Jansson,DF,30,36.9,1507,1448,55,40,1,3,1,13,0,0,0,0,1218,4,7,37,"3,321",37,36,0,0,1.16,46,56,-2.09,44.1,48,3,1,4,3,0,0,7,0,3,3,0.3,4,67,5,22,10,8.9,0,0,389,1176,650,71,57,1893,2,2,0,919,3896,2019,5,1,10,5,1025,1218,1507,22414,7103,421,498,703,821,77,145,0.6,5,35,0,0,0,15,8,5,52,21,1,0,0,166,102,81,14,7,0,0,6,1,0,4,1,0,0,2,1,0,32,8,0,22,34,12,37,27,10,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Christian Nørgaard,MF,27,33.9,1685,1590,91,35,6,9,13,3,0,0,0,0,1337,4,28,35,"3,054",35,30,0,0,1.29,44,51,0.04,41.7,44.8,3,4,7,3,0,0,8,0,3.8,3.8,3.3,17,169,31,27,8,14.1,0,-0.8,109,571,1219,308,59,2079,27,18,9,879,3316,1627,22,3,26,26,1104,1337,1685,21669,6947,667,789,543,651,87,145,2.9,29,149,24,3,0,56,33,0,64,60,0,0,0,270,50,68,58,50,0,2,3,2,1,6,6,0,0,0,0,0,42,58,9,52,101,49,48,9,39,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Bryan Mbeumo,FW,21,32.3,817,762,49,20,5,3,75,6,21,14,2,1,527,6,35,35,"2,905",34,22,1,1,1.23,41,47,0.16,41.2,39.5,4,7,11,3,1,1,4,0,9.3,8.5,3.7,81,56,273,76,19,16.3,4,-5.3,18,126,427,655,137,1187,80,39,41,713,4405,2052,39,33,87,57,828,527,817,7739,1649,315,409,149,229,38,81,3.3,34,33,28,7,0,20,38,13,11,16,0,0,0,130,29,103,86,53,10,10,6,7,0,12,10,1,0,0,1,0,1,12,15,6,20,14,21,6,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Rico Henry,DF,24,30.8,1215,1092,120,5,0,0,74,115,0,0,0,0,876,3,40,34,"2,776",33,24,1,0,1.26,40,41,0.95,38.4,39.7,3,0,3,3,0,0,2,0,1.5,1.5,1.7,61,81,131,14,5,16.7,0,1.5,95,502,620,436,40,1542,60,27,33,783,4164,1967,39,12,40,34,836,876,1215,13166,4427,504,592,287,396,58,132,2.2,18,60,29,15,0,20,27,1,26,20,0,1,0,189,27,40,50,41,2,5,0,2,0,4,2,1,1,0,0,0,18,8,2,12,34,22,31,10,21,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Ivan Toney,FW,25,32.3,779,756,17,4,16,2,28,12,0,0,0,0,440,6,28,33,"2,909",32,32,1,0,1.24,43,47,0.58,40.5,40.9,12,5,17,7,5,5,8,0,11.4,7.4,5.8,28,83,168,83,24,15.8,0,0.6,53,144,515,550,158,1193,50,24,26,640,2577,1042,26,13,109,44,910,440,779,5786,2033,266,411,108,204,23,51,5.6,43,56,25,2,0,50,80,25,14,21,3,0,0,105,147,114,94,57,1,2,18,14,2,10,5,0,1,0,4,0,5,20,8,12,38,26,16,2,14,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Ethan Pinnock,DF,28,29.9,1647,1391,248,46,0,8,21,202,0,0,0,0,1218,8,16,32,"2,694",32,28,0,0,1.13,35,43,-0.27,34.8,36.4,1,1,2,1,0,0,1,0,1.2,1.2,1.2,11,77,18,16,8,10,0,-0.2,263,1063,720,217,55,1993,11,9,2,830,3502,2200,7,0,12,7,983,1218,1647,21899,8784,506,605,591,768,105,227,1.4,11,81,6,4,0,9,14,1,44,35,0,0,0,141,142,71,31,22,6,0,2,0,1,4,2,1,0,1,0,0,37,12,2,25,38,13,30,11,19,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Vitaly Janelt,MF,23,25.5,1005,941,60,28,4,8,40,11,12,10,2,0,755,4,17,31,"2,298",27,13,4,1,1.29,35,37,0.4,31.6,31.1,4,0,4,4,0,0,3,0,2.4,2.4,1.9,25,103,60,30,12,18.4,0,1.6,62,365,597,296,46,1253,15,13,2,605,2731,1369,24,4,35,11,739,755,1005,12860,4122,341,413,321,388,65,136,2,23,80,13,3,0,26,25,3,28,32,0,0,0,143,33,25,57,42,3,2,6,2,2,3,2,0,0,1,0,0,26,27,8,27,53,26,23,7,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Sergi Canós,DF,24,23.1,774,726,46,10,5,3,87,17,17,10,4,0,449,2,41,31,"2,083",25,9,6,2,1.06,25,35,-0.57,25.2,29,3,2,5,3,0,0,8,1,3,3,1.7,52,59,100,33,12,16.3,1,0,64,303,444,339,50,1070,50,23,27,581,3331,1833,44,12,47,25,601,449,774,7092,2936,253,316,140,235,38,134,2.3,17,47,24,9,1,28,15,5,22,25,0,0,1,183,9,27,37,29,3,3,2,0,0,5,3,1,0,1,0,0,32,15,9,33,60,27,32,3,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
David Raya,GK,25,24,1085,798,280,78,0,3,0,0,0,0,0,0,737,7,3,24,"2,160",24,24,0,0,1.46,33,27,1.25,31.2,29.4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,874,1106,33,0,0,1139,0,0,0,691,3813,2250,0,0,2,0,576,737,1085,22782,17533,137,138,302,310,296,625,0.1,1,45,0,0,0,1,2,0,0,0,0,1,0,29,9,2,7,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,1,27,103,76,10,5,9,8,4,4,0,0,1,3,26.2,0.22,-0.8,225,527,876,118,36.2,202,49.9,402,27,35,15.8,22
Kristoffer Ajer,DF,23,22.2,892,734,154,6,2,3,17,148,0,0,0,0,627,4,28,24,"1,995",23,17,1,3,1.29,28,31,0.18,27.7,29.8,1,3,4,1,0,0,5,0,0.8,0.8,1.7,30,82,29,7,1,8.8,0,0.2,108,442,484,181,31,1101,18,13,5,488,2991,1717,25,2,25,7,530,627,892,10133,4740,303,372,255,342,47,105,1.8,8,41,13,2,0,12,16,0,26,18,0,0,0,109,49,31,33,22,6,2,1,1,1,7,3,1,2,0,1,0,21,6,2,13,21,8,19,11,8,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
