Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Pascal Groß,MF,31,36,2347,2004,333,87,9,20,224,86,140,60,60,2,1879,10,50,37,"3,239",37,30,0,0,1.59,70,51,0.53,69.7,47.3,9,8,17,9,0,0,6,0,5.4,5.4,10.9,62,255,209,39,19,17.4,1,3.6,77,466,1225,924,98,2602,33,17,13,1453,6723,3125,52,8,39,18,1832,1879,2347,30182,8776,988,1079,681,809,147,316,8.8,80,157,69,13,0,35,18,10,13,38,0,1,1,140,10,36,138,90,40,1,5,1,1,12,10,2,0,0,0,0,23,27,9,25,55,30,32,10,22,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Lewis Dunk,DF,30,36,3223,3064,156,111,4,21,2,10,0,0,0,0,2911,3,13,36,"3,239",36,35,0,2,1.69,70,50,1.05,69.7,45.4,1,0,1,1,0,0,4,0,1.7,1.7,1,19,158,5,22,3,11.7,1,-0.7,428,1665,1712,97,34,3461,5,4,0,2294,11410,6327,21,0,13,5,2586,2911,3223,54839,19942,1066,1128,1525,1600,279,428,0.9,9,178,9,1,0,18,27,1,34,19,0,4,1,253,68,47,32,31,0,0,1,0,0,2,2,0,0,0,0,0,19,9,2,18,41,23,37,27,10,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Moisés Caicedo,MF,20,34.9,2251,2214,37,12,11,9,17,25,0,0,0,0,1993,0,38,37,"3,139",34,30,3,0,1.68,62,47,-0.85,65.3,44.9,1,1,2,1,0,0,10,0,1.7,1.7,2.7,38,219,61,28,8,23.9,0,-0.7,91,555,1520,558,28,2603,54,28,21,1507,6220,2876,32,6,39,23,1891,1993,2251,30177,8036,1112,1202,683,755,126,159,2.5,43,181,35,7,0,65,54,0,56,50,0,0,0,248,37,20,88,81,0,2,3,1,1,5,5,0,0,0,0,0,41,47,12,40,68,28,43,7,36,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Solly March,FW,28,30.2,1312,1168,142,14,3,29,155,54,71,33,21,0,951,2,36,33,"2,715",31,19,2,0,1.67,58,40,0.47,59,36.2,7,7,14,7,0,0,2,0,8.1,8.1,8.4,110,135,357,74,31,16.2,1,-1.1,46,191,521,962,138,1659,114,58,35,1024,6810,3074,48,47,55,32,1124,951,1312,17051,4026,443,526,367,481,113,208,6.3,67,63,52,15,0,46,39,12,24,31,0,0,0,125,29,38,140,91,15,19,9,4,2,14,10,1,1,2,0,0,16,17,20,8,28,20,34,3,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Pervis Estupiñán,DF,24,29.7,1926,1687,234,31,5,8,101,199,4,0,3,0,1576,5,57,35,"2,675",31,20,4,1,1.63,59,43,0.18,58.3,40.7,1,5,6,1,0,0,4,0,1.7,1.7,5.4,91,157,183,29,4,19.3,0,-0.7,82,506,1076,649,71,2211,42,19,18,1292,6134,3440,55,15,38,29,1434,1576,1926,22843,7059,922,1017,545,661,60,110,4.1,51,103,44,19,0,42,26,11,37,31,1,1,0,191,36,28,87,78,4,3,0,2,0,8,7,0,0,0,1,0,36,19,6,35,60,25,30,8,22,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Joël Veltman,DF,30,24.3,1512,1286,219,34,1,3,23,185,0,0,0,0,1261,7,29,31,"2,188",25,14,6,2,1.71,47,29,0.67,47.5,26.2,1,1,2,1,0,0,6,0,1.8,1.8,0.7,43,153,49,15,5,16.3,0,-0.8,92,563,895,293,23,1740,20,5,8,952,4436,2233,32,2,20,10,1065,1261,1512,21830,7101,532,594,624,711,84,142,1.1,10,157,13,4,0,27,38,0,19,32,0,1,0,125,26,18,36,30,4,0,1,0,1,4,3,0,0,1,0,0,44,14,4,37,57,20,27,8,19,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Kaoru Mitoma,FW,25,25.8,977,952,19,0,4,3,41,16,3,0,0,0,780,6,33,33,"2,318",24,16,9,2,1.67,49,35,0.14,53.7,34.8,7,5,12,7,0,0,0,0,8.1,8.1,6.4,143,90,260,52,21,13.2,0,-1.1,18,146,466,716,177,1312,130,59,55,891,6882,3828,82,85,60,33,986,780,977,10673,2356,507,570,214,268,30,53,4.9,41,45,28,1,0,29,27,6,17,27,1,0,0,120,18,19,109,78,1,19,5,4,2,16,10,0,3,2,1,0,15,16,13,20,41,21,25,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Robert Sánchez,GK,24,23,781,608,168,37,0,4,0,0,0,0,0,0,604,5,3,23,"2,070",23,23,0,10,1.65,41,30,-0.06,38.9,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,692,822,4,0,0,826,0,0,0,523,2418,1458,0,0,0,0,480,604,781,13655,8845,203,204,283,292,111,270,0,0,11,0,0,0,1,0,0,3,0,0,1,0,25,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2,30,74,46,11,5,7,6,6,5,1,0,0,4,24.2,0.25,-2.8,60,205,645,103,28.9,131,35.1,229,17,13,12.3,22
Adam Webster,DF,27,22.1,1715,1650,63,28,0,6,2,35,0,0,0,0,1514,2,10,27,"1,985",23,17,4,4,1.74,41,27,0.32,43.8,24.9,0,0,0,0,0,0,2,0,1.8,1.8,0.2,19,119,9,18,2,11.2,0,-1.8,170,819,969,108,27,1888,8,3,4,1228,6306,3739,18,0,11,5,1369,1514,1715,27890,10260,565,612,811,886,125,178,0.4,6,120,5,1,0,10,6,1,19,12,0,0,1,143,60,27,20,19,1,0,0,0,0,1,1,0,0,0,0,0,10,9,3,11,19,8,30,19,11,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Danny Welbeck,FW,31,20.6,442,416,24,0,6,0,0,1,0,0,0,0,373,2,7,31,"1,854",21,7,10,1,1.68,36,28,-0.24,37.2,26.2,6,3,9,6,0,0,0,0,9.4,9.4,4.3,31,49,134,62,22,14.1,1,-3.4,23,44,281,376,117,693,45,22,18,407,1859,878,18,10,60,23,519,373,442,4456,872,244,275,92,106,5,11,1.7,30,32,15,0,0,25,18,5,5,7,1,0,0,37,32,27,65,49,0,5,6,4,1,9,5,0,1,1,2,0,0,7,8,4,11,7,24,2,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
