Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Neil Etheridge,GK,28,38,1202,711,484,165,0,0,0,0,0,0,0,0,415,7,1,38,"3,420",38,38,0,0,0.89,34,69,0,42.4,61.5,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0,0,0,0,0,0,1021,1286,40,0,0,1326,0,0,0,505,4732,3412,0,0,1,0,398,415,1202,21789,20502,5,8,50,56,359,1130,0.1,2,65,0,0,0,0,5,0,7,1,0,0,0,33,7,0,11,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,19,1,69,207,135,10,4,24,10,7,4,3,0,1,12,68.2,0.3,-0.8,337,1076,876,51,53.9,319,65.6,536,15,46,15.4,8
Sean Morrison,DF,27,33.8,911,735,174,7,0,6,5,167,0,0,0,0,528,2,10,34,"3,039",34,33,0,0,0.82,28,63,-1.04,37.4,54.8,1,3,4,1,0,0,6,0,5,5,3.7,7,49,16,34,8,9.7,0,-4,228,719,430,205,127,1341,8,8,0,276,1582,750,7,1,13,9,363,528,911,10708,5515,167,261,262,364,83,239,2.8,22,37,7,0,0,32,20,9,52,17,0,3,0,152,225,113,34,26,4,0,4,0,0,4,3,0,0,1,0,0,29,4,2,15,28,13,47,30,17,204,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Víctor Camarasa,MF,24,28.5,1017,868,142,51,13,7,121,4,77,42,19,10,710,7,37,32,"2,569",31,20,1,1,0.88,25,53,-0.24,28,46.3,5,4,9,4,1,1,6,0,4,3.2,3.8,50,77,92,40,11,23.6,5,1,32,169,591,569,34,1297,62,34,28,703,4539,1979,46,10,61,49,742,710,1017,12178,3357,343,419,227,300,100,197,4,50,63,21,6,0,23,29,1,33,15,0,0,0,168,19,31,91,57,27,1,5,1,0,7,5,1,0,1,0,0,8,15,5,6,31,25,17,2,15,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Joe Bennett,DF,28,29.3,931,699,229,37,2,5,43,191,1,1,0,0,639,3,31,30,"2,639",30,28,0,7,0.83,25,50,0.3,32.7,49.1,0,1,1,0,0,0,5,0,0.5,0.5,0.9,28,86,41,10,3,23.8,3,-0.5,117,373,570,294,13,1227,34,24,10,384,1979,1050,19,4,10,11,432,639,931,10057,5110,335,398,216,320,57,135,1.3,14,67,12,9,0,20,35,1,60,29,0,0,0,129,34,17,34,29,1,0,1,3,0,2,1,0,0,0,1,0,34,16,0,22,38,16,30,8,22,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Sol Bamba,DF,33,27.5,559,541,15,10,1,1,1,5,0,0,0,0,385,3,10,28,"2,474",28,27,0,1,0.89,25,52,-0.22,30.2,42.7,4,1,5,4,0,0,7,0,4,4,0.2,6,48,2,22,7,9.7,0,0,195,567,418,49,28,1016,20,14,6,289,1565,702,5,0,20,11,245,385,559,7809,3222,120,160,193,244,64,115,0.2,4,44,2,0,0,35,12,3,82,42,0,2,0,175,93,43,18,10,1,1,5,1,0,2,2,0,0,0,0,0,44,30,0,31,55,24,72,32,40,181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Harry Arter,MF,28,22.2,680,612,65,11,3,7,17,2,0,0,0,0,539,3,12,25,"1,997",24,12,1,2,0.88,20,39,0.16,24.8,30.6,0,1,1,0,0,0,10,0,0.9,0.9,0.5,13,73,23,23,4,23.6,0,-0.9,33,165,500,231,15,886,7,3,4,294,1589,813,17,1,20,3,412,539,680,8935,2551,275,319,196,241,49,80,1.2,10,59,21,6,0,25,14,2,21,37,0,0,0,128,6,14,37,32,1,1,2,1,0,6,5,0,0,1,0,0,27,26,9,16,46,30,33,5,28,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Junior Hoilett,MF,28,23.8,537,490,41,12,2,2,85,3,26,19,4,1,338,6,24,32,"2,141",23,13,9,3,0.84,18,46,-0.68,25.6,41.8,3,1,4,3,0,0,4,0,3.4,3.4,1.5,54,39,125,40,9,19.3,1,-0.4,34,207,254,406,57,852,62,23,39,482,3836,1697,34,18,51,39,475,338,537,4941,1706,202,242,80,132,31,93,1.7,24,14,11,2,0,35,38,8,32,27,1,0,0,114,19,51,56,31,9,4,4,7,1,2,2,0,0,0,0,0,26,11,3,15,53,38,34,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Joe Ralls,MF,24,21.8,864,749,107,57,1,6,77,1,49,34,10,4,563,8,21,28,"1,959",22,16,6,3,0.89,14,40,-0.64,21.7,39.1,0,0,0,0,0,1,4,1,1.6,0.8,3.2,20,111,18,22,2,24.1,0,-1.6,35,202,583,279,18,1054,6,5,1,417,1968,1027,16,3,19,14,491,563,864,11256,4265,224,283,214,271,107,247,2.6,33,106,11,4,0,29,10,1,29,23,0,0,0,141,33,40,61,28,26,1,4,1,1,2,0,2,0,0,0,0,21,21,3,10,33,23,21,6,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Josh Murphy,MF,23,20.2,391,363,25,6,4,2,74,6,12,5,1,4,203,3,31,29,"1,817",22,7,7,4,0.9,17,32,0.38,26,26.6,3,2,5,3,0,0,2,0,4.1,4.1,3.9,81,23,126,46,15,19.2,3,-1.1,11,121,201,381,73,683,90,37,52,423,3872,1918,44,32,44,38,433,203,391,3220,1224,108,142,60,112,22,74,2.8,16,16,15,7,0,14,54,10,11,17,0,0,0,89,11,33,55,28,4,4,8,11,0,2,2,0,0,0,0,0,15,7,4,9,29,20,30,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Callum Paterson,FW,23,22.2,580,570,5,0,2,3,23,0,0,0,0,0,272,5,17,27,"1,998",21,17,6,2,1,21,41,0.05,24.4,34,4,1,5,4,0,0,4,0,5.5,5.5,2.8,13,68,63,41,6,13.9,0,-1.5,31,94,316,399,87,801,16,5,11,226,955,310,10,4,31,12,527,272,580,3936,1738,157,282,83,172,16,37,2.1,23,50,16,3,0,41,30,10,8,14,0,0,0,65,200,213,44,35,0,0,6,3,0,2,0,0,0,2,0,0,7,7,7,5,26,21,23,2,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
