Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
César Azpilicueta,DF,28,37.8,2950,2563,381,38,2,4,118,343,0,0,0,0,2494,6,74,38,"3,402",38,37,0,0,1.89,63,39,0.63,58.5,36.1,1,5,6,1,0,0,4,0,1.2,1.2,2.4,46,160,205,17,7,15.4,0,-0.2,121,993,1493,873,48,3352,22,10,12,1605,5682,3081,64,9,33,9,2168,2494,2950,34344,11515,1557,1687,761,904,87,153,3.1,25,156,46,18,0,39,16,2,43,60,1,1,0,201,68,50,67,60,2,1,1,2,1,10,9,0,0,0,1,0,52,40,13,38,67,29,63,16,47,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Jorginho,MF,26,35.1,3133,3071,50,49,34,11,2,1,0,0,0,0,2785,12,31,37,"3,156",37,28,0,1,1.95,57,37,-0.79,52.8,34.6,2,0,2,1,1,1,8,0,1.4,0.6,3.2,30,323,46,18,6,26.2,0,0.6,106,724,2109,636,4,3450,27,15,12,1921,7795,4278,72,0,32,31,2697,2785,3133,40201,13193,1611,1729,898,1005,153,204,5.2,29,336,44,1,0,33,22,0,64,38,0,0,0,274,12,21,73,70,0,0,0,1,2,5,5,0,0,0,0,0,27,41,8,45,96,51,46,7,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Kepa Arrizabalaga,GK,23,36,1161,863,296,40,0,2,0,0,0,0,0,0,1011,2,1,36,"3,240",36,36,0,2,1.89,61,39,-0.39,56.4,35.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1059,1198,9,0,0,1207,1,1,0,662,3034,1787,0,0,1,1,622,1011,1161,25587,17018,185,186,543,550,281,419,0,0,2,0,0,0,0,4,0,0,1,0,0,0,57,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,1,4,2,39,121,81,20,8,8,14,2,1,1,0,0,6,36.5,0.29,-2.5,114,230,903,156,25.9,256,36.5,369,14,35,18.1,60
David Luiz,DF,31,36,2643,2521,113,103,42,48,4,10,0,0,0,0,2317,9,10,36,"3,238",36,35,0,2,1.92,60,36,0.67,55.9,34.8,3,2,5,3,0,0,3,0,2.6,2.6,2.9,54,247,4,34,8,18.1,9,0.4,230,1128,1745,141,33,2984,17,10,7,1950,13505,9076,49,2,14,3,2158,2317,2643,46443,17719,800,851,1179,1273,309,459,2.8,17,212,14,1,0,34,29,0,35,31,0,0,0,203,82,71,45,40,0,0,4,1,0,2,2,0,0,0,0,0,27,13,1,21,28,7,33,18,15,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
N'Golo Kanté,MF,27,34.4,2056,2032,15,9,4,7,19,6,0,0,0,0,1789,9,54,36,"3,092",36,32,0,1,1.89,57,38,-0.82,52.1,33.8,4,4,8,4,0,0,3,0,2.9,2.9,3.5,82,178,159,29,6,18.3,0,1.1,44,372,1214,865,68,2431,57,32,25,1317,7203,3759,92,9,56,54,1769,1789,2056,23900,5492,1100,1196,507,562,70,91,3.5,46,144,33,6,0,35,13,6,44,41,0,0,0,238,27,41,94,89,1,0,1,1,2,5,5,0,0,0,0,0,21,41,13,23,67,44,63,6,57,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Antonio Rüdiger,DF,25,31.9,2557,2491,58,47,8,28,1,11,0,0,0,0,2332,8,7,33,"2,871",33,30,0,2,1.85,50,35,-1.01,46.4,31.7,1,0,1,1,0,0,7,0,2.5,2.5,0.6,21,174,1,27,6,18.5,0,-1.5,191,1126,1619,77,25,2815,5,4,1,1805,9856,6608,25,0,8,9,2112,2332,2557,42684,15388,883,931,1166,1243,224,300,0.7,7,137,9,0,0,28,15,1,32,16,0,0,0,206,81,71,32,26,0,0,5,0,1,3,1,0,0,2,0,0,27,6,1,15,27,12,15,8,7,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Eden Hazard,FW,27,32.5,1985,1810,166,54,13,37,145,12,92,39,32,6,1581,9,47,37,"2,923",32,24,5,0,1.86,52,35,-0.74,50.4,31.2,16,15,31,12,4,4,2,0,10.5,7.4,10,276,249,439,89,39,18,2,5.5,4,103,723,1568,223,2354,204,137,67,1728,14153,7651,177,108,87,85,2026,1581,1985,23903,6005,905,1031,430,538,147,220,10,97,127,90,9,0,12,104,11,13,9,1,0,0,103,19,31,221,143,17,28,7,24,2,33,17,3,10,1,2,0,2,1,11,5,17,12,10,0,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Marcos Alonso,DF,27,30.7,2255,1950,302,30,2,17,98,272,0,0,0,0,1862,3,52,31,"2,759",31,29,0,1,1.97,52,28,0.78,48.4,29.3,2,4,6,2,0,0,6,0,3.4,3.4,3.4,102,146,230,45,7,19.2,8,-1.4,109,668,1137,843,70,2631,33,17,15,1446,7514,4482,81,7,32,28,1681,1862,2255,24620,7841,1227,1340,486,611,66,146,2.6,33,102,21,7,0,28,37,2,39,46,2,1,0,212,66,54,66,55,1,0,5,4,1,10,6,0,0,2,2,0,44,22,7,33,58,25,25,2,23,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Willian,FW,29,23.3,1413,1249,156,39,8,13,169,6,111,31,52,11,1097,8,38,32,"2,097",26,9,6,5,1.94,38,25,-0.19,33.5,23.2,3,6,9,3,0,0,2,0,4.2,4.2,5.4,143,141,283,62,22,19.9,8,-1.2,13,137,607,954,96,1671,61,39,22,1026,7531,4127,86,45,52,39,1284,1097,1413,15998,4037,653,739,299,377,83,168,5.2,78,55,48,7,0,12,31,11,14,21,1,0,0,105,10,23,144,88,35,6,5,8,2,8,5,2,0,0,1,0,11,15,9,9,25,16,16,1,15,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Pedro,FW,31,19.8,1138,1115,17,7,7,12,61,5,5,3,0,1,937,6,28,31,"1,778",21,9,10,2,1.94,31,19,-0.05,29.9,18.6,8,2,10,8,0,0,2,0,5.3,5.3,3.5,63,94,202,57,25,17.4,0,2.7,21,152,511,675,101,1328,59,44,15,924,5465,2380,53,18,31,33,1139,937,1138,12530,2392,586,650,235,295,48,81,3.5,28,47,31,8,0,17,26,8,18,14,0,0,0,94,8,14,81,68,1,7,2,1,2,8,6,0,2,0,0,0,11,10,6,9,35,26,13,2,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Mateo Kovačić,MF,24,19.3,1484,1439,44,13,8,10,8,7,1,0,0,0,1359,1,14,32,"1,735",21,2,11,4,1.94,26,19,-0.54,26.1,20.9,0,2,2,0,0,0,3,0,2.2,2.2,1.7,59,140,66,28,4,21.2,0,-2.2,25,196,977,546,29,1699,55,42,13,1110,6040,3061,71,5,26,38,1405,1359,1484,18642,4312,818,862,411,444,50,65,2,25,124,17,1,0,19,33,0,8,29,0,0,0,122,10,9,64,50,1,5,3,4,1,4,4,0,0,0,0,0,23,19,3,20,46,26,19,2,17,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Ross Barkley,MF,24,13.8,971,941,27,4,4,7,7,7,0,0,0,0,877,3,14,27,"1,245",13,3,14,9,2,28,13,0.71,23.8,10.9,3,5,8,3,0,0,1,0,4,4,2.1,32,90,50,41,9,19.9,1,-1,24,135,657,339,38,1121,22,15,7,703,3329,1465,35,3,19,33,901,877,971,13357,2609,496,529,275,301,64,72,1.8,22,66,18,1,0,14,27,0,9,10,0,0,0,89,19,8,55,43,0,3,4,2,3,9,7,0,0,1,0,1,5,7,3,4,14,10,8,1,7,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Gonzalo Higuaín,FW,30,12.1,320,313,5,0,5,5,2,0,0,0,0,0,244,2,14,14,"1,085",13,5,1,1,1.57,16,15,-0.8,16,11.5,5,0,5,5,0,0,0,0,4.9,4.9,1.3,12,17,92,46,14,15.1,0,0.1,7,24,148,259,54,428,21,9,12,272,1415,394,11,6,19,20,364,244,320,3227,436,137,168,62,78,13,21,1,15,6,9,0,0,6,2,11,1,7,0,0,0,28,7,13,33,29,0,1,3,0,0,4,4,0,0,0,0,0,2,4,4,2,11,9,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
