Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Andros Townsend,FW,26,34.7,1226,1088,134,39,3,5,176,23,49,23,5,16,870,4,49,36,"3,120",35,26,1,1,1.14,39,48,0.04,47.9,42.8,2,7,9,2,0,0,3,0,3,3,7.2,161,104,249,62,14,22.3,2,-1,29,241,573,866,88,1629,122,84,38,1120,8832,4125,108,34,89,73,1089,870,1226,13034,3886,501,573,259,384,68,160,5.4,65,64,48,14,0,10,46,6,35,34,2,0,0,182,3,13,138,80,20,16,7,10,5,11,8,1,0,0,2,0,35,12,13,24,75,51,49,1,48,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
Luka Milivojević,MF,26,34.2,1701,1613,83,54,3,20,39,5,24,12,1,4,1343,5,32,36,"3,080",35,32,1,1,1.14,42,52,-0.29,46.8,45.8,10,1,11,3,7,8,8,0,8.2,1.8,1,24,180,18,34,9,25.1,9,1.8,104,514,1264,326,24,2075,37,28,9,1135,5291,2429,22,1,31,24,1177,1343,1701,25224,8439,541,626,593,701,175,294,1.5,21,173,17,2,0,69,33,1,71,52,0,0,0,274,48,43,58,41,8,0,3,3,3,5,4,0,0,1,0,0,40,37,8,31,86,55,50,12,38,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Wilfried Zaha,FW,24,28.3,716,695,18,1,6,3,76,14,0,0,0,0,497,3,39,29,"2,549",28,26,1,0,1.52,42,31,2.56,44.3,30.7,9,3,12,9,0,0,5,0,9.2,9.2,4.7,173,96,283,64,26,15,0,-0.2,5,77,385,725,182,1144,196,119,77,958,7723,3956,98,92,106,111,921,497,716,6815,2094,291,365,149,208,24,52,4.4,52,41,49,7,0,45,76,19,7,23,4,0,0,124,4,15,139,79,0,35,6,17,2,14,9,0,3,0,2,0,9,13,8,4,23,19,24,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Yohan Cabaye,MF,31,26.4,1438,1254,180,62,6,9,136,5,104,45,21,35,1118,4,19,31,"2,376",28,13,3,2,1.29,32,36,0.37,39.2,30.3,0,1,1,0,0,0,7,0,2.3,2.3,4.1,13,138,37,38,11,24.6,4,-2.3,38,331,1005,447,31,1769,22,9,13,922,3427,1562,25,1,37,29,1028,1118,1438,18909,7090,539,603,416,493,117,266,3.8,42,124,18,0,0,35,23,1,79,44,0,0,0,183,6,14,84,37,34,2,3,5,3,6,3,1,0,1,1,0,39,28,3,24,97,73,47,4,43,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
James McArthur,MF,29,27,1093,1067,21,6,3,8,11,7,0,0,0,0,854,5,22,33,"2,431",27,18,6,2,1.27,34,35,0.78,37.1,31.4,5,1,6,5,0,0,5,0,3.7,3.7,2.2,32,107,94,30,10,12.9,0,1.3,61,281,756,376,68,1401,38,27,11,856,3821,1413,25,8,51,42,876,854,1093,13032,3373,445,523,323,391,48,98,1.6,21,90,13,1,0,45,28,0,36,44,0,0,0,177,38,50,53,47,0,1,4,1,0,2,1,0,0,1,0,0,28,27,3,23,61,38,39,2,37,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Wayne Hennessey,GK,30,27,787,451,330,103,0,0,0,0,0,0,0,0,409,6,0,27,"2,430",27,27,0,9,1.11,29,41,-0.63,35.9,36.8,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,716,831,15,0,0,846,0,0,0,361,2683,2039,0,0,0,0,206,409,787,17667,16033,34,34,119,122,256,625,0.3,1,27,1,0,0,0,2,0,2,0,0,0,0,21,8,0,5,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,,41,127,88,8,6,13,7,1,1,0,0,1,7,38.2,0.3,-0.8,226,587,554,92,47.3,227,65.2,435,31,22,13.4,4
James Tomkins,DF,28,26.5,892,859,31,29,0,3,1,2,0,0,0,0,727,2,2,28,"2,387",27,25,1,6,1.39,40,32,1.87,39.4,30.4,3,0,3,3,0,0,8,0,2.2,2.2,0.1,6,45,3,23,8,12.6,0,0.8,218,735,494,59,36,1279,6,6,0,559,2375,1123,8,0,7,2,582,727,892,14749,5898,240,264,368,427,111,183,0.7,1,39,1,0,0,20,14,1,63,26,0,1,0,124,115,66,7,4,0,0,3,0,0,1,0,0,0,1,0,0,36,10,1,16,31,15,24,12,12,216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Christian Benteke,FW,26,24.9,675,639,36,0,3,0,3,0,0,0,0,0,379,0,14,31,"2,240",24,21,7,0,1.23,27,36,-0.29,36.3,33.1,3,5,8,2,1,2,6,0,10.2,8.6,2.9,18,42,133,58,17,12.5,0,-7.2,50,81,462,414,129,950,26,16,10,497,2123,661,22,14,86,32,737,379,675,4993,1074,243,394,96,195,18,32,1.7,28,35,12,0,0,48,27,12,3,4,2,0,0,50,236,179,68,43,0,5,12,8,0,13,8,0,1,1,3,0,3,7,1,2,17,15,15,3,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Ruben Loftus-Cheek,MF,21,20.8,745,725,14,2,1,3,12,4,0,0,0,0,603,6,24,24,"1,874",21,17,3,0,1.33,28,30,0.37,29.9,26.7,2,3,5,2,0,0,1,0,3.5,3.5,3.2,94,106,126,32,7,16.4,0,-1.5,30,160,470,410,75,1017,110,72,38,741,5140,3062,63,29,46,48,736,603,745,8326,2630,364,424,168,199,31,47,2.6,25,64,25,2,0,17,62,3,22,15,1,0,0,130,32,55,73,48,0,12,3,8,2,8,5,0,1,1,1,0,7,13,1,7,30,23,19,2,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Jeffrey Schlupp,DF,24,19.4,827,675,151,10,0,1,31,141,0,0,0,0,601,1,30,24,"1,745",21,15,3,3,1.25,22,30,-0.31,26.6,24.7,0,1,1,0,0,0,3,0,1.2,1.2,1,32,74,51,15,2,18.1,0,-1.2,71,322,504,265,22,1084,23,13,10,524,2536,1177,25,9,22,30,516,601,827,8825,3330,370,432,192,270,32,84,0.7,12,61,10,3,0,18,8,0,24,36,0,0,0,113,38,49,35,25,4,4,1,1,0,4,2,1,0,1,0,0,35,20,2,23,43,20,34,8,26,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Joel Ward,DF,27,17.9,928,718,208,9,0,3,46,199,0,0,0,0,671,2,30,19,"1,613",19,16,0,4,1.05,16,25,-0.45,23.2,20.3,0,1,1,0,0,0,4,0,0.2,0.2,0.9,15,79,50,5,1,16.4,0,-0.2,63,389,497,266,11,1144,14,8,6,502,1989,895,16,1,19,10,549,671,928,10593,4484,374,429,221,293,58,156,0.8,8,58,17,10,0,25,29,1,28,30,0,0,1,100,33,25,21,15,1,1,1,3,0,1,1,0,0,0,0,0,23,12,0,16,28,12,27,11,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Mamadou Sakho,DF,27,17.8,744,720,20,19,1,3,0,1,0,0,0,0,632,4,4,19,"1,600",18,17,1,2,1.47,24,23,0.6,26,22,1,2,3,1,0,0,1,0,1.2,1.2,1.1,4,43,3,3,1,5.4,0,-0.2,132,496,426,21,6,939,8,6,2,506,2186,1180,3,1,12,4,488,632,744,10900,4934,271,301,305,339,41,75,0.2,2,22,1,0,0,3,9,0,30,14,0,0,0,140,39,35,5,5,0,0,0,0,0,3,3,0,0,0,0,0,15,5,1,9,16,7,19,11,8,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Timothy Fosu-Mensah,DF,19,17.7,746,621,122,8,0,4,17,114,0,0,0,0,536,3,13,21,"1,596",17,15,4,9,0.81,12,29,-1.3,26.4,24.6,0,0,0,0,0,0,2,0,0.2,0.2,0.3,25,56,31,8,0,26.9,0,-0.2,71,343,467,137,6,937,18,11,7,450,2100,1166,10,3,14,6,458,536,746,9128,4060,254,294,220,290,47,132,0.4,6,53,9,4,0,18,13,0,31,33,0,0,0,97,19,22,19,17,0,0,1,1,0,0,0,0,0,0,0,0,33,8,1,21,34,13,17,9,8,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Scott Dann,DF,30,15.9,574,546,24,22,1,12,2,2,0,0,0,0,454,4,4,17,"1,435",16,15,1,2,0.82,16,26,-0.63,23.7,20.1,1,0,1,1,0,0,4,0,2.3,2.3,0.2,7,42,3,19,4,10.2,0,-1.3,98,379,324,56,33,756,7,7,0,367,1716,896,4,0,4,2,391,454,574,9072,3668,154,175,221,254,70,127,0.3,5,30,2,0,0,12,3,2,23,5,0,1,0,72,48,33,13,11,0,0,2,0,0,1,1,0,0,0,0,0,8,2,0,7,17,10,17,14,3,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Martin Kelly,DF,27,13.3,394,344,48,5,0,1,6,43,0,0,0,0,284,2,5,15,"1,195",12,10,3,13,1.13,16,21,-0.17,15.5,18.7,0,0,0,0,0,0,1,0,0.4,0.4,0.1,5,16,3,5,2,12.1,0,-0.4,67,263,230,32,6,523,3,2,1,242,996,461,3,0,3,1,246,284,394,5365,2459,124,142,121,151,35,87,0.2,2,19,0,0,0,8,4,0,9,13,0,0,1,43,27,36,4,3,0,0,1,0,0,0,0,0,0,0,0,0,15,4,0,14,26,12,16,11,5,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Julián Speroni,GK,38,11,312,180,132,43,0,1,0,0,0,0,0,0,148,0,0,11,990,11,11,0,18,1.27,16,14,0.63,17.6,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,330,1,0,0,331,1,1,0,153,1001,801,0,0,0,0,111,148,312,6170,5618,16,16,35,37,97,259,0,0,12,0,0,0,0,0,0,1,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,43,29,3,5,3,2,1,1,0,0,0,4,13.3,0.29,-0.7,86,239,223,18,45.2,89,56.9,177,6,10,13.7,0.25
Aaron Wan-Bissaka,DF,19,7,293,222,71,1,0,0,20,70,0,0,0,0,196,0,12,7,627,7,6,0,7,1,10,10,0.32,9.7,10.2,0,0,0,0,0,0,1,0,0,0,0.2,22,23,14,0,0,0,0,0,45,169,154,93,1,411,15,13,2,175,997,623,22,1,9,6,168,196,293,2676,1448,125,150,56,89,8,33,0.4,3,12,4,3,0,2,3,0,15,19,0,0,0,38,9,10,8,7,0,1,0,0,0,0,0,0,0,0,0,0,20,7,3,15,19,4,18,7,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jason Puncheon,MF,31,7.2,261,234,26,6,0,1,20,2,15,2,2,10,207,1,2,10,645,6,4,4,9,0.5,0,14,-2.08,8.7,9.6,0,0,0,0,0,0,5,0,1.2,1.2,0.5,8,31,19,10,2,19,1,-1.2,2,38,165,113,10,313,5,4,1,185,851,338,9,0,7,15,204,207,261,3199,955,114,129,68,79,14,35,0.4,5,18,8,1,0,14,3,0,5,4,0,0,0,27,4,8,18,11,3,2,1,1,0,0,0,0,0,0,0,0,3,7,3,1,5,4,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bakary Sako,FW,29,5.3,159,150,9,3,0,2,27,1,4,0,2,1,94,0,9,16,478,4,2,12,4,1.06,10,10,0.31,8,7.4,3,0,3,3,0,0,0,0,1.9,1.9,1.1,20,8,43,17,6,15.5,0,1.1,2,32,74,119,26,222,13,7,6,159,1083,554,14,6,18,12,161,94,159,1412,353,59,75,18,41,10,22,0.6,6,6,4,3,0,8,7,4,1,6,0,0,0,27,11,16,18,11,0,2,4,1,0,3,1,0,0,2,0,0,5,0,2,2,9,7,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jaïro Riedewald,MF,20,4.9,159,156,2,1,0,0,2,1,0,0,0,0,126,1,3,12,442,4,4,8,17,1.08,3,6,-0.4,6.2,6.9,0,0,0,0,0,0,0,0,0,0,0,2,16,7,1,0,17.2,0,0,10,70,96,45,4,210,3,3,0,105,246,100,2,1,4,4,124,126,159,2174,915,65,73,39,51,16,25,0.1,0,16,4,2,0,3,0,0,12,8,0,0,0,23,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,2,2,7,1,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
