Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Jordan Pickford,GK,27,35,1147,739,401,134,1,8,0,0,0,0,0,0,608,7,0,35,"3,150",35,35,0,0,1.03,41,58,1.51,38.7,49.5,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0,0,0,0,0,0,951,1189,41,0,0,1230,1,1,0,640,4569,2602,0,0,0,0,470,608,1147,23302,19151,83,83,204,208,321,848,0.2,4,64,3,0,0,0,6,0,1,1,0,0,0,18,10,1,13,9,4,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,1,1,0,1,14,1,58,170,116,10,6,19,7,1,1,0,0,2,10,51.7,0.31,-2.3,272,782,873,119,46.4,267,60.5,518,23,35,14.9,20
Michael Keane,DF,28,31,1214,1180,32,32,1,15,1,0,0,0,0,0,927,2,9,32,"2,792",31,29,1,4,1.09,36,54,0.14,31.5,46.5,3,2,5,3,0,0,4,1,1.2,1.2,1.6,9,79,4,20,6,12.7,0,1.8,232,776,717,59,32,1541,8,7,1,726,3617,1751,6,1,7,2,822,927,1214,19535,8021,299,364,457,535,154,276,0.5,8,83,5,0,1,16,7,1,62,25,0,0,2,149,96,59,19,13,1,0,4,0,1,1,1,0,0,0,0,0,32,13,1,28,45,17,33,28,5,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Séamus Coleman,DF,32,29.5,1255,981,269,11,0,5,41,258,0,0,0,0,914,5,23,30,"2,656",30,28,0,4,1.13,34,50,0.28,30.7,41.7,1,0,1,1,0,0,4,0,1.2,1.2,0.8,40,96,77,8,1,18.3,0,-0.2,123,501,733,335,32,1549,49,34,15,697,3773,1872,30,4,30,20,713,914,1255,14739,6578,497,569,316,447,76,168,1.5,13,86,26,13,0,14,17,2,32,36,1,0,1,188,25,23,47,37,3,2,2,3,0,5,3,0,0,0,2,0,35,16,10,33,51,18,30,11,19,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Abdoulaye Doucouré,MF,28,28.2,1097,1078,17,11,3,3,11,1,0,0,0,0,864,2,32,30,"2,537",29,27,1,1,1.13,33,47,0.42,29.6,39.3,2,4,6,2,0,0,6,0,2.2,2.2,2,33,113,54,34,11,17.9,0,-0.2,63,329,745,339,44,1390,41,21,20,694,3500,1770,28,6,43,22,764,864,1097,12771,3058,490,581,296,351,45,72,1.3,19,81,19,0,0,39,16,1,28,43,0,0,0,213,35,37,57,50,0,3,3,0,1,7,5,0,1,1,0,0,30,37,8,32,71,39,33,8,25,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Richarlison,FW,24,28,568,556,8,1,3,3,38,2,0,0,0,0,339,4,29,30,"2,523",28,21,2,0,1.13,33,46,0.54,29.6,38.5,10,5,15,7,3,3,9,0,9.2,6.8,3.6,44,42,146,69,20,16.4,2,0.8,37,137,347,536,135,996,82,40,41,576,3374,1271,26,16,93,54,658,339,568,4539,967,192,278,96,141,15,41,2.1,29,21,13,1,0,36,68,21,12,23,1,0,0,114,66,155,69,45,0,3,9,11,1,9,5,0,0,3,1,0,18,15,7,15,31,16,42,4,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Demarai Gray,MF,25,26,769,662,106,31,3,5,129,6,56,29,24,0,555,1,31,34,"2,338",28,9,6,0,1.03,30,39,0.82,27.9,32.1,5,4,9,5,0,0,3,0,4,4,3.6,93,59,169,65,17,20.5,4,1,18,117,377,624,87,1093,106,55,50,655,5185,2405,59,38,70,36,717,555,769,9290,2076,277,315,182,246,65,129,3.5,41,23,23,7,0,12,32,3,15,19,0,0,0,100,4,31,88,50,15,11,7,5,0,5,3,1,0,1,0,0,13,10,7,10,22,12,30,2,28,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Anthony Gordon,MF,20,25.4,743,649,89,25,2,3,119,6,50,26,18,0,482,5,28,35,"2,285",25,14,10,2,0.91,24,40,-0.08,26.5,33.8,4,2,6,4,0,0,4,0,3.5,3.5,3.8,74,51,137,44,18,18.8,5,0.5,21,163,386,592,78,1116,80,38,42,602,4905,2291,53,31,74,37,674,482,743,6816,1929,265,340,151,224,28,92,3.1,35,27,21,8,0,25,64,8,22,32,2,0,0,116,17,38,77,38,14,6,3,14,2,5,1,2,0,0,2,0,20,30,4,21,59,38,49,3,46,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Allan,MF,30,24.3,982,912,66,19,1,2,10,10,0,0,0,0,778,4,26,28,"2,183",25,17,3,5,1.14,26,38,0.31,27.5,32.8,0,2,2,0,0,0,7,1,0.2,0.2,0.8,26,130,18,7,3,24.5,0,-0.2,77,324,763,191,7,1259,31,21,10,650,3118,1603,24,4,38,24,672,778,982,12868,4192,356,405,337,402,57,102,1,15,103,20,3,0,30,22,0,23,44,1,0,0,191,11,15,38,35,0,1,0,1,1,7,5,0,1,0,1,0,28,39,7,34,105,71,40,9,31,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Mason Holgate,DF,24,23.7,876,805,68,42,0,16,4,26,0,0,0,0,584,3,11,25,"2,134",23,22,2,10,1.08,29,42,0.15,26.2,36.4,2,1,3,2,0,0,7,1,1.3,1.3,0.1,4,40,2,7,2,9.8,0,0.7,156,546,495,58,14,1091,4,2,2,477,2469,1334,7,1,3,7,507,584,876,12159,4600,192,260,289,368,94,213,0.3,3,43,2,0,0,26,15,0,26,18,0,0,1,105,61,31,5,4,1,0,0,0,0,1,1,0,0,0,0,0,26,9,0,11,26,15,25,17,8,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Ben Godfrey,DF,23,22.5,808,705,102,12,0,0,12,90,0,0,0,0,611,1,18,23,"2,029",23,21,0,1,0.83,21,39,-0.47,23.2,32.4,0,0,0,0,0,0,6,0,1.4,1.4,0.8,23,67,26,18,6,17.2,0,-1.4,141,499,443,148,23,1080,12,9,3,456,2466,1280,24,0,24,4,521,611,808,10370,3667,277,335,285,354,36,79,0.7,12,47,13,4,0,17,12,0,15,32,0,0,0,94,36,43,32,25,2,1,2,0,2,2,1,0,0,1,0,0,29,14,4,24,39,15,41,19,22,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
