Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Alphonse Areola,GK,27,36,1014,663,348,97,0,0,0,0,0,0,0,0,746,3,0,36,"3,240",36,36,0,2,0.78,27,48,1.92,39.4,49.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,972,1096,5,0,0,1101,0,0,0,574,2982,1600,0,0,1,0,414,746,1014,18222,12486,272,274,254,256,204,465,0,0,12,1,0,0,0,5,0,1,0,0,0,0,36,13,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4,0,0,0,13,3,48,161,114,5,13,18,9,6,6,0,0,0,2,50.5,0.28,3.5,144,389,760,173,30,251,39.8,501,26,31,13,17
Tosin Adarabioyo,DF,22,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11,33,"2,953",33,32,0,1,0.85,24,41,1.22,35.8,46.2,0,0,0,0,0,0,1,0,1.1,1.1,0.3,5,75,3,18,5,10.5,0,-1.1,398,1310,900,67,35,2272,14,11,3,1337,5844,3132,5,0,12,5,1522,1647,1918,33255,12650,484,551,949,1008,196,318,0.4,5,71,5,0,0,16,6,2,42,19,0,1,1,143,82,38,18,18,0,0,0,0,0,1,1,0,0,0,0,0,30,6,1,19,40,21,26,20,6,197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Ademola Lookman,FW,22,30.5,1199,1035,160,37,6,3,134,12,84,33,29,8,892,4,36,34,"2,747",31,19,3,0,0.82,23,33,1.81,34.7,39,4,4,8,4,0,1,5,0,6.3,5.5,5.2,110,110,236,68,22,17.8,4,-2.3,12,145,650,810,132,1575,128,82,46,962,6839,3071,67,52,107,73,1075,892,1199,13128,3607,497,577,295,378,56,128,4.2,61,51,41,5,0,46,59,12,20,11,0,0,0,168,7,22,127,82,24,6,9,6,0,9,5,2,1,1,0,0,18,9,8,13,44,31,31,1,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Ola Aina,DF,23,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,31,"2,664",31,24,0,4,0.84,22,36,0.96,30.4,42,2,1,3,2,0,0,3,0,1.2,1.2,1.5,63,106,50,14,4,24.6,1,0.8,105,781,957,330,17,2052,33,21,12,1070,5595,3024,40,5,27,10,1254,1352,1769,22797,9159,642,717,565,704,112,257,1.2,15,92,15,9,0,32,25,2,45,20,0,0,0,147,31,36,27,23,3,0,0,1,0,4,4,0,0,0,0,0,22,7,8,21,43,22,22,6,16,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Joachim Andersen,DF,24,30.3,1993,1902,83,68,0,35,12,15,0,0,0,0,1609,8,13,31,"2,730",30,29,1,0,0.87,22,35,1.27,33.4,39.9,1,1,2,1,0,0,7,1,1.2,1.2,0.4,20,95,7,13,3,16.4,1,-0.2,309,1259,944,90,25,2275,11,9,2,1304,7345,4043,13,1,10,3,1456,1609,1993,34882,12812,427,491,912,1007,252,442,0.9,8,130,6,1,0,39,15,1,44,19,0,2,0,172,98,44,30,28,0,0,1,1,0,3,3,0,0,0,0,0,18,11,4,15,28,13,24,13,11,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Bobby Reid,MF,27,26.4,830,771,56,6,2,5,41,26,1,1,0,0,615,3,22,33,"2,372",28,14,5,2,0.82,20,32,0.75,26.3,35.1,5,2,7,5,0,0,7,0,3.8,3.8,1.1,44,67,138,34,8,16.9,1,1.2,49,212,466,429,81,1095,52,27,25,585,2918,1384,32,17,50,24,726,615,830,9138,2549,325,388,216,279,38,86,1.8,14,37,21,4,0,38,20,3,21,15,1,0,0,102,16,40,42,29,0,4,3,6,0,5,4,0,0,0,1,0,17,10,4,18,39,21,19,5,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Ivan Cavaleiro,FW,26,27.5,857,770,85,26,0,4,122,9,42,15,24,2,589,2,26,36,"2,472",27,15,9,0,0.75,19,43,-0.68,28.4,39.4,3,0,3,2,1,2,2,0,6.4,4.8,2.7,68,63,230,45,15,18.1,1,-3.4,25,145,473,597,73,1199,98,53,45,714,4723,1870,41,23,100,50,834,589,857,8802,2103,317,395,179,257,46,100,2.4,43,26,32,12,0,30,28,9,19,14,0,0,0,123,48,88,85,57,17,3,3,5,0,2,1,0,0,0,1,0,9,11,3,12,34,22,25,1,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Harrison Reed,MF,25,25,1516,1418,96,71,0,2,27,10,12,2,4,3,1288,2,19,31,"2,247",26,19,5,1,0.84,19,35,0.13,25.8,33.8,0,2,2,0,0,0,5,0,0.4,0.4,1.7,24,127,16,13,4,26.1,0,-0.4,66,475,986,311,10,1756,24,15,9,896,3892,1689,21,2,20,10,1061,1288,1516,21403,5739,610,672,551,609,89,157,1.8,21,102,16,3,0,40,25,0,50,38,0,0,0,180,20,28,44,36,6,0,2,0,0,3,2,0,0,1,0,0,28,28,7,29,73,44,34,11,23,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Antonee Robinson,DF,22,24,1385,1139,243,9,0,2,101,234,0,0,0,0,974,3,36,28,"2,162",24,21,4,3,0.82,16,27,0.62,27.7,33.1,0,0,0,0,0,0,4,1,0.4,0.4,1.9,98,82,145,10,4,20,0,-0.4,83,465,689,541,32,1670,73,51,22,827,5886,3401,78,11,44,22,939,974,1385,15751,5884,489,567,381,540,77,174,2,29,48,41,22,0,20,8,1,37,28,0,0,0,135,36,18,60,51,3,3,0,3,0,2,2,0,0,0,0,0,24,16,5,27,44,17,21,4,17,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ruben Loftus-Cheek,MF,24,21.2,722,714,6,3,2,0,9,2,1,0,0,0,578,2,20,30,"1,909",21,9,9,2,0.83,15,21,0.91,24.8,27.2,1,0,1,1,0,0,3,0,3.4,3.4,1.2,57,82,97,35,8,16.6,0,-2.4,20,115,544,362,67,1000,72,38,34,647,4067,2221,42,14,73,41,752,578,722,8146,1920,333,388,195,230,21,31,1.1,17,57,13,2,0,28,51,3,7,14,1,0,0,100,44,74,62,36,0,9,4,10,3,0,0,0,0,0,0,0,7,15,3,7,23,16,20,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
