Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Robin Koch,DF,26,35.3,1594,1544,46,46,2,5,1,0,0,0,0,0,1229,4,25,36,"3,175",36,33,0,1,0.86,46,74,-0.06,45,63.7,0,0,0,0,0,0,7,0,1.5,1.5,0.4,11,114,11,17,4,11.1,0,-1.5,263,1051,820,106,32,1963,3,1,2,1013,4700,2583,8,0,15,1,1102,1229,1594,23945,10673,409,485,665,772,141,285,0.5,6,121,7,0,0,35,17,1,43,30,0,0,1,193,111,69,15,11,2,0,2,0,0,2,2,0,0,0,0,0,32,16,5,24,56,32,44,21,23,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Illan Meslier,GK,22,34,1039,705,331,89,0,1,0,0,0,0,0,0,664,3,2,34,"3,060",34,34,0,4,0.88,43,67,0.79,42.7,57.9,0,0,0,0,0,0,3,0,0.1,0.1,0,0,0,0,1,1,9,0,-0.1,903,1116,5,2,1,1122,0,0,0,596,3396,1969,0,0,1,1,424,664,1039,16770,10937,144,148,354,359,162,523,0,0,13,1,0,0,1,5,0,1,1,0,0,0,34,10,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,0,0,30,3,67,158,92,7,9,18,5,3,3,0,0,1,7,53.6,0.32,-12.4,106,449,794,194,33.7,242,43.5,432,34,66,15.8,20
Jack Harrison,FW,25,30.1,1150,1012,131,38,4,11,186,24,68,34,21,3,732,7,55,36,"2,708",34,11,2,1,0.86,35,55,0.6,37.4,50.5,5,7,12,5,0,0,2,0,4.7,4.7,5.1,103,103,255,39,14,17.8,3,0.3,31,192,549,836,81,1556,118,48,59,959,5271,2584,56,24,92,61,1037,732,1150,10776,4115,443,544,189,316,60,165,5.1,53,57,51,21,0,38,37,3,22,17,0,0,0,174,5,42,114,68,27,7,5,5,2,9,6,1,1,1,0,0,5,15,21,12,52,40,47,2,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Marc Roca,MF,25,25.7,1295,1188,102,55,7,10,76,3,40,20,16,0,978,5,17,32,"2,315",29,12,3,3,0.91,33,60,-0.81,31.4,48.1,1,2,3,1,0,0,7,0,2.1,2.1,2.9,25,172,28,35,13,22.3,4,-1.1,47,333,914,333,26,1571,30,17,10,822,3627,1914,18,6,26,26,948,978,1295,16572,6565,495,575,359,450,94,201,2.6,33,157,17,2,0,40,29,0,23,40,0,0,0,169,18,13,52,34,10,2,3,2,1,4,1,1,0,1,1,0,27,34,5,20,65,45,34,10,24,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Pascal Struijk,DF,22,24.4,1320,1065,250,28,0,3,21,222,0,0,0,0,1046,5,26,29,"2,200",26,20,3,5,0.9,33,52,0.03,31.7,42.7,2,1,3,2,0,0,5,0,1.4,1.4,2.4,24,119,53,16,7,13.4,0,0.6,92,538,708,379,31,1619,18,9,7,700,2806,1465,25,1,25,12,803,1046,1320,15839,6757,571,655,396,485,51,104,1.2,14,90,13,4,0,29,12,0,32,57,0,2,0,139,60,43,35,25,4,0,5,0,1,2,0,0,0,2,0,0,43,31,10,49,75,26,32,12,20,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Tyler Adams,MF,23,24,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24,24,"2,156",24,23,0,0,0.96,28,36,1.23,30.2,33,0,0,0,0,0,0,6,1,0.1,0.1,1.4,19,136,20,4,0,27.5,0,-0.1,44,376,1010,254,5,1628,22,7,12,818,3342,1555,21,0,28,18,919,1108,1343,16592,5061,607,686,390,460,63,107,1,24,110,13,0,1,37,21,1,35,46,0,0,0,199,25,15,43,42,0,0,0,1,0,1,1,0,0,0,0,0,44,35,10,50,77,27,48,8,40,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Rodrigo,FW,31,21.5,550,492,53,0,4,10,21,7,2,0,0,0,389,5,9,31,"1,935",23,7,8,0,0.87,28,43,0.21,26.4,37.5,13,1,14,12,1,1,6,0,8.1,7.3,1.8,40,44,143,66,25,15.8,2,4.9,26,94,372,341,110,803,29,12,15,451,2217,825,17,24,57,24,547,389,550,5651,1138,219,277,110,158,32,56,1.3,16,23,17,5,0,29,11,10,6,10,0,0,0,66,34,66,45,30,0,4,8,2,1,4,2,0,0,2,0,0,2,15,7,8,19,11,16,4,12,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Luke Ayling,DF,30,22.8,1132,912,212,22,0,11,62,190,0,0,0,0,786,8,46,29,"2,054",22,21,7,4,0.79,27,48,-0.33,27.7,43.5,2,1,3,2,0,0,3,0,3.2,3.2,2,28,77,100,24,5,15.1,0,-1.2,79,466,578,390,56,1413,33,13,17,648,2963,1480,20,4,23,12,700,786,1132,12523,6236,439,508,267,374,62,155,2.2,12,61,18,10,0,15,35,1,26,37,0,1,0,152,47,57,40,33,0,0,3,2,2,1,1,0,0,0,0,0,42,15,9,42,85,43,34,11,23,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
Patrick Bamford,FW,28,16.8,333,294,38,0,1,0,5,1,0,0,0,0,229,1,10,28,"1,515",18,2,10,0,0.82,23,31,0.56,21.9,28.1,4,2,6,4,0,2,3,0,8.6,7,1,17,23,96,48,16,14.7,1,-4.6,19,34,257,266,83,548,34,11,19,290,1186,447,17,13,56,21,386,229,333,2421,537,166,211,35,64,2,8,0.9,12,18,9,0,0,25,27,18,5,6,0,0,0,50,36,42,27,17,0,1,5,3,1,6,4,0,1,1,0,0,0,6,3,4,20,16,12,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Weston McKennie,MF,23,16,628,589,36,8,4,6,9,26,0,0,0,0,472,3,16,19,"1,437",16,9,3,0,0.68,20,35,-0.26,17.7,28.3,0,1,1,0,0,0,7,0,0.8,0.8,0.7,14,82,33,13,2,15.9,0,-0.8,41,188,401,228,17,807,16,11,4,400,1738,791,16,0,28,25,445,472,628,7648,2686,246,302,154,197,47,79,0.5,13,50,15,3,0,21,5,1,22,13,0,0,0,95,25,23,29,25,3,0,1,0,0,3,2,1,0,0,0,0,5,18,7,10,29,19,22,3,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
