Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Kasper Schmeichel,GK,32,38,1198,823,369,128,0,7,0,0,0,0,0,0,934,6,1,38,"3,420",38,38,0,0,1.63,67,41,0,62.2,45.5,0,0,0,0,0,0,2,0,0,0,0.5,0,1,0,1,0,56.1,1,0,1054,1246,18,0,0,1264,1,0,1,693,3306,2092,0,0,1,0,561,934,1198,25910,17114,134,136,475,481,324,572,0,3,5,0,0,0,0,7,0,1,1,0,0,0,43,6,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,4,2,41,135,94,18,8,12,13,10,8,2,0,0,5,44.3,0.26,5.3,180,398,951,159,33,241,36.1,507,14,34,17.2,9.5
Jonny Evans,DF,31,37.6,2518,2430,85,69,1,17,8,16,0,0,0,0,2178,3,7,38,"3,383",38,35,0,0,1.63,64,40,-4.23,59.7,45,1,1,2,1,0,0,8,1,3.7,3.7,0.7,31,157,4,23,8,8.4,0,-2.7,340,1443,1361,106,47,2899,8,6,2,1810,8583,4971,13,0,12,3,1926,2178,2518,43936,15190,618,680,1333,1454,219,354,0.7,8,131,3,1,0,35,27,2,57,34,1,1,1,230,126,70,35,28,0,1,4,2,0,6,4,0,0,1,1,0,33,14,1,28,39,11,33,18,15,174,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Çağlar Söyüncü,DF,23,33.7,2342,2277,56,46,0,13,4,10,0,0,0,0,2086,9,10,34,"3,036",34,33,0,1,1.65,63,33,1.83,54.6,40.3,1,1,2,1,0,0,4,1,2.1,2.1,0.8,22,125,5,17,5,10.3,0,-1.1,263,1343,1303,65,33,2700,22,17,5,1779,8996,4279,10,0,17,2,1864,2086,2342,38202,13194,798,856,1094,1188,169,235,0.3,4,112,3,0,0,30,20,1,43,40,0,2,0,195,105,62,21,17,1,0,2,1,0,1,1,0,0,0,0,0,41,18,1,27,46,19,35,19,16,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Jamie Vardy,FW,32,33.7,478,419,59,0,3,2,31,5,0,0,0,0,323,0,12,35,"3,033",34,32,1,0,1.6,58,38,-0.8,53.3,41.2,23,5,28,19,4,5,2,0,19.2,15.3,5.9,61,44,200,84,37,13.1,0,3.8,28,39,282,424,168,735,47,23,24,390,2358,1198,21,38,51,16,487,323,478,4236,742,198,255,83,123,14,29,3.8,31,12,24,4,0,20,12,28,2,12,1,0,0,44,54,96,70,47,0,12,6,4,1,12,7,0,3,0,2,0,0,9,6,2,4,2,22,4,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Youri Tielemans,MF,22,31.4,1885,1772,102,47,13,24,81,13,40,10,19,1,1504,11,35,37,"2,828",32,21,5,1,1.59,57,35,0.09,52,38.8,3,6,9,3,0,0,2,0,2.7,2.7,4.5,46,215,123,56,13,23.8,0,0.3,27,320,1183,690,52,2177,48,29,19,1312,4999,2517,44,12,47,27,1615,1504,1885,25455,6845,705,804,569,679,155,258,3.8,52,170,40,6,0,32,49,1,22,29,0,0,0,188,25,30,110,92,6,3,3,5,1,10,10,0,0,0,0,0,17,30,5,24,74,50,43,4,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Wilfred Ndidi,MF,22,29.7,1674,1649,23,23,2,8,3,0,0,0,0,0,1421,2,22,32,"2,674",29,26,3,0,1.78,56,32,0.57,49.8,36.4,2,1,3,2,0,0,6,0,1.6,1.6,0.6,13,109,19,26,3,19.2,0,0.4,97,558,1310,262,23,2110,32,22,10,1146,4500,1518,15,0,33,26,1227,1421,1674,23571,5950,670,768,575,639,121,166,0.6,15,145,3,0,0,56,27,1,80,67,0,3,0,271,83,68,46,40,0,2,2,1,1,3,3,0,0,0,0,0,56,61,11,45,91,46,52,6,46,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
James Maddison,MF,22,29.2,1709,1443,258,85,19,9,221,7,157,54,71,5,1288,8,29,31,"2,624",29,23,2,0,1.68,51,26,0.74,46.9,35,6,3,9,6,0,0,4,0,5.3,5.3,6.4,53,192,138,74,18,22,14,0.7,16,174,1003,838,72,1995,80,51,29,1333,6211,2608,58,19,56,29,1438,1288,1709,23620,7098,561,640,512,611,170,346,6.5,78,157,43,6,0,36,88,4,9,30,0,0,0,162,7,24,170,84,46,14,8,18,0,10,7,2,1,0,0,0,13,31,15,23,68,45,16,0,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Ricardo Pereira,DF,25,28,1948,1620,323,12,4,3,60,311,0,0,0,0,1533,5,44,28,"2,520",28,28,0,0,1.79,56,27,1.34,45.9,33.8,3,2,5,3,0,0,1,0,1.2,1.2,3.8,116,177,138,18,5,18.4,0,1.8,102,595,1125,701,56,2401,101,60,41,1338,6824,4433,94,20,44,31,1471,1533,1948,23216,8673,829,936,587,733,79,154,3,27,100,34,7,0,45,37,0,49,68,0,1,0,171,41,48,74,57,3,10,1,3,0,7,6,0,0,1,0,0,65,36,18,53,106,53,38,6,32,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Ben Chilwell,DF,22,26.4,2021,1715,302,34,3,12,103,260,8,1,3,0,1544,4,45,27,"2,373",27,25,0,1,1.67,48,26,0.49,41.4,33.7,3,3,6,3,0,0,3,0,1,1,3.9,109,126,180,16,6,19.1,0,2,73,592,1076,683,48,2329,50,19,31,1427,8189,4644,77,16,50,22,1537,1544,2021,23939,7050,852,953,573,724,86,227,3.2,34,109,22,10,0,29,30,1,28,26,0,0,0,161,55,38,72,58,7,2,2,2,1,8,8,0,0,0,0,0,28,13,2,23,52,29,30,6,24,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Ayoze Pérez,MF,26,22.3,770,750,16,4,9,2,27,5,0,0,0,0,597,4,33,33,"2,004",26,4,7,5,1.55,36,25,-0.46,36.3,22.9,8,4,12,7,1,1,0,0,6.5,5.7,4,47,62,159,46,21,14.5,0,1.5,13,126,472,497,115,1085,68,36,32,694,2975,1475,34,28,63,58,791,597,770,7574,1749,394,453,140,180,20,33,3.2,28,44,28,5,0,30,30,6,14,28,0,0,0,103,24,45,75,58,1,8,2,5,1,15,11,1,2,0,0,1,14,26,5,8,54,46,33,1,32,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
