,Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
0,Alisson,GK,28,36,1388,1154,234,62,0,3,0,0,0,0,0,0,1214,0,0,36,"3,240",36,36,0,0,2.44,87,24,-0.75,84.1,32.1,0,1,1,0,0,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,1042,1452,17,0,0,1469,1,1,0,873,3573,2223,0,0,1,0,836,1214,1388,28439,18286,275,276,686,699,249,409,0,1,16,1,0,0,0,2,0,0,1,0,0,1,80,15,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,3,5,2,1,0,1,28,1,24,99,76,27,7,2,20,0,0,0,0,0,3,24.4,0.25,1.4,114,258,1216,211,26.3,172,33.4,340,22,89,18.7,50
1,Trent Alexander-Arnold,DF,22,31.7,2757,2204,548,93,17,69,273,324,131,29,89,0,2039,5,34,32,"2,853",32,30,0,2,2.38,80,22,0.24,74.1,30,2,12,14,2,0,0,2,0,2.4,2.4,12,53,267,201,51,15,24,8,-0.4,71,602,1386,1070,83,3036,39,19,20,1504,5687,2824,55,14,41,19,1897,2039,2757,40112,15683,841,964,811,1048,344,636,13,90,245,85,25,0,12,7,11,43,23,0,0,0,235,15,13,160,96,53,3,7,1,0,18,13,4,0,1,0,0,19,13,8,27,60,33,22,4,18,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2,Sadio Mané,FW,29,31.3,1100,1082,12,3,16,3,50,8,0,0,0,0,818,6,41,34,"2,819",32,25,2,0,2.35,76,24,-0.74,74.1,28.1,16,2,18,16,0,0,5,0,17.2,17.2,5.2,105,130,305,98,37,14.2,0,-1.2,20,94,617,806,201,1492,77,47,29,1027,5897,2663,57,45,104,59,1218,818,1100,12061,2748,460,550,274,360,44,67,4.4,41,63,61,5,0,50,50,19,8,20,1,0,0,109,30,50,114,79,0,8,17,10,0,13,7,0,1,4,1,0,7,14,12,8,26,18,30,1,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
3,Joël Matip,DF,29,31,2344,2280,61,40,3,5,1,21,0,0,0,0,2074,3,10,31,"2,790",31,31,0,4,2.48,76,21,-0.08,72.8,26.2,3,3,6,3,0,0,2,0,3.4,3.4,1.3,55,186,7,35,7,9.9,0,-0.4,232,991,1489,185,63,2651,10,9,1,1612,9763,7174,62,2,13,7,1837,2074,2344,39370,13117,675,757,1170,1262,202,271,2,12,186,9,0,0,13,11,0,44,34,0,0,0,185,108,50,42,33,0,0,8,1,0,9,7,0,0,1,1,0,23,19,5,20,31,11,26,14,12,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4,Mohamed Salah,FW,29,30.7,1136,1112,15,1,18,3,41,7,1,1,0,0,875,9,38,35,"2,762",30,25,5,0,2.37,78,22,0.18,75.7,27.1,23,13,36,18,5,6,1,0,22.7,17.8,10,125,122,451,133,49,15.8,1,0.3,7,55,455,1056,301,1546,124,53,71,1030,5898,2909,57,97,99,81,1300,875,1136,11516,3063,567,648,233,309,29,49,7.4,62,46,57,4,0,12,23,12,6,8,2,0,0,86,7,33,141,104,0,17,18,2,0,25,17,0,5,2,1,0,5,9,3,6,19,13,7,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
5,Jordan Henderson,MF,31,28.9,2246,2158,82,25,9,13,56,27,2,0,1,0,1886,6,40,35,"2,597",29,18,6,0,2.43,73,22,-0.09,66.8,25.1,2,5,7,2,0,0,3,0,1.5,1.5,3.5,54,245,116,31,6,24.5,1,0.5,34,292,1468,694,38,2444,25,16,9,1405,6113,2738,47,5,28,12,1859,1886,2246,31808,8574,874,975,801,921,153,228,3.7,38,215,52,14,0,23,7,3,23,20,0,0,0,228,18,13,96,86,4,2,2,1,1,14,14,0,0,0,0,0,9,25,2,17,44,27,25,1,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
6,Andrew Robertson,DF,27,28.2,2350,1986,356,56,3,10,195,219,81,8,68,0,1885,8,34,29,"2,537",29,25,0,4,2.41,71,20,0.08,64.8,26.3,3,10,13,3,0,0,5,1,1.4,1.4,5.6,96,186,239,18,8,16.9,0,1.6,77,528,1172,882,88,2556,23,13,10,1436,7043,4330,85,19,24,15,1731,1885,2350,30530,10280,980,1078,759,906,120,268,5.5,55,131,45,13,0,19,9,4,23,21,0,0,0,180,26,14,112,81,24,1,2,3,1,17,14,3,0,0,0,0,16,15,5,20,35,15,24,3,21,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
7,Diogo Jota,FW,24,26.3,770,765,0,0,10,1,21,0,0,0,0,0,559,5,23,35,"2,364",27,10,8,1,2.37,58,19,-0.99,57.3,23.5,15,4,19,15,0,0,3,0,16.3,16.3,5.8,74,87,191,90,32,12.3,0,-1.3,13,87,434,596,182,1097,69,27,42,649,3861,2029,52,34,63,33,844,559,770,7799,1928,324,397,183,231,22,46,3.5,40,46,26,2,0,41,40,5,6,18,2,0,0,100,37,83,98,63,0,12,9,13,1,13,7,0,2,2,2,0,12,18,9,13,55,42,19,2,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
8,Fabinho,MF,27,25.7,1550,1525,23,23,5,4,6,0,0,0,0,0,1350,2,17,29,"2,314",26,21,3,1,2.38,62,18,-0.24,60.7,23.5,5,1,6,3,2,2,7,0,3.9,2.4,1.3,18,134,37,19,7,19.9,2,1.1,42,343,1175,281,21,1786,15,11,4,942,3953,1874,27,1,24,13,1231,1350,1550,21821,5712,676,741,548,608,94,135,1.9,16,151,12,1,0,40,28,0,39,25,0,0,0,193,43,24,53,42,0,0,3,6,2,5,3,0,0,2,0,0,17,23,6,24,70,46,33,10,23,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
9,Thiago Alcántara,MF,30,17,1508,1488,18,10,4,17,4,4,1,0,1,0,1340,2,13,25,"1,534",17,5,8,1,2.64,43,7,0.59,42.7,10.9,1,4,5,1,0,0,2,0,1.9,1.9,2.3,24,214,45,25,6,19.3,0,-0.9,32,247,1106,362,20,1700,32,20,12,1039,5003,2393,43,1,16,13,1279,1340,1508,24737,7150,573,624,594,640,150,190,1.7,29,211,26,1,0,19,13,0,26,29,0,0,0,126,31,12,67,57,0,1,7,1,1,6,6,0,0,0,0,0,14,24,10,10,42,32,22,2,20,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
