Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Alisson,GK,29,37,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1,37,"3,330",37,37,0,0,1.78,71,43,0.76,68.6,49.1,0,1,1,0,0,0,1,0,0,0,0.3,0,3,0,0,0,0,0,0,1124,1498,39,0,0,1536,2,2,0,985,4654,2962,0,0,1,0,901,1241,1453,29043,18696,307,309,657,666,273,469,0,1,16,0,0,0,1,5,0,0,0,0,0,0,71,11,1,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,3,3,0,3,20,0,43,147,105,19,9,9,14,4,2,1,1,0,0,51.1,0.33,10.1,116,283,1256,210,26.9,193,31.3,397,23,89,19.8,35
Mohamed Salah,FW,30,36.6,1185,1146,29,4,14,3,38,17,0,0,0,0,902,10,40,38,"3,290",37,29,1,0,1.76,74,45,1.49,70.6,46.8,19,12,31,17,2,4,2,0,21.7,18.5,7.7,120,149,421,121,45,15.1,2,-2.7,4,83,539,1028,301,1630,134,50,72,1107,6382,3036,66,87,110,79,1305,902,1185,12538,3403,533,648,283,352,38,66,7.2,65,53,80,7,0,20,33,22,6,12,0,0,0,100,8,30,140,106,2,12,12,6,2,24,17,1,0,2,3,1,4,5,12,10,26,16,21,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Trent Alexander-Arnold,DF,23,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37,37,"2,923",34,23,3,1,1.78,70,44,0.44,64.2,42.6,2,9,11,2,0,0,5,0,2.4,2.4,11.5,43,235,139,40,8,23.8,5,-0.4,89,737,1631,837,44,3180,45,30,13,1778,6848,3312,39,8,35,21,2042,2188,2912,41590,16323,1000,1123,822,1045,331,642,9.1,71,239,82,28,0,22,6,5,43,40,0,0,0,239,20,13,124,81,34,3,5,1,0,17,14,2,1,0,0,0,32,16,9,42,79,37,25,7,18,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Fabinho,MF,28,29.7,1832,1789,38,31,5,6,5,7,0,0,0,0,1617,5,18,36,"2,671",31,20,5,0,1.78,59,34,0.48,52.7,38.4,0,2,2,0,0,0,11,0,0.7,0.7,2.1,15,161,39,18,4,22,0,-0.7,83,456,1314,325,21,2092,15,7,4,1184,4669,1913,28,1,17,12,1493,1617,1832,26192,6163,817,882,627,680,125,180,1.9,17,131,17,0,0,53,24,0,37,38,0,0,0,180,30,21,55,49,0,0,1,2,3,8,7,0,0,0,1,0,18,40,7,24,62,38,38,11,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Andrew Robertson,DF,28,28.7,2265,1883,375,65,2,12,195,229,81,23,49,0,1803,7,41,34,"2,583",29,19,5,1,1.82,58,34,0.41,54.9,36.4,0,8,8,0,0,0,3,0,1.3,1.3,6.1,80,166,194,13,2,14.5,0,-1.3,79,691,1084,727,59,2483,42,17,23,1385,6702,3934,60,10,31,7,1637,1803,2265,30554,9527,855,943,786,938,137,286,6.5,52,121,33,14,0,22,10,7,18,21,0,0,0,174,22,24,95,59,27,1,4,1,3,13,9,4,0,0,0,0,12,16,10,21,41,20,32,5,27,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Jordan Henderson,MF,32,23,1615,1554,53,12,9,11,45,17,0,0,0,0,1341,8,32,35,"2,074",23,10,12,0,1.8,48,30,0.11,44,31.6,0,2,2,0,0,0,2,0,1.4,1.4,3.2,37,189,90,23,5,22.8,0,-1.4,34,277,1013,505,45,1782,23,12,8,1060,4836,2046,49,1,18,9,1319,1341,1615,22431,5954,666,734,513,594,122,193,3.6,31,158,47,12,0,18,9,3,21,23,0,0,0,163,11,10,72,65,1,0,3,1,2,7,5,0,0,1,1,0,10,18,4,15,36,21,21,3,18,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Darwin Núñez,FW,23,18.8,401,386,11,0,2,8,18,8,1,0,0,0,258,4,22,29,"1,695",19,5,10,0,1.9,35,22,-0.09,37.3,27.2,9,3,12,9,0,0,1,1,12.1,12.1,5.4,61,29,181,84,35,15.1,0,-3.1,12,51,179,412,154,633,44,18,19,387,2795,1408,33,31,41,27,491,258,401,3922,852,130,184,80,117,21,30,2.8,28,11,12,1,0,25,17,17,3,5,1,0,0,44,36,51,54,35,1,4,7,7,0,3,2,0,0,0,1,0,2,4,5,4,17,13,10,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Harvey Elliott,MF,19,17.9,1009,962,39,0,8,4,34,10,2,1,0,0,809,8,24,32,"1,613",18,4,14,5,1.66,36,20,0.3,33.7,25.4,1,2,3,1,0,0,2,0,2.1,2.1,3.6,54,142,129,36,12,19.3,0,-1.1,14,147,566,491,50,1194,42,19,15,759,3981,1943,40,10,26,23,867,809,1009,12346,3197,442,494,296,363,45,85,4.3,26,68,41,6,0,14,25,2,15,18,0,0,0,122,4,16,75,62,1,5,5,1,1,10,10,0,0,0,0,0,6,12,9,9,36,27,26,1,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Ibrahima Konaté,DF,23,17.2,1135,1115,19,16,2,6,1,3,0,0,0,0,988,1,5,18,"1,552",17,17,1,3,1.72,34,22,-0.08,31.9,23.3,0,0,0,0,0,0,5,0,1.2,1.2,0.1,7,56,5,11,3,9.7,0,-1.2,107,589,691,43,22,1317,14,10,2,829,3627,1871,7,0,12,4,918,988,1135,17712,6925,374,413,539,588,59,109,0.8,1,56,2,0,0,29,15,1,26,26,0,1,1,107,46,14,17,12,0,1,2,1,1,1,1,0,0,0,0,0,25,13,0,16,27,11,12,5,7,61,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Cody Gakpo,FW,23,16.2,392,381,9,0,3,0,17,2,4,3,0,0,293,2,11,21,"1,458",17,6,4,0,1.86,32,19,0.11,32.9,19.2,7,2,9,7,0,0,0,0,6.2,6.2,2.7,36,50,109,39,12,14.8,0,0.8,6,42,266,298,76,591,48,23,13,374,2069,1134,32,12,43,36,448,293,392,3928,1110,168,208,91,119,11,20,1.9,23,33,11,1,0,26,33,8,4,15,1,0,0,57,26,24,49,37,0,3,4,3,2,6,5,0,0,0,1,0,4,13,9,13,38,25,13,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
