Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Ederson,GK,27,37,1128,951,175,36,1,2,0,1,0,0,0,0,1016,2,2,37,"3,330",37,37,0,0,2.43,97,26,-0.08,86.5,23.7,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,906,1159,10,0,0,1169,0,0,0,795,3425,2214,0,0,0,0,714,1016,1128,22789,14725,280,280,519,523,212,316,0.1,0,7,1,0,0,1,4,0,0,1,0,1,0,43,10,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,12,0,26,83,57,28,6,3,20,1,1,0,0,0,1,25.7,0.3,-0.3,87,182,988,165,25.7,138,26.8,300,21,55,19,45
João Cancelo,DF,27,35.9,3365,3019,338,55,21,41,124,282,1,1,0,0,2809,8,59,36,"3,227",36,35,0,1,2.42,88,25,-2.91,80.9,23.7,1,7,8,1,0,0,7,0,4,4,5.4,125,357,270,81,23,22,1,-3,67,618,1931,1245,101,3769,106,56,50,2411,11313,5785,129,36,45,24,2749,2809,3365,44538,12620,1610,1732,938,1130,208,346,6.6,39,308,96,12,0,34,26,2,59,54,0,0,0,217,57,51,126,98,1,8,16,2,1,18,13,1,1,3,0,0,33,35,15,46,91,45,25,3,22,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Rodri,MF,25,32,2887,2837,44,37,4,25,9,7,0,0,0,0,2640,6,16,33,"2,884",33,29,0,2,2.52,83,22,-0.11,73.9,18.3,7,2,9,7,0,0,5,0,2.3,2.3,1.4,43,285,47,45,14,19.8,0,4.7,90,585,1985,622,58,3171,22,12,10,2003,8513,4473,54,7,18,23,2429,2640,2887,48233,11300,1107,1185,1207,1271,294,358,2.7,29,284,37,3,0,43,20,0,28,43,0,0,0,292,85,33,93,82,1,1,5,1,3,6,6,0,0,0,0,0,24,38,10,32,59,27,28,5,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Bernardo Silva,MF,26,31.7,1977,1887,87,26,6,5,58,28,16,1,0,0,1728,3,32,35,"2,857",33,27,2,3,2.49,75,23,-1.72,69.1,21.4,8,4,12,8,0,0,6,0,6.7,6.7,6.5,146,170,277,47,19,12.6,0,1.3,36,290,1009,1002,179,2283,92,53,39,1552,9305,5010,102,34,54,25,1766,1728,1977,24552,4453,1027,1113,543,614,73,109,4,59,106,42,6,0,30,33,9,20,29,1,0,0,156,7,15,137,110,2,10,9,6,0,17,13,1,0,2,1,0,19,19,19,31,67,36,24,2,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Aymeric Laporte,DF,27,31.4,2940,2888,50,37,4,22,5,13,0,0,0,0,2782,2,2,33,"2,828",33,27,0,2,2.52,87,23,0.67,74.7,19.8,4,0,4,4,0,0,5,1,4.9,4.9,0.6,51,271,8,35,7,11.6,0,-0.9,210,1048,1937,158,42,3135,8,6,2,2325,12799,9256,49,0,4,7,2550,2782,2940,53607,17549,933,966,1575,1624,251,316,1.3,9,309,9,2,0,14,10,2,20,15,1,0,0,182,52,32,40,34,0,1,4,1,0,6,3,0,0,2,1,0,22,10,1,14,20,6,15,10,5,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Rúben Dias,DF,24,26.7,2287,2233,52,36,1,6,3,15,0,0,0,0,2133,2,8,29,"2,402",27,24,2,2,2.48,69,18,-0.03,62.9,18.7,2,4,6,2,0,0,5,0,2.7,2.7,3.2,33,139,4,18,3,11.8,0,-0.7,151,777,1606,92,33,2471,4,2,2,1715,9468,6448,17,0,9,3,1977,2133,2287,40019,12614,742,786,1201,1248,173,218,1.9,15,209,3,0,0,27,9,2,23,19,0,0,0,108,50,37,36,31,0,0,4,0,1,7,5,0,0,2,0,0,11,12,3,8,15,7,19,13,6,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Phil Foden,FW,21,23.6,1102,995,104,19,7,8,132,7,65,32,23,0,881,3,32,28,"2,128",24,15,4,5,2.43,59,16,-0.27,52.4,14.7,9,5,14,9,0,0,1,0,9.4,9.4,6.3,71,98,248,57,22,14.5,0,-0.4,6,66,426,820,137,1303,58,37,21,872,4436,1941,43,39,48,34,1023,881,1102,12909,2621,542,595,235,294,56,115,5.3,40,50,37,9,0,15,23,14,11,8,0,0,0,83,5,27,89,63,13,3,7,2,1,13,8,3,0,2,0,0,10,4,2,7,17,10,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Raheem Sterling,FW,26,23.6,880,863,11,3,4,2,50,4,2,1,0,0,714,6,30,30,"2,128",23,17,7,7,2.43,64,17,0.18,57.5,16.9,13,5,18,11,2,3,1,0,14,11.5,5.5,108,65,317,54,25,14,0,-1,8,51,339,797,191,1170,112,53,59,886,5297,2574,54,65,62,54,991,714,880,9140,1729,479,527,184,226,14,29,4.6,42,15,48,9,0,19,37,10,12,10,2,0,0,86,4,18,93,72,1,12,4,4,0,10,5,0,0,2,3,0,3,11,9,10,23,13,12,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Jack Grealish,FW,25,21.3,971,938,30,5,2,2,32,8,10,3,1,0,833,3,37,26,"1,914",22,15,4,8,2.31,52,8,0.34,51.1,11.1,3,3,6,3,0,0,3,0,5.3,5.3,6,153,100,267,45,16,14.6,0,-2.3,15,68,359,761,162,1173,68,40,28,906,7308,3915,74,83,31,29,997,833,971,11275,2149,543,578,230,260,30,42,4.6,53,30,43,1,0,17,55,5,8,17,0,0,0,63,14,28,119,98,1,4,5,10,1,6,6,0,0,0,0,0,4,10,4,5,13,8,11,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Gabriel Jesus,FW,24,20.9,770,749,20,1,4,5,24,6,0,0,0,0,637,1,19,28,"1,877",21,13,7,6,2.43,50,15,-0.54,44.6,13,8,8,16,7,1,1,1,0,9.8,9,5.7,51,55,220,63,20,13.8,0,-1.8,12,81,315,634,161,1022,71,46,25,667,3637,1501,20,32,66,27,798,637,770,8461,1409,398,457,175,206,21,31,3.5,38,15,30,4,0,26,26,10,15,12,2,0,0,76,21,36,85,56,0,16,7,4,2,18,11,0,2,1,2,2,2,4,12,6,26,20,18,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
