Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Bruno Fernandes,MF,26,34.6,2093,1891,180,39,22,29,148,22,68,22,29,0,1549,22,50,36,"3,111",35,26,1,0,1.44,49,54,-1.6,50.6,48.9,10,6,16,10,0,2,10,0,9.7,8.1,9,78,237,190,87,29,21.9,6,0.3,64,359,1135,965,100,2443,52,26,26,1450,6657,3514,65,24,46,40,1799,1549,2093,26517,7848,792,925,509,636,195,371,6.9,88,170,81,14,0,33,47,3,17,28,0,0,0,180,19,30,155,115,19,5,10,5,1,11,8,0,1,2,0,0,26,22,6,26,91,65,36,0,36,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Harry Maguire,DF,28,27.9,1578,1521,47,44,0,25,2,3,0,0,0,0,1353,10,8,30,"2,515",28,26,2,3,1.67,46,41,0.68,41.1,36.4,1,0,1,1,0,0,9,1,1.9,1.9,0.1,22,115,5,23,10,12.8,0,-0.9,236,851,903,102,42,1843,5,4,1,1068,6087,3525,15,1,13,5,1212,1353,1578,27400,9647,436,476,722,792,174,265,0.6,4,116,2,0,1,21,19,1,32,21,0,0,1,148,75,28,24,14,2,1,5,0,2,0,0,0,0,0,0,0,22,8,4,19,31,12,36,29,7,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Scott McTominay,MF,24,26.5,1254,1216,32,30,1,14,13,2,0,0,0,0,1060,6,16,30,"2,387",28,20,2,1,1.47,40,37,0.37,39.2,38.1,1,1,2,1,0,0,9,0,1.4,1.4,1.5,40,125,37,27,7,20.9,0,-0.4,92,386,919,297,27,1585,47,36,11,902,5275,2529,36,3,44,32,997,1060,1254,18096,5343,492,561,427,482,108,134,2,23,113,9,2,0,55,33,1,31,33,0,1,0,171,67,34,51,43,0,3,1,2,2,6,4,0,0,1,0,1,32,24,9,30,61,31,45,10,35,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Cristiano Ronaldo,FW,36,27.3,904,866,35,3,2,3,15,7,0,0,0,0,726,3,25,30,"2,456",27,21,3,0,1.63,40,41,-0.13,44.8,38.7,18,3,21,15,3,3,8,0,17.7,15.4,2.9,67,64,192,107,39,15.5,8,0.3,30,102,500,573,170,1165,32,20,12,631,3252,1744,40,37,50,30,952,726,904,8929,1337,469,541,174,218,20,29,2,26,46,16,0,0,16,18,33,2,6,2,0,0,52,42,68,82,62,0,9,6,5,0,9,4,0,2,1,2,0,1,5,2,2,6,4,8,0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Victor Lindelöf,DF,27,26.2,1385,1351,32,26,4,10,0,6,0,0,0,0,1215,2,8,28,"2,355",26,25,2,5,1.39,38,47,-1.1,35.6,40.8,0,2,2,0,0,0,4,0,0.2,0.2,0.6,14,72,3,3,2,8.6,0,-0.2,221,881,680,46,10,1595,3,3,0,919,5814,3385,17,3,8,1,1025,1215,1385,22399,8069,452,486,637,691,107,165,0.8,4,75,6,0,0,19,6,2,25,11,0,0,0,161,52,33,13,12,0,0,0,0,1,4,3,0,0,0,0,1,9,7,0,9,14,5,26,17,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fred,MF,28,22.5,1358,1319,35,27,11,13,3,8,0,0,0,0,1137,4,34,28,"2,028",24,14,4,3,1.75,32,31,0.11,31.2,31.3,4,4,8,4,0,0,5,0,1.3,1.3,2.2,17,138,41,15,9,21.3,0,2.7,65,392,965,275,17,1623,36,21,15,840,3252,1564,16,1,41,25,1093,1137,1358,18842,5515,547,626,448,506,92,118,3,28,131,13,1,0,31,30,0,32,27,1,0,1,197,15,13,56,52,0,0,0,4,0,9,8,0,0,0,1,0,32,24,7,22,79,57,38,11,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Jadon Sancho,FW,21,21.1,984,955,26,0,5,2,28,18,7,0,1,0,805,3,16,29,"1,900",20,11,9,3,1.55,29,28,0.11,29,29,3,3,6,3,0,0,0,0,3.6,3.6,4.1,111,88,222,26,9,14.1,0,-0.6,11,146,451,610,105,1188,85,47,38,770,5515,3067,70,43,44,27,928,805,984,10392,2336,525,602,218,271,21,30,3.6,41,31,39,7,0,4,7,7,15,8,0,0,0,112,2,11,88,73,3,9,2,1,0,9,7,0,2,0,0,0,9,4,1,8,22,14,19,0,19,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Raphaël Varane,DF,28,20.3,1156,1119,36,33,0,11,1,3,0,0,0,0,1014,1,6,22,"1,831",20,20,2,2,1.73,30,22,0.85,31.8,25.6,1,1,2,1,0,0,0,0,0.7,0.7,0.2,11,49,2,9,1,9.6,0,0.3,162,645,659,40,15,1336,3,2,1,818,4704,2662,8,0,7,0,897,1014,1156,20563,6918,305,339,584,629,118,168,0.3,4,65,1,0,0,5,7,0,18,19,0,0,0,78,55,20,9,9,0,0,0,0,0,2,2,0,0,0,0,0,21,6,1,10,22,12,18,9,9,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Aaron Wan-Bissaka,DF,23,19.9,1141,968,171,4,0,6,35,167,0,0,0,0,925,2,45,20,"1,793",20,19,0,10,1.25,29,35,-0.63,28.5,30.7,0,0,0,0,0,0,2,0,0.3,0.3,0.9,55,61,90,5,1,14.1,0,-0.3,75,454,565,366,28,1365,61,36,25,716,4088,2131,41,8,23,13,815,925,1141,12449,4048,598,657,255,307,36,67,0.9,14,52,12,8,0,15,13,1,34,36,0,1,0,126,19,32,35,29,0,3,1,1,1,1,1,0,0,0,0,0,25,18,6,14,20,6,24,14,10,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Diogo Dalot,DF,22,20,1193,1001,189,16,2,9,58,171,2,0,2,0,934,3,19,24,"1,801",19,18,5,13,1.63,28,29,-0.11,29.3,26,0,0,0,0,0,0,4,0,0.6,0.6,1.2,53,105,75,13,4,21,0,-0.6,86,450,649,337,27,1422,25,17,8,734,3825,2193,29,13,25,8,826,934,1193,17062,6008,407,477,396,490,117,181,1.3,16,80,21,7,0,18,4,1,29,41,0,0,0,151,29,17,42,37,1,3,0,1,0,5,5,0,0,0,0,0,35,12,8,31,57,26,24,13,11,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
