Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Martin Dúbravka,GK,30,38,1097,596,493,152,0,4,0,1,0,0,0,0,609,8,2,38,"3,420",38,38,0,0,1.16,38,58,0,35.5,65.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1192,6,0,0,1198,0,0,0,508,3675,2574,0,0,3,0,331,609,1097,23225,19598,62,62,206,210,340,814,0.1,0,12,1,0,0,0,4,0,1,1,0,0,0,35,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,2,17,5,58,195,139,11,11,16,11,2,2,0,0,3,8,63,0.32,7,288,750,749,119,42,340,58.3,686,21,26,11.6,7.5
Miguel Almirón,MF,25,33.6,884,868,12,1,2,4,41,10,0,0,0,0,681,4,35,36,"3,021",35,21,1,1,1.22,35,48,1.19,31.7,57.5,4,2,6,4,0,0,5,0,6.7,6.7,3,120,77,160,56,17,16.2,0,-2.7,34,260,538,537,81,1291,93,46,47,929,7715,3823,82,19,80,35,881,681,884,9262,2156,396,457,192,248,37,65,1.9,31,40,21,5,0,30,59,24,31,39,0,0,0,189,9,28,83,56,0,10,6,7,4,3,2,0,0,0,1,0,32,20,8,19,52,33,25,1,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Joelinton,FW,22,29.8,835,803,29,2,3,2,6,6,0,0,0,0,637,3,22,38,"2,683",32,11,6,0,1.16,23,46,-1.14,25.5,51,2,2,4,2,0,0,7,0,5.5,5.5,2.9,47,56,133,50,15,14.9,0,-3.5,39,112,712,424,94,1235,80,41,39,699,3690,1486,37,26,134,60,875,637,835,7959,1525,416,502,137,185,27,35,1.8,30,38,13,2,0,32,40,20,11,20,0,0,0,118,169,234,71,60,1,3,4,3,0,5,5,0,0,0,0,0,7,22,5,9,32,23,32,6,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Federico Fernández,DF,30,29.1,1246,1100,141,39,0,11,29,102,0,0,0,0,929,5,21,32,"2,620",29,28,3,4,1.25,33,42,0.93,30,51.8,2,2,4,2,0,0,8,0,1.4,1.4,1.2,4,43,13,15,7,11.5,0,0.6,254,942,536,150,24,1614,16,10,6,831,3506,1421,13,1,21,3,860,929,1246,17988,7703,354,415,428,529,127,246,0.5,4,40,6,4,0,17,20,2,24,25,0,0,1,128,60,51,19,10,2,3,3,1,0,3,1,0,0,2,0,0,30,10,2,23,46,23,41,28,13,190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
Isaac Hayden,MF,24,24.7,853,800,50,10,1,2,38,11,0,0,0,0,645,3,25,29,"2,223",26,20,3,2,1.34,26,32,0.81,25.6,43.1,1,2,3,1,0,0,4,1,1.2,1.2,2.3,24,52,30,18,3,20.9,0,-0.2,50,275,618,229,29,1110,43,27,16,532,2118,793,18,6,28,17,613,645,853,9410,2242,368,441,213,258,31,65,1.1,15,37,12,7,0,25,21,2,38,27,0,0,0,114,49,33,33,25,1,2,2,2,1,3,1,0,0,1,1,0,33,17,5,20,50,30,24,7,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Jonjo Shelvey,MF,27,23.5,1149,990,146,59,5,36,89,3,61,27,17,10,827,13,19,26,"2,119",25,19,1,6,1.31,29,34,0.83,25.4,41.9,6,2,8,6,0,0,3,0,2.5,2.5,3.6,22,124,28,45,14,26.7,8,3.5,58,341,767,261,22,1353,20,15,5,714,3412,1579,19,7,24,10,806,827,1149,17762,6086,308,357,325,402,178,335,2.6,45,123,20,6,0,19,6,1,23,19,0,0,0,139,17,13,82,56,18,4,4,0,0,6,3,2,1,0,0,0,17,12,0,11,42,31,14,5,9,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
Jamaal Lascelles,DF,25,23.1,851,836,11,11,0,5,0,0,0,0,0,0,676,4,7,24,"2,076",24,21,0,0,1.33,24,31,0.57,23.2,39.6,1,0,1,1,0,0,5,0,0.5,0.5,0.2,3,21,1,9,2,12.9,0,0.5,188,662,386,33,18,1076,6,4,2,530,2311,838,5,0,6,4,553,676,851,13098,3863,223,270,358,421,79,119,0.1,2,24,1,0,0,22,18,2,28,3,0,0,0,128,73,49,10,7,0,0,1,2,0,0,0,0,0,0,0,0,10,4,0,4,9,5,23,20,3,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
Allan Saint-Maximin,MF,22,20.7,485,473,9,1,2,6,45,6,0,0,0,0,353,3,15,26,"1,863",23,9,3,1,1.46,26,22,1.58,22,34.4,3,4,7,3,0,0,0,0,3.3,3.3,3.3,125,49,92,46,21,22.5,0,-0.3,12,115,310,388,78,766,180,121,59,616,6374,3852,74,46,73,51,561,353,485,5433,1190,209,246,87,123,34,56,3.1,33,22,14,3,0,18,48,3,9,8,0,0,0,115,8,23,88,53,0,22,6,7,0,9,6,0,1,1,1,0,7,4,2,4,18,14,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Fabian Schär,DF,27,18.6,804,727,69,46,1,38,12,23,0,0,0,0,590,8,7,22,"1,672",18,15,4,10,0.82,14,37,-1.39,15.3,33.9,2,0,2,2,0,0,5,0,1.4,1.4,0.1,20,53,6,20,6,21.4,1,0.6,123,516,459,96,19,1053,24,16,8,530,2962,1818,16,2,14,5,556,590,804,12400,5435,226,261,228,275,120,228,0.2,4,59,3,0,0,29,25,2,47,21,0,0,0,112,33,33,25,19,1,1,3,0,1,3,1,1,0,1,0,0,25,14,0,19,40,21,35,18,17,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Javier Manquillo,DF,25,17.8,642,517,123,3,0,0,45,120,0,0,0,0,448,2,22,21,"1,599",18,15,3,5,1.19,19,21,0.78,17.4,26.5,0,1,1,0,0,0,5,0,0,0,0.2,22,28,49,1,0,11.8,0,0,81,305,325,194,11,814,25,13,12,362,1899,996,24,2,19,2,402,448,642,6617,2523,245,289,155,227,24,68,0.3,5,24,7,4,0,18,11,1,18,26,0,1,0,83,16,15,21,17,2,1,0,1,0,4,2,1,0,0,1,0,27,8,4,24,38,14,14,2,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
