Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Teemu Pukki,FW,31,36.1,540,444,95,0,2,2,13,2,0,0,0,0,399,1,22,37,"3,253",37,29,0,0,0.59,22,79,0.58,29.8,72.1,11,3,14,8,3,3,4,0,11.4,9.1,3.8,62,34,186,68,24,15.2,0,-0.4,8,42,370,416,149,813,60,27,33,429,2777,1282,27,35,71,42,511,399,540,5175,838,257,308,94,124,19,27,2.9,27,21,6,1,0,31,25,12,4,11,1,0,0,76,15,73,63,40,0,8,3,12,0,4,3,0,0,0,1,0,2,14,7,6,29,23,21,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Grant Hanley,DF,29,32.2,1310,1250,60,60,1,8,0,0,0,0,0,0,1089,0,6,33,"2,897",33,31,0,0,0.58,20,70,0.34,26.9,62.1,1,0,1,1,0,0,2,0,2.1,2.1,0.9,2,27,3,20,4,9.2,0,-1.1,369,1104,552,53,35,1702,3,1,2,850,3128,1390,5,0,9,1,942,1089,1310,20556,6269,381,445,590,650,101,183,0.4,6,23,3,0,0,22,22,2,56,25,0,0,0,121,102,33,14,9,1,0,4,0,0,0,0,0,0,0,0,0,28,14,2,18,35,17,56,45,11,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Max Aarons,DF,21,32,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40,34,"2,881",32,29,2,2,0.53,18,69,0.08,25.5,60,0,2,2,0,0,0,8,0,0.8,0.8,1.7,78,117,85,13,2,19.9,0,-0.8,160,721,703,440,23,1841,68,34,34,953,6454,3377,47,12,38,23,1030,1107,1469,16588,6133,645,713,383,511,57,160,1.7,20,50,37,9,0,27,52,1,28,44,0,2,1,154,13,50,46,34,3,2,3,3,1,3,3,0,0,0,0,0,49,15,0,37,55,18,39,19,20,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Kenny McLean,MF,29,30.1,1090,1054,31,15,4,11,37,13,1,1,0,0,786,5,25,31,"2,706",29,27,2,1,0.58,20,62,1,25.9,61.3,1,0,1,1,0,0,3,0,1.8,1.8,0.8,32,99,61,33,6,20.4,0,-0.8,71,363,715,328,44,1387,30,19,11,776,3976,1631,25,4,41,14,903,786,1090,13086,4130,390,488,301,386,71,143,1,10,73,21,0,0,16,38,3,34,22,0,1,0,149,68,72,41,34,3,0,3,0,1,2,2,0,0,0,0,0,18,20,4,17,59,42,29,7,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Tim Krul,GK,33,29,1073,741,330,106,1,4,0,0,0,0,0,0,759,2,0,29,"2,610",29,29,0,3,0.59,17,62,0.23,26.1,55,0,0,0,0,0,0,1,0,0,0,0.6,0,1,0,0,0,0,0,0,953,1128,21,1,0,1149,0,0,0,621,3149,2036,0,0,1,0,506,759,1073,21441,14060,104,105,370,382,284,583,0.5,1,7,1,0,0,0,0,0,0,1,0,0,1,19,7,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,0,0,10,4,62,165,105,4,5,20,5,8,7,0,1,1,7,48.3,0.27,-11.7,134,399,847,168,34.3,224,40.1,442,14,19,12.6,2
Ben Gibson,DF,28,27.7,1382,1319,57,47,0,10,1,9,0,0,0,0,1117,6,11,28,"2,494",28,27,0,7,0.79,20,55,1.26,24.2,52.2,0,0,0,0,0,0,5,1,1.4,1.4,0.2,11,68,0,8,4,10.6,0,-1.4,336,1009,591,46,22,1640,7,5,2,966,4380,2686,8,0,6,2,1071,1117,1382,22279,9598,361,400,627,688,121,268,0.3,3,74,5,0,1,12,9,0,27,16,0,3,0,108,52,39,14,13,0,0,1,0,0,1,1,0,0,0,0,0,17,6,0,7,12,5,36,30,6,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Pierre Lees-Melou,MF,28,25.2,1033,1012,20,8,7,28,33,9,1,1,0,0,807,1,24,33,"2,265",27,15,6,4,0.55,17,55,0.28,21.9,51.5,1,0,1,1,0,0,5,0,1.6,1.6,1.9,33,114,60,33,9,24.5,0,-0.6,76,360,616,308,23,1265,30,19,11,742,3433,1533,26,6,27,17,822,807,1033,13876,4105,413,483,252,299,107,169,2.4,25,81,26,9,0,35,23,2,25,36,1,0,0,181,14,15,55,48,1,1,1,1,3,2,1,0,0,0,1,0,23,29,6,25,92,67,37,11,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Milot Rashica,FW,25,24.8,602,521,78,23,3,6,128,12,43,22,15,0,363,3,15,31,"2,229",25,11,6,1,0.65,21,56,0.55,21.3,52.1,1,2,3,1,0,0,0,0,2.6,2.6,2.1,76,46,138,44,17,22.3,7,-1.6,38,178,318,434,59,911,73,16,57,526,3977,2046,44,21,68,38,558,363,602,6213,1883,190,240,117,207,45,105,2.4,36,33,20,8,0,23,47,13,15,19,0,0,0,110,12,28,68,37,14,5,4,6,2,5,4,1,0,0,0,0,12,12,7,11,30,19,22,3,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Brandon Williams,DF,20,23.6,1130,927,197,21,4,7,14,176,0,0,0,0,899,6,14,26,"2,120",23,19,3,6,0.69,16,52,0.2,19.4,49.3,0,1,1,0,0,0,8,0,0.2,0.2,1.9,57,90,58,4,1,21.2,0,-0.2,110,524,594,318,30,1415,39,20,19,784,5226,2711,47,9,39,17,781,899,1130,14660,5198,454,524,371,460,62,106,1.4,21,48,19,3,0,23,44,0,44,37,0,0,0,158,14,17,44,35,1,1,0,5,2,2,1,0,0,0,0,1,35,18,2,36,64,28,26,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Billy Gilmour,MF,20,20.6,1243,1110,130,41,2,22,98,6,64,25,36,2,991,3,15,24,"1,855",21,15,3,7,0.33,8,52,-1.16,17.8,44.5,0,1,1,0,0,0,2,0,0.9,0.9,1.4,30,112,17,18,3,23.3,2,-0.9,44,359,778,301,5,1423,22,15,7,841,4409,1888,23,0,29,11,958,991,1243,18498,5588,456,514,357,419,152,258,1.9,25,94,17,3,0,28,21,1,17,21,0,1,0,124,13,20,55,30,23,0,2,0,0,2,1,1,0,0,0,0,16,21,4,14,52,38,21,4,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
