Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
George Baldock,DF,26,38,1522,1241,276,5,0,1,128,271,0,0,0,0,1143,5,70,38,"3,420",38,38,0,0,1.42,39,39,0,43,51,2,3,5,2,0,0,7,0,0.6,0.6,1.7,97,103,197,13,4,16.9,0,1.4,102,405,623,887,56,1908,70,42,28,884,5340,2565,63,22,43,22,1036,1143,1522,15916,5444,719,795,323,417,55,162,2.3,23,66,46,30,0,47,44,11,34,43,1,0,0,167,38,57,71,54,5,6,0,6,0,6,4,0,1,0,1,0,35,17,10,27,47,20,26,3,23,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
Enda Stevens,DF,29,37.2,1902,1581,315,11,2,5,123,304,0,0,0,0,1383,6,66,38,"3,345",38,36,0,0,1.42,39,39,0,41.7,48.7,2,4,6,2,0,0,7,0,1.3,1.3,5.3,92,174,197,22,4,17.8,0,0.7,83,502,960,852,73,2290,84,61,22,1136,5912,3177,63,20,55,43,1336,1383,1902,21879,8369,785,905,465,626,107,246,4.2,34,110,46,12,0,39,19,2,35,46,0,0,0,226,31,31,77,63,5,5,2,2,0,9,8,0,1,0,0,0,48,26,7,42,96,54,27,8,19,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
Chris Basham,DF,31,36,1546,1349,190,18,0,10,51,172,0,0,0,0,1091,7,25,38,"3,242",38,25,0,0,1.42,33,37,-2.13,39.1,47.2,0,1,1,0,0,0,4,0,0.3,0.3,1.3,32,82,70,6,0,13.5,0,-0.3,243,818,882,352,41,2030,37,24,13,716,3683,2048,34,7,33,8,894,1091,1546,18241,6389,531,614,434,638,91,198,1.3,12,83,8,4,0,26,31,5,77,48,0,1,0,188,107,62,27,24,1,2,0,0,0,3,3,0,0,0,0,0,58,20,7,48,81,33,38,15,23,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Oliver Norwood,MF,28,34.3,2222,1987,225,99,1,70,198,7,119,86,14,8,1710,10,23,38,"3,090",37,25,1,0,1.42,35,36,-0.3,37.8,46.4,1,1,2,0,1,1,8,0,1.5,0.7,4.3,7,258,26,16,5,27.8,4,-0.5,77,505,1449,532,2,2464,9,9,0,1023,3408,1387,14,0,20,4,1487,1710,2222,36359,11716,591,666,744,864,346,605,4.7,48,231,29,12,0,32,16,1,47,37,0,1,0,275,44,29,83,48,29,0,4,1,1,6,4,2,0,0,0,0,35,24,7,28,97,69,34,12,22,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
Dean Henderson,GK,22,36,1045,657,383,122,0,1,0,0,0,0,0,0,448,5,0,36,"3,240",36,36,0,0,1.47,36,33,1.58,41.6,47.3,0,0,0,0,0,0,2,0,0.1,0.1,0,0,0,0,1,0,9.5,0,-0.1,948,1109,10,1,1,1120,0,0,0,544,4443,2726,0,0,2,0,363,448,1045,20541,18372,32,32,106,109,309,898,0.1,1,49,1,0,0,0,2,0,1,0,0,0,0,23,16,0,5,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,33,128,94,14,11,11,13,3,1,1,1,0,2,39.2,0.31,6.2,260,833,779,106,51.9,261,69.1,552,20,23,12.5,20
John Egan,DF,26,35.4,1302,1270,28,22,0,20,2,6,0,0,0,0,1040,4,3,36,"3,187",36,34,0,0,1.47,36,30,2.49,40.8,45.8,2,0,2,2,0,0,5,1,2.7,2.7,0.4,6,66,5,27,4,9.4,0,-0.7,228,843,782,65,50,1682,2,1,1,688,3495,1958,1,0,14,0,821,1040,1302,22170,7127,298,349,556,644,177,279,0.5,1,56,1,0,1,34,20,1,58,27,0,1,0,177,133,77,11,6,0,0,5,0,0,1,0,0,0,1,0,0,34,10,0,25,45,20,39,27,12,171,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Jack O'Connell,DF,25,32.4,1683,1578,101,30,1,36,51,71,0,0,0,0,1214,4,24,33,"2,916",32,32,1,0,1.52,35,28,1.47,37.9,41.5,0,1,1,0,0,0,4,0,1,1,3.1,12,131,59,14,2,10.9,0,-1,170,830,936,280,48,2037,16,9,7,858,3092,1514,21,2,20,10,1153,1214,1683,22777,9736,540,617,499,637,152,348,2.4,16,113,25,7,0,22,17,2,42,14,0,0,0,184,133,63,29,26,0,0,2,1,0,2,2,0,0,0,0,0,15,6,2,10,20,10,38,17,21,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
John Fleck,MF,27,28,1164,1021,134,29,3,5,149,7,80,55,3,10,842,9,33,30,"2,516",28,26,2,0,1.3,26,30,-0.54,32,40.6,5,2,7,5,0,0,8,0,3.1,3.1,3.4,48,139,90,31,11,20.1,0,1.9,36,205,608,619,37,1414,60,44,16,607,3286,1753,43,13,45,17,866,842,1164,13437,4460,427,494,268,342,89,198,3.4,39,105,35,7,0,25,22,1,24,25,0,0,0,169,13,23,84,56,16,8,2,1,1,6,5,0,1,0,0,0,13,14,9,22,64,42,25,3,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
John Lundstram,MF,25,27.3,1245,1209,27,9,3,33,55,5,3,3,0,0,987,9,17,34,"2,458",26,21,8,1,1.38,27,29,-0.26,31.1,38.8,5,3,8,5,0,0,5,0,5.3,5.3,3.4,36,122,111,43,10,17.6,0,-0.3,59,244,715,579,51,1525,37,18,18,759,3955,1496,27,4,41,14,1067,987,1245,17119,3711,515,604,329,383,119,179,2.2,21,70,31,8,0,27,12,7,33,30,0,0,0,157,23,33,58,48,1,0,5,2,2,7,6,0,0,1,0,0,18,21,7,21,65,44,18,4,14,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Oliver McBurnie,FW,23,23.5,633,626,2,0,1,2,9,2,0,0,0,0,376,5,13,36,"2,113",24,7,12,2,1.44,22,25,-0.33,27.5,32.3,6,0,6,6,0,0,4,0,7.7,7.7,1.1,26,58,109,50,24,10.3,0,-1.7,46,108,397,440,107,935,44,22,22,365,1712,694,23,8,43,34,634,376,633,4833,1277,245,376,99,157,9,16,1.8,10,38,10,1,0,28,28,5,15,22,0,0,0,91,197,193,31,21,0,2,7,1,0,2,0,0,0,2,0,0,6,27,4,11,40,29,25,3,22,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
