Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
James Ward-Prowse,MF,25,38,2712,2361,342,130,1,17,251,18,166,79,79,5,2173,9,25,38,"3,420",38,38,0,0,1.13,47,68,0,41.2,53.1,8,7,15,5,3,4,5,0,5.7,2.5,3.9,34,189,51,39,20,26.8,20,2.3,107,612,1837,623,22,3041,22,17,5,1401,6124,2934,46,0,33,14,1824,2173,2712,34117,9745,1152,1259,772,891,166,409,4.3,60,155,22,3,0,45,27,0,42,49,0,1,0,288,47,64,105,53,46,0,3,3,0,12,5,7,0,0,0,0,30,41,4,29,70,41,36,4,32,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Jan Bednarek,DF,24,34.4,2115,2016,96,52,0,10,0,44,0,0,0,0,1734,3,12,36,"3,100",36,32,0,1,1.11,41,59,0.32,36.2,45.8,1,1,2,1,0,0,5,1,0.7,0.7,0.6,13,76,3,10,5,10.6,0,0.3,276,1277,1156,57,16,2480,6,5,1,1357,6240,3249,8,0,11,5,1516,1734,2115,29051,11094,792,885,795,893,108,269,1,5,77,3,0,0,30,13,0,84,19,0,1,1,205,95,53,21,16,1,0,4,0,0,2,2,0,0,0,0,0,25,11,1,25,49,24,44,27,17,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Stuart Armstrong,MF,28,30.7,1298,1203,89,14,2,4,40,16,2,0,0,0,1021,6,52,33,"2,764",32,21,1,1,1.24,39,56,0,32.8,44.2,4,5,9,4,0,0,3,0,2.7,2.7,2.6,109,144,118,55,11,21.6,0,1.3,38,234,946,512,53,1669,106,68,38,985,7033,3521,75,10,77,68,1132,1021,1298,15050,4362,563,653,360,420,51,78,1.8,35,80,40,7,0,34,35,4,24,41,0,0,0,175,8,17,91,64,3,7,6,8,3,15,7,0,2,3,2,1,19,32,9,27,75,48,26,1,25,19,0,57,147,91,8,7,15,7,6,6,0,0,1,2,46.5,0.28,-9.5,109,435,900,131,32,171,41.1,365,23,31,15.6,8
Alex McCarthy,GK,30,30,1080,801,270,99,0,7,0,0,0,0,0,0,700,9,1,30,"2,700",30,30,0,7,1.03,37,57,-0.54,31.7,41.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,855,1138,7,0,0,1145,2,2,0,631,2908,1601,1,1,1,0,583,700,1080,16451,11553,216,220,290,296,179,538,0,0,7,2,0,0,0,2,0,0,0,0,0,0,37,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Che Adams,FW,24,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19,36,"2,667",30,16,6,0,1.11,39,51,0.67,32.1,37.4,9,5,14,9,0,0,1,0,9.8,9.8,5,32,57,149,55,31,13.8,0,-0.8,24,98,403,439,97,926,50,28,22,516,2336,900,28,13,88,44,713,431,622,6240,1416,228,308,125,162,34,49,3,37,35,23,1,0,30,55,19,4,16,0,0,0,84,53,133,68,50,0,2,7,9,0,7,6,0,0,0,1,0,4,15,6,6,17,11,20,2,18,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Kyle Walker-Peters,DF,23,29.4,1669,1335,330,23,0,2,35,307,0,0,0,0,1321,4,41,30,"2,645",30,26,0,1,1.4,41,41,2.44,31.5,38,0,2,2,0,0,0,4,0,1,1,1.2,92,89,112,18,7,18.8,0,-1,103,583,1063,407,52,2020,65,46,19,1034,6415,3451,67,16,37,49,1132,1321,1669,19144,6069,744,835,462,591,53,115,1.2,16,67,18,1,0,33,42,7,38,53,1,1,0,189,16,41,53,38,2,3,3,7,0,8,4,1,0,0,3,0,56,25,2,34,57,23,41,10,31,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Ryan Bertrand,DF,30,28.9,1569,1214,347,58,0,3,82,282,7,3,0,3,1186,8,34,29,"2,598",29,28,0,0,1.14,36,51,0.14,30.9,39,0,1,1,0,0,0,5,0,0.4,0.4,1.3,46,101,120,8,3,19.7,0,-0.4,58,427,894,492,42,1803,9,3,6,827,4066,2364,41,6,25,8,1030,1186,1569,17245,6420,675,773,417,537,45,141,2,14,64,22,6,0,29,35,3,30,32,0,1,0,89,37,53,43,29,11,0,0,1,2,4,3,0,0,0,0,1,26,27,7,30,48,18,19,1,18,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Jannik Vestergaard,DF,27,28.6,1775,1734,36,33,0,16,5,2,0,0,0,0,1476,5,7,30,"2,574",29,28,1,1,1.27,42,46,1.67,33.3,35.4,3,0,3,3,0,0,3,1,1.5,1.5,0.5,14,82,2,23,8,11.9,0,1.5,265,1002,992,100,46,2077,10,7,3,1210,6386,3505,16,0,13,6,1395,1476,1775,26623,11504,639,706,679,767,143,257,0.8,7,90,12,1,0,19,11,0,42,31,1,0,0,146,98,54,28,24,0,0,3,1,0,4,2,0,0,1,1,0,31,15,4,35,52,17,29,16,13,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Danny Ings,FW,28,24.1,527,519,3,0,3,2,19,2,0,0,0,0,337,5,24,29,"2,173",26,13,3,0,1.28,33,40,0.72,27.4,30.5,12,4,16,10,2,2,1,0,8.5,6.9,2.1,37,52,134,55,24,15.9,0,3.5,27,78,353,391,116,815,59,30,29,459,2139,827,25,13,66,18,574,337,527,4427,1222,195,256,88,140,17,40,1.3,22,29,15,2,0,19,18,18,3,13,0,1,0,73,23,72,59,44,0,8,5,2,0,8,4,0,2,2,0,0,3,16,3,12,28,16,39,2,37,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Oriol Romeu,MF,28,19.6,1287,1272,13,11,1,5,9,1,0,0,0,0,1056,2,14,21,"1,763",20,15,1,0,1.24,27,25,1.35,20.6,20.1,1,1,2,1,0,0,6,0,0.5,0.5,1.4,25,91,15,14,4,25.9,0,0.5,44,311,993,198,8,1492,17,14,3,773,3642,1884,31,2,23,18,1007,1056,1287,15539,3730,594,671,362,431,51,97,1,14,75,16,2,0,30,23,0,30,35,0,0,0,161,31,28,41,37,0,1,0,1,2,4,4,0,0,0,0,0,25,39,5,26,68,42,28,7,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
