Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Joe Allen,MF,27,34.9,1403,1360,37,17,3,3,37,2,9,3,1,4,1114,6,39,36,"3,139",36,33,0,1,0.92,30,55,1.85,33.6,52.2,2,6,8,2,0,0,8,0,1.8,1.8,2.8,37,165,89,24,4,18.4,0,0.2,90,370,996,448,49,1781,55,44,11,950,4752,2010,44,7,54,68,990,1114,1403,17666,5350,547,620,437,531,75,128,2.6,31,116,26,4,0,49,49,0,58,62,0,0,0,244,36,59,74,63,3,2,1,4,1,12,8,1,1,0,1,1,41,43,12,27,87,60,43,9,34,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Xherdan Shaqiri,MF,25,33.8,1293,1043,242,82,15,11,201,29,88,48,32,4,923,8,33,36,"3,039",36,26,0,1,0.92,30,58,0.35,31.6,54.3,8,7,15,8,0,1,5,0,5,4.2,7.1,81,161,183,68,30,22.3,8,3,5,155,755,720,51,1593,68,39,29,1065,6889,2896,72,17,99,57,1082,923,1293,16836,5750,418,472,314,418,152,307,7.4,75,94,59,12,0,28,50,15,16,17,0,0,0,153,5,20,145,80,40,10,9,6,0,12,3,5,1,2,1,0,9,11,5,10,39,29,9,1,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Jack Butland,GK,24,35,1283,765,507,169,0,1,0,0,0,0,0,0,643,11,1,35,"3,150",35,35,0,0,0.91,32,61,0.5,33.8,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,1385,18,0,0,1403,1,0,1,585,4648,3132,0,0,2,0,421,643,1283,28682,25851,35,36,163,173,444,1062,0.1,1,54,0,0,0,0,3,0,1,1,0,0,1,55,6,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,26,1,61,201,142,7,11,17,6,5,5,0,0,0,8,61.7,0.29,2.7,377,969,934,103,48.4,338,62.4,609,25,39,13.7,22
Kurt Zouma,DF,22,32.1,1154,999,149,33,0,24,11,116,0,0,0,0,869,6,13,34,"2,888",32,31,2,0,0.97,33,50,2.18,32.2,49.7,1,0,1,1,0,0,1,0,1.3,1.2,0.4,23,86,11,20,7,21,0,-0.3,252,803,720,104,22,1613,27,22,5,707,3830,2199,20,1,15,17,702,869,1154,17015,7595,339,385,400,516,113,207,0.3,6,74,3,0,0,19,21,1,61,38,0,0,0,145,109,31,22,17,0,2,2,0,1,2,2,0,0,0,0,0,35,13,2,21,28,7,42,23,19,246,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Erik Pieters,DF,28,30.2,1310,1054,248,10,0,4,64,238,0,0,0,0,916,8,39,31,"2,718",30,27,1,1,0.9,29,50,0.84,28.7,47.2,0,1,1,0,0,0,5,0,0.1,0.1,1.5,35,113,71,3,1,20.2,0,-0.1,129,550,795,361,18,1692,18,9,9,706,3144,1610,43,3,28,19,745,916,1310,15616,6670,440,529,371,516,88,186,1.5,13,94,22,12,0,58,29,2,61,47,0,1,0,154,50,45,37,29,4,1,0,3,0,2,2,0,0,0,0,0,43,26,2,24,51,27,70,25,45,127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Ryan Shawcross,DF,29,26.3,668,648,18,17,0,3,0,1,0,0,0,0,449,2,5,27,"2,371",27,26,0,2,1,26,40,1.1,25.7,41.1,1,1,2,1,0,0,2,0,2.5,2.5,0.3,5,46,9,24,8,10,0,-1.5,210,588,413,60,41,1054,3,3,0,324,1486,803,2,0,4,1,350,449,668,9003,4503,136,181,233,322,66,136,0.2,2,39,1,0,0,26,18,4,40,20,0,1,1,80,150,75,10,7,0,0,2,0,1,2,2,0,0,0,0,0,25,9,2,13,25,12,33,23,10,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Darren Fletcher,MF,33,24.7,1105,1042,59,23,6,19,49,4,26,18,8,0,843,4,20,27,"2,219",25,19,2,8,1.07,26,49,-0.18,25.2,39.5,1,1,2,1,0,0,0,0,0.4,0.4,1.6,16,100,20,11,2,25.8,0,0.6,55,250,865,187,6,1284,22,15,7,728,3242,1217,15,1,24,18,796,843,1105,16453,5280,309,374,362,420,138,241,1.9,23,77,18,3,0,14,25,0,26,26,0,0,0,133,21,21,48,35,6,1,3,1,2,4,2,1,0,1,0,0,23,20,4,15,55,40,13,3,10,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Geoff Cameron,DF,32,16.9,581,508,68,7,0,5,9,61,0,0,0,0,404,5,10,20,"1,525",17,14,3,8,0.9,15,31,-0.14,16.9,28.2,0,0,0,0,0,0,2,0,0.3,0.3,0.1,9,48,15,5,0,14.1,0,-0.3,94,283,431,77,9,777,22,14,8,354,1989,915,6,1,18,11,345,404,581,7362,3256,166,191,187,244,44,120,0.3,6,39,3,0,0,16,7,0,36,21,0,1,0,89,39,31,15,10,1,2,2,0,0,1,0,0,0,1,0,0,20,12,2,11,27,16,28,8,20,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Moritz Bauer,DF,25,14.5,465,314,149,11,0,3,39,138,0,0,0,0,293,2,17,15,"1,306",15,12,0,1,0.87,10,18,0.51,11.9,21.8,0,0,0,0,0,0,4,0,0.2,0.2,0.9,25,19,45,3,1,17.1,0,-0.2,40,200,243,180,14,616,21,12,9,239,1628,790,19,4,16,9,249,293,465,5276,2454,136,168,100,158,47,107,1.1,13,18,10,8,0,19,20,1,12,17,0,0,0,54,18,22,23,18,2,3,0,0,0,0,0,0,0,0,0,0,17,7,0,10,26,16,9,1,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Peter Crouch,FW,36,17.4,643,633,6,0,1,0,3,2,0,0,0,0,375,4,13,31,"1,567",14,10,17,4,0.77,18,27,0.65,20.4,31.8,5,2,7,5,0,0,4,0,4.2,4.2,2.8,9,41,85,23,9,13.3,0,0.8,32,65,388,320,82,771,8,6,2,294,931,302,9,0,36,22,631,375,643,4463,1102,282,447,68,122,9,16,1.9,21,40,7,0,0,40,11,14,1,0,0,0,0,40,243,122,37,35,0,0,1,1,0,2,2,0,0,0,0,0,0,1,1,0,12,12,7,4,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
