Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Łukasz Fabiański,GK,32,38,1276,804,468,110,0,2,0,0,0,0,0,0,752,4,2,38,"3,420",38,38,0,0,0.87,28,56,0,31.6,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,1343,2,0,0,1345,0,0,0,590,4010,2601,1,1,0,0,475,752,1276,28523,23783,70,70,257,262,423,936,0.1,1,16,0,0,0,1,3,0,0,0,0,0,0,38,14,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,56,190,133,8,9,21,9,6,3,3,0,1,5,59.5,0.28,5.5,315,812,914,159,42.2,358,59.9,615,42,22,11.4,5
Alfie Mawson,DF,23,38,1755,1699,51,47,1,43,2,4,0,0,0,0,1420,5,10,38,"3,420",38,38,0,0,0.87,28,56,0,31.6,58.6,2,1,3,2,0,0,3,0,1.9,1.9,0.6,29,92,8,20,5,12.5,0,0.1,282,1182,894,72,37,2131,26,23,3,1026,6082,3551,14,1,13,14,1257,1420,1755,31280,11208,407,462,732,847,268,403,0.6,5,87,5,1,0,19,11,1,35,22,0,0,0,220,120,70,13,11,0,2,0,0,0,1,1,0,0,0,0,0,24,8,0,16,27,11,41,32,9,229,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Martin Olsson,DF,29,35,1596,1295,298,12,0,3,163,286,0,0,0,0,1100,3,69,36,"3,149",36,31,0,0,0.92,26,50,0.64,28.4,53.3,0,1,1,0,0,0,7,0,0.9,0.9,0.8,112,87,143,18,1,22.3,1,-0.9,95,531,779,576,28,1867,27,11,16,901,6079,3207,62,10,45,26,1070,1100,1596,17189,6212,624,710,362,530,88,264,1.2,13,65,24,18,0,27,25,2,31,26,0,2,0,155,46,34,35,24,4,3,1,3,0,2,2,0,0,0,0,0,18,10,6,12,29,17,21,4,17,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Kyle Naughton,DF,28,33.7,2111,1679,427,21,0,16,62,406,0,0,0,0,1525,5,59,34,"3,030",34,31,0,1,0.94,26,50,0.21,25.4,52,0,2,2,0,0,0,1,0,0.4,0.4,0.5,50,193,88,12,1,23.5,0,-0.4,146,732,1312,509,27,2533,43,24,19,987,4974,2639,35,9,23,27,1332,1525,2111,25319,10879,791,929,582,804,123,277,0.8,12,160,17,7,0,31,24,0,60,60,0,0,1,198,68,67,48,41,2,1,2,1,1,4,3,0,0,0,0,1,49,35,8,54,100,46,60,13,47,144,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jordan Ayew,FW,25,31.7,887,850,35,7,3,0,45,5,0,0,0,0,700,2,27,36,"2,852",33,22,3,0,0.89,26,49,0.07,27.9,48.3,7,2,9,6,1,1,2,1,7.3,6.5,2,76,50,232,65,20,18.9,4,-0.3,12,111,652,616,101,1349,124,74,50,907,6311,2611,70,23,109,106,1017,700,887,9413,1239,420,486,201,256,30,58,1.6,16,33,21,2,0,63,87,8,24,60,0,0,0,141,50,120,83,38,1,15,12,12,5,4,1,0,1,2,0,0,20,35,27,15,54,39,43,3,40,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Federico Fernández,DF,28,29.7,1218,1174,44,40,0,10,4,4,0,0,0,0,1001,0,8,30,"2,676",30,29,0,4,0.93,24,44,0.3,23,47,1,1,2,1,0,0,5,0,0.7,0.7,0.7,5,72,8,8,2,10.5,0,0.3,247,921,602,46,23,1557,4,1,3,665,3638,2321,2,0,6,4,866,1001,1218,21296,9597,272,293,557,646,165,254,1,6,60,4,1,0,29,21,2,38,29,0,2,1,129,72,60,14,13,0,0,1,0,0,1,1,0,0,0,0,0,30,6,4,20,30,10,35,27,8,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Tom Carroll,MF,25,28.6,1577,1430,144,62,3,10,129,1,70,42,20,1,1235,3,32,37,"2,570",28,20,9,1,0.89,18,39,0.01,24.4,44.3,0,4,4,0,0,0,3,0,0.9,0.9,4.1,54,179,57,20,3,23.8,5,-0.9,38,251,1068,495,20,1799,19,14,5,920,4587,2313,36,5,37,21,1253,1235,1577,21581,7289,575,640,472,566,147,283,4.1,47,161,31,8,0,23,17,1,29,33,0,0,0,139,10,21,82,51,26,1,1,2,1,7,5,1,0,0,0,1,22,23,8,14,53,39,37,8,29,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Sam Clucas,MF,26,22.7,872,788,80,26,2,5,55,27,24,16,4,1,689,4,12,29,"2,044",23,16,6,6,0.93,18,30,0.52,17.4,32.9,3,1,4,3,0,0,2,0,2.6,2.6,1.3,24,61,68,20,7,17.5,0,0.4,38,228,575,262,30,1051,9,5,4,531,2888,1326,20,0,23,22,647,689,872,11783,2786,327,375,274,333,68,117,1.1,15,46,3,1,0,10,14,3,29,19,0,0,0,110,36,36,35,26,5,0,4,0,0,2,1,1,0,0,0,0,21,11,2,10,29,19,31,7,24,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ki Sung-yueng,MF,28,20.8,903,800,100,55,1,18,62,2,42,31,9,0,758,3,11,25,"1,868",21,16,4,0,0.96,16,29,0.24,17,30.2,2,2,4,2,0,0,2,0,0.9,0.9,1.5,17,64,30,20,6,24.8,1,1.1,36,219,588,246,16,1045,13,7,6,541,2972,1337,23,5,13,8,660,758,903,14235,3472,312,344,321,363,102,153,1.9,19,52,11,1,0,10,17,1,32,18,0,0,0,95,5,21,36,22,13,0,1,0,0,5,1,4,0,0,0,0,10,13,2,4,16,12,16,1,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Nathan Dyer,MF,29,14.5,553,542,10,3,2,0,33,7,0,0,0,0,426,1,20,24,"1,307",16,3,8,7,1.08,12,21,0.19,13,22.3,0,0,0,0,0,0,2,0,0.9,0.9,0.8,53,34,119,10,2,21.4,0,-0.9,3,83,326,305,29,702,48,23,25,431,3203,1478,41,7,40,29,530,426,553,5556,976,273,313,113,155,9,24,1.1,10,19,15,1,0,17,20,1,11,16,0,0,0,82,5,26,29,23,0,2,1,2,1,1,0,0,0,1,0,0,8,9,5,6,24,18,13,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Tammy Abraham,FW,19,19.2,314,286,28,0,2,1,13,1,0,0,0,0,206,0,6,31,"1,726",15,9,16,2,0.81,15,31,-0.2,16.9,31.8,5,1,6,5,0,0,0,0,6.8,6.8,1.6,19,20,104,42,13,13.1,0,-1.8,12,33,246,230,65,498,47,27,20,305,1600,555,16,8,50,51,393,206,314,2754,557,123,173,56,89,10,22,0.8,12,16,6,2,0,15,27,9,1,8,0,0,0,41,39,58,42,19,0,11,5,5,2,2,1,0,0,1,0,0,1,7,2,1,13,12,8,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Leroy Fer,MF,27,15.5,643,627,15,11,3,10,8,2,0,0,0,0,515,1,9,20,"1,397",15,10,5,4,0.8,12,26,-0.28,13.3,25.2,1,1,2,1,0,0,5,0,1.6,1.6,1,22,66,23,12,3,14.6,0,-0.6,31,152,494,157,13,790,32,26,6,367,2237,1045,21,3,28,20,540,515,643,9132,1993,234,278,199,235,65,98,0.8,10,52,9,1,0,28,26,1,12,32,0,0,0,76,41,22,24,17,0,4,1,1,1,2,2,0,0,0,0,0,18,21,5,13,30,17,18,4,14,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
André Ayew,MF,27,10.6,314,302,12,1,4,1,8,3,0,0,0,0,247,0,4,12,950,10,7,2,0,0.75,9,17,-0.03,10.7,17.9,0,2,2,0,0,0,3,0,1.9,1.9,1.3,16,24,53,13,7,13,0,-1.9,10,47,210,158,32,412,15,9,6,259,1328,509,17,9,20,25,310,247,314,3303,538,151,174,71,88,9,19,0.8,12,12,7,0,0,18,19,3,5,10,1,0,0,41,28,48,20,15,1,1,2,1,0,4,2,0,0,1,1,0,3,10,2,2,13,11,13,1,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Roque Mesa,MF,28,8.4,489,470,18,17,0,4,1,1,0,0,0,0,422,1,8,11,754,9,4,2,9,0.73,4,16,-0.89,6.3,13.2,0,0,0,0,0,0,3,0,0.2,0.2,0.2,12,36,1,7,1,27.7,0,-0.2,16,144,362,59,0,551,8,5,3,297,1771,884,7,0,7,4,356,422,489,7233,1664,202,220,168,194,43,53,0.3,5,21,3,0,0,14,10,0,13,13,0,1,0,86,1,3,14,13,0,0,1,0,0,0,0,0,0,0,0,0,8,8,4,10,37,27,6,0,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Renato Sanches,MF,19,7.8,420,383,36,16,1,6,32,8,11,8,3,0,330,1,5,12,702,9,4,3,5,0.42,3,10,-0.2,4.8,10.1,0,0,0,0,0,0,1,0,0.5,0.5,0.3,32,45,33,12,0,28.5,4,-0.5,11,77,296,146,9,507,40,25,15,307,2078,1105,24,1,11,25,377,330,420,5364,1268,162,182,123,157,28,55,0.4,6,33,3,1,0,8,20,0,7,7,0,0,0,50,2,12,17,12,2,1,0,2,0,1,0,1,0,0,0,0,6,6,0,6,18,12,9,1,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Wilfried Bony,FW,28,7.9,209,196,12,1,0,0,0,0,0,0,0,0,131,1,12,15,707,8,4,7,0,0.87,3,8,0.13,5.5,9.7,2,0,2,2,0,0,2,0,1.6,1.6,0.2,7,11,41,20,6,18,0,0.4,19,26,167,101,18,290,13,10,3,154,604,240,12,0,24,16,232,131,209,1637,308,92,124,31,53,3,4,0.2,4,13,2,0,0,7,11,2,2,4,0,0,0,15,43,58,16,9,0,2,2,3,0,1,0,0,0,1,0,0,2,2,1,1,5,4,4,1,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Luciano Narsingh,FW,26,6.9,219,216,3,1,0,1,23,2,0,0,0,0,163,0,10,18,625,5,1,13,14,0.67,8,15,-0.33,8,12.4,1,0,1,1,0,0,0,0,0.8,0.8,1.1,30,15,73,9,5,15.9,0,0.2,5,31,121,149,28,293,28,17,11,182,1501,830,19,22,18,14,225,163,219,2205,524,113,130,41,57,5,11,0.5,11,12,9,4,0,3,11,4,3,5,0,0,0,32,2,15,24,18,0,5,1,0,0,1,1,0,0,0,0,0,1,5,1,2,7,5,7,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Wayne Routledge,MF,32,4.8,177,171,5,0,0,0,15,1,3,2,0,0,115,1,9,15,429,4,1,11,12,0.8,1,11,-1.56,3.4,10.1,0,0,0,0,0,0,1,0,0.4,0.4,0.4,9,17,36,5,2,14.6,0,-0.4,5,47,98,88,13,230,10,6,4,123,699,276,3,3,8,7,154,115,177,1676,481,58,71,46,64,5,19,0.7,6,8,6,3,0,9,0,0,2,5,0,0,0,28,5,8,10,10,0,0,0,0,0,1,1,0,0,0,0,0,2,6,2,2,8,6,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Leon Britton,MF,34,3.4,138,132,6,6,0,0,1,0,0,0,0,0,127,0,0,5,302,4,0,1,2,0.8,2,1,1.14,4.1,3.1,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,1,21,118,16,2,154,1,0,1,65,345,122,4,1,2,3,100,127,138,2255,403,49,53,70,74,7,8,0,0,6,0,0,0,7,1,0,1,5,0,0,0,19,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,8,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Connor Roberts,DF,21,3,181,147,33,1,0,0,13,32,0,0,0,0,131,1,10,4,268,3,2,1,5,0.25,0,4,-0.66,2.3,4,0,0,0,0,0,0,0,0,0,0,0,3,11,10,0,0,0,0,0,6,42,80,80,1,200,0,0,0,90,346,183,1,0,0,0,116,131,181,2076,533,70,80,45,61,11,25,0.1,0,6,2,0,0,0,7,0,3,4,0,0,0,17,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,3,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
