Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Christian Eriksen,MF,25,35.8,2509,2221,270,105,24,28,222,11,125,48,48,6,1919,18,57,37,"3,218",37,29,0,0,2.05,71,33,1.06,62.2,31.8,10,10,20,10,0,0,0,0,7,7,11.6,83,333,237,97,39,23,16,3,19,189,1472,1225,93,2863,53,29,24,1604,8387,3836,103,11,75,72,2081,1919,2509,35000,9566,820,947,838,1042,226,398,10.7,95,264,66,8,0,14,21,1,31,29,0,0,0,227,17,27,181,129,33,6,11,2,0,15,10,4,0,1,0,0,16,30,5,17,59,42,38,1,37,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Hugo Lloris,GK,30,36,1167,883,282,55,0,6,0,0,0,0,0,0,916,2,1,36,"3,240",36,36,0,0,2.03,72,35,0.53,62.7,32.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1102,1248,2,0,0,1250,1,1,0,608,2867,1674,0,0,0,0,602,916,1167,26371,18330,75,76,526,528,315,561,0,0,9,1,0,0,1,2,0,2,1,0,1,0,53,8,2,4,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,3,0,0,0,34,8,35,117,82,22,7,7,15,3,2,0,1,1,7,33.7,0.27,-1.3,154,386,938,169,33.4,227,41.5,428,17,75,15.6,30
Jan Vertonghen,DF,30,35.6,2542,2438,100,65,2,25,15,35,0,0,0,0,2181,4,16,36,"3,203",36,34,0,0,1.97,67,31,0.18,59.6,30.6,0,0,0,0,0,0,4,0,1,1,0.8,68,243,29,24,3,21.9,0,-1,192,1158,1616,177,26,2926,38,30,8,1487,8706,5616,34,3,18,6,1906,2181,2542,45152,16163,618,682,1263,1380,287,439,0.9,12,215,10,1,0,20,25,1,60,41,0,1,0,247,116,66,48,40,2,0,3,1,2,3,2,0,0,1,0,0,40,20,4,25,36,11,29,11,18,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Harry Kane,FW,24,34.2,696,658,28,4,13,26,20,9,1,0,0,0,477,10,30,37,"3,076",35,26,2,0,2.08,65,34,-0.92,57.6,29.8,30,2,32,28,2,3,5,0,24.8,22.4,2.7,58,94,261,181,72,16.9,10,5.2,24,37,406,677,214,1105,96,47,48,725,4128,1401,30,26,64,60,894,477,696,8715,2185,231,301,153,216,71,109,2.4,32,53,24,2,0,34,40,42,5,12,1,0,0,72,58,78,125,71,1,22,21,9,1,14,9,0,4,1,0,0,2,8,7,4,15,11,15,4,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Dele Alli,MF,21,32.9,1295,1249,37,12,15,8,18,17,4,0,0,0,985,9,39,36,"2,958",34,18,2,0,2.03,63,28,0.48,54.1,25.7,9,10,19,9,0,0,7,0,9.1,9.1,8.2,100,181,359,69,17,15.9,0,-0.1,33,179,702,874,147,1726,105,44,61,1097,6773,2868,78,28,98,89,1334,985,1295,15174,4014,541,647,342,414,63,109,5.2,63,104,55,1,0,43,84,5,19,30,1,0,0,181,28,49,133,104,1,5,6,14,3,19,14,0,0,3,2,0,15,21,10,8,34,26,33,7,26,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Eric Dier,MF,23,31.4,2285,2222,58,52,2,19,26,6,0,0,0,0,1949,5,29,34,"2,824",32,27,2,3,2.06,59,30,-0.43,53.8,26.5,0,2,2,0,0,0,4,0,2,2,1.7,35,213,29,32,7,17.5,1,-2,133,731,1583,277,36,2577,15,13,2,1316,6079,3263,27,0,11,17,1875,1949,2285,38485,13081,670,747,1003,1107,251,358,2.7,15,221,25,4,0,23,8,1,48,43,0,0,0,170,81,61,40,37,0,0,2,1,0,4,4,0,0,0,0,0,15,39,7,17,42,25,32,11,21,93,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Davinson Sánchez,DF,21,28.2,1879,1825,51,45,0,14,3,6,0,0,0,0,1677,3,6,31,"2,534",29,26,2,1,2.16,53,21,0.53,46.8,23.2,0,0,0,0,0,0,1,1,0.5,0.5,0.1,8,82,2,9,1,13.3,0,-0.5,146,1117,1032,40,12,2172,9,9,0,1070,4343,2237,8,0,8,3,1464,1677,1879,34818,13608,466,501,962,1016,241,335,0.3,4,59,2,0,0,25,18,0,38,24,0,0,1,164,73,61,12,12,0,0,0,0,0,0,0,0,0,0,0,0,28,9,1,18,40,22,26,10,16,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Son Heung-min,FW,25,25.7,980,955,20,2,6,2,51,8,4,0,1,0,792,5,35,37,"2,317",27,7,10,1,2,56,18,1.48,45.9,21.5,12,6,18,12,0,0,0,0,10.2,10.2,6.2,111,92,339,75,33,16.3,0,1.8,13,70,420,791,156,1264,101,58,43,831,5794,2729,46,68,65,57,1067,792,980,10977,2123,472,549,260,307,25,46,4.3,39,52,26,3,0,15,26,25,10,10,0,0,0,84,2,13,104,69,1,17,12,3,2,20,14,0,3,2,1,0,2,12,3,2,28,26,18,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Ben Davies,DF,24,25.8,1735,1385,345,19,0,5,149,277,49,23,13,0,1305,5,69,29,"2,324",26,24,3,7,2,47,20,0.14,44.4,21.6,2,6,8,2,0,0,3,0,1.1,1.1,3.2,73,165,178,18,6,21.2,0,0.9,72,402,928,655,37,1976,21,15,6,859,4422,2674,52,8,26,16,1176,1305,1735,22704,8393,612,701,560,706,116,247,3.8,46,125,37,14,0,24,25,0,28,33,0,0,0,110,45,50,82,59,16,1,4,2,0,7,5,1,0,1,0,0,13,21,13,25,48,23,24,5,19,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Kieran Trippier,DF,26,21.3,1638,1335,292,25,5,8,122,239,28,11,14,1,1262,11,28,24,"1,914",21,18,3,11,1.88,37,21,-0.56,33.2,22.4,0,5,5,0,0,0,1,0,0.4,0.4,4.2,37,114,195,7,1,24.4,1,-0.4,66,413,788,639,25,1823,18,13,5,725,3280,1776,24,2,20,6,1079,1262,1638,23952,7379,470,528,624,760,150,290,2.9,40,88,44,10,0,18,20,3,20,30,0,0,0,147,35,29,72,59,11,1,0,1,0,9,7,2,0,0,0,0,29,21,2,21,44,23,31,6,25,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
