Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Moussa Sissoko,MF,31,35.8,1188,1148,36,20,5,8,26,14,0,0,0,0,922,4,27,36,"3,220",36,35,0,0,0.56,31,73,-0.72,38.3,61.8,2,1,3,2,0,0,5,0,3.8,3.7,3.1,51,116,71,25,8,16.8,0,-1.8,125,417,849,325,36,1554,76,52,24,746,3992,2076,35,3,49,53,822,922,1188,14966,4705,469,570,321,398,89,131,2.3,37,95,24,11,0,35,11,2,30,27,0,0,0,241,64,52,75,62,0,4,3,1,5,3,1,0,1,0,0,1,27,20,6,28,42,14,42,13,29,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Emmanuel Dennis,FW,23,28.7,628,593,31,1,6,0,39,10,6,0,3,0,411,4,35,33,"2,581",30,17,3,0,0.64,28,59,0.21,30,46.7,10,6,16,10,0,0,9,1,7.3,7.3,4.1,90,61,172,60,26,15.5,7,2.7,22,134,414,556,131,1078,156,68,88,644,4553,2346,53,48,107,63,706,411,628,5461,1617,261,349,100,147,21,37,2.1,33,26,19,4,1,59,40,12,15,35,1,0,0,125,45,78,85,52,2,13,8,9,1,12,7,0,1,2,1,1,20,22,9,17,52,35,36,2,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Craig Cathcart,DF,32,26.6,953,896,55,11,0,13,4,44,0,0,0,0,767,2,5,31,"2,396",27,24,4,4,0.74,28,55,0.39,31,45.8,0,1,1,0,0,0,3,0,0.2,0.2,1.2,6,52,0,3,0,0,0,-0.2,204,662,497,55,11,1209,1,0,1,554,2073,917,6,0,6,2,636,767,953,16030,5348,231,276,418,476,112,184,0.4,3,48,4,1,0,13,4,0,28,15,0,0,0,127,48,34,6,6,0,0,0,0,0,0,0,0,0,0,0,0,25,6,1,16,30,14,39,29,10,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
Joshua King,FW,29,25,519,479,34,0,3,2,13,1,0,0,0,0,369,6,11,32,"2,248",27,20,5,1,0.59,23,47,0.5,28.8,45.4,5,3,8,4,1,1,5,0,8.9,8.1,3.8,41,39,157,49,16,15.2,0,-3.9,41,106,356,389,105,836,67,30,37,430,2638,1122,25,20,84,42,569,369,519,4984,1028,227,290,109,153,13,18,2.3,35,29,17,4,0,43,21,8,8,15,1,0,0,83,100,119,63,51,0,2,6,4,0,9,6,0,1,2,0,0,7,6,6,4,17,13,15,4,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ben Foster,GK,38,26,886,552,328,105,0,3,0,0,0,0,0,0,428,6,1,26,"2,340",26,26,0,2,0.77,24,49,0.54,28.6,41.9,0,1,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,719,925,16,0,0,940,1,1,0,450,2800,1448,0,0,0,0,338,428,886,16732,14440,38,39,137,148,253,692,0.1,1,33,1,0,0,1,4,0,0,0,0,1,0,54,5,3,8,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,4,49,116,67,5,5,16,4,4,3,1,0,0,3,37.1,0.29,-10.9,196,622,657,76,44.7,223,60.6,455,20,37,15.9,0.3
Kiko Femenía,DF,30,23.8,1228,917,308,29,0,1,106,242,37,25,11,0,867,3,23,27,"2,142",26,17,1,0,0.56,21,49,-0.12,23.6,36.5,0,5,5,0,0,0,2,0,0.1,0.1,3.6,40,100,48,3,1,20.7,0,-0.1,101,455,569,418,11,1431,14,7,7,611,3099,1626,34,6,41,7,667,867,1228,13397,6151,485,566,300,425,54,166,2.3,25,56,22,9,0,12,13,2,37,22,0,0,0,135,12,14,45,33,11,0,0,1,0,6,5,1,0,0,0,0,23,10,2,21,37,16,24,8,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Juraj Kucka,MF,34,21.3,713,684,28,7,1,7,16,18,1,0,1,0,485,1,16,26,"1,920",22,15,4,2,0.62,18,34,0.87,22.4,33.2,1,1,2,1,0,0,5,1,3.2,3.2,0.9,21,60,31,46,11,20.8,3,-2.2,74,297,521,223,31,1030,33,17,16,458,2360,1013,20,2,48,19,514,485,713,7757,2545,244,322,176,247,39,76,1.2,10,41,7,4,1,46,49,2,27,39,0,1,1,158,56,47,42,27,0,5,2,7,1,2,1,0,1,0,0,0,32,25,2,27,73,46,30,9,21,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
Ismaila Sarr,FW,23,20.7,478,468,9,1,1,1,61,3,0,0,0,0,332,1,25,22,"1,861",21,17,1,0,0.77,15,40,-0.17,20.8,37.3,5,2,7,5,0,1,2,0,4.8,4,2.9,79,52,158,39,15,18.3,0,0.2,18,93,251,393,71,719,71,34,37,493,3614,1811,50,23,71,40,529,332,478,4981,1253,182,225,105,144,21,41,2.3,21,21,22,4,0,17,47,12,9,7,0,0,0,88,10,17,52,38,0,5,2,6,1,4,3,0,0,1,0,0,4,3,5,5,19,14,10,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Tom Cleverley,MF,31,18,658,569,87,27,1,3,54,6,32,19,9,2,479,2,12,28,"1,616",20,5,8,6,0.57,20,38,0.24,19,30.6,0,2,2,0,0,0,2,0,0.7,0.7,2.1,8,64,40,12,7,21,0,-0.7,34,176,394,241,10,803,6,3,3,348,1052,397,13,5,16,16,440,479,658,7468,2178,239,280,169,212,40,109,1.3,20,42,8,5,0,28,19,2,18,20,0,0,0,81,14,29,36,22,10,0,1,3,0,3,2,1,0,0,0,0,19,17,1,18,33,15,23,6,17,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
Samir Santos,DF,26,18.6,669,655,12,12,0,5,0,0,0,0,0,0,538,2,3,19,"1,673",19,16,0,0,0.53,11,36,-0.42,16.9,27.8,0,0,0,0,0,0,4,0,0.5,0.5,0.1,1,24,2,8,2,13,0,-0.5,118,549,311,18,10,872,3,2,1,405,1676,843,4,1,6,3,452,538,669,10401,3673,185,202,292,328,55,125,0.1,2,27,2,0,0,17,16,0,43,11,0,0,0,103,47,34,7,4,0,0,2,1,0,0,0,0,0,0,0,0,18,6,0,8,19,11,21,11,10,85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Hassane Kamara,DF,27,18,917,725,188,6,3,0,23,182,0,0,0,0,637,4,30,19,"1,623",18,15,1,0,0.47,10,37,-0.7,16.9,28.5,1,0,1,1,0,0,5,1,0.2,0.2,0.6,32,55,25,5,1,25.7,0,0.8,79,547,488,158,9,1182,30,15,15,529,2922,1403,14,2,16,6,505,637,917,10140,4864,352,416,223,311,48,137,0.7,10,47,10,4,1,24,16,0,69,34,0,1,0,153,30,15,18,16,0,1,1,0,0,0,0,0,0,0,0,0,31,16,6,27,43,16,20,4,16,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Imran Louza,MF,22,15.7,711,627,84,40,2,7,54,7,31,23,6,0,521,0,9,20,"1,416",17,8,3,9,0.5,12,38,-0.89,17.8,27.5,0,0,0,0,0,0,6,0,1.2,1.2,1.1,17,67,24,17,4,27.5,6,-1.2,42,236,538,160,10,911,24,14,10,385,2088,949,9,2,19,9,446,521,711,9666,3088,208,254,226,284,75,143,1.1,15,63,8,1,0,24,13,0,42,21,0,0,0,129,12,19,34,16,11,1,2,1,3,2,2,0,0,0,0,0,18,20,3,16,38,22,28,6,22,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
João Pedro,FW,19,18.3,581,545,30,3,4,3,24,3,4,0,1,0,390,6,22,28,"1,644",15,10,13,1,0.46,19,35,0.49,21.3,31,3,1,4,3,0,0,1,0,3.6,3.6,2.8,54,77,102,47,16,16.3,1,-0.6,19,76,404,426,79,885,106,62,44,519,3595,1487,45,19,63,58,634,390,581,6100,1580,210,299,122,163,38,57,1.4,19,43,20,3,0,13,30,6,15,14,0,0,0,78,55,90,60,38,0,10,6,5,1,4,3,0,0,1,0,0,7,8,5,6,23,17,23,3,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
William Troost-Ekong,DF,27,15.4,604,589,14,12,0,16,0,2,0,0,0,0,466,1,8,17,"1,390",15,15,2,11,0.76,19,30,0.71,17.5,27.4,0,0,0,0,0,0,3,0,0.1,0.1,0.1,7,30,3,2,0,21.2,0,-0.1,146,470,266,17,7,749,2,1,1,414,2060,1341,0,0,5,0,433,466,604,10969,4190,95,112,275,316,96,165,0.1,1,27,0,0,0,13,2,1,7,9,0,1,0,74,24,23,6,5,0,0,0,0,1,0,0,0,0,0,0,0,11,6,1,10,15,5,24,14,10,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
