Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Ahmed Hegazi,DF,26,37.6,1205,1161,37,33,1,10,10,2,0,0,0,0,872,7,10,38,"3,386",38,37,0,0,0.82,30,55,-0.66,35.6,47.8,2,0,2,2,0,0,4,0,1.7,1.7,0.6,9,65,8,14,4,10.8,0,0.3,347,1044,585,83,36,1700,29,22,7,750,4084,2241,8,2,13,8,717,872,1205,19108,9451,252,307,423,530,180,326,1.4,7,56,8,3,0,24,12,2,60,38,0,0,0,183,100,82,17,14,0,1,0,1,1,0,0,0,0,0,0,0,46,12,0,26,50,24,55,37,18,278,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Ben Foster,GK,34,37,1155,657,492,154,0,1,0,0,0,0,0,0,565,6,0,37,"3,330",37,37,0,0,0.81,30,55,-0.68,36.3,46.6,0,0,0,0,0,0,2,0,0,0,0.1,0,1,0,0,0,0,0,0,982,1198,28,0,0,1225,2,2,0,517,4336,3082,0,0,3,0,365,565,1155,25634,23629,39,41,135,140,390,966,0.1,2,45,1,0,0,1,3,0,1,0,0,0,0,55,4,0,12,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,0,0,0,12,1,55,151,98,6,12,19,10,1,1,0,0,2,7,45.7,0.3,-7.3,346,904,811,70,48.5,338,65.7,592,37,27,12.8,3
Kieran Gibbs,DF,27,31.4,1391,1077,304,7,0,3,74,293,4,4,0,0,1000,10,23,33,"2,827",32,27,1,0,0.73,23,44,-0.06,31.2,39.8,0,1,1,0,0,0,3,0,0.4,0.4,1.8,59,97,89,9,1,18.6,0,-0.4,106,530,710,447,25,1676,37,24,13,716,4326,2276,49,3,21,18,769,1000,1391,15562,6257,533,618,378,546,64,165,2.2,22,66,23,16,0,22,11,1,48,24,0,0,0,169,41,39,51,43,4,3,1,0,0,3,3,0,0,0,0,0,27,10,4,16,30,14,32,12,20,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Salomón Rondón,FW,27,30.7,874,834,38,3,4,3,35,4,0,0,0,0,564,2,33,36,"2,767",32,23,4,1,0.81,25,48,-0.47,27.6,40.1,7,3,10,7,0,0,4,0,7,7,2.8,45,66,201,79,29,16.6,1,0,22,90,596,622,128,1287,76,47,29,819,4116,1368,52,20,127,107,1013,564,874,7392,1287,366,485,140,228,21,44,2.5,23,47,14,2,0,42,55,28,14,6,0,0,0,135,162,207,72,51,0,8,7,6,0,7,6,0,1,0,0,0,0,7,7,5,26,21,27,0,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Jay Rodriguez,FW,28,31.2,740,691,47,2,4,6,30,4,3,2,0,0,517,2,26,37,"2,812",31,13,6,1,0.81,24,41,0.64,28.6,38.3,7,1,8,6,1,1,2,0,8.4,7.6,1.6,47,52,166,68,23,17.6,0,-1.4,43,170,475,485,103,1107,66,29,37,671,3593,1424,37,12,82,62,771,517,740,7189,1909,311,379,129,197,30,71,2.3,21,51,14,2,0,43,29,18,19,21,0,0,0,121,72,81,56,33,0,6,7,9,1,2,2,0,0,0,0,0,12,11,8,9,50,41,32,2,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Jake Livermore,MF,27,29.7,1133,1106,21,5,8,16,16,8,1,1,0,0,878,6,22,34,"2,674",30,25,4,0,0.88,22,41,0.08,28.3,36.7,2,2,4,2,0,0,5,0,2.3,2.3,1.9,26,133,55,15,4,18.2,0,-0.3,51,276,859,263,34,1385,27,19,8,798,3614,1524,10,5,31,27,857,878,1133,15708,4533,374,443,372,449,106,169,1.8,20,108,8,3,0,42,14,1,26,41,0,0,0,173,23,37,42,35,1,0,1,2,3,3,3,0,0,0,0,0,27,35,10,24,64,40,44,9,35,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Craig Dawson,DF,27,27.9,1114,938,168,10,0,8,42,158,0,0,0,0,765,8,28,28,"2,510",28,26,0,1,0.96,24,39,0.45,25.9,34.6,2,0,2,2,0,0,6,0,2.3,2.3,1.2,18,83,20,16,4,10.1,0,-0.3,164,632,603,213,49,1443,13,8,5,575,2846,1578,18,3,10,8,638,765,1114,14860,7328,314,385,318,420,117,253,1.1,10,79,19,14,0,35,22,4,52,28,0,0,0,133,115,62,31,21,1,0,6,3,0,2,1,0,0,1,0,0,25,7,6,13,36,23,39,26,13,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Jonny Evans,DF,29,25.2,983,922,58,43,0,2,4,15,0,0,0,0,785,3,4,28,"2,270",26,22,2,1,0.61,21,38,-0.05,26.5,30.8,2,2,4,2,0,0,7,0,2.1,2.1,0.9,21,56,9,10,5,7.8,0,-0.1,156,696,504,47,19,1241,10,10,0,613,3504,2043,10,1,10,6,599,785,983,15261,6008,293,334,366,430,114,193,0.4,8,58,5,2,0,26,27,0,48,22,0,0,1,142,54,34,22,18,2,0,2,0,0,3,2,0,0,1,0,0,19,8,2,14,33,19,22,13,9,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Allan Nyom,DF,29,25.7,1102,837,261,4,0,2,88,257,0,0,0,0,798,4,45,29,"2,310",25,23,4,8,0.93,23,40,-0.01,24.8,33,0,1,1,0,0,0,7,0,0.1,0.1,1.1,36,58,71,3,0,0,0,-0.1,107,510,538,330,4,1366,26,10,16,630,3127,1507,29,1,24,20,634,798,1102,13157,5473,435,482,274,369,71,180,1.5,14,42,25,22,0,20,20,0,27,39,0,1,0,147,21,19,35,26,6,0,0,2,1,4,3,0,0,0,1,0,43,17,4,28,43,15,20,9,11,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Matt Phillips,MF,26,23.3,704,601,97,17,0,2,164,37,43,34,5,2,434,6,38,30,"2,093",23,13,7,1,0.93,24,32,0.81,23.1,26.2,2,2,4,2,0,0,3,0,2.4,2.4,4.1,85,31,146,28,7,20.3,1,-0.4,35,196,311,491,44,979,88,45,43,583,4475,2247,53,17,47,44,598,434,704,7299,2673,245,302,127,198,50,134,4,33,21,19,14,0,14,13,11,24,16,0,0,0,114,35,36,60,33,17,6,1,3,0,3,2,1,0,0,0,0,17,5,5,10,29,19,21,1,20,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
