Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Declan Rice,MF,20,38,1768,1734,31,26,1,32,28,4,0,0,0,0,1506,3,21,38,"3,420",38,38,0,0,1.03,49,62,0,48.6,63.8,1,3,4,1,0,0,6,0,1.3,1.3,1.4,52,180,36,31,9,23.7,0,-0.3,105,581,1336,269,24,2144,65,49,16,1230,7483,3343,47,3,26,21,1278,1506,1768,28014,7897,654,723,618,692,199,274,1.4,21,185,21,8,0,41,7,2,77,60,0,1,0,312,51,34,58,51,0,2,3,0,2,7,5,0,0,2,0,0,64,48,4,47,98,51,41,9,32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5
Mark Noble,MF,32,29.7,1565,1432,125,69,4,24,41,12,13,9,0,2,1270,8,23,33,"2,674",32,19,1,2,1.06,41,44,1.11,36,48.7,4,3,7,1,3,3,5,0,2.9,0.6,3.1,26,198,53,14,3,25.8,0,1.1,31,295,1113,381,27,1771,35,25,10,1019,4646,1970,29,5,42,31,1192,1270,1565,23225,7008,545,626,528,619,162,234,3,43,138,27,7,0,28,31,1,20,30,1,0,0,189,15,11,84,60,12,3,0,8,1,10,6,1,0,0,3,0,19,28,5,22,64,42,20,6,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
Angelo Ogbonna,DF,31,31,984,961,18,18,1,4,2,0,0,0,0,0,745,5,6,31,"2,786",31,30,0,1.23,45,44,1,40.1,50.3,-10.2,2,0,2,2,0,0,4,0,1.8,1.8,0.1,5,50,5,13,4,11,0,0.2,211,674,582,49,29,1301,5,5,0,607,3429,1407,5,1,8,2,620,745,984,15016,6089,233,272,410,489,98,199,0.3,2,45,1,0,0,22,14,0,27,24,0,1,1,141,102,59,11,9,0,0,1,0,1,0,0,0,0,0,0,0,20,14,4,18,32,14,50,32,18,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
Issa Diop,DF,22,30.7,979,938,39,37,0,5,1,2,0,0,0,0,762,2,11,32,"2,766",31,30,1,4,1.03,39,54,-0.76,41.1,53,3,1,4,3,0,0,8,0,1.5,1.5,1.2,7,44,2,15,6,9.2,0,1.5,229,698,588,39,25,1317,7,5,2,630,3407,1747,2,0,10,5,629,762,979,14303,6015,281,329,393,450,75,165,0.9,5,44,2,0,0,31,11,1,47,15,0,3,0,145,79,39,10,7,1,0,2,0,0,1,1,0,0,0,0,0,18,9,0,16,25,9,37,21,16,166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Aaron Cresswell,DF,29,30.3,1705,1314,384,45,0,5,127,320,19,10,4,2,1232,7,53,31,"2,727",31,28,0,0,0.97,41,51,0.06,38.7,49.6,3,0,3,3,0,0,7,0,1.4,1.4,3.2,43,166,97,17,5,21.7,7,1.6,100,542,922,520,24,1975,34,11,23,934,3750,1808,33,2,18,10,1043,1232,1705,20084,9913,676,753,425,597,110,256,2.2,26,135,21,17,0,16,17,2,35,26,0,0,0,172,45,39,51,37,8,1,1,4,0,1,1,0,0,0,0,0,21,18,4,23,46,23,33,10,23,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
Ryan Fredericks,DF,26,24.9,1122,911,208,4,0,0,59,204,0,0,0,0,797,3,40,27,"2,237",25,23,2,1,1.11,35,39,0.52,32.8,42,0,3,3,0,0,0,7,0,0.1,0.1,2.6,63,72,110,3,0,20.6,0,-0.1,92,458,571,377,28,1396,31,11,20,637,3518,1972,51,14,20,12,705,797,1122,12092,5291,462,545,266,375,55,129,3.1,21,48,24,15,0,25,21,0,24,56,0,0,0,113,35,36,46,42,2,1,0,1,0,4,4,0,0,0,0,0,59,18,5,41,64,23,20,10,10,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Łukasz Fabiański,GK,34,23.5,678,411,261,69,0,1,0,0,0,0,0,0,386,6,2,25,"2,117",25,23,0,0,1.24,36,34,1.12,32.2,36.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,632,717,3,0,0,720,1,1,0,366,2478,1606,0,0,1,0,218,386,678,15775,13749,28,28,109,116,248,525,0,0,12,0,0,0,1,2,0,1,2,0,1,0,12,11,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,0,0,5,3,34,104,71,8,7,10,5,4,3,1,0,1,2,32.1,0.27,0.1,189,455,480,100,43.5,192,58.6,382,11,8,10.3,3.2
Sébastien Haller,FW,25,25.2,779,745,30,0,2,4,8,0,0,0,0,0,506,4,15,32,"2,266",24,20,8,1,1.06,31,41,-0.16,32,44.6,7,1,8,7,0,0,1,0,8,8,2.5,17,59,140,56,26,11.4,0,-1,34,88,574,403,119,1058,40,24,15,490,2050,785,21,4,60,35,814,506,779,6620,1336,327,475,122,181,25,37,2.3,24,52,13,0,0,46,38,18,8,15,1,0,0,65,213,200,51,41,0,1,5,3,1,8,4,0,0,2,2,0,8,10,4,3,30,27,19,5,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Pablo Fornals,MF,23,24.1,909,869,39,8,6,13,61,4,19,7,8,0,678,1,32,36,"2,172",24,7,12,1,1.08,34,35,0.82,31.6,37.8,2,5,7,2,0,0,3,0,2.3,2.3,2.5,45,91,156,36,11,18.1,0,-0.3,14,169,522,487,45,1159,33,15,18,687,3377,1574,31,10,40,26,783,678,909,9935,2578,400,455,189,255,53,101,1.8,19,61,23,3,0,18,16,7,25,28,0,0,0,155,10,48,51,39,5,1,2,2,2,9,9,0,0,0,0,0,21,18,7,19,64,45,35,1,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Felipe Anderson,MF,26,16.6,945,913,29,8,5,11,34,13,5,2,2,0,727,3,30,25,"1,497",20,6,5,4,0.88,21,27,-0.03,19.8,27.8,1,4,5,1,0,0,1,0,2.5,2.5,3.1,106,100,132,23,8,17.1,0,-1.5,19,143,564,486,56,1168,92,63,29,764,5752,3044,72,21,48,30,884,727,945,11062,3031,440,527,207,257,58,89,2.8,25,56,34,4,0,17,24,2,22,32,0,0,0,112,6,19,67,50,2,5,5,4,1,11,9,0,2,0,0,0,20,21,5,11,47,36,19,1,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
