Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Conor Coady,DF,26,38,1853,1808,42,41,4,15,0,1,0,0,0,0,1573,3,9,38,"3,420",38,38,0,0,1.55,51,40,0,54.1,38,0,0,0,0,0,0,5,0,0,0,0.5,3,64,0,0,0,0,0,0,305,1277,813,1,0,2082,5,4,1,1184,5442,2750,3,1,1,0,1371,1573,1853,38135,17274,329,357,848,912,383,552,0.6,5,112,7,0,0,17,7,0,28,23,0,1,0,244,33,24,21,21,0,0,0,0,0,1,1,0,0,0,0,0,30,6,0,15,30,15,22,15,7,119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Rui Patrício,GK,31,38,864,503,358,75,0,3,0,0,0,0,0,0,567,3,1,38,"3,420",38,38,0,0,1.55,51,40,0,54.1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,846,908,1,0,0,909,0,0,0,376,2655,1695,0,0,0,0,234,567,864,20538,16472,41,43,191,192,334,623,0,0,4,0,0,0,0,7,0,2,0,0,0,0,39,8,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,5,2,40,129,88,15,14,9,13,3,1,2,0,1,6,35.5,0.26,-3.5,250,528,578,127,39,283,48.7,530,20,11,11.7,16
Raúl Jiménez,FW,28,36,1031,1010,19,4,4,23,28,10,0,0,0,0,730,2,37,38,"3,236",37,20,1,0,1.55,48,36,0.82,50.2,32.7,17,6,23,13,4,4,3,0,16.6,13.4,7,89,102,223,114,39,15.4,0,0.4,38,125,741,630,192,1472,99,62,37,797,4867,2245,54,42,110,67,1153,730,1031,10233,2468,420,515,169,234,67,109,5.1,48,67,25,3,0,39,35,18,16,12,1,0,0,82,86,117,97,64,1,13,9,7,3,13,8,0,2,1,2,0,6,10,4,3,31,28,26,0,26,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Rúben Neves,MF,22,34,2070,1998,66,50,8,52,34,7,9,3,4,0,1635,6,21,38,"3,056",35,27,3,0,1.55,48,35,0.88,49.1,33.5,2,2,4,2,0,0,9,0,2,2,2.2,19,216,23,61,10,28,7,0,74,507,1536,347,3,2374,26,22,4,1232,4825,2393,31,0,17,10,1559,1635,2070,34616,9325,523,618,752,878,324,487,1.6,29,194,23,6,0,29,16,0,56,33,0,0,0,303,28,27,76,61,1,3,6,1,4,3,2,0,0,1,0,0,27,32,3,34,86,52,38,9,29,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
João Moutinho,MF,32,34.5,2071,1731,335,158,5,35,221,6,169,49,72,0,1647,5,19,38,"3,108",34,30,4,0,1.55,46,36,0,47.6,35,1,6,7,1,0,0,7,0,0.9,0.9,7.9,38,216,51,22,6,25,4,0.1,44,401,1292,651,6,2327,21,15,6,1083,5124,2689,37,0,20,21,1367,1647,2071,32707,8779,584,665,729,850,274,436,6,77,155,29,11,0,40,25,3,50,50,0,0,0,248,19,26,125,68,56,0,1,0,0,10,7,3,0,0,0,0,43,41,9,46,139,93,43,13,30,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Jonny Castro,MF,25,32.1,1451,1139,309,2,1,3,54,307,0,0,0,0,1177,3,34,35,"2,887",33,27,2,1,1.57,42,35,-0.46,43.8,33,2,2,4,2,0,0,4,0,1.6,1.6,1.3,100,97,180,18,5,19,0,0.4,68,476,779,638,61,1871,71,32,39,855,5260,2873,62,20,54,36,1024,1177,1451,15340,5071,731,810,333,426,38,68,1.3,23,47,16,6,0,34,28,2,53,55,1,0,0,158,35,50,64,51,3,1,0,3,6,7,5,1,0,0,1,0,54,26,11,29,82,53,45,10,35,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Matt Doherty,MF,27,31.5,1854,1518,333,3,1,11,45,330,0,0,0,0,1392,3,41,36,"2,839",32,26,4,1,1.64,45,31,0.91,46.9,29.5,4,3,7,4,0,0,1,0,6.9,6.9,2.2,75,158,155,35,15,11.2,0,-2.9,74,488,1088,632,89,2196,48,28,20,954,5061,3057,63,10,47,15,1332,1392,1854,20176,8073,817,961,428,597,83,148,2.1,21,83,24,7,0,28,18,3,40,29,1,1,0,160,132,96,63,44,1,6,10,2,0,14,6,0,3,4,1,0,34,17,4,27,41,14,34,4,30,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Leander Dendoncker,MF,24,31.1,1339,1317,17,14,0,11,8,3,0,0,0,0,1108,5,18,38,"2,795",32,27,6,0,1.55,41,34,-0.35,43.9,29.6,4,0,4,4,0,0,5,0,1.8,1.8,0.7,17,68,39,20,5,14.7,0,2.2,104,558,889,196,38,1640,21,16,5,767,3409,1941,18,1,31,11,1026,1108,1339,19473,4802,461,552,501,568,104,124,0.5,9,46,3,1,0,31,9,0,38,31,0,1,1,152,94,82,23,21,0,0,1,0,1,1,1,0,0,0,0,0,41,19,8,28,67,39,39,12,27,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Romain Saïss,DF,29,30.1,1649,1602,43,35,1,24,9,8,0,0,0,0,1285,4,16,33,"2,705",31,28,2,2,1.58,41,34,-0.27,45.9,28,2,1,3,2,0,0,12,1,3.4,3.4,1.3,10,132,9,24,8,13.1,2,-1.4,162,859,1056,88,28,1996,10,7,3,926,3842,2349,8,2,13,5,1192,1285,1649,25611,9820,439,505,655,774,171,313,0.4,12,113,6,1,1,43,24,2,55,38,0,0,0,185,119,68,30,24,1,1,3,0,1,2,1,0,0,1,0,0,37,15,3,32,46,14,31,16,15,127,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Adama Traoré,FW,23,28.9,952,895,56,0,9,3,183,55,0,0,0,0,614,1,49,37,"2,605",27,18,10,1,1.57,44,33,0.38,43.7,28.6,4,9,13,4,0,0,1,0,3.8,3.8,6.6,252,88,246,43,12,19.8,0,0.2,23,133,552,694,106,1335,246,183,63,946,10181,5631,111,71,88,65,1011,614,952,9406,2530,335,425,202,311,41,97,6.5,48,55,41,28,0,39,77,6,13,21,0,0,0,118,45,52,111,67,0,31,1,10,2,15,11,0,3,0,1,0,6,14,13,8,23,15,19,3,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Diogo Jota,FW,22,25.4,886,828,52,0,4,10,38,2,0,0,0,0,682,6,27,34,"2,284",27,6,7,0,1.44,26,28,-1.11,33.1,25.4,7,1,8,7,0,0,4,0,11.5,11.5,2.7,131,68,200,69,26,14.2,0,-4.5,9,106,589,592,146,1256,133,66,67,785,6181,3569,93,51,80,57,963,682,886,9768,1810,377,444,212,262,39,54,1.9,29,41,20,4,0,42,61,3,9,15,0,0,0,123,28,52,102,56,0,15,13,17,1,7,5,0,0,1,1,0,16,10,2,12,48,36,17,0,17,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Willy Boly,DF,28,22,991,975,13,11,0,4,2,2,0,0,0,0,798,3,12,22,"1,979",22,21,0,1,1.64,26,15,0.5,28.3,21.1,0,1,1,0,0,0,3,1,0.4,0.4,1.1,4,48,5,5,3,11.6,0,-0.4,139,623,606,39,20,1264,11,9,2,588,2675,1364,4,0,10,4,725,798,991,13716,5642,358,394,370,425,54,126,0.5,7,39,3,0,1,24,8,1,39,33,0,0,0,117,86,29,13,13,0,0,0,0,0,1,1,0,0,0,0,0,36,21,0,25,43,18,28,11,17,108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
Pedro Neto,FW,19,10.4,400,365,34,8,0,4,48,2,13,3,3,0,303,1,14,29,939,9,1,20,6,1.69,19,12,0.53,17.1,11.8,3,3,6,3,0,0,3,0,2.2,2.2,2.6,53,23,101,17,6,16.9,0,0.8,3,55,247,261,40,548,61,32,29,355,3078,1512,40,20,31,18,380,303,400,4375,773,168,198,86,111,20,36,1.7,14,9,7,4,0,14,16,4,6,4,0,0,0,53,6,24,34,20,5,7,0,2,0,5,4,1,0,0,0,0,3,6,0,4,15,11,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Ryan Bennett,DF,29,6.7,245,232,13,0,0,2,4,13,0,0,0,0,182,0,1,11,606,7,5,4,5,1.45,6,9,-0.89,7.1,8.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,3,17,0,1,0,10.8,0,-0.1,49,160,129,28,7,316,0,0,0,109,400,230,3,0,2,1,157,182,245,3384,1337,71,78,83,104,20,51,0.3,2,17,2,1,0,4,1,0,9,2,0,0,0,32,20,13,8,6,2,0,0,0,0,1,0,1,0,0,0,0,4,0,0,2,6,4,14,8,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Rúben Vinagre,MF,20,7.2,342,271,70,1,0,1,30,69,0,0,0,0,255,1,18,16,652,6,4,10,18,1.5,10,6,0.32,11.8,6.3,0,0,0,0,0,0,1,0,0.3,0.3,0.6,36,8,32,5,0,13.6,0,-0.3,15,131,202,133,14,463,44,20,24,232,1856,1067,16,8,10,14,257,255,342,3595,1129,168,191,72,98,11,26,0.6,4,11,8,8,0,7,8,0,11,13,0,0,0,45,7,10,10,8,0,1,0,1,0,1,1,0,0,0,0,0,15,6,2,12,15,3,7,2,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Daniel Podence,FW,23,3.2,101,97,3,0,1,0,5,0,2,0,1,0,70,1,2,9,289,3,0,6,4,1.78,4,0,1.04,5.6,1.8,1,0,1,1,0,0,0,0,1.2,1.2,0.7,18,9,24,10,3,14,0,-0.2,2,16,50,83,12,145,11,7,4,106,741,432,11,1,8,4,119,70,101,954,172,34,42,23,35,3,8,0.2,5,6,4,1,0,5,9,3,2,3,1,0,0,12,0,6,10,6,0,1,1,2,0,2,0,0,1,0,1,0,2,0,1,0,2,2,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
