,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Aaron Ramsdale,GK,24.0,38.0,1111,872,237.0,83.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,761.0,2.0,3.0,,,,,,,,,,,,,
1,Bukayo Saka,FW,20.0,35.3,1430,1297,131.0,11.0,2.0,3.0,172.0,21.0,99.0,76.0,0.0,2.0,1054.0,2.0,62.0,,,,,,,,,,,,,
2,Martin Ødegaard,MF,23.0,34.7,1804,1683,110.0,79.0,23.0,9.0,91.0,13.0,18.0,9.0,6.0,1.0,1449.0,11.0,45.0,,,,,,,,,,,,,
3,Ben White,DF,24.0,33.9,2242,1951,285.0,57.0,6.0,13.0,57.0,228.0,0.0,0.0,0.0,0.0,1888.0,6.0,27.0,,,,,,,,,,,,,
4,Granit Xhaka,MF,29.0,33.3,1632,1574,55.0,34.0,6.0,6.0,39.0,19.0,1.0,0.0,0.0,0.0,1382.0,3.0,27.0,,,,,,,,,,,,,
5,Gabriel Martinelli,FW,21.0,31.0,1107,1013,88.0,12.0,8.0,2.0,113.0,11.0,63.0,40.0,0.0,0.0,833.0,6.0,44.0,,,,,,,,,,,,,
6,Thomas Partey,MF,29.0,27.6,1985,1923,59.0,32.0,11.0,12.0,9.0,27.0,0.0,0.0,0.0,0.0,1731.0,3.0,20.0,,,,,,,,,,,,,
7,William Saliba,DF,21.0,26.8,1865,1822,43.0,34.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,8.0,,,,,,,,,,,,,
8,Oleksandr Zinchenko,DF,25.0,23.5,1911,1703,203.0,49.0,6.0,12.0,37.0,153.0,1.0,0.0,0.0,0.0,1652.0,5.0,29.0,,,,,,,,,,,,,
9,Gabriel Jesus,FW,25.0,22.9,699,635,62.0,4.0,4.0,5.0,11.0,12.0,0.0,0.0,0.0,0.0,561.0,2.0,19.0,,,,,,,,,,,,,
10,Leandro Trossard,FW,27.0,10.3,452,402,47.0,3.0,6.0,6.0,55.0,5.0,31.0,22.0,1.0,0.0,347.0,3.0,19.0,,,,,,,,,,,,,
11,Eddie Nketiah,FW,23.0,12.1,255,231,24.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,11.0,,,,,,,,,,,,,
12,Jorginho it,30,9.5,736.0,718,16,16.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,641.0,2.0,8.0,,,,,,,,,,,,,,
13,Kieran Tierney,DF,25.0,8.8,486,415,67.0,11.0,1.0,1.0,24.0,56.0,0.0,0.0,0.0,0.0,362.0,4.0,11.0,,,,,,,,,,,,,
14,Takehiro Tomiyasu,DF,23.0,7.4,474,420,53.0,4.0,2.0,2.0,12.0,49.0,0.0,0.0,0.0,0.0,384.0,1.0,9.0,,,,,,,,,,,,,
15,Rob Holding,DF,26.0,6.3,442,430,10.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,382.0,2.0,3.0,,,,,,,,,,,,,
16,Jakub Kiwior,DF,22.0,4.7,205,192,13.0,5.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,177.0,0.0,4.0,,,,,,,,,,,,,
17,Fabio Vieira,"MF,FW",22.0,5.7,290,276,14.0,7.0,2.0,0.0,20.0,3.0,4.0,3.0,1.0,0.0,234.0,0.0,7.0,,,,,,,,,,,,,
18,Mohamed Elneny,MF,30.0,1.3,60,58,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,1.0,,,,,,,,,,,,,
19,Reiss Nelson,FW,22.0,2.4,120,118,2.0,0.0,0.0,0.0,12.0,0.0,2.0,2.0,0.0,0.0,101.0,0.0,1.0,,,,,,,,,,,,,
20,Cédric Soares,DF,30.0,0.3,24,23,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,,,,,,,,,,,,,
21,Marquinhos br,19,0.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,
22,Ethan Nwaneri,FW,15.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
23,Squad Total,21969,20293.0,1620.0,516,86,97.0,674.0,615.0,223.0,154.0,8.0,3.0,18281.0,56.0,,,,,,,,,,,,,,,,,
24,Opponent Total,15090,13335.0,1672.0,407,51,99.0,510.0,662.0,139.0,79.0,47.0,4.0,11424.0,83.0,,,,,,,,,,,,,,,,,
25,Aaron Ramsdale,GK,24,38.0,"3,420",90,100.0,38.0,38.0,90.0,38.0,0.0,0.0,2.21,88.0,43.0,45.0,1.18,71.9,42.0,29.9,0.79,,,,,,,,,,
26,Gabriel Dos,BRA,DF,24.0,38,"3,409",90.0,99.7,37.9,38.0,90.0,36.0,0.0,0.0,2.21,88.0,43.0,45.0,1.19,1.19,71.8,41.4,30.4,0.8,5.3,,,,,,,
27,Bukayo Saka,FW,20,38.0,"3,181",84,93.0,35.3,37.0,85.0,23.0,1.0,31.0,0.0,2.21,79.0,42.0,37.0,1.05,-1.97,64.4,39.4,25.0,0.71,-1.13,,,,,,,
28,Martin Ødegaard,MF,23,37.0,"3,127",85,91.4,34.7,37.0,85.0,14.0,0.0,0.0,2.19,82.0,38.0,44.0,1.27,0.96,67.1,37.5,29.6,0.85,0.75,,,,,,,,
29,Ben White,DF,24,38.0,"3,055",80,89.3,33.9,36.0,83.0,21.0,2.0,27.0,0.0,2.21,80.0,35.0,45.0,1.33,1.33,63.3,36.7,26.7,0.79,-0.01,,,,,,,
30,Granit Xhaka,MF,29,37.0,"2,993",81,87.5,33.3,36.0,83.0,24.0,1.0,7.0,0.0,2.24,75.0,35.0,40.0,1.2,0.15,60.7,36.5,24.3,0.73,-0.46,,,,,,,
31,Gabriel Martinelli,FW,21,36.0,"2,789",77,81.5,31.0,34.0,80.0,16.0,2.0,28.0,0.0,2.25,72.0,33.0,39.0,1.26,0.4,59.9,35.7,24.3,0.78,-0.02,,,,,,,
32,Thomas Partey,MF,29,33.0,"2,483",75,72.6,27.6,28.0,85.0,21.0,5.0,20.0,0.0,2.27,69.0,28.0,41.0,1.49,1.1,54.7,31.9,22.8,0.82,0.14,,,,,,,
33,William Saliba,DF,21,27.0,"2,415",89,70.6,26.8,27.0,89.0,26.0,0.0,0.0,2.44,61.0,25.0,36.0,1.34,0.54,51.9,26.2,25.7,0.96,0.58,,,,,,,,
34,Oleksandr Zinchenko,DF,25,27.0,"2,118",78,61.9,23.5,26.0,81.0,8.0,1.0,18.0,0.0,2.26,54.0,28.0,26.0,1.1,-0.21,45.5,26.5,19.0,0.81,0.06,,,,,,,
