,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Matty Cash,DF,23.0,37.5,1627,1286,336.0,30.0,2.0,12.0,98.0,305.0,1.0,0.0,0.0,0.0,1113.0,5.0,49.0,,,,,,,,,,,,,
1,Emiliano Martínez,GK,28.0,36.0,1103,722,377.0,102.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,4.0,0.0,,,,,,,,,,,,,
2,Tyrone Mings,DF,28.0,35.4,1684,1615,66.0,47.0,3.0,8.0,4.0,18.0,0.0,0.0,0.0,0.0,1336.0,3.0,12.0,,,,,,,,,,,,,
3,John McGinn,MF,26.0,34.3,1365,1220,137.0,76.0,15.0,23.0,110.0,6.0,52.0,40.0,8.0,1.0,1023.0,8.0,18.0,,,,,,,,,,,,,
4,Ollie Watkins,FW,25.0,32.8,699,671,25.0,2.0,4.0,2.0,15.0,7.0,0.0,0.0,0.0,0.0,484.0,3.0,16.0,,,,,,,,,,,,,
5,Douglas Luiz,MF,23.0,30.2,1550,1346,200.0,130.0,7.0,3.0,83.0,11.0,57.0,33.0,12.0,1.0,1290.0,4.0,10.0,,,,,,,,,,,,,
6,Ezri Konsa,DF,23.0,27.5,1013,975,38.0,30.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,875.0,0.0,8.0,,,,,,,,,,,,,
7,Jacob Ramsey,MF,20.0,27.4,1045,1030,13.0,7.0,3.0,1.0,26.0,3.0,0.0,0.0,0.0,0.0,889.0,2.0,22.0,,,,,,,,,,,,,
8,Emi Buendía,"MF,FW",24.0,21.1,902,834,63.0,18.0,21.0,3.0,34.0,12.0,17.0,8.0,4.0,1.0,711.0,5.0,19.0,,,,,,,,,,,,,
9,Danny Ings,FW,29.0,21.1,378,354,21.0,1.0,3.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,251.0,3.0,17.0,,,,,,,,,,,,,
10,Matt Targett,DF,25.0,15.9,823,680,142.0,14.0,1.0,10.0,59.0,120.0,8.0,0.0,1.0,7.0,592.0,1.0,18.0,,,,,,,,,,,,,
11,Philippe Coutinho,"MF,FW",29.0,14.8,655,615,35.0,7.0,3.0,2.0,18.0,3.0,6.0,3.0,3.0,0.0,531.0,5.0,9.0,,,,,,,,,,,,,
12,Lucas Digne,DF,28.0,14.1,838,645,192.0,18.0,1.0,6.0,101.0,135.0,39.0,15.0,11.0,1.0,629.0,1.0,21.0,,,,,,,,,,,,,
13,Ashley Young,"DF,FW",36.0,13.9,645,535,106.0,16.0,0.0,7.0,44.0,78.0,5.0,2.0,2.0,0.0,492.0,4.0,16.0,,,,,,,,,,,,,
14,Marvelous Nakamba,MF,27.0,10.0,385,374,11.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,5.0,,,,,,,,,,,,,
15,Calum Chambers,DF,26.0,9.2,483,476,6.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,399.0,1.0,7.0,,,,,,,,,,,,,
16,Leon Bailey,"FW,MF",23.0,8.5,226,209,16.0,1.0,1.0,3.0,33.0,4.0,11.0,10.0,1.0,0.0,150.0,1.0,8.0,,,,,,,,,,,,,
17,Axel Tuanzebe,DF,23.0,5.6,241,236,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,1.0,,,,,,,,,,,,,
18,Kortney Hause,DF,26.0,4.4,222,218,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,3.0,,,,,,,,,,,,,
19,Morgan Sanson,MF,26.0,4.0,162,160,2.0,1.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,123.0,0.0,7.0,,,,,,,,,,,,,
20,Carney Chukwuemeka,"MF,FW",17.0,3.3,121,118,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,3.0,,,,,,,,,,,,,
21,Bertrand Traoré,"MF,FW",25.0,2.4,84,82,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,61.0,0.0,2.0,,,,,,,,,,,,,
22,Tim Iroegbunam,MF,18.0,1.0,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,,,,,,,,,,,,,
23,Robin Olsen,GK,31.0,1.0,47,24,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,,,,,,,,,,,,,
24,Jed Steer,GK,28.0,1.0,38,29,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,,,,,,,,,,,,,
25,Cameron Archer,"FW,MF",20.0,0.3,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,
26,Keinan Davis,FW,23.0,0.1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,
27,Trézéguet eg,26,0.1,6.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,
28,Wesley Moraes,FW,24.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,
29,Squad Total,16499,14615.0,1832.0,525,71,97.0,670.0,716.0,196.0,111.0,42.0,11.0,12748.0,52.0,,,,,,,,,,,,,,,,,
30,Opponent Total,19079,17229.0,1811.0,424,48,233.0,685.0,815.0,220.0,118.0,64.0,3.0,15222.0,39.0,,,,,,,,,,,,,,,,,
31,Matty Cash,DF,23,38.0,"3,377",89.0,98.7,37.5,38.0,89.0,35.0,0.0,0.0,1.18,52.0,50.0,2.0,0.05,8.43,43.6,46.6,-3.0,-0.08,4.08,,,,,,,,
32,Emiliano Martínez,GK,28,36.0,"3,240",90.0,94.7,36.0,36.0,90.0,36.0,0.0,0.0,1.25,50.0,48.0,2.0,0.06,2.06,42.6,44.3,-1.8,-0.05,1.55,,,,,,,,
33,Tyrone Mings,DF,28,36.0,"3,189",89.0,93.2,35.4,35.0,90.0,35.0,1.0,39.0,0.0,1.22,49.0,49.0,0.0,0.0,0.78,42.0,46.8,-4.9,-0.14,-0.1,,,,,,,
34,John McGinn,MF,26,35.0,"3,090",88.0,90.4,34.3,35.0,88.0,32.0,0.0,0.0,1.23,45.0,48.0,-3.0,-0.09,-0.36,40.3,43.8,-3.5,-0.1,0.28,,,,,,,,
35,Ollie Watkins,FW,25,35.0,"2,952",84.0,86.3,32.8,33.0,88.0,28.0,2.0,23.0,0.0,1.2,46.0,48.0,-2.0,-0.06,-0.06,37.9,44.5,-6.5,-0.2,-0.51,,,,,,,
36,Douglas Luiz,MF,23,34.0,"2,715",80.0,79.4,30.2,31.0,86.0,22.0,3.0,20.0,0.0,1.24,43.0,38.0,5.0,0.17,1.06,37.1,39.2,-2.1,-0.07,0.3,,,,,,,
37,Ezri Konsa,DF,23,29.0,"2,477",85.0,72.4,27.5,29.0,85.0,24.0,0.0,3.0,1.21,36.0,41.0,-5.0,-0.18,-0.47,30.3,35.3,-5.0,-0.18,-0.19,,,,,,,,
38,Jacob Ramsey,MF,20,34.0,"2,467",73.0,72.1,27.4,29.0,80.0,14.0,5.0,28.0,1.0,1.21,39.0,35.0,4.0,0.15,0.71,32.9,32.2,0.7,0.02,0.56,,,,,,,
39,Emi Buendía,"MF,FW",24,35.0,"1,899",54.0,55.5,21.1,22.0,77.0,5.0,13.0,16.0,2.0,1.11,30.0,32.0,-2.0,-0.09,-0.09,23.8,27.4,-3.6,-0.17,-0.09,,,,,,,
40,Danny Ings,FW,29,30.0,"1,898",63.0,55.5,21.1,22.0,79.0,7.0,8.0,20.0,3.0,1.23,29.0,26.0,3.0,0.14,0.44,26.3,24.3,2.0,0.09,0.5,,,,,,,
41,Matt Targett,DF,25,17.0,"1,431",84.0,41.8,15.9,17.0,84.0,14.0,0.0,3.0,0.94,16.0,28.0,-12.0,-0.75,-1.21,13.2,22.5,-9.3,-0.59,-0.78,,,,,,,,
42,Philippe Coutinho,"MF,FW",29,19.0,"1,329",70.0,38.9,14.8,16.0,80.0,5.0,3.0,18.0,0.0,1.21,21.0,17.0,4.0,0.27,0.53,19.6,18.3,1.3,0.09,0.36,,,,,,,
43,Lucas Digne,DF,28,16.0,"1,269",79.0,37.1,14.1,16.0,79.0,13.0,0.0,0.0,1.19,21.0,20.0,1.0,0.07,0.2,18.2,19.4,-1.2,-0.08,0.07,,,,,,,,
44,Ashley Young,"DF,FW",36,24.0,"1,250",52.0,36.5,13.9,10.0,83.0,6.0,14.0,30.0,12.0,1.38,19.0,19.0,0.0,0.0,0.08,16.0,17.2,-1.2,-0.09,0.07,,,,,,,
45,Marvelous Nakamba,MF,27,16.0,904,57.0,26.4,10.0,10.0,77.0,5.0,6.0,22.0,8.0,0.94,15.0,20.0,-5.0,-0.5,-0.61,9.1,14.1,-5.0,-0.5,-0.5,,,,,,,
46,Calum Chambers,DF,26,11.0,831,76.0,24.3,9.2,9.0,88.0,8.0,2.0,22.0,6.0,1.36,17.0,9.0,8.0,0.87,1.21,13.2,11.5,1.7,0.18,0.41,,,,,,,
47,Leon Bailey,"FW,MF",23,18.0,761,42.0,22.3,8.5,7.0,69.0,3.0,11.0,25.0,2.0,0.89,12.0,13.0,-1.0,-0.12,-0.08,10.4,6.3,4.0,0.48,0.78,,,,,,,
48,Axel Tuanzebe,DF,23,9.0,508,56.0,14.9,5.6,6.0,83.0,5.0,3.0,4.0,8.0,1.44,6.0,10.0,-4.0,-0.71,-0.77,4.5,8.1,-3.6,-0.64,-0.6,,,,,,,
49,Kortney Hause,DF,26,7.0,397,57.0,11.6,4.4,4.0,87.0,3.0,3.0,16.0,19.0,1.14,6.0,9.0,-3.0,-0.68,-0.71,5.4,6.5,-1.1,-0.25,-0.14,,,,,,,
50,Morgan Sanson,MF,26,10.0,356,36.0,10.4,4.0,3.0,71.0,0.0,7.0,20.0,17.0,1.3,2.0,8.0,-6.0,-1.52,-1.63,2.7,5.6,-2.8,-0.72,-0.66,,,,,,,
51,Carney Chukwuemeka,"MF,FW",17,12.0,301,25.0,8.8,3.3,2.0,59.0,0.0,10.0,18.0,19.0,1.33,5.0,6.0,-1.0,-0.3,-0.27,4.3,6.0,-1.8,-0.52,-0.43,,,,,,,
52,Bertrand Traoré,"MF,FW",25,9.0,220,24.0,6.4,2.4,1.0,79.0,0.0,8.0,18.0,10.0,0.44,2.0,3.0,-1.0,-0.41,-0.38,3.1,3.1,0.0,0.0,0.14,,,,,,,
53,Tim Iroegbunam,MF,18,3.0,92,31.0,2.7,1.0,1.0,72.0,0.0,2.0,10.0,19.0,2.33,1.0,0.0,1.0,0.98,1.06,1.1,0.6,0.5,0.54,0.68,,,,,,,
54,Robin Olsen,GK,31,1.0,90,90.0,2.6,1.0,1.0,90.0,1.0,0.0,17.0,0.0,2.0,3.0,-1.0,-1.0,-0.97,0.2,3.4,-3.1,-3.11,-3.06,,,,,,,,
55,Jed Steer,GK,28,1.0,90,90.0,2.6,1.0,1.0,90.0,1.0,0.0,18.0,0.0,0.0,3.0,-3.0,-3.0,-3.03,1.2,1.3,-0.1,-0.08,0.05,,,,,,,,
56,Cameron Archer,"FW,MF",20,3.0,27,9.0,0.8,0.3,0.0,0.0,3.0,9.0,9.0,1.0,1.0,0.0,1.0,3.33,3.41,0.2,0.8,-0.6,-2.11,-2.0,,,,,,,,
57,Keinan Davis,FW,23,1.0,12,12.0,0.4,0.1,0.0,0.0,1.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.1,0.64,0.77,,,,,,,,
58,Trézéguet eg,26,1,11.0,11,0.3,0.1,0.0,0.0,1.0,11.0,3.0,0.0,0.0,1.0,-1.0,-8.18,-8.16,0.4,0.3,0.1,0.66,0.79,,,,,,,,,
59,Jaden Philogene,ENG,FW,19.0,1,5.0,5.0,0.1,0.1,0.0,0.0,1.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,-0.1,-2.52,-2.39,,,,,,,
60,Wesley Moraes,FW,24,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,-0.1,-12.59,-12.46,,,,,,,,
61,Lamare Bogarde,"DF,MF",17,0.0,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
62,Benjamin Chrisene,DF,17,0.0,0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
63,Josh Feeney,DF,16,0.0,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
64,Frederic Guilbert,"DF,MF",26,0.0,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
65,Conor Hourihane,MF,30,0.0,0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
66,Kaine Kessler-Hayden,"DF,MF",18,0.0,0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
67,Filip Marshall,GK,18,0.0,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
68,Tommi O'Reilly,MF,17,0.0,0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
69,Aaron Ramsey,MF,18,0.0,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
70,Viljami Sinisalo,GK,19,0.0,0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
71,Squad Total,"3,420",90,100.0,38.0,418.0,85.0,304.0,113.0,20.0,228.0,1.18,52.0,54.0,-2.0,-0.05,44.0,49.0,-4.9,,,,,,,,,,,,,
72,Opponent Total,"3,420",90,100.0,38.0,418.0,85.0,311.0,108.0,20.0,232.0,1.66,54.0,52.0,2.0,0.05,49.0,44.0,4.9,,,,,,,,,,,,,
73,Matty Cash,DF,23,38.0,38,"3,377",37.5,4.0,3.0,7.0,4.0,0.0,0.0,8.0,0.0,2.7,2.7,2.8,5.4,89.0,96.0,174.0,0.11,0.08,0.19,0.11,0.19,0.07,0.07,0.14,0.07,0.14
74,Emiliano Martínez,GK,28,36.0,36,"3,240",36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Tyrone Mings,DF,28,36.0,35,"3,189",35.4,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,1.6,1.6,1.6,3.3,23.0,91.0,17.0,0.03,0.08,0.11,0.03,0.11,0.05,0.05,0.09,0.05,0.09
76,John McGinn,MF,26,35.0,35,"3,090",34.3,3.0,4.0,7.0,3.0,0.0,0.0,8.0,0.0,1.5,1.5,5.3,6.8,52.0,196.0,67.0,0.09,0.12,0.2,0.09,0.2,0.04,0.15,0.2,0.04,0.2
77,Ollie Watkins,FW,25,35.0,33,"2,952",32.8,11.0,2.0,13.0,10.0,1.0,1.0,7.0,0.0,11.6,11.0,3.4,14.4,74.0,60.0,226.0,0.34,0.06,0.4,0.3,0.37,0.35,0.1,0.46,0.34,0.44
78,Douglas Luiz,MF,23,34.0,31,"2,715",30.2,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,2.5,4.4,28.0,105.0,44.0,0.07,0.1,0.17,0.07,0.17,0.07,0.08,0.15,0.07,0.15
79,Ezri Konsa,DF,23,29.0,29,"2,477",27.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,2.0,1.6,1.6,0.3,1.9,8.0,45.0,7.0,0.07,0.0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07
80,Jacob Ramsey,MF,20,34.0,29,"2,467",27.4,6.0,1.0,7.0,6.0,0.0,0.0,6.0,0.0,4.0,4.0,1.9,5.9,91.0,132.0,92.0,0.22,0.04,0.26,0.22,0.26,0.15,0.07,0.22,0.15,0.22
81,Emi Buendía,"MF,FW",24,35.0,22,"1,899",21.1,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,3.4,3.4,5.8,9.1,40.0,117.0,84.0,0.19,0.28,0.47,0.19,0.47,0.16,0.27,0.43,0.16,0.43
82,Danny Ings,FW,29,30.0,22,"1,898",21.1,7.0,6.0,13.0,6.0,1.0,1.0,4.0,0.0,7.1,6.3,1.6,8.0,24.0,39.0,117.0,0.33,0.28,0.62,0.28,0.57,0.34,0.08,0.41,0.3,0.38
83,Matt Targett,DF,25,17.0,17,"1,431",15.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.7,2.2,19.0,83.0,79.0,0.06,0.06,0.13,0.06,0.13,0.03,0.11,0.14,0.03,0.14
84,Philippe Coutinho,"MF,FW",29,19.0,16,"1,329",14.8,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,3.8,3.8,2.9,6.7,48.0,94.0,62.0,0.34,0.2,0.54,0.34,0.54,0.25,0.2,0.45,0.25,0.45
85,Lucas Digne,DF,28,16.0,16,"1,269",14.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,2.2,2.7,34.0,48.0,121.0,0.0,0.28,0.28,0.0,0.28,0.04,0.16,0.19,0.04,0.19
86,Ashley Young,"DF,FW",36,24.0,10,"1,250",13.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.0,1.4,27.0,45.0,57.0,0.0,0.14,0.14,0.0,0.14,0.03,0.07,0.1,0.03,0.1
87,Marvelous Nakamba,MF,27,16.0,10,904,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
