Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Aaron Ramsdale,GK,21,37,1136,707,424,136,0,2,1,0,0,0,0,0,675,5,2,37,"3,330",37,37,0,0,0.92,40,62,2.41,44.4,60.2,0,1,1,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1088,1232,13,1,0,1246,0,0,0,662,4021,2641,0,0,0,0,403,675,1136,20764,15997,124,128,308,310,242,689,0.1,2,20,1,1,0,0,4,0,0,3,0,0,0,17,10,4,3,2,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,3,3,0,0,0,0,25,1,62,187,124,9,7,21,5,6,5,1,0,4,4,60.7,0.3,-1.3,183,607,843,185,39.2,288,53.5,591,20,25,11.6,12.5
Callum Wilson,FW,27,32.3,542,514,25,0,3,3,27,2,0,0,0,0,334,3,32,35,"2,908",32,27,3,0,0.89,36,53,0.88,37.5,54.5,8,1,9,8,0,0,10,0,9.9,9.9,2.8,45,52,197,55,21,12.4,0,-1.9,23,73,314,475,143,855,45,24,21,565,2473,1014,26,23,107,51,634,334,542,4323,951,227,308,71,122,15,25,2,28,28,14,1,0,55,40,32,4,9,2,0,0,70,65,144,60,42,0,4,6,8,0,9,3,0,2,1,3,0,3,6,3,2,17,15,16,2,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Jefferson Lerma,MF,24,30,1415,1376,33,28,0,16,6,5,0,0,0,0,1104,6,25,33,"2,703",31,24,2,1,1,34,48,0.91,34.6,46.6,1,2,3,1,0,0,13,1,1.2,1.2,1.4,16,137,13,30,2,24.3,0,-0.2,115,497,1011,241,14,1732,37,26,11,1007,4041,1618,17,0,29,18,955,1104,1415,19745,6712,498,591,445,528,132,220,1.4,12,136,15,0,1,42,37,1,57,32,0,0,0,270,56,49,46,36,0,2,2,5,1,3,3,0,0,0,0,0,17,31,6,22,48,26,28,12,16,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Philip Billing,MF,23,28.1,1216,1149,62,19,1,10,14,43,0,0,0,0,879,5,22,34,"2,530",29,19,5,1,0.97,31,41,1.16,33.4,45.3,1,1,2,1,0,0,8,0,2,2,1.7,29,100,59,33,8,20.7,1,-1,131,462,839,395,50,1673,35,22,13,873,4050,1646,30,4,51,28,905,879,1216,14318,3856,452,594,317,397,79,139,1.9,15,70,18,1,0,38,23,2,66,46,0,0,0,162,111,76,50,38,3,3,3,2,1,3,3,0,0,0,0,0,30,37,5,17,65,48,59,16,43,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
Nathan Aké,DF,24,27.8,1238,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8,29,"2,503",29,27,0,1,0.93,30,46,0.31,32.7,44.9,2,2,4,2,0,0,2,0,3,3,2.2,12,81,7,25,7,10.3,0,-1,238,888,604,77,36,1557,3,3,0,958,4935,3112,5,0,9,5,922,1079,1238,19315,6988,435,472,554,608,82,132,0.3,7,58,7,0,0,9,13,3,36,21,0,0,0,140,60,61,14,8,0,1,4,1,0,1,0,0,0,1,0,0,23,8,0,14,23,9,40,29,11,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Steve Cook,DF,28,27,1296,1234,57,38,0,7,1,19,0,0,0,0,1016,5,9,29,"2,428",28,25,1,3,0.83,30,47,0.1,32.7,44.4,1,0,1,1,0,0,6,1,0.7,0.7,0.5,7,73,5,11,2,12.1,0,0.3,230,882,658,65,23,1593,3,3,0,858,4077,2154,4,0,4,3,905,1016,1296,20536,7661,279,334,613,705,118,222,0.4,4,46,2,0,0,16,15,1,44,11,0,2,0,112,113,65,10,7,2,0,1,0,0,0,0,0,0,0,0,0,18,4,0,8,20,12,32,23,9,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
Diego Rico,DF,26,25.9,1516,1127,381,54,2,3,173,250,77,44,26,0,993,8,44,27,"2,332",27,23,0,10,1.07,31,38,1.22,30.2,39.2,0,4,4,0,0,0,6,0,0.4,0.4,3.2,42,145,81,11,3,26.3,1,-0.4,101,646,761,470,10,1866,24,13,11,830,3586,1953,37,1,26,21,835,993,1516,16826,9108,496,583,370,555,104,266,3.3,33,96,28,14,0,18,22,2,84,39,0,0,0,168,33,28,60,29,29,0,1,1,0,7,4,3,0,0,0,0,32,24,5,29,59,30,31,7,24,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Adam Smith,DF,28,22.8,1044,847,195,21,0,2,28,173,1,0,0,0,827,2,32,24,"2,055",24,19,0,0,0.83,23,40,-0.22,27.6,36.7,0,1,1,0,0,0,7,0,0.8,0.8,1.1,75,93,69,4,1,19.5,0,-0.8,69,395,610,329,23,1321,51,24,27,732,4669,2653,52,6,27,14,728,827,1044,11632,4435,522,574,247,310,36,93,0.6,10,60,7,3,0,25,40,2,25,32,0,2,0,92,34,28,31,28,0,1,0,2,0,1,1,0,0,0,0,0,29,16,2,23,50,27,27,6,21,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Joshua King,FW,27,22.3,524,503,20,2,4,1,22,2,1,0,0,0,369,1,27,26,"2,011",24,13,2,0,0.96,23,37,0.08,28.5,35.2,6,4,10,3,3,3,0,0,6.5,4.1,4.1,60,46,151,23,10,14.4,0,-0.5,12,88,350,399,84,814,107,52,55,555,4169,1749,47,23,77,54,585,369,524,4923,1128,228,281,95,141,17,26,2.2,30,21,18,4,0,37,27,7,8,6,0,0,0,105,59,66,61,45,0,8,2,5,1,8,5,0,2,0,1,0,4,8,4,4,16,12,20,3,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Ryan Fraser,MF,25,23,964,832,128,33,2,3,174,16,64,32,20,0,658,4,29,28,"2,067",21,19,7,0,0.93,22,34,0.34,26.6,38.7,1,4,5,1,0,0,2,0,3.7,3.7,3.9,99,100,164,27,11,17.2,2,-2.7,22,171,401,573,58,1129,24,12,12,800,4732,2646,63,24,28,19,786,658,964,9972,3561,373,438,210,296,55,157,3.6,44,62,39,8,0,10,36,1,15,6,0,0,0,97,6,25,82,53,18,5,1,4,1,8,4,3,0,1,0,0,5,5,2,7,22,15,15,3,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5
