,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Jefferson Lerma,MF,27.0,36.1,1611,1551,59.0,46.0,7.0,7.0,11.0,11.0,0.0,0.0,0.0,0.0,1317.0,1.0,24.0,,,,,,,,,,,,,
1,Adam Smith,DF,31.0,32.7,1264,987,276.0,22.0,0.0,2.0,48.0,254.0,0.0,0.0,0.0,0.0,953.0,1.0,29.0,,,,,,,,,,,,,
2,Philip Billing,"MF,FW",26.0,30.7,1055,1009,43.0,20.0,5.0,10.0,38.0,6.0,10.0,5.0,1.0,0.0,813.0,3.0,32.0,,,,,,,,,,,,,
3,Dominic Solanke,"FW,MF",24.0,31.8,533,479,52.0,0.0,3.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,363.0,2.0,34.0,,,,,,,,,,,,,
4,Marcos Senesi,DF,25.0,27.7,1322,1257,56.0,40.0,1.0,15.0,8.0,14.0,0.0,0.0,0.0,0.0,1064.0,9.0,18.0,,,,,,,,,,,,,
5,Neto br,33,26.5,833.0,513,319,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,1.0,0.0,,,,,,,,,,,,,,
6,Chris Mepham,DF,24.0,24.4,1041,1001,37.0,21.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,870.0,3.0,7.0,,,,,,,,,,,,,
7,Lloyd Kelly,DF,23.0,22.7,1164,1020,140.0,29.0,2.0,11.0,14.0,109.0,0.0,0.0,0.0,0.0,934.0,4.0,12.0,,,,,,,,,,,,,
8,Ryan Christie,"MF,FW",27.0,20.4,651,621,28.0,3.0,6.0,7.0,32.0,4.0,20.0,11.0,5.0,0.0,521.0,2.0,16.0,,,,,,,,,,,,,
9,Marcus Tavernier,"MF,FW",23.0,19.4,724,623,100.0,21.0,5.0,7.0,93.0,34.0,42.0,22.0,11.0,3.0,510.0,1.0,28.0,,,,,,,,,,,,,
10,Lewis Cook,MF,25.0,19.1,751,692,56.0,32.0,1.0,3.0,45.0,0.0,15.0,15.0,0.0,0.0,593.0,3.0,20.0,,,,,,,,,,,,,
11,Jordan Zemura,DF,22.0,16.2,594,466,127.0,8.0,0.0,1.0,18.0,119.0,0.0,0.0,0.0,0.0,423.0,1.0,30.0,,,,,,,,,,,,,
12,Dango Ouattara,"MF,FW",20.0,13.8,334,322,10.0,0.0,5.0,5.0,30.0,7.0,1.0,0.0,0.0,0.0,210.0,2.0,12.0,,,,,,,,,,,,,
13,Jack Stephens,DF,28.0,13.0,543,538,5.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,446.0,0.0,6.0,,,,,,,,,,,,,
14,Kieffer Moore,FW,29.0,14.2,360,337,23.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,12.0,,,,,,,,,,,,,
15,Joe Rothwell,MF,27.0,11.3,457,402,54.0,24.0,4.0,2.0,26.0,1.0,21.0,12.0,4.0,3.0,385.0,1.0,6.0,,,,,,,,,,,,,
16,Jaidon Anthony,"MF,FW",22.0,14.0,526,480,45.0,9.0,2.0,5.0,43.0,21.0,14.0,9.0,1.0,1.0,387.0,1.0,18.0,,,,,,,,,,,,,
17,Mark Travers,GK,23.0,11.5,368,214,154.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,,,,,,,,,,,,,
18,Ryan Fredericks,DF,29.0,5.9,220,177,43.0,1.0,0.0,0.0,15.0,42.0,0.0,0.0,0.0,0.0,149.0,0.0,11.0,,,,,,,,,,,,,
19,Matías Viña,DF,24.0,5.1,185,142,43.0,7.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,140.0,0.0,6.0,,,,,,,,,,,,,
20,Jack Stacey,DF,26.0,3.3,130,106,23.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0,74.0,1.0,7.0,,,,,,,,,,,,,
21,Illia Zabarnyi,DF,19.0,3.3,200,197,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,1.0,0.0,,,,,,,,,,,,,
22,Ben Pearson,MF,27.0,3.2,134,130,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,1.0,,,,,,,,,,,,,
23,Antoine Semenyo,"FW,MF",22.0,2.9,57,53,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,,,,,,,,,,,,,
24,David Brooks,"FW,MF",25.0,1.9,63,61,2.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,46.0,0.0,3.0,,,,,,,,,,,,,
25,Siriki Dembélé,"FW,MF",25.0,1.2,47,45,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,,,,,,,,,,,,,
26,Junior Stanislas,MF,32.0,0.7,28,27,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,,,,,,,,,,,,,
27,Jamal Lowe,"MF,FW",28.0,0.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,
28,Owen Bevan,DF,18.0,0.1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,
29,Emiliano Marcondes,MF,27.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
30,Squad Total,15381,13607.0,1736.0,424,48,87.0,509.0,706.0,144.0,88.0,25.0,9.0,11715.0,38.0,,,,,,,,,,,,,,,,,
31,Opponent Total,22764,20999.0,1700.0,403,54,126.0,930.0,732.0,271.0,139.0,73.0,3.0,18709.0,65.0,,,,,,,,,,,,,,,,,
