,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,David Raya,GK,26,38.0,1640,1181,455.0,185.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1054.0,4.0,1.0,,,,,,,,,,,,,
1,Ben Mee,DF,32,36.3,1761,1625,130.0,38.0,0.0,10.0,7.0,90.0,0.0,0.0,0.0,0.0,1348.0,6.0,20.0,,,,,,,,,,,,,
2,Rico Henry,DF,25,36.0,1203,1059,138.0,1.0,4.0,2.0,87.0,137.0,0.0,0.0,0.0,0.0,876.0,6.0,21.0,,,,,,,,,,,,,
3,Mathias Jensen,MF,26,31.1,1566,1158,401.0,84.0,5.0,28.0,158.0,184.0,76.0,37.0,18.0,7.0,1088.0,7.0,25.0,,,,,,,,,,,,,
4,Bryan Mbeumo,FW,22,32.3,991,845,139.0,48.0,7.0,7.0,156.0,19.0,71.0,37.0,12.0,5.0,655.0,7.0,42.0,,,,,,,,,,,,,
5,Ivan Toney,FW,26,32.8,787,751,29.0,8.0,12.0,3.0,34.0,10.0,1.0,0.0,0.0,0.0,468.0,7.0,31.0,,,,,,,,,,,,,
6,Ethan Pinnock,DF,29,30.0,1149,1088,57.0,14.0,0.0,3.0,10.0,43.0,0.0,0.0,0.0,0.0,914.0,4.0,5.0,,,,,,,,,,,,,
7,Vitaly Janelt,"MF,DF",24,24.5,1020,986,29.0,12.0,3.0,17.0,22.0,16.0,1.0,1.0,0.0,0.0,812.0,5.0,21.0,,,,,,,,,,,,,
8,Aaron Hickey,DF,20,21.3,838,743,93.0,11.0,2.0,1.0,27.0,82.0,0.0,0.0,0.0,0.0,695.0,2.0,17.0,,,,,,,,,,,,,
9,Christian Nørgaard,MF,28,19.6,812,787,19.0,10.0,2.0,6.0,11.0,2.0,0.0,0.0,0.0,0.0,608.0,6.0,11.0,,,,,,,,,,,,,
10,Yoane Wissa,FW,25,17.8,344,334,7.0,1.0,4.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,238.0,3.0,15.0,,,,,,,,,,,,,
11,Josh Dasilva,MF,23,15.4,617,591,25.0,8.0,1.0,1.0,33.0,11.0,6.0,4.0,0.0,0.0,491.0,1.0,17.0,,,,,,,,,,,,,
12,Mads Roerslev,DF,23,12.3,303,282,21.0,1.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,194.0,0.0,21.0,,,,,,,,,,,,,
