,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Mathew Ryan,GK,27.0,38.0,1482,1145,330.0,56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.0,7.0,4.0,,,,,,,,,,,,,
1,Lewis Dunk,DF,27.0,35.9,2298,2172,117.0,80.0,1.0,45.0,1.0,37.0,0.0,0.0,0.0,0.0,1991.0,9.0,4.0,,,,,,,,,,,,,
2,Dan Burn,DF,27.0,32.0,1884,1609,271.0,11.0,3.0,4.0,51.0,260.0,0.0,0.0,0.0,0.0,1392.0,4.0,46.0,,,,,,,,,,,,,
3,Davy Pröpper,MF,27.0,31.4,1833,1808,19.0,12.0,3.0,13.0,39.0,4.0,0.0,0.0,0.0,0.0,1511.0,6.0,32.0,,,,,,,,,,,,,
4,Adam Webster,DF,24.0,29.6,1923,1837,80.0,49.0,1.0,20.0,6.0,31.0,0.0,0.0,0.0,0.0,1587.0,6.0,14.0,,,,,,,,,,,,,
5,Neal Maupay,FW,22.0,30.7,699,618,74.0,7.0,4.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,543.0,7.0,26.0,,,,,,,,,,,,,
6,Dale Stephens,MF,30.0,28.1,1687,1672,11.0,7.0,3.0,25.0,4.0,4.0,0.0,0.0,0.0,0.0,1440.0,4.0,16.0,,,,,,,,,,,,,
7,Aaron Mooy,"MF,FW",28.0,23.2,1092,1003,81.0,23.0,4.0,12.0,109.0,5.0,53.0,23.0,25.0,0.0,818.0,8.0,39.0,,,,,,,,,,,,,
8,Martín Montoya,"DF,MF",28.0,21.1,1278,1034,241.0,14.0,1.0,12.0,44.0,227.0,0.0,0.0,0.0,0.0,992.0,3.0,30.0,,,,,,,,,,,,,
9,Leandro Trossard,"FW,MF",24.0,22.3,802,754,45.0,17.0,2.0,14.0,75.0,14.0,12.0,4.0,7.0,0.0,562.0,3.0,24.0,,,,,,,,,,,,,
10,Pascal Groß,"MF,FW",28.0,20.0,1059,901,149.0,50.0,5.0,11.0,146.0,5.0,81.0,34.0,37.0,0.0,765.0,9.0,31.0,,,,,,,,,,,,,
11,Yves Bissouma,MF,22.0,14.0,629,615,12.0,10.0,3.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,529.0,2.0,10.0,,,,,,,,,,,,,
12,Aaron Connolly,FW,19.0,14.0,155,141,14.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,11.0,,,,,,,,,,,,,
13,Shane Duffy,DF,27.0,13.8,647,615,31.0,27.0,0.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,521.0,1.0,4.0,,,,,,,,,,,,,
14,Steven Alzate,"MF,DF",20.0,13.2,661,605,55.0,6.0,1.0,2.0,8.0,49.0,0.0,0.0,0.0,0.0,556.0,1.0,15.0,,,,,,,,,,,,,
15,Solly March,"FW,MF",25.0,12.7,622,532,90.0,8.0,1.0,15.0,67.0,63.0,15.0,9.0,4.0,0.0,451.0,0.0,16.0,,,,,,,,,,,,,
16,Glenn Murray,FW,35.0,8.9,173,169,4.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,104.0,0.0,5.0,,,,,,,,,,,,,
17,Bernardo br,24,7.5,395.0,346,49,1.0,0.0,0.0,17.0,48.0,0.0,0.0,0.0,0.0,286.0,0.0,10.0,,,,,,,,,,,,,,
18,Tariq Lamptey,DF,18.0,6.5,235,187,48.0,5.0,0.0,0.0,21.0,43.0,0.0,0.0,0.0,0.0,177.0,0.0,9.0,,,,,,,,,,,,,
19,Ezequiel Schelotto,DF,30.0,4.0,175,136,39.0,0.0,0.0,0.0,15.0,39.0,0.0,0.0,0.0,0.0,121.0,0.0,4.0,,,,,,,,,,,,,
