,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Ben White,"DF,MF",22.0,35.5,1812,1737,74.0,32.0,1.0,18.0,22.0,42.0,0.0,0.0,0.0,0.0,1491.0,1.0,18.0,,,,,,,,,,,,,
1,Yves Bissouma,MF,23.0,34.6,1697,1661,35.0,31.0,2.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,1476.0,1.0,18.0,,,,,,,,,,,,,
2,Lewis Dunk,DF,28.0,32.6,2240,2153,83.0,71.0,0.0,22.0,1.0,12.0,0.0,0.0,0.0,0.0,2000.0,4.0,4.0,,,,,,,,,,,,,
3,Leandro Trossard,"MF,FW",25.0,29.0,1094,1019,68.0,22.0,0.0,14.0,83.0,6.0,34.0,9.0,17.0,1.0,816.0,7.0,35.0,,,,,,,,,,,,,
4,Adam Webster,DF,25.0,28.8,1866,1806,56.0,33.0,0.0,18.0,1.0,23.0,0.0,0.0,0.0,0.0,1508.0,4.0,18.0,,,,,,,,,,,,,
5,Neal Maupay,"FW,MF",23.0,27.9,672,599,71.0,7.0,3.0,4.0,11.0,9.0,0.0,0.0,0.0,0.0,520.0,2.0,26.0,,,,,,,,,,,,,
6,Pascal Groß,"MF,DF",29.0,27.6,1705,1439,260.0,63.0,1.0,24.0,219.0,56.0,137.0,47.0,68.0,1.0,1281.0,6.0,30.0,,,,,,,,,,,,,
7,Robert Sánchez,GK,22.0,27.0,1106,879,223.0,46.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,812.0,4.0,1.0,,,,,,,,,,,,,
8,Joël Veltman,DF,28.0,25.3,1537,1297,236.0,14.0,0.0,3.0,63.0,221.0,1.0,0.0,0.0,0.0,1166.0,4.0,23.0,,,,,,,,,,,,,
9,Dan Burn,DF,28.0,22.9,1280,1125,151.0,12.0,0.0,8.0,37.0,139.0,0.0,0.0,0.0,0.0,954.0,4.0,24.0,,,,,,,,,,,,,
10,Solly March,"DF,MF",26.0,18.6,979,779,195.0,18.0,0.0,16.0,120.0,137.0,40.0,14.0,19.0,0.0,676.0,5.0,31.0,,,,,,,,,,,,,
11,Danny Welbeck,FW,29.0,17.2,262,259,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,209.0,1.0,6.0,,,,,,,,,,,,,
12,Adam Lallana,"MF,FW",32.0,17.7,944,918,22.0,11.0,2.0,2.0,12.0,5.0,3.0,1.0,0.0,0.0,792.0,4.0,14.0,,,,,,,,,,,,,
13,Mathew Ryan,GK,28.0,11.0,411,325,86.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,,,,,,,,,,,,,
14,Tariq Lamptey,"DF,MF",19.0,9.8,494,405,89.0,3.0,1.0,1.0,34.0,86.0,0.0,0.0,0.0,0.0,372.0,0.0,11.0,,,,,,,,,,,,,
15,Steven Alzate,MF,21.0,10.0,449,438,11.0,1.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,403.0,0.0,5.0,,,,,,,,,,,,,
16,Aaron Connolly,FW,20.0,8.8,94,89,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,,,,,,,,,,,,,
17,Jakub Moder,"DF,MF",21.0,7.2,284,273,11.0,1.0,0.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,203.0,0.0,15.0,,,,,,,,,,,,,
18,Alireza Jahanbakhsh,"FW,MF",26.0,5.9,266,257,8.0,1.0,2.0,1.0,30.0,3.0,2.0,0.0,2.0,0.0,188.0,1.0,11.0,,,,,,,,,,,,,
19,Davy Pröpper,MF,28.0,2.4,96,96,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,,,,,,,,,,,,,
20,Bernardo br,25,2.3,85.0,78,6,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,61.0,1.0,6.0,,,,,,,,,,,,,,
21,Percy Tau,FW,26.0,1.1,33,31,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,1.0,,,,,,,,,,,,,
22,Andi Zeqiri,"FW,DF",21.0,1.9,44,43,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,,,,,,,,,,,,,
23,José Izquierdo,DF,28.0,0.1,9,7,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,,,,,,,,,,,,
24,Reda Khadra,MF,19.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,Jayson Molumby,MF,20.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
26,Squad Total,19871,18111.0,1708.0,404,17,164.0,686.0,769.0,219.0,71.0,107.0,2.0,15772.0,52.0,,,,,,,,,,,,,,,,,
27,Opponent Total,19240,17411.0,1775.0,459,16,102.0,625.0,752.0,165.0,74.0,40.0,2.0,15268.0,54.0,,,,,,,,,,,,,,,,,
28,Ben White,"DF,MF",22,36.0,"3,191",89.0,93.3,35.5,36.0,89.0,31.0,0.0,1.0,1.14,39.0,44.0,-5.0,-0.14,0.25,45.9,33.1,12.8,0.36,-0.72,,,,,,,,
29,Yves Bissouma,MF,23,36.0,"3,111",86.0,91.0,34.6,35.0,88.0,30.0,1.0,29.0,0.0,1.14,35.0,42.0,-7.0,-0.2,-0.49,45.1,31.1,14.0,0.4,-0.05,,,,,,,
30,Lewis Dunk,DF,28,33.0,"2,931",89.0,85.7,32.6,33.0,89.0,31.0,0.0,0.0,1.06,34.0,38.0,-4.0,-0.12,0.25,46.6,29.3,17.3,0.53,0.85,,,,,,,,
31,Leandro Trossard,"MF,FW",25,35.0,"2,607",74.0,76.2,29.0,30.0,81.0,13.0,5.0,36.0,1.0,1.06,34.0,30.0,4.0,0.14,1.25,40.3,23.3,16.9,0.58,0.73,,,,,,,
32,Adam Webster,DF,25,29.0,"2,594",89.0,75.8,28.8,29.0,89.0,28.0,0.0,2.0,1.14,32.0,35.0,-3.0,-0.1,0.22,37.7,29.2,8.5,0.3,-0.47,,,,,,,,
33,Neal Maupay,"FW,MF",23,33.0,"2,512",76.0,73.5,27.9,29.0,83.0,17.0,4.0,23.0,1.0,1.09,32.0,34.0,-2.0,-0.07,0.32,40.4,24.7,15.8,0.57,0.58,,,,,,,
34,Pascal Groß,"MF,DF",29,34.0,"2,484",73.0,72.6,27.6,27.0,89.0,24.0,7.0,13.0,4.0,1.06,27.0,28.0,-1.0,-0.04,0.44,36.1,24.3,11.8,0.43,0.07,,,,,,,
35,Robert Sánchez,GK,22,27.0,"2,430",90.0,71.1,27.0,27.0,90.0,27.0,0.0,0.0,1.15,26.0,27.0,-1.0,-0.04,0.42,34.0,24.2,9.8,0.36,-0.17,,,,,,,,
36,Joël Veltman,DF,28,28.0,"2,281",81.0,66.7,25.3,25.0,87.0,22.0,3.0,34.0,5.0,1.04,22.0,27.0,-5.0,-0.2,-0.12,34.1,21.7,12.5,0.49,0.25,,,,,,,
37,Dan Burn,DF,28,27.0,"2,061",76.0,60.3,22.9,23.0,87.0,20.0,4.0,17.0,10.0,1.26,20.0,28.0,-8.0,-0.35,-0.48,26.3,22.4,3.8,0.17,-0.61,,,,,,,
38,Solly March,"DF,MF",26,21.0,"1,672",80.0,48.9,18.6,19.0,86.0,15.0,2.0,23.0,0.0,1.1,23.0,25.0,-2.0,-0.11,0.1,27.9,18.3,9.6,0.51,0.2,,,,,,,
39,Danny Welbeck,FW,29,24.0,"1,545",64.0,45.2,17.2,17.0,81.0,7.0,7.0,24.0,2.0,1.04,18.0,18.0,0.0,0.0,0.29,25.0,15.4,9.7,0.56,0.28,,,,,,,
40,Adam Lallana,"MF,FW",32,30.0,"1,596",53.0,46.7,17.7,16.0,77.0,8.0,14.0,26.0,1.0,1.13,20.0,18.0,2.0,0.11,0.51,23.2,14.0,9.1,0.52,0.2,,,,,,,
41,Mathew Ryan,GK,28,11.0,990,90.0,28.9,11.0,11.0,90.0,11.0,0.0,1.0,0.91,14.0,19.0,-5.0,-0.45,-0.42,16.9,11.1,5.8,0.53,0.17,,,,,,,,
42,Tariq Lamptey,"DF,MF",19,11.0,886,81.0,25.9,9.8,11.0,81.0,6.0,0.0,0.0,0.91,12.0,15.0,-3.0,-0.3,-0.2,13.7,10.0,3.7,0.38,-0.04,,,,,,,,
43,Steven Alzate,MF,21,15.0,896,60.0,26.2,10.0,10.0,76.0,4.0,5.0,28.0,20.0,0.93,10.0,17.0,-7.0,-0.7,-0.74,11.3,11.2,0.1,0.01,-0.55,,,,,,,
44,Aaron Connolly,FW,20,17.0,791,47.0,23.1,8.8,9.0,68.0,1.0,8.0,23.0,11.0,0.88,11.0,17.0,-6.0,-0.68,-0.68,16.0,7.3,8.7,0.99,0.75,,,,,,,
45,Jakub Moder,"DF,MF",21,12.0,647,54.0,18.9,7.2,7.0,85.0,3.0,5.0,10.0,7.0,1.25,8.0,10.0,-2.0,-0.28,-0.15,6.1,6.9,-0.8,-0.11,-0.64,,,,,,,
46,Alireza Jahanbakhsh,"FW,MF",26,21.0,528,25.0,15.4,5.9,6.0,58.0,0.0,15.0,12.0,6.0,0.76,4.0,9.0,-5.0,-0.85,-0.82,8.8,8.1,0.8,0.13,-0.33,,,,,,,
47,Davy Pröpper,MF,28,7.0,213,30.0,6.2,2.4,2.0,67.0,0.0,5.0,16.0,14.0,1.57,2.0,2.0,0.0,0.0,0.17,2.7,2.9,-0.2,-0.07,-0.51,,,,,,,
48,Bernardo br,25,3,206.0,69,6.0,2.3,2.0,90.0,2.0,1.0,26.0,9.0,0.0,0.0,3.0,-3.0,-1.31,-1.23,1.2,3.8,-2.7,-1.17,-1.68,,,,,,,,
49,Percy Tau,FW,26,3.0,103,34.0,3.0,1.1,1.0,67.0,0.0,2.0,18.0,13.0,1.33,1.0,2.0,-1.0,-0.87,-0.74,0.6,1.4,-0.8,-0.7,-1.14,,,,,,,
50,Andi Zeqiri,"FW,DF",21,9.0,171,19.0,5.0,1.9,0.0,0.0,9.0,19.0,17.0,1.67,7.0,2.0,5.0,2.63,2.94,4.9,2.0,2.9,1.51,1.16,,,,,,,,
51,José Izquierdo,DF,28,1.0,9,9.0,0.3,0.1,0.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.0,0.1,0.89,0.49,,,,,,,,
52,Reda Khadra,MF,19,1.0,5,5.0,0.1,0.1,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.8,-0.8,-14.19,-14.62,,,,,,,,
53,Jayson Molumby,MF,20,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,-0.41,,,,,,,,
54,Florin Andone,FW,27,0.0,0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
55,Moisés Caicedo,MF,18,0.0,0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,Teddy Jenks,MF,18,0.0,0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,Michał Karbownik,DF,19,0.0,0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,Thomas Mcgill,GK,20,0.0,0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,Max Sanders,MF,21,0.0,0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jason Steele,GK,29,0.0,0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,Dale Stephens,MF,31,0.0,0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
62,Christian Walton,GK,24,0.0,0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,Jensen Weir,MF,18,0.0,0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,Squad Total,"3,420",90,100.0,38.0,418.0,85.0,305.0,108.0,20.0,208.0,1.08,40.0,46.0,-6.0,-0.16,50.9,35.3,15.6,,,,,,,,,,,,,
65,Opponent Total,"3,420",90,100.0,38.0,418.0,85.0,318.0,99.0,23.0,215.0,1.55,46.0,40.0,6.0,0.16,35.3,50.9,-15.6,,,,,,,,,,,,,
66,Ben White,"DF,MF",22,36.0,36,"3,191",35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,0.9,1.4,50.0,149.0,38.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
