Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Robert Sánchez,GK,23,37,1525,1207,312,78,1,11,0,0,0,0,0,0,1082,6,3,37,"3,329",37,36,0,0,1.38,42,42,1.98,45.7,42.1,0,0,0,0,0,0,3,1,0,0,0.4,0,1,0,0,0,0,0,0,1185,1591,21,0,0,1612,0,0,0,988,5245,3617,0,0,0,0,931,1082,1525,28041,16948,200,200,601,612,277,699,0.2,3,26,0,0,0,1,2,0,0,1,0,0,0,61,17,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,11,4,42,141,99,12,15,10,11,4,3,0,1,1,5,40.9,0.28,-1.1,158,561,1285,186,33,234,48.9,517,60,36,12.9,16
Marc Cucurella,DF,23,34.3,2356,1994,356,17,5,12,115,334,5,3,0,0,1890,6,76,35,"3,089",35,32,0,0,1.29,37,39,-0.06,42.5,38.7,1,1,2,1,0,0,6,0,0.7,0.7,2.7,104,191,208,18,3,20.9,0,0.3,115,683,1205,848,53,2717,55,28,27,1431,6642,4085,64,8,40,15,1638,1890,2356,29046,9900,1014,1131,718,856,110,219,2.8,42,158,49,17,0,28,30,3,30,62,0,0,0,247,40,36,101,88,8,1,2,1,1,3,2,1,0,0,0,0,43,32,18,44,71,27,42,14,28,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Joël Veltman,DF,29,31.9,1869,1592,272,34,3,7,42,238,0,0,0,0,1439,5,31,34,"2,874",33,26,1,1,1.24,31,39,-1.24,40.5,37.6,1,1,2,1,0,0,6,0,0.7,0.7,1.6,25,124,65,12,2,18.1,0,0.3,176,811,1053,389,25,2235,32,16,16,1139,4847,2093,24,2,28,10,1249,1439,1869,25694,9691,577,662,742,909,102,220,1.3,17,118,22,6,0,39,38,0,45,48,1,1,0,182,55,29,44,33,6,1,1,2,1,2,2,0,0,0,0,0,47,21,6,21,53,32,46,16,30,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Leandro Trossard,FW,26,31.2,1188,1147,36,8,8,26,51,12,7,2,3,0,898,5,39,34,"2,805",32,23,2,1,1.29,33,33,0.29,39,36.3,8,3,11,7,1,1,2,0,6.7,5.9,4.8,97,154,222,73,26,18.7,5,1.3,23,146,573,834,151,1534,80,56,24,987,5847,2686,52,43,93,73,1163,898,1188,14462,3283,479,569,282,357,90,130,4.9,47,71,53,3,0,24,26,13,15,20,1,1,0,142,9,20,113,82,4,18,6,3,0,13,8,1,3,0,1,0,12,9,13,4,31,27,33,4,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Lewis Dunk,DF,29,28.6,1958,1885,69,62,0,16,3,6,0,0,0,0,1726,4,4,29,"2,573",29,28,0,1,1.38,32,32,0.21,35.3,32.9,1,0,1,1,0,0,3,1,1.3,1.3,0.4,14,83,3,19,7,10.8,0,-0.3,281,1180,949,76,37,2197,4,4,0,1306,5934,2863,7,2,11,3,1575,1726,1958,35875,11690,467,508,1019,1077,228,338,0.4,3,87,4,1,0,9,4,0,27,8,0,0,0,170,81,37,20,16,1,0,3,0,0,3,2,1,0,0,0,0,5,5,0,5,11,6,32,28,4,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Neal Maupay,FW,24,25.3,622,552,67,3,7,3,8,8,1,0,0,0,479,3,31,32,"2,276",25,19,7,5,1.25,25,31,-0.55,29.1,28.6,8,2,10,7,1,2,7,0,8.7,7.1,2.4,21,48,164,59,14,16.8,0,-0.7,8,40,338,474,108,841,41,21,20,499,2081,808,34,7,53,51,615,479,622,6208,920,279,326,144,174,11,19,2,23,20,25,2,0,33,31,6,2,10,0,0,0,76,21,56,59,42,0,3,9,5,0,3,3,0,0,0,0,0,2,6,9,4,18,14,21,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Yves Bissouma,MF,24,23.5,1193,1172,19,17,3,3,2,2,0,0,0,0,1061,2,15,26,"2,111",25,18,1,4,1.54,27,28,0.03,28.7,26.5,1,2,3,1,0,0,10,0,0.9,0.9,0.8,40,92,16,21,5,25.3,1,0.1,90,373,902,249,13,1505,51,34,17,839,5063,2211,39,7,32,25,978,1061,1193,17341,3663,517,556,419,456,87,112,0.7,8,73,13,0,0,30,19,0,50,49,0,1,0,161,16,15,31,24,0,4,1,0,2,4,3,0,0,0,0,1,35,37,4,21,37,16,33,3,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Pascal Groß,MF,30,22.6,1345,1131,206,67,8,17,189,37,100,39,57,0,1012,8,30,29,"2,038",24,14,5,6,1.34,19,24,-0.42,26.1,26.6,2,4,6,2,0,1,1,0,2.9,2.1,5.5,39,149,141,23,7,17.5,1,-0.9,43,227,697,618,61,1536,18,9,9,796,3313,1486,35,7,27,15,1001,1012,1345,18387,5413,446,508,397,481,135,267,4.6,60,94,37,12,0,15,6,4,18,15,0,0,0,119,15,21,100,56,37,2,5,0,0,7,2,3,1,1,0,0,15,11,2,12,33,21,34,8,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Jakub Moder,MF,22,18.9,814,786,26,10,6,1,45,7,7,4,3,0,581,2,35,28,"1,701",19,10,9,2,1.18,17,23,-0.53,20.4,21.2,0,3,3,0,0,0,1,0,2.6,2.6,2.2,42,89,102,28,6,16.6,2,-2.6,36,189,432,451,61,1058,29,12,17,567,2737,1277,42,8,50,19,729,581,814,8501,2438,320,399,194,264,28,55,2.2,16,57,20,5,0,19,11,0,10,25,0,0,0,107,25,37,41,27,2,3,7,1,1,4,3,0,0,1,0,0,18,17,7,23,42,19,25,2,23,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Adam Lallana,MF,33,17.3,962,949,12,9,1,2,3,1,0,0,0,0,836,1,16,24,"1,561",18,10,6,10,1.5,20,20,0.1,20.3,18.6,0,1,1,0,0,0,4,0,1.1,1.1,0.9,17,76,47,19,4,19.8,0,-1.1,40,243,632,255,35,1123,23,14,9,618,2312,1084,21,2,24,15,793,836,962,11641,2793,502,552,265,288,28,53,1,8,58,17,1,0,11,17,0,16,17,0,0,0,126,15,8,28,24,0,0,2,2,0,4,4,0,0,0,0,0,14,14,6,12,41,29,16,6,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
