,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Ashley Westwood,MF,30,37.9,2246,1953,282.0,93.0,0.0,18.0,182.0,9.0,89.0,75.0,5.0,1.0,1662.0,11.0,22.0,,,,,,,,,,,,,
1,James Tarkowski,DF,27,36.0,1279,1229,41.0,36.0,0.0,25.0,6.0,5.0,0.0,0.0,0.0,0.0,889.0,9.0,8.0,,,,,,,,,,,,,
2,Dwight McNeil,MF,20,34.1,1372,1202,158.0,72.0,2.0,16.0,242.0,12.0,73.0,70.0,0.0,0.0,936.0,12.0,48.0,,,,,,,,,,,,,
3,Matthew Lowton,DF,31,34.0,1550,1254,290.0,24.0,2.0,13.0,84.0,266.0,0.0,0.0,0.0,0.0,1061.0,6.0,26.0,,,,,,,,,,,,,
4,Nick Pope,GK,28,32.0,989,591,384.0,133.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,14.0,1.0,,,,,,,,,,,,,
5,Josh Brownhill,MF,24,31.3,1198,1184,12.0,5.0,1.0,2.0,17.0,7.0,0.0,0.0,0.0,0.0,927.0,2.0,20.0,,,,,,,,,,,,,
6,Chris Wood,FW,28,30.5,663,659,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,425.0,3.0,18.0,,,,,,,,,,,,,
7,Ben Mee,DF,30,29.9,1130,1089,38.0,33.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,802.0,3.0,10.0,,,,,,,,,,,,,
8,Charlie Taylor,DF,26,27.0,1342,1079,260.0,16.0,0.0,6.0,105.0,244.0,0.0,0.0,0.0,0.0,922.0,3.0,28.0,,,,,,,,,,,,,
9,Matěj Vydra,FW,28,15.2,240,239,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,170.0,0.0,5.0,,,,,,,,,,,,,
10,Jack Cork,MF,31,15.0,511,505,4.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,424.0,2.0,11.0,,,,,,,,,,,,,
11,Ashley Barnes,FW,30,14.8,315,310,2.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,189.0,3.0,11.0,,,,,,,,,,,,,
12,Erik Pieters,"DF,MF",31,14.1,606,481,123.0,6.0,0.0,4.0,19.0,113.0,4.0,4.0,0.0,0.0,449.0,2.0,14.0,,,,,,,,,,,,,
13,Jay Rodriguez,FW,31,14.1,280,278,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,202.0,1.0,6.0,,,,,,,,,,,,,
14,Robbie Brady,MF,28,11.7,403,385,17.0,6.0,2.0,5.0,43.0,8.0,3.0,2.0,0.0,0.0,257.0,1.0,12.0,,,,,,,,,,,,,
15,Kevin Long,DF,29,7.1,268,263,5.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,191.0,0.0,5.0,,,,,,,,,,,,,
16,Bailey Peacock-Farrell,GK,23,4.0,114,60,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,1.0,,,,,,,,,,,,,
17,Phil Bardsley,DF,35,3.0,162,119,41.0,0.0,0.0,0.0,10.0,41.0,0.0,0.0,0.0,0.0,104.0,2.0,5.0,,,,,,,,,,,,,
18,Jimmy Dunne,DF,22,3.0,153,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,1.0,,,,,,,,,,,,,
19,Dale Stephens,MF,31,2.9,120,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,1.0,,,,,,,,,,,,,
20,Josh Benson,MF,20,2.9,85,83,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,62.0,0.0,4.0,,,,,,,,,,,,,
21,Will Norris,GK,26,2.0,57,31,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,,,,,,,,,,,,
22,Joel Mumbongo,FW,21,0.4,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,,,,,,,,,,,,,
23,Lewis Richardson,"FW,MF",17,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
24,Squad Total,15562,13737,1745.0,461,10,110.0,772.0,721.0,172.0,154.0,5.0,1.0,10825.0,80.0,,,,,,,,,,,,,,,,,
25,Opponent Total,21670,19780,1811.0,443,24,162.0,801.0,796.0,237.0,76.0,74.0,7.0,16991.0,79.0,,,,,,,,,,,,,,,,,
26,Ashley Westwood,MF,30,38.0,"3,410",90,99.7,37.9,38.0,90.0,37.0,0.0,0.0,1.03,33.0,55.0,-22.0,-0.58,-0.58,39.3,54.6,-15.3,-0.4,0.13,,,,,,,,
27,James Tarkowski,DF,27,36.0,"3,240",90,94.7,36.0,36.0,90.0,36.0,0.0,0.0,1.08,31.0,50.0,-19.0,-0.53,0.97,37.4,52.8,-15.4,-0.43,-0.44,,,,,,,,
28,Dwight McNeil,MF,20,36.0,"3,069",85,89.7,34.1,34.0,88.0,30.0,2.0,36.0,0.0,1.0,32.0,50.0,-18.0,-0.53,0.5,35.4,48.4,-13.0,-0.38,0.23,,,,,,,
29,Matthew Lowton,DF,31,34.0,"3,060",90,89.5,34.0,34.0,90.0,34.0,0.0,2.0,1.12,30.0,47.0,-17.0,-0.5,0.75,35.9,50.2,-14.3,-0.42,-0.15,,,,,,,,
30,Nick Pope,GK,28,32.0,"2,880",90,84.2,32.0,32.0,90.0,32.0,0.0,0.0,1.22,31.0,37.0,-6.0,-0.19,2.48,32.8,44.6,-11.8,-0.37,0.23,,,,,,,,
31,Josh Brownhill,MF,24,33.0,"2,813",85,82.3,31.3,32.0,87.0,29.0,1.0,26.0,1.0,1.06,25.0,42.0,-17.0,-0.54,0.2,33.6,45.9,-12.3,-0.39,0.06,,,,,,,
32,Chris Wood,FW,28,33.0,"2,741",83,80.1,30.5,32.0,85.0,22.0,1.0,18.0,0.0,1.0,27.0,43.0,-16.0,-0.53,0.27,31.7,44.8,-13.0,-0.43,-0.12,,,,,,,
33,Ben Mee,DF,30,30.0,"2,693",90,78.7,29.9,30.0,90.0,29.0,0.0,0.0,1.23,29.0,41.0,-12.0,-0.4,0.84,32.4,47.6,-15.2,-0.51,-0.48,,,,,,,,
34,Charlie Taylor,DF,26,29.0,"2,426",84,70.9,27.0,28.0,85.0,25.0,1.0,58.0,1.0,1.0,19.0,42.0,-23.0,-0.85,-0.94,28.3,39.6,-11.3,-0.42,-0.06,,,,,,,
35,Matěj Vydra,FW,28,28.0,"1,371",49,40.1,15.2,15.0,78.0,5.0,13.0,16.0,5.0,0.75,18.0,24.0,-6.0,-0.39,0.31,18.2,21.4,-3.2,-0.21,0.32,,,,,,,
36,Jack Cork,MF,31,16.0,"1,350",84,39.5,15.0,15.0,87.0,12.0,1.0,45.0,5.0,1.0,17.0,24.0,-7.0,-0.47,0.19,17.1,20.6,-3.5,-0.23,0.28,,,,,,,
37,Ashley Barnes,FW,30,22.0,"1,331",61,38.9,14.8,15.0,81.0,5.0,7.0,16.0,3.0,1.09,11.0,19.0,-8.0,-0.54,0.06,15.5,18.1,-2.6,-0.17,0.38,,,,,,,
38,Erik Pieters,"DF,MF",31,20.0,"1,266",63,37.0,14.1,13.0,84.0,10.0,7.0,25.0,12.0,1.25,15.0,19.0,-4.0,-0.28,0.47,15.2,20.8,-5.7,-0.4,0.0,,,,,,,
39,Jay Rodriguez,FW,31,31.0,"1,265",41,37.0,14.1,12.0,79.0,4.0,19.0,17.0,3.0,1.03,9.0,25.0,-16.0,-1.14,-0.89,12.0,23.6,-11.6,-0.83,-0.67,,,,,,,
40,Robbie Brady,MF,28,19.0,"1,052",55,30.8,11.7,12.0,75.0,4.0,7.0,21.0,2.0,1.58,8.0,6.0,2.0,0.17,1.08,8.5,15.8,-7.3,-0.62,-0.31,,,,,,,
41,Kevin Long,DF,29,8.0,637,80,18.6,7.1,7.0,90.0,7.0,1.0,7.0,21.0,0.63,4.0,13.0,-9.0,-1.27,-0.85,5.8,6.6,-0.8,-0.11,0.36,,,,,,,
42,Bailey Peacock-Farrell,GK,23,4.0,360,90,10.5,4.0,4.0,90.0,4.0,0.0,31.0,0.0,2.0,14.0,-12.0,-3.0,-2.71,4.6,6.9,-2.3,-0.58,-0.2,,,,,,,,
43,Phil Bardsley,DF,35,4.0,274,69,8.0,3.0,3.0,90.0,3.0,1.0,4.0,23.0,0.75,3.0,8.0,-5.0,-1.64,-1.16,2.3,3.8,-1.5,-0.49,-0.09,,,,,,,
44,Jimmy Dunne,DF,22,3.0,270,90,7.9,3.0,3.0,90.0,3.0,0.0,30.0,0.0,2.0,6.0,-4.0,-1.33,-0.82,2.9,2.3,0.6,0.2,0.66,,,,,,,,
45,Dale Stephens,MF,31,7.0,261,37,7.6,2.9,3.0,67.0,1.0,4.0,15.0,19.0,0.43,1.0,4.0,-3.0,-1.03,-0.49,1.5,2.7,-1.2,-0.4,0.0,,,,,,,
46,Josh Benson,MF,20,6.0,264,44,7.7,2.9,2.0,82.0,1.0,4.0,25.0,17.0,1.17,1.0,7.0,-6.0,-2.05,-1.59,2.4,5.6,-3.2,-1.09,-0.74,,,,,,,
47,Will Norris,GK,26,2.0,180,90,5.3,2.0,2.0,90.0,2.0,0.0,15.0,0.0,0.0,4.0,-4.0,-2.0,-1.5,1.8,3.1,-1.3,-0.64,-0.25,,,,,,,,
48,Joel Mumbongo,FW,21,4.0,40,10,1.2,0.4,0.0,0.0,4.0,10.0,5.0,0.25,0.0,1.0,-1.0,-2.25,-1.69,0.4,0.3,0.2,0.36,0.77,,,,,,,,
49,Lewis Richardson,"FW,MF",17,2.0,4,2,0.1,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.58,0.1,0.8,-0.7,-13.46,-13.07,,,,,,,,
50,Anthony Driscoll-Glennon,"DF,MF",20,0.0,0,0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
51,Anthony Gomez,FRA,MF,19.0,0,0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
52,Mace Goodridge,MF,20,0.0,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
53,Richard Nartey,DF,21,0.0,0,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bobby Thomas,DF,0,0.0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Max Thompson,FW,18,0.0,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,Squad Total,"3,420",90,100.0,38.0,418,86.0,339.0,81.0,19.0,235.0,1.03,33.0,55.0,-22.0,-0.58,39.3,54.7,-15.4,,,,,,,,,,,,,
57,Opponent Total,"3,420",90,100.0,38.0,418,86.0,317.0,99.0,19.0,215.0,1.74,55.0,33.0,22.0,0.58,54.7,39.3,15.4,,,,,,,,,,,,,
