,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Neil Etheridge,GK,28,38.0,1202,711,484.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,7.0,1.0,,,,,,,,,,,,,
1,Sean Morrison,DF,27,33.8,911,735,174.0,7.0,0.0,6.0,5.0,167.0,0.0,0.0,0.0,0.0,528.0,2.0,10.0,,,,,,,,,,,,,
2,Víctor Camarasa,MF,24,28.5,1017,868,142.0,51.0,13.0,7.0,121.0,4.0,77.0,42.0,19.0,10.0,710.0,7.0,37.0,,,,,,,,,,,,,
3,Joe Bennett,DF,28,29.3,931,699,229.0,37.0,2.0,5.0,43.0,191.0,1.0,1.0,0.0,0.0,639.0,3.0,31.0,,,,,,,,,,,,,
4,Sol Bamba,DF,33,27.5,559,541,15.0,10.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,385.0,3.0,10.0,,,,,,,,,,,,,
5,Aron Gunnarsson,MF,29,25.2,921,750,168.0,6.0,4.0,5.0,12.0,157.0,0.0,0.0,0.0,0.0,600.0,3.0,8.0,,,,,,,,,,,,,
6,Harry Arter,MF,28,22.2,680,612,65.0,11.0,3.0,7.0,17.0,2.0,0.0,0.0,0.0,0.0,539.0,3.0,12.0,,,,,,,,,,,,,
7,Junior Hoilett,"MF,FW",28,23.8,537,490,41.0,12.0,2.0,2.0,85.0,3.0,26.0,19.0,4.0,1.0,338.0,6.0,24.0,,,,,,,,,,,,,
8,Joe Ralls,MF,24,21.8,864,749,107.0,57.0,1.0,6.0,77.0,1.0,49.0,34.0,10.0,4.0,563.0,8.0,21.0,,,,,,,,,,,,,
9,Josh Murphy,"MF,FW",23,20.2,391,363,25.0,6.0,4.0,2.0,74.0,6.0,12.0,5.0,1.0,4.0,203.0,3.0,31.0,,,,,,,,,,,,,
10,Callum Paterson,"FW,MF",23,22.2,580,570,5.0,0.0,2.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,272.0,5.0,17.0,,,,,,,,,,,,,
11,Lee Peltier,DF,31,17.2,443,341,98.0,7.0,0.0,1.0,6.0,91.0,0.0,0.0,0.0,0.0,274.0,4.0,14.0,,,,,,,,,,,,,
12,Bobby Reid,"FW,MF",25,15.8,320,299,19.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,224.0,2.0,14.0,,,,,,,,,,,,,
13,Oumar Niasse,FW,28,10.3,173,168,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,108.0,2.0,12.0,,,,,,,,,,,,,
14,Nathaniel Mendez-Laing,"MF,FW",26,10.9,287,280,5.0,0.0,1.0,0.0,27.0,3.0,2.0,1.0,0.0,0.0,169.0,2.0,23.0,,,,,,,,,,,,,
15,Kenneth Zohore,FW,24,8.4,145,140,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,87.0,2.0,5.0,,,,,,,,,,,,,
16,Greg Cunningham,DF,27,7.0,220,179,38.0,7.0,0.0,1.0,7.0,31.0,0.0,0.0,0.0,0.0,157.0,3.0,2.0,,,,,,,,,,,,,
17,Leandro Bacuna,MF,26,6.2,163,145,16.0,6.0,1.0,3.0,7.0,9.0,1.0,0.0,1.0,0.0,105.0,2.0,4.0,,,,,,,,,,,,,
18,Danny Ward,FW,26,4.9,94,87,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,,,,,,,,,,,,,
19,Kadeem Harris,MF,25,4.2,104,103,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,5.0,,,,,,,,,,,,,
20,Jazz Richards,"DF,MF",27,1.5,38,25,13.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,,,,,,,,,,,,
21,Rhys Healey,FW,23,0.6,14,10,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,,,,,,,,,,,,,
22,Gary Madine,"FW,MF",27,0.4,12,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,
23,Loïc Damour,MF,27,0.3,12,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,,,,,,,,,,,,,
24,Squad Total,11715,9823,1815.0,423,39,60.0,562.0,799.0,168.0,102.0,35.0,19.0,7170.0,77.0,,,,,,,,,,,,,,,,,
25,Opponent Total,22088,20080,1972.0,421,58,109.0,662.0,923.0,270.0,111.0,99.0,15.0,17574.0,36.0,,,,,,,,,,,,,,,,,
26,Neil Etheridge,GK,28,38.0,"3,420",90,100.0,38.0,38.0,90.0,38.0,0.0,0.0,0.89,34.0,69.0,-35.0,-0.92,42.4,61.5,-19.1,-0.5,,,,,,,,,,
27,Sean Morrison,DF,27,34.0,"3,039",89,88.9,33.8,34.0,89.0,33.0,0.0,0.0,0.82,28.0,63.0,-35.0,-1.04,-1.04,37.4,54.8,-17.4,-0.51,-0.1,,,,,,,,
28,Víctor Camarasa,MF,24,32.0,"2,569",80,75.1,28.5,31.0,83.0,20.0,1.0,7.0,1.0,0.88,25.0,53.0,-28.0,-0.98,-0.24,28.0,46.3,-18.3,-0.64,-0.56,,,,,,,
29,Joe Bennett,DF,28,30.0,"2,639",88,77.2,29.3,30.0,88.0,28.0,0.0,7.0,0.83,25.0,50.0,-25.0,-0.85,0.3,32.7,49.1,-16.5,-0.56,-0.26,,,,,,,,
30,Sol Bamba,DF,33,28.0,"2,474",88,72.3,27.5,28.0,88.0,27.0,0.0,1.0,0.89,25.0,52.0,-27.0,-0.98,-0.22,30.2,42.7,-12.5,-0.45,0.18,,,,,,,,
31,Aron Gunnarsson,MF,29,28.0,"2,266",81,66.3,25.2,27.0,84.0,18.0,1.0,0.0,3.0,1.14,23.0,40.0,-17.0,-0.68,0.73,27.6,37.7,-10.1,-0.4,0.3,,,,,,,
32,Harry Arter,MF,28,25.0,"1,997",80,58.4,22.2,24.0,83.0,12.0,1.0,0.0,2.0,0.88,20.0,39.0,-19.0,-0.86,0.16,24.8,30.6,-5.7,-0.26,0.59,,,,,,,
33,Junior Hoilett,"MF,FW",28,32.0,"2,141",67,62.6,23.8,23.0,84.0,13.0,9.0,22.0,3.0,0.84,18.0,46.0,-28.0,-1.18,-0.68,25.6,41.8,-16.2,-0.68,-0.48,,,,,,,
34,Joe Ralls,MF,24,28.0,"1,959",70,57.3,21.8,22.0,85.0,16.0,6.0,16.0,3.0,0.89,14.0,40.0,-26.0,-1.19,-0.64,21.7,39.1,-17.4,-0.8,-0.7,,,,,,,
35,Josh Murphy,"MF,FW",23,29.0,"1,817",63,53.1,20.2,22.0,77.0,7.0,7.0,18.0,4.0,0.9,17.0,32.0,-15.0,-0.74,0.38,26.0,26.6,-0.6,-0.03,1.01,,,,,,,
36,Callum Paterson,"FW,MF",23,27.0,"1,998",74,58.4,22.2,21.0,87.0,17.0,6.0,27.0,2.0,1.0,21.0,41.0,-20.0,-0.9,0.05,24.4,34.0,-9.7,-0.43,0.16,,,,,,,
37,Lee Peltier,DF,31,20.0,"1,544",77,45.1,17.2,17.0,88.0,16.0,3.0,17.0,11.0,1.1,17.0,26.0,-9.0,-0.52,0.72,20.5,30.3,-9.8,-0.57,-0.13,,,,,,,
38,Bobby Reid,"FW,MF",25,27.0,"1,424",53,41.6,15.8,16.0,81.0,7.0,11.0,12.0,11.0,0.89,19.0,30.0,-11.0,-0.7,0.39,17.6,25.9,-8.3,-0.53,-0.04,,,,,,,
39,Oumar Niasse,FW,28,13.0,931,72,27.2,10.3,12.0,77.0,2.0,1.0,12.0,0.0,0.92,8.0,13.0,-5.0,-0.48,0.6,11.1,16.0,-4.9,-0.47,0.05,,,,,,,
40,Nathaniel Mendez-Laing,"MF,FW",26,20.0,985,49,28.8,10.9,11.0,72.0,3.0,9.0,21.0,6.0,0.6,11.0,18.0,-7.0,-0.64,0.4,12.4,18.9,-6.5,-0.6,-0.13,,,,,,,
41,Kenneth Zohore,FW,24,19.0,753,40,22.0,8.4,7.0,79.0,2.0,12.0,17.0,6.0,0.74,8.0,19.0,-11.0,-1.31,-0.5,9.6,17.2,-7.6,-0.91,-0.52,,,,,,,
