,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,César Azpilicueta,DF,27.0,37.0,2924,2789,122.0,51.0,10.0,22.0,80.0,71.0,0.0,0.0,0.0,0.0,2469.0,13.0,23.0,,,,,,,,,,,,,
1,Thibaut Courtois,GK,25.0,35.0,1202,897,300.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,5.0,1.0,,,,,,,,,,,,,
2,N'Golo Kanté,MF,26.0,33.3,2174,2143,23.0,20.0,8.0,20.0,13.0,3.0,0.0,0.0,0.0,0.0,1924.0,8.0,43.0,,,,,,,,,,,,,
3,Marcos Alonso,"DF,MF",26.0,31.7,1721,1424,288.0,19.0,0.0,10.0,96.0,269.0,0.0,0.0,0.0,0.0,1333.0,9.0,72.0,,,,,,,,,,,,,
4,Eden Hazard,"FW,MF",26.0,26.9,1440,1348,83.0,36.0,4.0,30.0,51.0,11.0,25.0,7.0,3.0,1.0,1168.0,9.0,32.0,,,,,,,,,,,,,
5,Antonio Rüdiger,DF,24.0,26.0,1735,1695,35.0,24.0,3.0,35.0,10.0,11.0,0.0,0.0,0.0,0.0,1540.0,5.0,7.0,,,,,,,,,,,,,
6,Cesc Fàbregas,MF,30.0,25.6,2351,2075,259.0,102.0,22.0,11.0,140.0,4.0,151.0,26.0,53.0,6.0,1873.0,17.0,38.0,,,,,,,,,,,,,
7,Victor Moses,"DF,MF",26.0,23.4,1122,920,197.0,3.0,2.0,5.0,90.0,194.0,0.0,0.0,0.0,0.0,815.0,5.0,46.0,,,,,,,,,,,,,
8,Tiemoué Bakayoko,MF,22.0,23.6,1116,1104,9.0,8.0,0.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,957.0,3.0,9.0,,,,,,,,,,,,,
9,Gary Cahill,DF,31.0,23.2,1347,1304,36.0,26.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,1194.0,7.0,5.0,,,,,,,,,,,,,
10,Álvaro Morata,FW,24.0,22.9,600,555,40.0,1.0,3.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,423.0,5.0,21.0,,,,,,,,,,,,,
11,Andreas Christensen,DF,21.0,23.2,1357,1314,38.0,35.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1263.0,5.0,6.0,,,,,,,,,,,,,
12,Willian br,28,21.0,1038.0,946,84,27.0,5.0,18.0,99.0,7.0,49.0,17.0,20.0,0.0,768.0,8.0,30.0,,,,,,,,,,,,,,
13,Pedro es,30,16.9,705.0,691,14,6.0,3.0,7.0,46.0,5.0,3.0,3.0,0.0,0.0,555.0,0.0,18.0,,,,,,,,,,,,,,
14,Davide Zappacosta,"DF,MF",25.0,12.2,660,526,131.0,2.0,0.0,0.0,84.0,128.0,1.0,0.0,0.0,0.0,514.0,3.0,33.0,,,,,,,,,,,,,
