,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Mason Mount,MF,21.0,32.1,1900,1690,199.0,33.0,3.0,19.0,170.0,17.0,126.0,36.0,65.0,2.0,1549.0,11.0,43.0,,,,,,,,,,,,,
1,Edouard Mendy,GK,28.0,30.5,1027,812,213.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,2.0,0.0,,,,,,,,,,,,,
2,Timo Werner,"FW,MF",24.0,28.9,824,788,31.0,2.0,1.0,1.0,35.0,5.0,1.0,0.0,0.0,0.0,629.0,5.0,23.0,,,,,,,,,,,,,
3,Ben Chilwell,DF,23.0,25.4,1839,1535,297.0,38.0,0.0,5.0,136.0,227.0,32.0,18.0,12.0,0.0,1431.0,7.0,47.0,,,,,,,,,,,,,
4,Reece James,DF,20.0,26.4,2028,1785,235.0,22.0,0.0,17.0,144.0,180.0,33.0,15.0,14.0,0.0,1706.0,8.0,34.0,,,,,,,,,,,,,
5,César Azpilicueta,DF,30.0,24.3,2081,1892,185.0,32.0,3.0,0.0,37.0,153.0,0.0,0.0,0.0,0.0,1787.0,4.0,31.0,,,,,,,,,,,,,
6,N'Golo Kanté,MF,29.0,23.8,1542,1524,15.0,13.0,0.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,1325.0,3.0,26.0,,,,,,,,,,,,,
7,Jorginho it,28,22.3,1789.0,1761,25,25.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1594.0,3.0,10.0,,,,,,,,,,,,,,
8,Thiago Silva,DF,35.0,21.5,1952,1892,55.0,51.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,1809.0,5.0,4.0,,,,,,,,,,,,,
9,Kurt Zouma,DF,25.0,22.5,1781,1748,30.0,27.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,1616.0,3.0,3.0,,,,,,,,,,,,,
10,Mateo Kovačić,MF,26.0,20.2,1774,1743,27.0,25.0,7.0,15.0,6.0,2.0,0.0,0.0,0.0,0.0,1603.0,4.0,11.0,,,,,,,,,,,,,
11,Antonio Rüdiger,DF,27.0,19.0,1534,1498,30.0,28.0,0.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,1365.0,6.0,11.0,,,,,,,,,,,,,
12,Christian Pulisic,"FW,MF",21.0,19.3,705,693,11.0,2.0,1.0,1.0,35.0,7.0,1.0,0.0,1.0,0.0,561.0,1.0,16.0,,,,,,,,,,,,,
13,Kai Havertz,"MF,FW",21.0,16.9,788,766,18.0,3.0,2.0,2.0,11.0,7.0,0.0,0.0,0.0,0.0,658.0,4.0,28.0,,,,,,,,,,,,,
14,Andreas Christensen,DF,24.0,15.2,1149,1117,29.0,24.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1046.0,3.0,5.0,,,,,,,,,,,,,
