Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Kai Havertz,FW,23,28.5,894,850,41,5,2,4,14,9,1,0,0,0,727,3,24,35,"2,569",30,15,5,1,1.23,29,31,0.67,40.3,38.1,7,1,8,6,1,1,5,0,11.6,10.8,3.8,59,89,218,70,31,12.7,1,-4.6,46,108,519,640,165,1257,61,18,38,728,3741,1483,33,30,79,36,946,727,894,9347,1882,458,540,195,221,23,32,2.8,38,49,26,2,0,60,25,28,7,16,0,0,0,81,79,59,63,54,2,1,5,1,0,4,3,0,0,1,0,0,4,20,10,10,30,20,28,0,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Kepa Arrizabalaga,GK,27,28.5,1046,805,241,59,0,3,0,0,0,0,0,0,871,0,1,29,"2,565",29,28,0,7,1.14,27,33,0.11,39.2,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,892,1103,16,0,0,1119,1,1,0,654,2894,1683,0,0,1,0,604,871,1046,19299,11448,287,289,390,395,190,357,0,0,6,0,0,0,0,8,0,1,2,0,0,0,42,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,0,0,0,16,2,33,120,90,8,9,12,9,1,1,0,0,1,4,35,0.29,5,68,213,864,151,26.3,182,31.5,332,15,52,16.9,18
Thiago Silva,DF,37,26.1,2042,1976,59,54,1,15,2,2,0,0,0,0,1856,7,8,27,"2,352",26,25,1,2,1.19,27,32,0.15,31.6,34.1,0,2,2,0,0,0,2,0,1.5,1.5,0.5,8,104,2,15,2,13,0,-1.5,348,1167,1081,58,24,2302,4,3,0,1460,6608,3887,14,0,6,1,1674,1856,2042,34998,13939,678,718,993,1035,172,258,1,5,115,13,0,0,10,13,0,34,27,0,0,0,148,61,23,18,16,1,0,1,0,0,2,2,0,0,0,0,0,24,17,0,21,31,10,38,29,9,111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Raheem Sterling,FW,27,21,685,662,21,0,6,0,46,7,7,7,0,0,514,2,33,28,"1,891",23,7,5,1,1.14,24,27,0.21,25.7,27,6,3,9,6,0,0,4,0,6.2,6.2,4.6,81,59,186,42,16,13.6,0,-0.2,8,63,278,583,121,910,93,39,46,651,4002,2153,56,39,46,50,749,514,685,6522,1357,326,386,136,179,18,33,3.2,34,26,31,9,0,21,32,11,2,10,0,0,0,66,5,13,68,53,0,7,3,4,1,4,3,0,1,0,0,0,5,4,9,8,14,6,17,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Marc Cucurella,DF,24,18.6,1293,1093,192,28,0,2,44,151,13,8,3,0,1090,8,26,24,"1,671",21,10,3,3,1.21,17,20,0.15,23.6,26,0,2,2,0,0,0,4,0,0.4,0.4,0.6,30,73,65,7,0,19.7,0,-0.4,63,470,672,358,12,1490,14,5,6,787,3205,1797,20,2,14,6,906,1090,1293,16587,5116,600,647,396,453,59,110,0.9,11,77,12,6,0,16,21,1,16,33,0,0,0,120,16,13,27,21,6,0,0,0,0,3,2,1,0,0,0,0,40,15,11,30,60,30,28,8,20,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Kalidou Koulibaly,DF,31,20,1471,1421,45,33,0,15,4,12,0,0,0,0,1275,5,12,23,"1,800",20,17,3,6,1.26,20,22,0.29,26.7,22.6,2,1,3,2,0,0,7,1,0.9,0.9,0.4,10,81,4,11,4,12,0,1.1,174,793,838,63,19,1687,6,4,2,1083,4728,2459,8,0,10,2,1209,1275,1471,22422,9023,564,598,595,653,96,175,0.4,7,83,9,1,1,22,9,0,29,31,0,0,0,126,33,28,21,17,0,0,2,0,2,3,3,0,0,0,0,0,34,8,3,26,40,14,30,13,17,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Mason Mount,MF,23,18.3,778,706,68,17,6,8,64,5,34,11,19,1,585,4,23,24,"1,648",20,7,4,2,1.29,18,21,0.14,22.3,23.4,3,2,5,3,0,0,4,0,2,2,3,48,98,114,33,9,19.7,2,1,17,110,415,455,56,969,31,15,13,530,2745,1429,34,11,36,29,678,585,778,8688,2236,350,409,165,216,44,84,2.8,30,55,27,5,0,28,27,1,8,19,0,0,0,85,9,14,57,42,9,2,2,2,0,7,5,0,0,1,1,0,6,16,11,14,27,13,24,6,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Ruben Loftus-Cheek,MF,26,17.1,907,858,44,11,1,6,19,32,0,0,0,0,782,5,20,25,"1,536",19,6,6,6,1.36,22,23,0.32,21.7,27.2,0,1,1,0,0,0,1,0,0.8,0.8,1.5,56,90,86,9,2,18.6,0,-0.8,40,185,576,322,42,1068,60,30,22,651,3753,2210,29,10,22,23,774,782,907,11417,2878,475,530,263,291,29,37,1.8,16,78,18,1,0,10,34,1,12,14,0,0,1,101,22,26,36,31,0,3,1,1,0,4,4,0,0,0,0,0,8,14,3,12,22,10,15,2,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Conor Gallagher,MF,22,18,871,818,50,13,1,6,49,10,21,9,7,0,706,3,29,35,"1,621",18,8,17,2,1.23,15,22,-0.29,21.2,26.1,3,1,4,3,0,0,11,1,2.5,2.5,2.3,40,105,104,28,11,17.9,0,0.5,32,198,529,421,59,1134,55,24,23,700,3523,1394,40,12,36,36,778,706,871,10444,2483,399,447,243,290,32,58,1.7,21,67,20,5,1,35,35,2,23,33,0,0,0,93,19,28,47,34,4,4,2,2,1,3,2,0,1,0,0,0,17,19,10,10,37,27,41,10,31,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Trevoh Chalobah,DF,23,17.9,1200,1132,66,23,0,4,13,43,0,0,0,0,1051,2,11,25,"1,608",18,15,7,10,1.2,20,24,0.02,23.1,31.6,0,0,0,0,0,0,4,0,0.9,0.9,0.3,17,71,27,9,2,9.6,0,-0.9,135,602,604,167,23,1369,10,8,1,784,2679,1393,13,1,6,5,973,1051,1200,18603,5316,419,467,551,594,70,107,0.3,4,64,3,1,0,11,8,0,24,20,0,0,1,86,31,32,16,11,0,1,2,2,0,3,3,0,0,0,0,0,22,6,3,24,35,11,17,7,10,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Enzo Fernández,MF,21,17.2,1440,1381,56,51,11,17,14,2,3,1,1,0,1269,3,13,18,"1,547",18,14,0,0,0.83,16,25,-0.52,24.8,24.1,0,2,2,0,0,0,3,0,0.8,0.8,2.4,22,168,18,20,3,25.7,2,-0.8,45,351,1000,280,9,1616,32,17,13,1097,4757,2023,28,1,25,13,1257,1269,1440,24396,7284,504,549,546,604,193,240,2.7,20,164,25,0,0,11,22,1,16,27,0,0,0,118,7,10,59,49,6,0,2,2,0,6,6,0,0,0,0,0,25,17,3,21,56,35,32,2,30,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Mateo Kovačić,MF,28,19,1319,1289,29,26,10,10,6,3,0,0,0,0,1130,1,25,27,"1,707",17,10,10,2,1.15,14,25,-0.69,24.7,24.1,1,2,3,1,0,0,8,0,1.8,1.8,2.1,37,153,30,23,1,22.1,0,-0.8,31,279,938,289,12,1492,34,19,10,1010,5517,2591,39,2,26,26,1144,1130,1319,18537,5579,555,614,470,522,76,120,2.1,23,158,23,1,0,18,12,0,19,24,0,0,0,121,10,10,62,53,1,2,4,0,2,3,3,0,0,0,0,0,16,14,6,14,36,22,10,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
César Azpilicueta,DF,32,17,1065,893,169,30,0,0,26,139,0,0,0,0,872,3,14,25,"1,527",16,12,9,6,1.12,17,21,0,22.5,27,0,0,0,0,0,0,3,0,0.4,0.4,1.1,23,71,81,9,1,18.2,0,-0.4,84,424,510,319,25,1245,13,7,5,612,2691,1573,19,0,12,5,753,872,1065,12891,4354,501,538,337,414,21,74,1.3,12,40,19,5,0,27,7,2,19,25,0,0,1,59,29,19,25,25,0,0,0,0,0,1,1,0,0,0,0,0,23,15,5,22,37,15,26,5,21,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Ben Chilwell,DF,25,15.6,977,774,198,25,2,5,92,121,52,25,20,0,762,5,18,23,"1,408",15,10,8,2,1.26,16,19,0.08,20.2,18.4,2,2,4,2,0,0,3,0,1.4,1.4,2.2,43,41,131,16,4,16.1,0,0.6,23,284,426,426,36,1133,23,8,12,629,3401,1852,36,8,25,18,722,762,977,10963,3238,469,507,223,284,42,123,2.4,21,42,10,7,0,13,23,3,18,17,1,0,0,68,25,20,39,19,17,0,1,2,0,4,2,1,0,0,1,0,12,8,1,13,25,12,21,2,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
