,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Andros Townsend,"FW,MF",26,34.7,1226,1088,134.0,39.0,3.0,5.0,176.0,23.0,49.0,23.0,5.0,16.0,870.0,4.0,49.0,,,,,,,,,,,,,
1,Luka Milivojević,MF,26,34.2,1701,1613,83.0,54.0,3.0,20.0,39.0,5.0,24.0,12.0,1.0,4.0,1343.0,5.0,32.0,,,,,,,,,,,,,
2,Wilfried Zaha,"FW,MF",24,28.3,716,695,18.0,1.0,6.0,3.0,76.0,14.0,0.0,0.0,0.0,0.0,497.0,3.0,39.0,,,,,,,,,,,,,
3,Yohan Cabaye,MF,31,26.4,1438,1254,180.0,62.0,6.0,9.0,136.0,5.0,104.0,45.0,21.0,35.0,1118.0,4.0,19.0,,,,,,,,,,,,,
4,James McArthur,MF,29,27.0,1093,1067,21.0,6.0,3.0,8.0,11.0,7.0,0.0,0.0,0.0,0.0,854.0,5.0,22.0,,,,,,,,,,,,,
5,Wayne Hennessey,GK,30,27.0,787,451,330.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,6.0,0.0,,,,,,,,,,,,,
6,James Tomkins,DF,28,26.5,892,859,31.0,29.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,727.0,2.0,2.0,,,,,,,,,,,,,
7,Christian Benteke,FW,26,24.9,675,639,36.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,14.0,,,,,,,,,,,,,
8,Ruben Loftus-Cheek,MF,21,20.8,745,725,14.0,2.0,1.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,603.0,6.0,24.0,,,,,,,,,,,,,
9,Jeffrey Schlupp,"DF,MF",24,19.4,827,675,151.0,10.0,0.0,1.0,31.0,141.0,0.0,0.0,0.0,0.0,601.0,1.0,30.0,,,,,,,,,,,,,
10,Joel Ward,DF,27,17.9,928,718,208.0,9.0,0.0,3.0,46.0,199.0,0.0,0.0,0.0,0.0,671.0,2.0,30.0,,,,,,,,,,,,,
11,Mamadou Sakho,DF,27,17.8,744,720,20.0,19.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,632.0,4.0,4.0,,,,,,,,,,,,,
12,Timothy Fosu-Mensah,DF,19,17.7,746,621,122.0,8.0,0.0,4.0,17.0,114.0,0.0,0.0,0.0,0.0,536.0,3.0,13.0,,,,,,,,,,,,,
13,Scott Dann,DF,30,15.9,574,546,24.0,22.0,1.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,454.0,4.0,4.0,,,,,,,,,,,,,
