Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Marc Guéhi,DF,21,35.8,2360,2290,65,59,1,32,3,6,0,0,0,0,2057,5,5,36,"3,222",36,35,0,1,1.25,49,43,1.08,44.8,37.6,2,1,3,2,0,0,4,0,2.5,2.5,1.3,17,111,7,19,5,11.1,0,-0.5,376,1512,1070,82,32,2654,13,12,1,1663,7932,4727,15,0,14,7,1925,2057,2360,40390,14502,664,722,1162,1261,214,342,1,6,116,3,0,0,14,34,0,30,17,0,1,0,192,68,54,25,20,0,1,2,2,0,3,1,0,0,1,1,0,24,10,1,15,16,1,34,26,8,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Tyrick Mitchell,DF,21,34.5,1930,1522,400,29,1,0,62,367,4,2,2,0,1393,8,54,36,"3,101",35,32,1,1,1.22,45,43,-0.51,40.7,37.9,0,2,2,0,0,0,1,0,0.2,0.2,1.7,41,134,116,4,0,17.3,0,-0.2,137,905,945,490,26,2320,29,16,13,1074,4380,2208,37,4,45,26,1188,1393,1930,21564,10421,745,864,526,700,84,236,1.7,21,103,33,15,0,15,14,2,41,57,1,0,0,237,29,32,51,42,5,1,0,1,2,7,6,1,0,0,0,0,67,26,11,46,67,21,47,5,42,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Conor Gallagher,MF,21,31.6,1188,1030,151,70,2,8,128,4,62,26,16,4,890,7,27,34,"2,845",33,26,1,0,1.32,41,38,-0.06,37.6,34,8,3,11,8,0,0,10,0,6.3,6.3,3.1,42,94,118,52,22,17.5,4,1.7,45,285,737,579,80,1578,75,42,33,829,3922,1514,23,12,62,50,933,890,1188,14543,3809,443,517,305,386,88,173,3.1,38,86,20,9,0,65,65,2,29,38,1,0,0,187,23,37,91,48,24,3,8,7,1,10,7,0,2,0,1,0,35,20,14,21,69,48,58,9,49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Joachim Andersen,DF,25,32.4,2351,2252,95,86,3,32,8,5,0,0,0,0,1911,4,11,34,"2,916",32,31,2,0,1.32,44,37,0.75,40.4,35.8,0,3,3,0,0,0,4,0,0.7,0.7,1.7,14,100,4,8,3,15.3,1,-0.7,425,1538,1005,80,32,2614,9,7,2,1604,8191,4478,5,2,8,8,1865,1911,2351,44144,15836,410,480,1138,1224,349,604,1.9,20,151,11,2,0,19,8,1,37,23,0,0,1,152,56,48,33,30,1,0,1,0,1,4,3,0,0,1,0,0,21,9,0,16,27,11,29,19,10,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Wilfried Zaha,FW,28,30.7,974,943,28,5,10,1,48,14,4,2,0,0,753,3,28,33,"2,760",31,28,2,0,1.3,38,33,0.3,35.4,30.3,14,1,15,9,5,7,6,1,9.5,3.9,5.1,113,121,265,62,26,18.8,0,4.5,11,155,594,720,129,1436,152,75,77,1058,6768,3179,75,47,124,110,1128,753,974,10942,2907,432,509,252,311,36,63,5.4,46,38,66,12,1,37,101,24,5,20,1,0,0,166,12,35,111,76,1,15,10,7,2,12,5,0,3,2,2,0,14,15,11,10,31,21,28,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Vicente Guaita,GK,34,29.5,982,725,254,53,0,2,0,0,0,0,0,0,776,3,0,30,"2,655",30,29,0,5,1.27,38,33,0.29,37.7,31.9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,912,1030,3,0,0,1033,0,0,0,622,3147,1886,0,0,1,0,485,776,982,17570,10060,241,242,345,348,171,369,0,0,3,0,0,0,1,2,0,1,0,0,1,0,22,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8,1,33,116,83,9,11,10,11,3,3,0,0,1,10,28.8,0.23,-4.2,105,282,778,182,28.3,201,31.5,386,17,36,16.3,1.5
Joel Ward,DF,31,27.6,1741,1460,277,28,0,10,43,249,0,0,0,0,1372,4,35,28,"2,487",27,27,1,5,1.29,37,37,-0.39,35.1,30.2,0,0,0,0,0,0,8,0,0.3,0.3,0.5,27,119,37,10,1,20.4,0,-0.3,150,783,938,330,12,2038,26,20,6,1028,4386,2409,24,0,29,18,1212,1372,1741,22621,8364,675,746,574,683,99,234,1.3,6,104,12,4,0,22,21,1,32,26,0,0,0,140,58,39,18,16,2,0,0,0,0,2,2,0,0,0,0,0,30,11,3,30,57,27,24,11,13,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jordan Ayew,FW,29,22.4,754,738,14,3,8,2,74,9,2,0,0,0,576,2,30,31,"2,019",23,10,8,6,1.13,31,31,-0.26,27.1,25.4,3,3,6,3,0,0,2,0,3.1,3.1,2.8,98,51,151,35,8,16.8,1,-0.1,15,149,514,450,67,1087,71,34,37,696,4590,2316,49,24,84,77,779,576,754,7894,1509,346,389,180,228,17,54,2.9,23,31,16,6,0,38,66,2,15,30,1,0,0,132,32,58,61,41,1,2,3,13,1,6,5,0,0,0,1,0,20,20,7,17,31,14,33,3,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Cheikhou Kouyaté,MF,31,21.9,804,786,18,17,0,0,4,1,0,0,0,0,656,0,9,27,"1,974",23,14,4,6,1.33,27,28,-0.36,24.2,25.8,0,1,1,0,0,0,3,0,0.5,0.5,0.8,7,54,9,7,0,21.6,0,-0.5,72,389,581,100,7,1058,17,13,4,477,1839,778,7,0,30,11,529,656,804,10088,2834,338,390,253,308,36,58,1,5,44,3,1,0,30,21,0,38,38,0,0,0,136,50,29,15,13,0,1,0,0,1,1,1,0,0,0,0,0,28,22,2,18,39,21,40,14,26,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jeffrey Schlupp,MF,28,20.6,668,654,8,6,3,5,20,1,0,0,0,0,493,6,18,32,"1,851",20,13,12,4,1.25,23,19,0.19,25.3,23.6,4,1,5,4,0,0,1,0,3.4,3.4,1.6,31,70,60,33,9,14.3,0,0.6,46,235,509,243,59,971,58,35,23,520,2680,1218,25,11,42,33,565,493,668,7971,2386,249,302,201,253,29,55,1.2,18,46,12,2,0,26,22,0,18,25,1,0,0,115,31,39,46,33,0,6,4,3,0,7,3,0,1,1,2,0,16,23,7,24,50,26,39,9,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
