Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Jordan Pickford,GK,25,38,1383,974,405,141,1,12,0,0,0,0,0,0,905,4,0,38,"3,420",38,38,0,0,1.29,44,56,0,50.8,48.3,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0,0,0,0,0,0,1226,1439,17,0,0,1456,0,0,0,821,5000,2985,0,0,2,0,647,905,1383,28145,21362,185,185,359,364,346,815,0.1,1,42,2,0,0,1,8,0,3,0,0,0,0,23,10,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,6,56,147,94,13,10,15,9,4,3,0,1,3,5,50.2,0.32,-2.8,270,730,1115,195,40.1,264,48.5,510,24,25,13.4,28
Richarlison,FW,22,34.1,853,830,19,1,6,1,56,5,2,0,1,0,533,4,44,36,"3,070",36,26,0,0,1.31,39,51,-0.35,44.5,41.2,13,3,16,13,0,0,8,0,9.1,9.1,6.7,95,93,222,90,32,14.8,0,3.9,49,170,522,685,173,1344,111,61,50,855,5801,2545,68,44,92,74,938,533,853,7523,1907,285,388,172,250,24,56,3.7,34,31,30,3,0,43,72,17,12,47,0,1,0,169,74,119,93,53,0,9,11,18,2,9,5,0,1,1,2,0,28,28,14,27,56,29,34,4,30,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Lucas Digne,DF,26,33.7,2020,1472,541,64,2,13,270,369,108,56,44,0,1371,7,63,35,"3,030",35,30,0,1,1.29,37,49,-0.36,42.1,42.3,0,7,7,0,0,0,6,0,1.5,1.5,6.3,69,134,251,29,4,24.4,13,-1.5,99,631,921,842,52,2376,36,23,13,1009,4362,2418,54,6,28,24,1112,1371,2020,22556,9553,728,885,453,659,148,328,5.7,72,94,43,28,0,43,29,3,42,49,0,1,1,182,112,53,125,74,41,2,3,4,1,10,8,2,0,0,0,0,49,19,5,33,68,35,39,10,29,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Dominic Calvert-Lewin,FW,22,29.2,577,570,3,2,2,3,19,1,0,0,0,0,359,4,23,36,"2,626",30,20,6,2,1.28,36,43,0.33,40.3,38.4,13,1,14,13,0,0,9,0,15.3,15.3,1.5,40,50,156,85,38,12.9,0,-2.3,42,76,391,466,134,922,27,14,13,511,2568,951,28,16,98,23,736,359,577,4534,1103,225,338,78,123,21,30,0.8,15,31,14,3,0,57,44,13,6,5,0,0,0,55,177,206,56,33,0,2,8,13,0,2,2,0,0,0,0,0,1,4,2,1,10,9,15,2,13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Gylfi Sigurðsson,MF,29,28.4,1156,1003,150,43,3,2,131,3,71,34,31,2,890,3,20,35,"2,560",28,19,7,0,1.31,35,45,-0.14,38.7,36.9,2,3,5,1,1,1,3,0,4,3.2,4.2,27,127,73,45,12,22.8,5,-2,37,218,730,491,50,1430,30,16,14,720,2908,969,25,9,41,26,844,890,1156,15044,4641,411,478,329,394,101,185,3.7,51,91,25,4,0,34,23,2,37,26,0,0,0,147,14,24,91,39,32,3,12,2,3,7,3,2,1,1,0,0,15,24,11,19,70,51,30,4,26,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Michael Keane,DF,26,28.4,1458,1410,42,35,2,9,0,5,0,0,0,0,1203,6,9,31,"2,559",28,28,3,6,1.39,32,42,-0.14,36.3,38,2,0,2,2,0,0,3,0,1.9,1.9,0.7,9,84,3,14,4,7.8,0,0.1,295,991,751,45,33,1778,1,1,0,992,4975,2648,1,1,7,4,1078,1203,1458,24542,8769,317,366,716,792,149,244,0.5,6,61,3,0,0,20,8,0,44,16,0,1,1,127,129,88,18,16,0,0,2,0,0,3,2,0,0,1,0,0,18,12,1,14,24,10,35,28,7,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Yerry Mina,DF,24,25.4,1371,1319,47,46,1,17,4,1,0,0,0,0,1141,5,10,29,"2,284",25,23,4,2,1.28,29,37,0,35.1,31.9,2,1,3,2,0,0,3,0,3.4,3.4,1.4,11,83,4,29,11,10.7,0,-1.4,226,906,662,73,48,1632,8,6,2,980,5913,3160,8,0,7,0,986,1141,1371,23926,8014,328,381,614,692,182,256,0.4,7,51,0,0,0,20,12,2,28,22,0,0,1,131,113,69,17,10,0,0,5,0,2,3,2,0,0,1,0,0,25,12,2,18,24,6,20,14,6,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Mason Holgate,DF,22,22.8,1074,1028,44,28,2,17,2,12,0,0,0,0,902,2,11,27,"2,054",24,22,3,7,1.52,30,34,0.35,32.5,27.9,0,3,3,0,0,0,5,0,1.7,1.7,0.7,18,58,4,11,5,15,0,-1.7,169,706,577,45,16,1319,12,10,2,767,4387,2522,12,1,8,6,790,902,1074,19078,6148,287,321,448,497,163,225,1.3,4,47,4,1,0,17,25,1,34,26,0,0,0,126,41,36,21,14,0,1,5,1,0,6,4,0,0,2,0,0,30,13,1,21,31,10,26,13,13,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Tom Davies,MF,21,22.5,893,867,23,13,2,3,8,3,0,0,0,0,687,3,19,30,"2,027",23,16,7,6,1.33,21,34,-0.64,25.8,31.5,1,0,1,1,0,0,8,0,1.6,1.6,0.5,24,113,32,17,5,17.1,0,-0.6,42,256,682,197,23,1119,30,21,9,611,3046,1486,29,1,28,20,698,687,893,11896,4015,309,388,292,341,68,110,0.9,6,85,16,2,0,30,40,1,35,17,0,0,0,138,35,36,30,20,0,3,4,3,0,0,0,0,0,0,0,0,12,22,4,17,55,38,12,4,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
Séamus Coleman,DF,30,20.4,1087,857,227,10,0,5,43,217,0,0,0,0,827,3,25,27,"1,839",21,15,6,6,1.3,19,28,-0.27,24.6,28.3,0,1,1,0,0,0,5,1,0.9,0.9,1.7,49,77,93,8,3,16,0,-0.9,80,414,606,316,28,1322,58,38,20,691,3894,2055,38,7,35,14,692,827,1087,12093,5112,450,511,282,370,45,107,0.8,9,53,12,3,1,19,19,1,24,31,0,0,0,118,29,20,27,17,1,6,2,1,0,3,2,0,0,1,0,0,24,14,4,19,25,6,21,9,12,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
