,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Jordan Pickford,GK,27.0,35.0,1147,739,401.0,134.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,7.0,0.0,,,,,,,,,,,,,
1,Michael Keane,DF,28.0,31.0,1214,1180,32.0,32.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,927.0,2.0,9.0,,,,,,,,,,,,,
2,Séamus Coleman,DF,32.0,29.5,1255,981,269.0,11.0,0.0,5.0,41.0,258.0,0.0,0.0,0.0,0.0,914.0,5.0,23.0,,,,,,,,,,,,,
3,Abdoulaye Doucouré,MF,28.0,28.2,1097,1078,17.0,11.0,3.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,864.0,2.0,32.0,,,,,,,,,,,,,
4,Richarlison br,24,28.0,568.0,556,8,1.0,3.0,3.0,38.0,2.0,0.0,0.0,0.0,0.0,339.0,4.0,29.0,,,,,,,,,,,,,,
5,Demarai Gray,"MF,FW",25.0,26.0,769,662,106.0,31.0,3.0,5.0,129.0,6.0,56.0,29.0,24.0,0.0,555.0,1.0,31.0,,,,,,,,,,,,,
6,Anthony Gordon,"MF,FW",20.0,25.4,743,649,89.0,25.0,2.0,3.0,119.0,6.0,50.0,26.0,18.0,0.0,482.0,5.0,28.0,,,,,,,,,,,,,
7,Allan br,30,24.3,982.0,912,66,19.0,1.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,778.0,4.0,26.0,,,,,,,,,,,,,,
8,Mason Holgate,DF,24.0,23.7,876,805,68.0,42.0,0.0,16.0,4.0,26.0,0.0,0.0,0.0,0.0,584.0,3.0,11.0,,,,,,,,,,,,,
9,Ben Godfrey,DF,23.0,22.5,808,705,102.0,12.0,0.0,0.0,12.0,90.0,0.0,0.0,0.0,0.0,611.0,1.0,18.0,,,,,,,,,,,,,
10,Alex Iwobi,"MF,DF",25.0,22.6,782,721,57.0,2.0,6.0,6.0,32.0,50.0,1.0,0.0,1.0,0.0,599.0,4.0,25.0,,,,,,,,,,,,,
11,Andros Townsend,"MF,FW",30.0,16.2,497,440,56.0,18.0,1.0,0.0,96.0,7.0,25.0,21.0,2.0,0.0,342.0,1.0,20.0,,,,,,,,,,,,,
12,Dominic Calvert-Lewin,FW,24.0,14.3,280,276,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,167.0,1.0,6.0,,,,,,,,,,,,,
13,Lucas Digne,DF,28.0,13.0,702,539,161.0,19.0,0.0,1.0,71.0,121.0,21.0,4.0,13.0,0.0,497.0,2.0,22.0,,,,,,,,,,,,,
14,Vitaliy Mykolenko,DF,22.0,11.7,465,342,123.0,16.0,1.0,0.0,41.0,104.0,3.0,1.0,2.0,0.0,319.0,0.0,11.0,,,,,,,,,,,,,
15,Jonjoe Kenny,DF,24.0,11.3,478,381,93.0,3.0,1.0,0.0,23.0,90.0,0.0,0.0,0.0,0.0,351.0,4.0,8.0,,,,,,,,,,,,,
16,Yerry Mina,DF,26.0,9.4,362,349,12.0,10.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,288.0,1.0,4.0,,,,,,,,,,,,,
17,Salomón Rondón,FW,31.0,8.8,193,190,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,117.0,0.0,9.0,,,,,,,,,,,,,
18,Fabian Delph,MF,31.0,7.4,309,304,4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,259.0,1.0,5.0,,,,,,,,,,,,,
19,André Gomes,MF,28.0,6.9,282,269,13.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,218.0,0.0,9.0,,,,,,,,,,,,,
20,Jarrad Branthwaite,DF,19.0,4.3,117,108,9.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,89.0,0.0,1.0,,,,,,,,,,,,,
21,Asmir Begović,GK,34.0,3.0,85,46,39.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,,,,,,,,,,,,,
