,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Aleksandar Mitrović,FW,23.0,36.4,1042,938,99.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,745.0,5.0,12.0,,,,,,,,,,,,,
1,Sergio Rico,GK,24.0,29.0,889,549,337.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,3.0,0.0,,,,,,,,,,,,,
2,Denis Odoi,DF,30.0,28.8,1433,1299,128.0,46.0,2.0,13.0,13.0,82.0,0.0,0.0,0.0,0.0,1161.0,6.0,22.0,,,,,,,,,,,,,
3,Calum Chambers,"MF,DF",23.0,28.8,1509,1476,25.0,22.0,2.0,22.0,14.0,3.0,0.0,0.0,0.0,0.0,1175.0,8.0,27.0,,,,,,,,,,,,,
4,Joe Bryan,"DF,MF",24.0,26.1,1293,1024,264.0,27.0,1.0,3.0,115.0,222.0,15.0,5.0,8.0,1.0,915.0,5.0,35.0,,,,,,,,,,,,,
5,Jean Seri,MF,27.0,24.9,1707,1542,161.0,62.0,2.0,25.0,108.0,3.0,93.0,33.0,34.0,4.0,1427.0,4.0,19.0,,,,,,,,,,,,,
6,Ryan Sessegnon,"FW,DF",18.0,25.6,820,716,101.0,8.0,5.0,1.0,66.0,64.0,27.0,6.0,12.0,2.0,567.0,3.0,34.0,,,,,,,,,,,,,
7,Tim Ream,DF,30.0,22.7,1064,1035,23.0,19.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,928.0,6.0,8.0,,,,,,,,,,,,,
8,Tom Cairney,"MF,FW",27.0,24.4,1408,1371,29.0,16.0,7.0,11.0,27.0,0.0,5.0,4.0,1.0,0.0,1244.0,8.0,9.0,,,,,,,,,,,,,
9,André Schürrle,"FW,MF",27.0,18.2,576,554,18.0,4.0,2.0,6.0,41.0,8.0,2.0,0.0,1.0,0.0,424.0,4.0,26.0,,,,,,,,,,,,,
10,Cyrus Christie,"DF,MF",25.0,21.6,1210,963,243.0,11.0,0.0,7.0,90.0,232.0,0.0,0.0,0.0,0.0,870.0,4.0,36.0,,,,,,,,,,,,,
11,Ryan Babel,"FW,MF",31.0,13.9,513,483,28.0,5.0,3.0,1.0,38.0,4.0,15.0,7.0,4.0,0.0,403.0,2.0,17.0,,,,,,,,,,,,,
12,Alfie Mawson,DF,24.0,12.6,482,467,13.0,13.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,393.0,2.0,3.0,,,,,,,,,,,,,
13,Luciano Vietto,"FW,MF",24.0,11.0,411,402,7.0,1.0,1.0,1.0,19.0,4.0,0.0,0.0,0.0,0.0,316.0,2.0,15.0,,,,,,,,,,,,,
14,Kevin McDonald,MF,29.0,9.3,583,554,26.0,25.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,494.0,3.0,6.0,,,,,,,,,,,,,
15,Timothy Fosu-Mensah,DF,20.0,8.8,479,417,60.0,3.0,1.0,3.0,15.0,57.0,0.0,0.0,0.0,0.0,375.0,2.0,10.0,,,,,,,,,,,,,
16,Marcus Bettinelli,GK,26.0,7.0,246,158,85.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,3.0,0.0,,,,,,,,,,,,,
17,Aboubakar Kamara,FW,23.0,7.7,248,241,6.0,1.0,0.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,170.0,1.0,14.0,,,,,,,,,,,,,
18,Stefan Johansen,MF,27.0,4.6,261,246,14.0,10.0,0.0,2.0,9.0,1.0,2.0,1.0,1.0,0.0,202.0,1.0,6.0,,,,,,,,,,,,,
19,Håvard Nordtveit,DF,28.0,4.0,227,218,7.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,2.0,2.0,,,,,,,,,,,,,
20,Floyd Ayité,"FW,MF",29.0,5.3,200,195,5.0,1.0,0.0,1.0,6.0,2.0,2.0,1.0,1.0,0.0,156.0,0.0,7.0,,,,,,,,,,,,,
21,Fabricio es,30,2.0,61.0,43,18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,,,,,,,,,,,,,,
22,Ibrahima Cissé,MF,24.0,1.0,34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,,,,,,,,,,,,,
23,Neeskens Kebano,"FW,MF",26.0,1.2,31,30,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,,,,,,,,,,,,,
24,Lazar Marković,MF,24.0,0.5,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,,,,,,,,,,,,,
25,Harvey Elliott,MF,15.0,0.2,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,
26,Squad Total,19303,17396.0,1817.0,412,33,145.0,611.0,769.0,161.0,57.0,62.0,7.0,15096.0,90.0,,,,,,,,,,,,,,,,,
27,Opponent Total,20508,18494.0,1935.0,480,64,185.0,808.0,871.0,226.0,102.0,71.0,12.0,16080.0,79.0,,,,,,,,,,,,,,,,,
28,Aleksandar Mitrović,FW,23,37,"3,280",89.0,95.9,36.4,37.0,89.0,35.0,0.0,0.0,0.7,33.0,78.0,-45.0,-1.23,0.05,39.7,64.0,-24.2,-0.67,1.0,,,,,,,,
