,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,Mathias Jørgensen,DF,27,38.0,1576,1507,63,54.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,1206.0,6.0,18.0,,,,,,,,,,,,,
1,Jonas Lössl,GK,28,38.0,1390,912,475,171.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,3.0,1.0,,,,,,,,,,,,,
2,Christopher Schindler,DF,27,36.3,1401,1359,38,34.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,1133.0,4.0,6.0,,,,,,,,,,,,,
3,Aaron Mooy,MF,26,34.1,2098,1927,163,82.0,4.0,29.0,185.0,3.0,78.0,43.0,18.0,1.0,1553.0,8.0,60.0,,,,,,,,,,,,,
4,Jonathan Hogg,MF,28,26.6,1423,1383,35,33.0,2.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,1206.0,5.0,17.0,,,,,,,,,,,,,
5,Tom Ince,"MF,FW",25,27.2,763,682,77,4.0,2.0,4.0,59.0,15.0,36.0,26.0,4.0,1.0,572.0,4.0,28.0,,,,,,,,,,,,,
6,Tommy Smith,DF,25,21.2,1118,835,280,21.0,1.0,1.0,64.0,259.0,0.0,0.0,0.0,0.0,773.0,3.0,29.0,,,,,,,,,,,,,
7,Steve Mounié,FW,22,20.6,536,512,22,0.0,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,325.0,2.0,9.0,,,,,,,,,,,,,
8,Florent Hadergjonaj,"DF,MF",23,18.6,927,701,219,11.0,2.0,5.0,98.0,204.0,4.0,0.0,4.0,0.0,595.0,7.0,24.0,,,,,,,,,,,,,
9,Chris Löwe,DF,28,17.6,868,661,202,16.0,0.0,4.0,73.0,171.0,15.0,14.0,1.0,0.0,601.0,5.0,30.0,,,,,,,,,,,,,
10,Laurent Depoitre,FW,28,20.2,486,454,31,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,275.0,1.0,12.0,,,,,,,,,,,,,
11,Elias Kachunga,"FW,MF",25,14.8,368,362,6,1.0,1.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,231.0,0.0,33.0,,,,,,,,,,,,,
12,Collin Quaner,"FW,MF",26,14.2,449,442,5,1.0,0.0,1.0,22.0,3.0,1.0,0.0,0.0,0.0,319.0,2.0,19.0,,,,,,,,,,,,,
13,Scott Malone,DF,26,12.4,708,530,171,9.0,0.0,5.0,46.0,162.0,0.0,0.0,0.0,0.0,492.0,7.0,34.0,,,,,,,,,,,,,
14,Alex Pritchard,"MF,FW",24,11.1,393,334,58,16.0,1.0,1.0,48.0,0.0,23.0,13.0,4.0,3.0,259.0,1.0,14.0,,,,,,,,,,,,,
15,Danny Williams,MF,28,12.5,426,415,9,7.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,322.0,2.0,11.0,,,,,,,,,,,,,
16,Terence Kongolo,DF,23,11.7,390,314,73,7.0,0.0,1.0,10.0,66.0,0.0,0.0,0.0,0.0,263.0,3.0,12.0,,,,,,,,,,,,,
17,Philip Billing,MF,21,8.5,394,377,17,6.0,1.0,2.0,12.0,11.0,0.0,0.0,0.0,0.0,285.0,0.0,8.0,,,,,,,,,,,,,
18,Joe Lolley,"FW,MF",24,2.5,73,73,0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1.0,,,,,,,,,,,,,
19,Abdelhamid Sabiri,MF,20,2.4,100,95,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,1.0,,,,,,,,,,,,,
20,Martin Cranie,DF,30,2.0,91,89,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,,,,,,,,,,,,,
21,Kasey Palmer,"MF,FW",20,1.9,58,54,4,0.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,43.0,0.0,1.0,,,,,,,,,,,,,
22,Dean Whitehead,MF,35,0.8,51,49,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,,,,,,,,,,,,,
23,Michael Hefele,DF,26,0.4,10,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,,,,,,,,,,,,,
24,Squad Total,16822,14785,1970.0,478,26,82,765.0,927.0,165.0,101.0,32.0,6.0,12036.0,67.0,,,,,,,,,,,,,,,,,
25,Opponent Total,20856,18764,1974.0,415,57,125,637.0,1021.0,209.0,102.0,82.0,4.0,16103.0,118.0,,,,,,,,,,,,,,,,,
